date,price,forecast_price
2018-12-08,509.5,
2018-12-09,268.172,
2018-12-10,330.016,
2018-12-11,298.793,
2018-12-12,292.621,
2018-12-13,300.0,
2018-12-14,316.677,
2018-12-15,506.83,
2018-12-16,518.081,
2018-12-17,405.468,
2018-12-18,336.115,
2018-12-19,341.353,
2018-12-20,334.927,
2018-12-21,324.049,
2018-12-22,313.171,
2018-12-23,318.0,
2018-12-24,300.829,
2018-12-25,283.658,
2018-12-26,273.299,
2018-12-27,292.788,
2018-12-28,238.393,
2018-12-29,252.022,
2018-12-30,277.692,
2018-12-31,238.554,
2019-01-01,245.272,
2019-01-02,204.923,
2019-01-03,206.879,
2019-01-04,232.471,
2019-01-05,224.239,
2019-01-06,237.8885,
2019-01-07,251.538,
2019-01-08,250.801,
2019-01-09,234.757,
2019-01-10,244.996,
2019-01-11,270.037,
2019-01-12,281.229,
2019-01-13,266.022,
2019-01-14,245.155,
2019-01-15,297.64,
2019-01-16,265.174,
2019-01-17,275.066,
2019-01-18,279.902,
2019-01-19,262.241,
2019-01-20,238.275,
2019-01-21,245.766,
2019-01-22,244.032,
2019-01-23,246.2795,
2019-01-24,248.527,
2019-01-25,244.295,
2019-01-26,216.231,
2019-01-27,230.841,
2019-01-28,241.862,
2019-01-29,247.957,
2019-01-30,240.212,
2019-01-31,246.372,
2019-02-01,238.494,
2019-02-02,257.142,
2019-02-03,255.795,
2019-02-04,249.459,
2019-02-05,248.111,
2019-02-06,238.951,
2019-02-07,262.487,
2019-02-08,244.574,
2019-02-09,261.996,
2019-02-10,227.999,
2019-02-11,221.798,
2019-02-12,255.889,
2019-02-13,257.227,
2019-02-14,264.019,
2019-02-15,253.897,
2019-02-16,243.775,
2019-02-17,311.184,
2019-02-18,247.78,
2019-02-19,224.813,
2019-02-20,238.998,
2019-02-21,230.364,
2019-02-22,225.147,
2019-02-23,219.93,
2019-02-24,240.337,
2019-02-25,225.262,
2019-02-26,238.37,
2019-02-27,221.968,
2019-02-28,233.637,
2019-03-01,231.535,
2019-03-02,249.228,
2019-03-03,228.609,
2019-03-04,228.7834,
2019-03-05,228.9578,
2019-03-06,229.1322,
2019-03-07,229.3066,
2019-03-08,229.481,
2019-03-09,223.54,
2019-03-10,224.62366666666665,
2019-03-11,225.7073333333333,
2019-03-12,226.791,
2019-03-13,211.941,
2019-03-14,201.524,
2019-03-15,190.65,
2019-03-16,194.81,
2019-03-17,191.2,
2019-03-18,206.984,
2019-03-19,204.44,
2019-03-20,201.898,
2019-03-21,197.663,
2019-03-22,182.39,
2019-03-23,191.77,
2019-03-24,195.464,
2019-03-25,193.062,
2019-03-26,179.77,
2019-03-27,183.018,
2019-03-28,192.011,
2019-03-29,190.725,
2019-03-30,186.296,
2019-03-31,181.867,
2019-04-01,189.721,
2019-04-02,172.196,
2019-04-03,189.48,
2019-04-04,180.534,
2019-04-05,174.237,
2019-04-06,186.146,
2019-04-07,180.361,
2019-04-08,179.625,
2019-04-09,190.907,
2019-04-10,185.729,
2019-04-11,203.284,
2019-04-12,213.537,
2019-04-13,201.415,
2019-04-14,182.324,
2019-04-15,199.75,
2019-04-16,173.412,
2019-04-17,171.443,
2019-04-18,177.66,
2019-04-19,183.877,
2019-04-20,190.094,
2019-04-21,176.596,
2019-04-22,179.532,
2019-04-23,178.356,
2019-04-24,183.43,
2019-04-25,189.214,
2019-04-26,186.324,
2019-04-27,190.743,
2019-04-28,186.398,
2019-04-29,186.945,
2019-04-30,182.148,
2019-05-01,190.526,
2019-05-02,179.621,
2019-05-03,204.015,
2019-05-04,183.171,
2019-05-05,180.807,
2019-05-06,182.464,
2019-05-07,181.847,
2019-05-08,181.23,
2019-05-09,161.641,
2019-05-10,183.003,
2019-05-11,173.075,
2019-05-12,180.357,
2019-05-13,186.178,
2019-05-14,191.309,
2019-05-15,190.469,
2019-05-16,172.589,
2019-05-17,177.221,
2019-05-18,181.853,
2019-05-19,176.766,
2019-05-20,179.92000000000002,
2019-05-21,183.074,
2019-05-22,181.947,
2019-05-23,180.82,
2019-05-24,190.796,
2019-05-25,186.586,
2019-05-26,182.376,
2019-05-27,184.522,
2019-05-28,204.972,
2019-05-29,193.454,
2019-05-30,187.261,
2019-05-31,178.881,
2019-06-01,193.207,
2019-06-02,233.455,
2019-06-03,189.911,
2019-06-04,197.99,
2019-06-05,194.085,
2019-06-06,247.001,
2019-06-07,216.834,
2019-06-08,186.667,
2019-06-09,193.386,
2019-06-10,196.72,
2019-06-11,201.263,
2019-06-12,205.806,
2019-06-13,207.551,
2019-06-14,200.333,
2019-06-15,205.922,
2019-06-16,190.035,
2019-06-17,190.451,
2019-06-18,179.883,
2019-06-19,182.1765,
2019-06-20,184.47,
2019-06-21,179.574,
2019-06-22,191.609,
2019-06-23,259.593,
2019-06-24,199.418,
2019-06-25,187.779,
2019-06-26,204.533,
2019-06-27,192.348,
2019-06-28,199.734,
2019-06-29,207.441,
2019-06-30,206.304,
2019-07-01,203.927,
2019-07-02,198.80425,
2019-07-03,193.6815,
2019-07-04,188.55875,
2019-07-05,183.436,
2019-07-06,187.343,
2019-07-07,178.436,
2019-07-08,191.822,
2019-07-09,178.383,
2019-07-10,180.815,
2019-07-11,192.556,
2019-07-12,189.853,
2019-07-13,190.0,
2019-07-14,191.516,
2019-07-15,195.462,
2019-07-16,192.55,
2019-07-17,196.005,
2019-07-18,194.085,
2019-07-19,192.165,
2019-07-20,197.178,
2019-07-21,191.508,
2019-07-22,211.703,
2019-07-23,199.17,
2019-07-24,199.507,
2019-07-25,191.047,
2019-07-26,193.764,
2019-07-27,196.481,
2019-07-28,197.5965,
2019-07-29,198.712,
2019-07-30,209.983,
2019-07-31,220.897,
2019-08-01,190.807,
2019-08-02,182.331,
2019-08-03,196.939,
2019-08-04,192.326,
2019-08-05,199.701,
2019-08-06,197.403,
2019-08-07,195.389,
2019-08-08,186.037,
2019-08-09,200.819,
2019-08-10,193.11,
2019-08-11,189.477,
2019-08-12,190.37,
2019-08-13,187.009,
2019-08-14,185.216,
2019-08-15,188.661,
2019-08-16,188.95,
2019-08-17,184.139,
2019-08-18,183.581,
2019-08-19,178.386,
2019-08-20,176.97,
2019-08-21,167.437,
2019-08-22,172.29633333333334,
2019-08-23,177.15566666666666,
2019-08-24,182.015,
2019-08-25,184.299,
2019-08-26,189.651,
2019-08-27,176.074,
2019-08-28,180.014,
2019-08-29,177.84,
2019-08-30,177.038,
2019-08-31,178.428,
2019-09-01,180.476,
2019-09-02,179.618,
2019-09-03,171.003,
2019-09-04,184.372,
2019-09-05,183.5025,
2019-09-06,182.633,
2019-09-07,185.584,
2019-09-08,185.301,
2019-09-09,185.018,
2019-09-10,194.362,
2019-09-11,190.117,
2019-09-12,185.872,
2019-09-13,177.747,
2019-09-14,186.621,
2019-09-15,186.334,
2019-09-16,181.779,
2019-09-17,203.733,
2019-09-18,188.016,
2019-09-19,202.39,
2019-09-20,202.49966666666663,
2019-09-21,202.60933333333327,
2019-09-22,202.719,
2019-09-23,203.81,
2019-09-24,199.679,
2019-09-25,190.999,
2019-09-26,187.598,
2019-09-27,183.082,
2019-09-28,184.545,
2019-09-29,185.657,
2019-09-30,187.9695,
2019-10-01,190.282,
2019-10-02,183.796,
2019-10-03,172.124,
2019-10-04,187.8,
2019-10-05,188.521,
2019-10-06,176.434,
2019-10-07,185.135,
2019-10-08,175.844,
2019-10-09,178.057,
2019-10-10,179.675,
2019-10-11,183.494,
2019-10-12,186.136,
2019-10-13,182.622,
2019-10-14,174.066,
2019-10-15,170.671,
2019-10-16,190.729,
2019-10-17,182.981,
2019-10-18,167.023,
2019-10-19,177.69,
2019-10-20,172.34,
2019-10-21,176.028,
2019-10-22,192.096,
2019-10-23,160.32,
2019-10-24,159.029,
2019-10-25,170.914,
2019-10-26,168.936,
2019-10-27,168.461,
2019-10-28,157.644,
2019-10-29,158.07999999999998,
2019-10-30,158.516,
2019-10-31,156.115,
2019-11-01,156.728,
2019-11-02,160.92,
2019-11-03,159.59,
2019-11-04,156.839,
2019-11-05,161.462,
2019-11-06,162.342,
2019-11-07,156.203,
2019-11-08,162.264,
2019-11-09,158.835,
2019-11-10,157.175,
2019-11-11,164.512,
2019-11-12,164.414,
2019-11-13,164.316,
2019-11-14,174.176,
2019-11-15,188.02,
2019-11-16,177.778,
2019-11-17,168.99849999999998,
2019-11-18,160.219,
2019-11-19,152.915,
2019-11-20,139.609,
2019-11-21,143.021,
2019-11-22,144.394,
2019-11-23,151.862,
2019-11-24,128.61,
2019-11-25,137.763,
2019-11-26,146.482,
2019-11-27,144.53333333333333,
2019-11-28,142.58466666666666,
2019-11-29,140.636,
2019-11-30,133.951,
2019-12-01,150.0,
2019-12-02,165.666,
2019-12-03,151.352,
2019-12-04,143.576,
2019-12-05,140.906,
2019-12-06,160.67,
2019-12-07,171.234,
2019-12-08,152.491,
2019-12-09,153.251,
2019-12-10,156.222,
2019-12-11,161.11,
2019-12-12,154.789,
2019-12-13,164.929,
2019-12-14,149.016,
2019-12-15,158.792,
2019-12-16,166.013,
2019-12-17,164.31,
2019-12-18,167.69,
2019-12-19,156.293,
2019-12-20,135.308,
2019-12-21,160.211,
2019-12-22,159.294,
2019-12-23,173.004,
2019-12-24,156.225,
2019-12-25,157.95,
2019-12-26,157.161,
2019-12-27,162.21,
2019-12-28,154.286,
2019-12-29,150.388,
2019-12-30,152.951,
2019-12-31,150.761,
2020-01-01,147.944,
2020-01-02,160.072,
2020-01-03,145.282,
2020-01-04,156.739,
2020-01-05,164.902,
2020-01-06,149.016,
2020-01-07,170.27,
2020-01-08,185.963,
2020-01-09,172.567,
2020-01-10,165.176,
2020-01-11,158.698,
2020-01-12,155.744,
2020-01-13,155.028,
2020-01-14,165.598,
2020-01-15,158.886,
2020-01-16,155.176,
2020-01-17,162.245,
2020-01-18,149.677,
2020-01-19,165.183,
2020-01-20,152.18,
2020-01-21,171.093,
2020-01-22,177.061,
2020-01-23,185.096,
2020-01-24,150.781,
2020-01-25,160.634,
2020-01-26,152.426,
2020-01-27,160.879,
2020-01-28,171.941,
2020-01-29,164.115,
2020-01-30,145.844,
2020-01-31,149.577,
2020-02-01,157.296,
2020-02-02,155.587,
2020-02-03,184.009,
2020-02-04,159.104,
2020-02-05,170.151,
2020-02-06,165.914,
2020-02-07,172.415,
2020-02-08,162.14,
2020-02-09,162.884,
2020-02-10,170.223,
2020-02-11,165.801,
2020-02-12,161.379,
2020-02-13,192.745,
2020-02-14,179.611,
2020-02-15,161.195,
2020-02-16,158.577,
2020-02-17,165.55849999999998,
2020-02-18,172.54,
2020-02-19,161.3195,
2020-02-20,150.099,
2020-02-21,163.709,
2020-02-22,159.763,
2020-02-23,170.38,
2020-02-24,156.772,
2020-02-25,151.971,
2020-02-26,152.52,
2020-02-27,150.844,
2020-02-28,140.516,
2020-02-29,150.493,
2020-03-01,148.587,
2020-03-02,154.799,
2020-03-03,158.848,
2020-03-04,154.3,
2020-03-05,180.364,
2020-03-06,170.25,
2020-03-07,152.007,
2020-03-08,163.691,
2020-03-09,159.965,
2020-03-10,158.589,
2020-03-11,155.977,
2020-03-12,156.63,
2020-03-13,155.73,
2020-03-14,151.637,
2020-03-15,152.5655,
2020-03-16,153.494,
2020-03-17,161.594,
2020-03-18,157.02566666666667,
2020-03-19,152.45733333333334,
2020-03-20,147.889,
2020-03-21,144.305,
2020-03-22,146.542,
2020-03-23,141.7125,
2020-03-24,136.883,
2020-03-25,132.043,
2020-03-26,133.533,
2020-03-27,144.91,
2020-03-28,152.448,
2020-03-29,133.996,
2020-03-30,135.829,
2020-03-31,150.507,
2020-04-01,136.27,
2020-04-02,140.112,
2020-04-03,130.467,
2020-04-04,134.107,
2020-04-05,137.496,
2020-04-06,137.797,
2020-04-07,145.411,
2020-04-08,155.52,
2020-04-09,162.63,
2020-04-10,145.055,
2020-04-11,184.53,
2020-04-12,148.261,
2020-04-13,150.216,
2020-04-14,143.343,
2020-04-15,163.155,
2020-04-16,167.289,
2020-04-17,154.726,
2020-04-18,154.696,
2020-04-19,154.666,
2020-04-20,140.7,
2020-04-21,139.226,
2020-04-22,161.582,
2020-04-23,154.713,
2020-04-24,152.826,
2020-04-25,163.149,
2020-04-26,142.195,
2020-04-27,148.995,
2020-04-28,153.42,
2020-04-29,150.398,
2020-04-30,156.859,
2020-05-01,155.146,
2020-05-02,148.777,
2020-05-03,166.441,
2020-05-04,166.669,
2020-05-05,148.937,
2020-05-06,167.951,
2020-05-07,145.715,
2020-05-08,164.002,
2020-05-09,152.079,
2020-05-10,157.479,
2020-05-11,163.216,
2020-05-12,152.86,
2020-05-13,160.153,
2020-05-14,162.958,
2020-05-15,164.673,
2020-05-16,159.776,
2020-05-17,158.339,
2020-05-18,163.108,
2020-05-19,151.88,
2020-05-20,157.891,
2020-05-21,151.636,
2020-05-22,155.199,
2020-05-23,160.512,
2020-05-24,160.42,
2020-05-25,169.712,
2020-05-26,142.926,
2020-05-27,144.69,
2020-05-28,148.553,
2020-05-29,150.849,
2020-05-30,145.74,
2020-05-31,146.449,
2020-06-01,146.731,
2020-06-02,141.759,
2020-06-03,153.133,
2020-06-04,148.914,
2020-06-05,155.859,
2020-06-06,147.837,
2020-06-07,149.987,
2020-06-08,152.611,
2020-06-09,149.243,
2020-06-10,145.875,
2020-06-11,153.119,
2020-06-12,145.87,
2020-06-13,143.116,
2020-06-14,147.252,
2020-06-15,142.284,
2020-06-16,140.725,
2020-06-17,143.353,
2020-06-18,140.745,
2020-06-19,143.195,
2020-06-20,142.912,
2020-06-21,142.885,
2020-06-22,147.496,
2020-06-23,141.034,
2020-06-24,141.77749999999995,
2020-06-25,142.521,
2020-06-26,141.363,
2020-06-27,142.603,
2020-06-28,144.013,
2020-06-29,147.87,
2020-06-30,145.525,
2020-07-01,141.384,
2020-07-02,142.683,
2020-07-03,143.406,
2020-07-04,148.534,
2020-07-05,152.562,
2020-07-06,155.708,
2020-07-07,161.23,
2020-07-08,146.222,
2020-07-09,158.747,
2020-07-10,169.94,
2020-07-11,162.657,
2020-07-12,156.148,
2020-07-13,164.119,
2020-07-14,155.456,
2020-07-15,149.851,
2020-07-16,154.412,
2020-07-17,156.467,
2020-07-18,157.932,
2020-07-19,162.978,
2020-07-20,163.49,
2020-07-21,159.927,
2020-07-22,171.435,
2020-07-23,159.36,
2020-07-24,157.411,
