date,price,forecast_price
2014-02-21,24.714,
2014-02-22,22.946,
2014-02-23,21.965,
2014-02-24,25.918,
2014-02-25,26.908,
2014-02-26,27.91,
2014-02-27,29.079,
2014-02-28,29.455,
2014-03-01,23.606,
2014-03-02,19.059,
2014-03-03,17.997,
2014-03-04,19.313,
2014-03-05,19.889,
2014-03-06,22.642,
2014-03-07,21.238,
2014-03-08,20.061,
2014-03-09,19.577,
2014-03-10,20.534,
2014-03-11,20.586,
2014-03-12,20.822,
2014-03-13,21.004,
2014-03-14,23.376,
2014-03-15,21.193,
2014-03-16,20.002,
2014-03-17,18.793,
2014-03-18,19.631,
2014-03-19,18.969,
2014-03-20,18.893,
2014-03-21,18.986,
2014-03-22,18.467,
2014-03-23,17.445,
2014-03-24,18.428,
2014-03-25,18.443,
2014-03-26,19.092,
2014-03-27,17.597,
2014-03-28,17.21,
2014-03-29,17.778,
2014-03-30,17.993,
2014-03-31,18.859,
2014-04-01,20.455,
2014-04-02,19.274,
2014-04-03,17.543,
2014-04-04,18.065,
2014-04-05,18.728,
2014-04-06,18.897,
2014-04-07,17.564,
2014-04-08,17.757,
2014-04-09,17.294,
2014-04-10,17.626,
2014-04-11,16.972,
2014-04-12,16.95,
2014-04-13,16.684,
2014-04-14,17.195,
2014-04-15,17.4,
2014-04-16,17.042,
2014-04-17,16.943,
2014-04-18,16.259,
2014-04-19,16.709,
2014-04-20,15.878,
2014-04-21,16.1,
2014-04-22,16.715,
2014-04-23,15.998,
2014-04-24,16.205,
2014-04-25,16.579,
2014-04-26,16.429,
2014-04-27,17.095,
2014-04-28,16.873,
2014-04-29,17.472,
2014-04-30,17.436,
2014-05-01,17.981,
2014-05-02,15.407,
2014-05-03,14.9,
2014-05-04,14.203,
2014-05-05,13.084,
2014-05-06,13.267,
2014-05-07,14.81,
2014-05-08,15.25,
2014-05-09,12.401,
2014-05-10,10.1,
2014-05-11,8.712,
2014-05-12,8.377,
2014-05-13,8.899,
2014-05-14,8.957,
2014-05-15,8.469,
2014-05-16,8.016,
2014-05-17,8.025,
2014-05-18,8.126,
2014-05-19,8.24,
2014-05-20,8.43,
2014-05-21,8.336,
2014-05-22,7.683,
2014-05-23,7.446,
2014-05-24,7.415,
2014-05-25,7.367,
2014-05-26,7.282,
2014-05-27,7.373,
2014-05-28,7.71,
2014-05-29,7.141,
2014-05-30,7.867,
2014-05-31,7.377,
2014-06-01,7.198,
2014-06-02,6.66,
2014-06-03,7.146,
2014-06-04,7.176,
2014-06-05,6.477,
2014-06-06,6.425,
2014-06-07,6.527,
2014-06-08,6.148,
2014-06-09,6.473,
2014-06-10,6.232,
2014-06-11,6.289,
2014-06-12,6.09,
2014-06-13,6.514,
2014-06-14,6.75,
2014-06-15,6.6,
2014-06-16,6.704,
2014-06-17,5.891,
2014-06-18,5.979,
2014-06-19,5.877,
2014-06-20,4.738,
2014-06-21,4.952,
2014-06-22,5.309,
2014-06-23,4.637,
2014-06-24,4.315,
2014-06-25,4.832,
2014-06-26,5.205,
2014-06-27,5.015,
2014-06-28,5.203,
2014-06-29,5.173,
2014-06-30,4.991,
2014-07-01,5.491,
2014-07-02,4.159,
2014-07-03,4.8,
2014-07-04,5.112,
2014-07-05,5.507,
2014-07-06,5.406,
2014-07-07,5.493,
2014-07-08,5.553,
2014-07-09,5.497,
2014-07-10,5.263,
2014-07-11,5.156,
2014-07-12,5.251,
2014-07-13,5.767,
2014-07-14,5.566,
2014-07-15,5.983,
2014-07-16,5.875,
2014-07-17,5.456,
2014-07-18,5.541,
2014-07-19,5.678,
2014-07-20,5.214,
2014-07-21,5.355,
2014-07-22,5.549,
2014-07-23,5.563,
2014-07-24,5.455,
2014-07-25,5.75,
2014-07-26,5.731,
2014-07-27,5.981,
2014-07-28,5.786,
2014-07-29,5.714,
2014-07-30,6.001,
2014-07-31,6.043,
2014-08-01,5.938,
2014-08-02,6.561,
2014-08-03,6.433,
2014-08-04,6.042,
2014-08-05,5.923,
2014-08-06,6.167,
2014-08-07,6.294,
2014-08-08,6.242,
2014-08-09,6.279,
2014-08-10,6.071,
2014-08-11,6.103,
2014-08-12,6.338,
2014-08-13,6.446,
2014-08-14,7.023,
2014-08-15,6.996,
2014-08-16,6.843,
2014-08-17,5.779,
2014-08-18,5.885,
2014-08-19,6.272,
2014-08-20,6.232,
2014-08-21,6.256,
2014-08-22,5.904,
2014-08-23,6.064,
2014-08-24,5.927,
2014-08-25,6.19,
2014-08-26,6.311,
2014-08-27,6.12,
2014-08-28,6.169,
2014-08-29,6.542,
2014-08-30,6.381,
2014-08-31,6.505,
2014-09-01,6.799,
2014-09-02,6.532,
2014-09-03,6.917,
2014-09-04,6.929,
2014-09-05,6.439,
2014-09-06,6.551,
2014-09-07,6.383,
2014-09-08,6.913,
2014-09-09,6.47,
2014-09-10,6.583,
2014-09-11,6.831,
2014-09-12,5.859,
2014-09-13,5.759,
2014-09-14,6.066,
2014-09-15,5.886,
2014-09-16,6.031,
2014-09-17,6.177,
2014-09-18,6.052,
2014-09-19,5.946,
2014-09-20,5.779,
2014-09-21,5.927,
2014-09-22,5.782,
2014-09-23,5.897,
2014-09-24,5.745,
2014-09-25,5.889,
2014-09-26,5.611,
2014-09-27,5.388,
2014-09-28,5.814,
2014-09-29,5.495,
2014-09-30,5.363,
2014-10-01,5.472,
2014-10-02,5.648,
2014-10-03,5.564,
2014-10-04,5.561,
2014-10-05,5.58,
2014-10-06,5.609,
2014-10-07,5.811,
2014-10-08,5.913,
2014-10-09,5.686,
2014-10-10,5.473,
2014-10-11,5.502,
2014-10-12,5.512,
2014-10-13,5.412,
2014-10-14,5.494,
2014-10-15,5.422,
2014-10-16,5.527,
2014-10-17,5.184,
2014-10-18,5.142,
2014-10-19,4.972,
2014-10-20,4.913,
2014-10-21,5.002,
2014-10-22,5.169,
2014-10-23,5.365,
2014-10-24,5.516,
2014-10-25,5.623,
2014-10-26,4.721,
2014-10-27,4.824,
2014-10-28,5.047,
2014-10-29,4.904,
2014-10-30,5.719,
2014-10-31,4.799,
2014-11-01,4.801,
2014-11-02,4.699,
2014-11-03,4.708,
2014-11-04,4.931,
2014-11-05,4.731,
2014-11-06,4.853,
2014-11-07,4.934,
2014-11-08,4.921,
2014-11-09,4.75,
2014-11-10,4.711,
2014-11-11,4.885,
2014-11-12,3.751,
2014-11-13,3.794,
2014-11-14,3.856,
2014-11-15,3.934,
2014-11-16,3.82,
2014-11-17,3.758,
2014-11-18,3.822,
2014-11-19,3.84,
2014-11-20,3.825,
2014-11-21,3.87,
2014-11-22,3.781,
2014-11-23,3.732,
2014-11-24,3.684,
2014-11-25,4.238,
2014-11-26,4.246,
2014-11-27,4.474,
2014-11-28,4.598,
2014-11-29,7.784,
2014-11-30,3.832,
2014-12-01,3.603,
2014-12-02,3.87,
2014-12-03,4.295,
2014-12-04,4.386,
2014-12-05,4.523,
2014-12-06,4.945,
2014-12-07,4.695,
2014-12-08,4.44,
2014-12-09,4.523,
2014-12-10,4.355,
2014-12-11,4.735,
2014-12-12,4.417,
2014-12-13,4.55,
2014-12-14,4.551,
2014-12-15,4.641,
2014-12-16,4.466,
2014-12-17,4.388,
2014-12-18,4.17,
2014-12-19,4.282,
2014-12-20,4.231,
2014-12-21,4.234,
2014-12-22,4.137,
2014-12-23,4.15,
2014-12-24,4.063,
2014-12-25,4.715,
2014-12-26,4.688,
2014-12-27,4.665,
2014-12-28,4.791,
2014-12-29,4.655,
2014-12-30,4.68,
2014-12-31,4.849,
2015-01-01,4.617,
2015-01-02,4.663,
2015-01-03,4.736,
2015-01-04,5.092,
2015-01-05,4.864,
2015-01-06,4.868,
2015-01-07,5.082,
2015-01-08,5.096,
2015-01-09,5.167,
2015-01-10,5.398,
2015-01-11,5.274,
2015-01-12,5.179,
2015-01-13,5.143,
2015-01-14,5.235,
2015-01-15,5.232,
2015-01-16,4.967,
2015-01-17,4.789,
2015-01-18,4.908,
2015-01-19,4.843,
2015-01-20,4.914,
2015-01-21,4.861,
2015-01-22,4.686,
2015-01-23,4.961,
2015-01-24,5.079,
2015-01-25,4.754,
2015-01-26,4.428,
2015-01-27,4.5,
2015-01-28,4.621,
2015-01-29,4.341,
2015-01-30,4.492,
2015-01-31,4.666,
2015-02-01,4.502,
2015-02-02,4.341,
2015-02-03,4.563,
2015-02-04,4.614,
2015-02-05,4.584,
2015-02-06,4.535,
2015-02-07,4.702,
2015-02-08,4.303,
2015-02-09,4.492,
2015-02-10,4.583,
2015-02-11,4.462,
2015-02-12,4.387,
2015-02-13,4.342,
2015-02-14,4.526,
2015-02-15,4.362,
2015-02-16,4.287,
2015-02-17,4.433,
2015-02-18,4.384,
2015-02-19,4.39,
2015-02-20,4.317,
2015-02-21,4.39,
2015-02-22,4.389,
2015-02-23,4.356,
2015-02-24,4.444,
2015-02-25,4.306,
2015-02-26,4.461,
2015-02-27,4.314,
2015-02-28,4.366,
2015-03-01,4.41,
2015-03-02,4.434,
2015-03-03,4.56,
2015-03-04,4.489,
2015-03-05,4.376,
2015-03-06,4.465,
2015-03-07,4.355,
2015-03-08,4.301,
2015-03-09,4.13,
2015-03-10,4.048,
2015-03-11,4.157,
2015-03-12,4.341,
2015-03-13,4.075,
2015-03-14,3.981,
2015-03-15,3.813,
2015-03-16,3.724,
2015-03-17,3.998,
2015-03-18,4.149,
2015-03-19,4.116,
2015-03-20,4.113,
2015-03-21,4.109,
2015-03-22,4.152,
2015-03-23,4.103,
2015-03-24,4.156,
2015-03-25,4.211,
2015-03-26,4.14,
2015-03-27,4.236,
2015-03-28,4.196,
2015-03-29,4.069,
2015-03-30,4.148,
2015-03-31,4.127,
2015-04-01,4.241,
2015-04-02,4.43,
2015-04-03,4.271,
2015-04-04,4.217,
2015-04-05,4.286,
2015-04-06,4.238,
2015-04-07,4.329,
2015-04-08,4.436,
2015-04-09,4.338,
2015-04-10,4.463,
2015-04-11,4.267,
2015-04-12,4.135,
2015-04-13,4.043,
2015-04-14,3.922,
2015-04-15,3.895,
2015-04-16,3.551,
2015-04-17,3.557,
2015-04-18,3.475,
2015-04-19,3.345,
2015-04-20,3.148,
2015-04-21,3.051,
2015-04-22,3.097,
2015-04-23,3.132,
2015-04-24,3.145,
2015-04-25,3.17,
2015-04-26,3.057,
2015-04-27,3.087,
2015-04-28,3.154,
2015-04-29,3.246,
2015-04-30,3.176,
2015-05-01,3.31,
2015-05-02,3.222,
2015-05-03,3.14,
2015-05-04,3.107,
2015-05-05,3.151,
2015-05-06,3.164,
2015-05-07,3.234,
2015-05-08,3.163,
2015-05-09,3.178,
2015-05-10,3.188,
2015-05-11,3.141,
2015-05-12,3.26,
2015-05-13,3.214,
2015-05-14,3.317,
2015-05-15,3.319,
2015-05-16,3.312,
2015-05-17,3.297,
2015-05-18,3.26,
2015-05-19,3.402,
2015-05-20,3.361,
2015-05-21,3.338,
2015-05-22,3.373,
2015-05-23,3.306,
2015-05-24,3.235,
2015-05-25,3.252,
2015-05-26,3.282,
2015-05-27,2.544,
2015-05-28,2.898,
2015-05-29,3.087,
2015-05-30,3.188,
2015-05-31,3.122,
2015-06-01,3.251,
2015-06-02,3.293,
2015-06-03,3.187,
2015-06-04,2.992,
2015-06-05,2.896,
2015-06-06,2.863,
2015-06-07,2.869,
2015-06-08,2.963,
2015-06-09,3.032,
2015-06-10,2.988,
2015-06-11,2.842,
2015-06-12,2.817,
2015-06-13,2.71,
2015-06-14,2.665,
2015-06-15,2.58,
2015-06-16,2.699,
2015-06-17,2.669,
2015-06-18,2.687,
2015-06-19,2.682,
2015-06-20,2.641,
2015-06-21,2.579,
2015-06-22,2.622,
2015-06-23,2.677,
2015-06-24,2.857,
2015-06-25,3.302,
2015-06-26,3.15,
2015-06-27,2.95,
2015-06-28,2.982,
2015-06-29,2.897,
2015-06-30,2.938,
2015-07-01,2.963,
2015-07-02,2.944,
2015-07-03,3.043,
2015-07-04,3.008,
2015-07-05,2.932,
2015-07-06,2.88,
2015-07-07,2.919,
2015-07-08,2.928,
2015-07-09,2.91,
2015-07-10,2.927,
2015-07-11,2.934,
2015-07-12,2.849,
2015-07-13,2.837,
2015-07-14,2.824,
2015-07-15,2.831,
2015-07-16,2.949,
2015-07-17,2.896,
2015-07-18,2.802,
2015-07-19,2.728,
2015-07-20,2.78,
2015-07-21,2.748,
2015-07-22,2.838,
2015-07-23,2.739,
2015-07-24,2.808,
2015-07-25,2.785,
2015-07-26,2.831,
2015-07-27,2.815,
2015-07-28,2.858,
2015-07-29,2.76,
2015-07-30,2.835,
2015-07-31,2.781,
2015-08-01,2.741,
2015-08-02,2.742,
2015-08-03,2.728,
2015-08-04,2.727,
2015-08-05,2.698,
2015-08-06,2.685,
2015-08-07,2.663,
2015-08-08,2.661,
2015-08-09,2.691,
2015-08-10,2.708,
2015-08-11,2.812,
2015-08-12,2.744,
2015-08-13,2.761,
2015-08-14,2.686,
2015-08-15,2.425,
2015-08-16,2.366,
2015-08-17,2.428,
2015-08-18,2.47,
2015-08-19,2.435,
2015-08-20,2.477,
2015-08-21,2.495,
2015-08-22,2.539,
2015-08-23,2.428,
2015-08-24,2.41,
2015-08-25,2.654,
2015-08-26,2.748,
2015-08-27,2.898,
2015-08-28,2.882,
2015-08-29,2.779,
2015-08-30,2.826,
2015-08-31,2.862,
2015-09-01,3.031,
2015-09-02,3.079,
2015-09-03,3.038,
2015-09-04,2.969,
2015-09-05,2.886,
2015-09-06,3.024,
2015-09-07,2.907,
2015-09-08,2.945,
2015-09-09,3.134,
2015-09-10,3.129,
2015-09-11,3.053,
2015-09-12,3.03,
2015-09-13,2.978,
2015-09-14,2.988,
2015-09-15,3.104,
2015-09-16,3.042,
2015-09-17,3.128,
2015-09-18,3.115,
2015-09-19,3.512,
2015-09-20,3.411,
2015-09-21,3.28,
2015-09-22,3.312,
2015-09-23,3.178,
2015-09-24,3.188,
2015-09-25,3.149,
2015-09-26,3.219,
2015-09-27,3.136,
2015-09-28,3.069,
2015-09-29,3.092,
2015-09-30,3.003,
2015-10-01,3.128,
2015-10-02,3.097,
2015-10-03,3.063,
2015-10-04,3.016,
2015-10-05,2.995,
2015-10-06,3.09,
2015-10-07,3.124,
2015-10-08,3.024,
2015-10-09,3.005,
2015-10-10,3.021,
2015-10-11,3.021,
2015-10-12,2.983,
2015-10-13,2.973,
2015-10-14,2.895,
2015-10-15,2.842,
2015-10-16,2.826,
2015-10-17,2.843,
2015-10-18,2.699,
2015-10-19,2.701,
2015-10-20,2.718,
2015-10-21,2.624,
2015-10-22,2.541,
2015-10-23,2.558,
2015-10-24,2.562,
2015-10-25,2.543,
2015-10-26,2.511,
2015-10-27,2.537,
2015-10-28,2.553,
2015-10-29,2.485,
2015-10-30,2.485,
2015-10-31,2.513,
2015-11-01,2.454,
2015-11-02,2.429,
2015-11-03,2.558,
2015-11-04,2.577,
2015-11-05,2.734,
2015-11-06,2.763,
2015-11-07,2.813,
2015-11-08,2.773,
2015-11-09,2.704,
2015-11-10,2.639,
2015-11-11,2.639,
2015-11-12,2.627,
2015-11-13,2.653,
2015-11-14,2.669,
2015-11-15,2.76,
2015-11-16,2.708,
2015-11-17,2.706,
2015-11-18,2.711,
