date,avg_players,peak_players
2012-07-01,1642.0,2723.629735789634
2012-08-01,52261.0,86686.73180395985
2012-09-01,36057.0,59808.719478298925
2012-10-01,20850.0,34584.457972724646
2012-11-01,50533.0,83820.45154607648
2012-12-01,27553.0,45702.905061030324
2013-01-01,31359.0,52016.02002717852
2013-02-01,35238.0,58450.22206440629
2013-03-01,32166.0,53354.61271705808
2013-04-01,31966.0,53022.8673168401
2013-05-01,53379.0,88541.18859117836
2013-06-01,33700.0,55899.09993673
2013-07-01,42149.0,69913.68436893866
2013-08-01,50511.0,83783.9595520525
2013-09-01,52052.0,86340.05786073205
2013-10-01,53263.0,88348.77625905194
2013-11-01,92279.0,153065.66893357591
2013-12-01,96298.0,159732.09275095625
2014-01-01,102084.0,169329.48717926248
2014-02-01,119764.0,198655.7805585321
2014-03-01,164495.0,272852.2980442849
2014-04-01,142526.0,236411.72455734067
2014-05-01,170137.0,282210.8357844342
2014-06-01,164134.0,272253.4975968915
2014-07-01,193613.0,321151.110862021
2014-08-01,277192.0,459785.85488611466
2014-09-01,242494.0,402231.3454022969
2014-10-01,260613.0,432285.81993504503
2014-11-01,348018.0,577266.8534653087
2014-12-01,367634.0,609804.4423186884
2015-01-01,443188.0,735127.9021590356
2015-02-01,455508.0,755563.4188124632
2015-03-01,595439.0,987670.7468019755
2015-04-01,568556.0,943079.1888316754
2015-05-01,677701.0,1124120.947365634
2015-06-01,610401.0,1012488.6201922828
2015-07-01,541181.0,897671.5371768392
2015-08-01,819902.0,1359993.5856476203
2015-09-01,725939.0,1204134.620444209
2015-10-01,732093.0,1214342.4264089162
2015-11-01,786707.0,1304932.1428464407
2015-12-01,823694.0,1366283.4784357531
2016-01-01,667432.0,1107087.4797914415
2016-02-01,738969.0,1225747.8332684105
2016-03-01,737599.0,1223475.3772769175
2016-04-01,850485.0,1410722.433521953
2016-05-01,668612.0,1109044.7776527277
2016-06-01,579110.0,960585.3936011784
2016-07-01,636056.0,1055043.2614052445
2016-08-01,599095.0,993735.0527179603
2016-09-01,638360.0,1058864.9684157555
2016-10-01,661985.0,1098052.3938165049
2016-11-01,627124.0,1040227.5118315094
2016-12-01,662460.0,1098840.2891420226
2017-01-01,814616.0,1351225.554719859
2017-02-01,744468.0,1234869.173047404
2017-03-01,742356.0,1231365.9416211022
2017-04-01,709841.0,1177432.4331806635
2017-05-01,692966.0,1149441.4150372713
2017-06-01,614621.0,1019488.4481368823
2017-07-01,624785.0,1036347.7493759601
2017-08-01,595781.0,988238.0314363483
2017-09-01,665371.0,1103668.8434421953
2017-10-01,639968.0,1061532.2014335082
2017-11-01,601881.0,998356.2661429968
2017-12-01,598405.0,992590.5310872083
2018-01-01,715850.0,1187399.7237302128
2018-02-01,686588.0,1138862.05422432
2018-03-01,672502.0,1115497.2256869674
2018-04-01,523262.0,867948.808044309
2018-05-01,454481.0,753859.9061823438
2018-06-01,420261.0,697098.2682050471
2018-07-01,426008.0,706630.9722803108
2018-08-01,454370.0,753675.7874852229
2018-09-01,583029.0,967085.9447184498
2018-10-01,565968.0,938786.4033528548
2018-11-01,546031.0,905716.3631321252
