date,price,volume
2021-01-28 01:00:00,1.025,156046
2021-01-29 01:00:00,1.011,75561
2021-01-30 01:00:00,1.009,42560
2021-01-31 01:00:00,1.009,34529
2021-02-01 01:00:00,1.008,26150
2021-02-02 01:00:00,1.004,26000
2021-02-03 01:00:00,1.072,7545
2021-02-04 01:00:00,1.054,5784
2021-02-05 01:00:00,1.073,5944
2021-02-06 01:00:00,1.077,3163
2021-02-07 01:00:00,1.083,4149
2021-02-08 01:00:00,1.077,2664
2021-02-09 01:00:00,1.08,3659
2021-02-10 01:00:00,1.081,3326
2021-02-11 01:00:00,1.081,3074
2021-02-12 01:00:00,1.093,4415
2021-02-13 01:00:00,1.078,3317
2021-02-14 01:00:00,1.074,1773
2021-02-15 01:00:00,1.065,3289
2021-02-16 01:00:00,1.066,2979
2021-02-17 01:00:00,1.066,2073
2021-02-18 01:00:00,1.06,2177
2021-02-19 01:00:00,1.066,2144
2021-02-20 01:00:00,1.067,3271
2021-02-21 01:00:00,1.067,3222
2021-02-22 01:00:00,1.07,3119
2021-02-23 01:00:00,1.072,3040
2021-02-24 01:00:00,1.076,2656
2021-02-25 01:00:00,1.071,3490
2021-02-26 01:00:00,1.067,4205
2021-02-27 01:00:00,1.07,3502
2021-02-28 01:00:00,1.074,4701
2021-03-01 01:00:00,1.085,4675
2021-03-02 01:00:00,1.076,4074
2021-03-03 01:00:00,1.064,2689
2021-03-04 01:00:00,1.052,3029
2021-03-05 01:00:00,1.047,2475
2021-03-06 01:00:00,1.036,3076
2021-03-07 01:00:00,1.038,2523
2021-03-08 01:00:00,1.043,2326
2021-03-09 01:00:00,1.032,1897
2021-03-10 01:00:00,1.039,2188
2021-03-11 01:00:00,1.04,2100
2021-03-12 01:00:00,1.039,2668
2021-03-13 01:00:00,1.041,2591
2021-03-14 01:00:00,1.045,2032
2021-03-15 01:00:00,1.045,1964
2021-03-16 01:00:00,1.049,1942
2021-03-17 01:00:00,1.05,2125
2021-03-18 01:00:00,1.047,2754
2021-03-19 01:00:00,1.046,2929
2021-03-20 01:00:00,1.049,2286
2021-03-21 01:00:00,1.053,2342
2021-03-22 01:00:00,1.052,1949
2021-03-23 01:00:00,1.022,2192
2021-03-24 01:00:00,1.009,3104
2021-03-25 01:00:00,1.008,3388
2021-03-26 01:00:00,1.016,3761
2021-03-27 01:00:00,1.006,3008
2021-03-28 01:00:00,0.996,2718
2021-03-29 01:00:00,0.996,2800
2021-03-30 01:00:00,0.988,3340
2021-03-31 01:00:00,0.978,4189
2021-04-01 01:00:00,0.984,3767
2021-04-02 01:00:00,0.996,2921
2021-04-03 01:00:00,0.997,3104
2021-04-04 01:00:00,0.997,1703
2021-04-05 01:00:00,0.996,2722
2021-04-06 01:00:00,0.993,3290
2021-04-07 01:00:00,0.3,390027
2021-04-08 01:00:00,0.28,238842
2021-04-09 01:00:00,0.271,261711
2021-04-10 01:00:00,0.261,218750
2021-04-11 01:00:00,0.257,122713
2021-04-12 01:00:00,0.259,135038
2021-04-13 01:00:00,0.254,210199
2021-04-14 01:00:00,0.264,64676
2021-04-15 01:00:00,0.265,122107
2021-04-16 01:00:00,0.253,134591
2021-04-17 01:00:00,0.278,39247
2021-04-18 01:00:00,0.283,23323
2021-04-19 01:00:00,0.274,24761
2021-04-20 01:00:00,0.278,23719
2021-04-21 01:00:00,0.281,17561
2021-04-22 01:00:00,0.277,17084
2021-04-23 01:00:00,0.282,15506
2021-04-24 01:00:00,0.282,14429
2021-04-25 01:00:00,0.277,13378
2021-04-26 01:00:00,0.276,15042
2021-04-27 01:00:00,0.267,18354
2021-04-28 01:00:00,0.268,16201
2021-04-29 01:00:00,0.268,13890
2021-04-30 01:00:00,0.269,17596
2021-05-01 01:00:00,0.276,15336
2021-05-02 01:00:00,0.273,13330
2021-05-03 01:00:00,0.27,14732
2021-05-04 01:00:00,0.263,18409
2021-05-05 01:00:00,0.261,21810
2021-05-06 01:00:00,0.259,15784
2021-05-07 01:00:00,0.255,23819
2021-05-08 01:00:00,0.256,17919
2021-05-09 01:00:00,0.255,16526
2021-05-10 01:00:00,0.254,20679
2021-05-11 01:00:00,0.256,13863
2021-05-12 01:00:00,0.257,12793
2021-05-13 01:00:00,0.257,13033
2021-05-14 01:00:00,0.259,14002
2021-05-15 01:00:00,0.258,14750
2021-05-16 01:00:00,0.256,13149
2021-05-17 01:00:00,0.255,11200
2021-05-18 01:00:00,0.257,11560
2021-05-19 01:00:00,0.257,9448
2021-05-20 01:00:00,0.258,10623
2021-05-21 01:00:00,0.342,129224
2021-05-22 01:00:00,0.346,36947
2021-05-23 01:00:00,0.341,27775
2021-05-24 01:00:00,0.327,22338
2021-05-25 01:00:00,0.31,25415
2021-05-26 01:00:00,0.323,23287
2021-05-27 01:00:00,0.332,19135
2021-05-28 01:00:00,0.336,20611
2021-05-29 01:00:00,0.342,22368
2021-05-30 01:00:00,0.338,22366
2021-05-31 01:00:00,0.339,21510
