date,price,volume
2015-01-09 01:00:00,33.676,167
2015-01-10 01:00:00,24.35,239
2015-01-11 01:00:00,18.565,238
2015-01-12 01:00:00,17.2,215
2015-01-13 01:00:00,16.719,211
2015-01-14 01:00:00,15.047,224
2015-01-15 01:00:00,14.888,235
2015-01-16 01:00:00,14.281,240
2015-01-17 01:00:00,12.73,290
2015-01-18 01:00:00,11.229,342
2015-01-19 01:00:00,11.157,314
2015-01-20 01:00:00,10.656,292
2015-01-21 01:00:00,10.534,276
2015-01-22 01:00:00,10.208,319
2015-01-23 01:00:00,10.559,333
2015-01-24 01:00:00,10.686,354
2015-01-25 01:00:00,9.487,372
2015-01-26 01:00:00,8.826,357
2015-01-27 01:00:00,8.594,347
2015-01-28 01:00:00,8.741,326
2015-01-29 01:00:00,8.672,331
2015-01-30 01:00:00,8.319,410
2015-01-31 01:00:00,8.562,422
2015-02-01 01:00:00,8.09,469
2015-02-02 01:00:00,7.699,410
2015-02-03 01:00:00,7.635,418
2015-02-04 01:00:00,7.578,434
2015-02-05 01:00:00,7.536,417
2015-02-06 01:00:00,7.46,452
2015-02-07 01:00:00,7.338,571
2015-02-08 01:00:00,6.91,504
2015-02-09 01:00:00,6.839,476
2015-02-10 01:00:00,6.77,462
2015-02-11 01:00:00,6.687,458
2015-02-12 01:00:00,6.311,526
2015-02-13 01:00:00,6.264,598
2015-02-14 01:00:00,6.465,684
2015-02-15 01:00:00,6.3,669
2015-02-16 01:00:00,6.058,610
2015-02-17 01:00:00,6.091,576
2015-02-18 01:00:00,5.993,575
2015-02-19 01:00:00,6.266,582
2015-02-20 01:00:00,6.425,607
2015-02-21 01:00:00,6.505,566
2015-02-22 01:00:00,6.367,620
2015-02-23 01:00:00,6.315,561
2015-02-24 01:00:00,6.353,553
2015-02-25 01:00:00,6.19,565
2015-02-26 01:00:00,6.292,548
2015-02-27 01:00:00,5.913,737
2015-02-28 01:00:00,5.975,752
2015-03-01 01:00:00,5.974,680
2015-03-02 01:00:00,5.885,631
2015-03-03 01:00:00,5.922,605
2015-03-04 01:00:00,5.819,610
2015-03-05 01:00:00,5.692,634
2015-03-06 01:00:00,5.647,712
2015-03-07 01:00:00,5.559,787
2015-03-08 01:00:00,5.354,773
2015-03-09 01:00:00,5.472,645
2015-03-10 01:00:00,5.443,615
2015-03-11 01:00:00,5.282,541
2015-03-12 01:00:00,5.158,682
2015-03-13 01:00:00,5.318,795
2015-03-14 01:00:00,5.219,1077
2015-03-15 01:00:00,5.053,875
2015-03-16 01:00:00,4.891,764
2015-03-17 01:00:00,5.205,656
2015-03-18 01:00:00,5.287,662
2015-03-19 01:00:00,5.352,638
2015-03-20 01:00:00,5.243,782
2015-03-21 01:00:00,5.242,917
2015-03-22 01:00:00,5.165,792
2015-03-23 01:00:00,5.196,767
2015-03-24 01:00:00,5.143,737
2015-03-25 01:00:00,5.222,769
2015-03-26 01:00:00,5.251,718
2015-03-27 01:00:00,5.141,878
2015-03-28 01:00:00,5.093,1019
2015-03-29 01:00:00,5.048,919
2015-03-30 01:00:00,4.913,868
2015-03-31 01:00:00,4.88,852
2015-04-01 01:00:00,4.884,1127
2015-04-02 01:00:00,5.086,987
2015-04-03 01:00:00,5.167,1075
2015-04-04 01:00:00,5.101,1056
2015-04-05 01:00:00,5.033,1079
2015-04-06 01:00:00,5.107,1032
2015-04-07 01:00:00,5.291,1084
2015-04-08 01:00:00,5.221,1037
2015-04-09 01:00:00,5.224,930
2015-04-10 01:00:00,5.242,940
2015-04-11 01:00:00,5.069,1185
2015-04-12 01:00:00,5.014,1020
2015-04-13 01:00:00,4.773,963
2015-04-14 01:00:00,4.59,887
2015-04-15 01:00:00,4.529,838
2015-04-16 01:00:00,4.054,1953
2015-04-17 01:00:00,4.024,1656
2015-04-18 01:00:00,3.873,1681
2015-04-19 01:00:00,3.683,1238
2015-04-20 01:00:00,3.465,1376
2015-04-21 01:00:00,3.477,1225
2015-04-22 01:00:00,3.45,1169
2015-04-23 01:00:00,3.422,1173
2015-04-24 01:00:00,3.355,1447
2015-04-25 01:00:00,3.299,1607
2015-04-26 01:00:00,3.21,1408
2015-04-27 01:00:00,3.12,1293
2015-04-28 01:00:00,3.185,1174
2015-04-29 01:00:00,3.2,1195
2015-04-30 01:00:00,3.243,1309
2015-05-01 01:00:00,3.216,1335
2015-05-02 01:00:00,3.059,1548
2015-05-03 01:00:00,3.014,1410
2015-05-04 01:00:00,2.875,1415
2015-05-05 01:00:00,2.886,1253
2015-05-06 01:00:00,2.92,1210
2015-05-07 01:00:00,2.874,1180
2015-05-08 01:00:00,2.827,1547
2015-05-09 01:00:00,2.847,1552
2015-05-10 01:00:00,2.757,1412
2015-05-11 01:00:00,2.705,1266
2015-05-12 01:00:00,2.774,1202
2015-05-13 01:00:00,2.802,1172
2015-05-14 01:00:00,2.818,1168
2015-05-15 01:00:00,2.761,1277
2015-05-16 01:00:00,2.761,1505
2015-05-17 01:00:00,2.684,1421
2015-05-18 01:00:00,2.715,1164
2015-05-19 01:00:00,2.703,1132
2015-05-20 01:00:00,2.704,1118
2015-05-21 01:00:00,2.682,1087
2015-05-22 01:00:00,2.699,1330
2015-05-23 01:00:00,2.687,1481
2015-05-24 01:00:00,2.582,1410
2015-05-25 01:00:00,2.567,1239
2015-05-26 01:00:00,2.574,1236
2015-05-27 01:00:00,1.886,2955
2015-05-28 01:00:00,2.275,1955
2015-05-29 01:00:00,2.409,1863
2015-05-30 01:00:00,2.582,1778
2015-05-31 01:00:00,2.552,1654
2015-06-01 01:00:00,2.564,1520
2015-06-02 01:00:00,2.596,1473
