date,price,volume
2014-05-02 01:00:00,28.014,6
2014-05-03 01:00:00,16.2,19
2014-05-04 01:00:00,15.435,15
2014-05-05 01:00:00,14.5,21
2014-05-06 01:00:00,14.057,20
2014-05-07 01:00:00,13.03,22
2014-05-08 01:00:00,13.121,31
2014-05-09 01:00:00,11.801,24
2014-05-10 01:00:00,10.882,34
2014-05-11 01:00:00,9.781,22
2014-05-12 01:00:00,8.504,22
2014-05-13 01:00:00,8.021,44
2014-05-14 01:00:00,8.586,25
2014-05-15 01:00:00,8.456,31
2014-05-16 01:00:00,8.586,41
2014-05-17 01:00:00,8.739,25
2014-05-18 01:00:00,8.13,31
2014-05-19 01:00:00,7.897,33
2014-05-20 01:00:00,7.989,30
2014-05-21 01:00:00,7.841,41
2014-05-22 01:00:00,7.769,36
2014-05-23 01:00:00,7.447,37
2014-05-24 01:00:00,7.417,38
2014-05-25 01:00:00,7.438,24
2014-05-26 01:00:00,6.973,36
2014-05-27 01:00:00,6.862,36
2014-05-28 01:00:00,6.878,29
2014-05-29 01:00:00,6.448,32
2014-05-30 01:00:00,6.61,37
2014-05-31 01:00:00,6.527,33
2014-06-01 01:00:00,6.412,50
2014-06-02 01:00:00,6.224,39
2014-06-03 01:00:00,6.009,42
2014-06-04 01:00:00,6.098,35
2014-06-05 01:00:00,5.904,35
2014-06-06 01:00:00,5.623,41
2014-06-07 01:00:00,5.71,39
2014-06-08 01:00:00,5.42,38
2014-06-09 01:00:00,5.279,38
2014-06-10 01:00:00,5.14,44
2014-06-11 01:00:00,5.168,35
2014-06-12 01:00:00,5.321,38
2014-06-13 01:00:00,5.302,49
2014-06-14 01:00:00,5.433,57
2014-06-15 01:00:00,5.555,56
2014-06-16 01:00:00,5.809,46
2014-06-17 01:00:00,5.428,45
2014-06-18 01:00:00,4.754,41
2014-06-19 01:00:00,4.731,48
2014-06-20 01:00:00,3.826,77
2014-06-21 01:00:00,3.754,39
2014-06-22 01:00:00,3.585,45
2014-06-23 01:00:00,3.387,65
2014-06-24 01:00:00,3.616,45
2014-06-25 01:00:00,3.501,39
2014-06-26 01:00:00,3.768,49
2014-06-27 01:00:00,3.805,51
2014-06-28 01:00:00,3.957,47
2014-06-29 01:00:00,3.766,65
2014-06-30 01:00:00,3.857,61
2014-07-01 01:00:00,4.29,66
2014-07-02 01:00:00,3.008,106
2014-07-03 01:00:00,3.586,76
2014-07-04 01:00:00,3.917,60
2014-07-05 01:00:00,4.19,51
2014-07-06 01:00:00,4.135,55
2014-07-07 01:00:00,4.237,43
2014-07-08 01:00:00,4.275,55
2014-07-09 01:00:00,4.493,35
2014-07-10 01:00:00,4.061,61
2014-07-11 01:00:00,3.933,79
2014-07-12 01:00:00,4.082,70
2014-07-13 01:00:00,4.206,58
2014-07-14 01:00:00,4.237,73
2014-07-15 01:00:00,4.526,50
2014-07-16 01:00:00,4.382,67
2014-07-17 01:00:00,4.083,62
2014-07-18 01:00:00,3.995,61
2014-07-19 01:00:00,3.973,59
2014-07-20 01:00:00,3.96,58
2014-07-21 01:00:00,3.831,76
2014-07-22 01:00:00,3.946,52
2014-07-23 01:00:00,3.996,59
2014-07-24 01:00:00,4.04,42
2014-07-25 01:00:00,4.095,75
2014-07-26 01:00:00,4.174,48
2014-07-27 01:00:00,4.082,68
2014-07-28 01:00:00,4.18,76
2014-07-29 01:00:00,4.254,43
2014-07-30 01:00:00,4.29,69
2014-07-31 01:00:00,4.374,59
2014-08-01 01:00:00,4.273,78
2014-08-02 01:00:00,4.692,77
2014-08-03 01:00:00,4.621,56
2014-08-04 01:00:00,4.385,72
2014-08-05 01:00:00,4.325,69
2014-08-06 01:00:00,4.326,73
2014-08-07 01:00:00,4.452,79
2014-08-08 01:00:00,4.488,69
2014-08-09 01:00:00,4.399,57
2014-08-10 01:00:00,4.399,58
2014-08-11 01:00:00,4.42,60
2014-08-12 01:00:00,4.44,57
2014-08-13 01:00:00,4.581,66
2014-08-14 01:00:00,4.989,72
2014-08-15 01:00:00,4.791,77
2014-08-16 01:00:00,4.585,80
2014-08-17 01:00:00,3.914,132
2014-08-18 01:00:00,3.987,98
2014-08-19 01:00:00,4.339,77
2014-08-20 01:00:00,4.218,79
2014-08-21 01:00:00,4.233,81
2014-08-22 01:00:00,4.272,82
2014-08-23 01:00:00,4.315,71
2014-08-24 01:00:00,4.155,82
2014-08-25 01:00:00,4.354,77
2014-08-26 01:00:00,4.453,79
2014-08-27 01:00:00,4.753,67
2014-08-28 01:00:00,4.606,79
2014-08-29 01:00:00,4.623,87
2014-08-30 01:00:00,4.695,89
2014-08-31 01:00:00,4.612,78
2014-09-01 01:00:00,4.717,83
2014-09-02 01:00:00,4.729,75
2014-09-03 01:00:00,5.112,64
2014-09-04 01:00:00,4.929,61
2014-09-05 01:00:00,4.576,90
2014-09-06 01:00:00,4.63,91
2014-09-07 01:00:00,4.538,99
2014-09-08 01:00:00,4.669,72
2014-09-09 01:00:00,4.882,61
2014-09-10 01:00:00,4.61,84
2014-09-11 01:00:00,4.8,70
2014-09-12 01:00:00,4.319,75
2014-09-13 01:00:00,4.241,79
2014-09-14 01:00:00,4.165,83
2014-09-15 01:00:00,4.111,76
2014-09-16 01:00:00,4.206,73
2014-09-17 01:00:00,4.225,65
2014-09-18 01:00:00,4.102,61
2014-09-19 01:00:00,4.231,73
2014-09-20 01:00:00,3.81,97
2014-09-21 01:00:00,3.851,99
2014-09-22 01:00:00,3.899,76
2014-09-23 01:00:00,3.895,60
2014-09-24 01:00:00,3.965,67
2014-09-25 01:00:00,4.068,64
2014-09-26 01:00:00,3.89,95
2014-09-27 01:00:00,3.804,91
2014-09-28 01:00:00,3.802,87
2014-09-29 01:00:00,3.876,61
2014-09-30 01:00:00,3.739,77
2014-10-01 01:00:00,3.804,85
2014-10-02 01:00:00,4.004,71
2014-10-03 01:00:00,3.85,116
2014-10-04 01:00:00,3.903,102
2014-10-05 01:00:00,3.73,130
2014-10-06 01:00:00,3.905,79
2014-10-07 01:00:00,3.978,75
2014-10-08 01:00:00,3.853,93
2014-10-09 01:00:00,4.012,84
2014-10-10 01:00:00,3.845,96
2014-10-11 01:00:00,3.833,88
2014-10-12 01:00:00,3.675,106
2014-10-13 01:00:00,3.621,94
2014-10-14 01:00:00,3.797,88
2014-10-15 01:00:00,3.758,95
2014-10-16 01:00:00,3.771,90
2014-10-17 01:00:00,3.554,103
2014-10-18 01:00:00,3.476,108
2014-10-19 01:00:00,3.372,106
2014-10-20 01:00:00,3.36,83
2014-10-21 01:00:00,3.319,89
2014-10-22 01:00:00,3.415,88
2014-10-23 01:00:00,3.525,81
2014-10-24 01:00:00,3.573,106
2014-10-25 01:00:00,3.667,116
2014-10-26 01:00:00,3.115,111
2014-10-27 01:00:00,3.11,86
2014-10-28 01:00:00,3.228,102
2014-10-29 01:00:00,3.305,67
2014-10-30 01:00:00,3.476,86
2014-10-31 01:00:00,3.149,144
2014-11-01 01:00:00,3.115,120
2014-11-02 01:00:00,2.987,129
2014-11-03 01:00:00,2.932,99
2014-11-04 01:00:00,3.014,88
2014-11-05 01:00:00,3.051,89
2014-11-06 01:00:00,3.013,86
2014-11-07 01:00:00,3.005,107
2014-11-08 01:00:00,3.262,112
2014-11-09 01:00:00,3.053,114
2014-11-10 01:00:00,3.112,103
2014-11-11 01:00:00,2.957,91
2014-11-12 01:00:00,2.211,199
2014-11-13 01:00:00,2.328,122
2014-11-14 01:00:00,2.444,126
2014-11-15 01:00:00,2.487,112
2014-11-16 01:00:00,2.47,103
2014-11-17 01:00:00,2.513,83
2014-11-18 01:00:00,2.46,92
2014-11-19 01:00:00,2.458,72
2014-11-20 01:00:00,2.38,105
2014-11-21 01:00:00,2.286,110
2014-11-22 01:00:00,2.274,132
2014-11-23 01:00:00,2.197,122
2014-11-24 01:00:00,2.2,114
2014-11-25 01:00:00,2.382,92
2014-11-26 01:00:00,2.471,123
2014-11-27 01:00:00,2.428,143
2014-11-28 01:00:00,2.479,148
2014-11-29 01:00:00,4.114,32
2014-11-30 01:00:00,2.493,235
2014-12-01 01:00:00,2.026,133
2014-12-02 01:00:00,2.23,130
2014-12-03 01:00:00,2.513,110
2014-12-04 01:00:00,2.595,101
2014-12-05 01:00:00,2.772,125
2014-12-06 01:00:00,2.953,162
2014-12-07 01:00:00,2.879,150
2014-12-08 01:00:00,2.667,118
2014-12-09 01:00:00,2.856,123
2014-12-10 01:00:00,2.588,150
2014-12-11 01:00:00,2.752,131
2014-12-12 01:00:00,2.75,130
2014-12-13 01:00:00,2.734,159
2014-12-14 01:00:00,2.74,150
2014-12-15 01:00:00,2.802,137
2014-12-16 01:00:00,2.574,130
2014-12-17 01:00:00,2.702,124
2014-12-18 01:00:00,2.567,119
2014-12-19 01:00:00,2.597,141
2014-12-20 01:00:00,2.508,138
2014-12-21 01:00:00,2.462,159
2014-12-22 01:00:00,2.44,152
2014-12-23 01:00:00,2.522,140
2014-12-24 01:00:00,2.401,169
2014-12-25 01:00:00,2.69,199
2014-12-26 01:00:00,2.816,185
2014-12-27 01:00:00,2.879,213
2014-12-28 01:00:00,2.981,147
2014-12-29 01:00:00,2.8,180
2014-12-30 01:00:00,2.907,168
2014-12-31 01:00:00,2.916,146
2015-01-01 01:00:00,2.802,149
2015-01-02 01:00:00,2.853,187
2015-01-03 01:00:00,2.967,195
2015-01-04 01:00:00,2.972,182
2015-01-05 01:00:00,3.006,177
2015-01-06 01:00:00,3.15,150
2015-01-07 01:00:00,3.061,145
2015-01-08 01:00:00,3.264,168
2015-01-09 01:00:00,3.161,253
