date,price,volume
2014-05-02 01:00:00,30.269,40
2014-05-03 01:00:00,21.145,58
2014-05-04 01:00:00,17.605,56
2014-05-05 01:00:00,16.214,83
2014-05-06 01:00:00,15.511,53
2014-05-07 01:00:00,14.702,57
2014-05-08 01:00:00,15.368,67
2014-05-09 01:00:00,13.33,54
2014-05-10 01:00:00,13.321,55
2014-05-11 01:00:00,10.798,81
2014-05-12 01:00:00,9.941,66
2014-05-13 01:00:00,9.471,70
2014-05-14 01:00:00,9.618,75
2014-05-15 01:00:00,10.124,58
2014-05-16 01:00:00,9.961,82
2014-05-17 01:00:00,9.393,92
2014-05-18 01:00:00,9.11,83
2014-05-19 01:00:00,9.044,75
2014-05-20 01:00:00,9.232,71
2014-05-21 01:00:00,8.818,82
2014-05-22 01:00:00,8.622,75
2014-05-23 01:00:00,8.21,92
2014-05-24 01:00:00,8.255,86
2014-05-25 01:00:00,8.082,84
2014-05-26 01:00:00,7.926,78
2014-05-27 01:00:00,7.516,109
2014-05-28 01:00:00,7.625,112
2014-05-29 01:00:00,7.552,82
2014-05-30 01:00:00,7.281,108
2014-05-31 01:00:00,7.153,96
2014-06-01 01:00:00,7.426,101
2014-06-02 01:00:00,6.772,112
2014-06-03 01:00:00,6.874,85
2014-06-04 01:00:00,6.907,98
2014-06-05 01:00:00,6.618,85
2014-06-06 01:00:00,6.454,85
2014-06-07 01:00:00,6.449,115
2014-06-08 01:00:00,6.057,93
2014-06-09 01:00:00,5.883,102
2014-06-10 01:00:00,5.736,89
2014-06-11 01:00:00,5.717,88
2014-06-12 01:00:00,5.902,123
2014-06-13 01:00:00,5.858,112
2014-06-14 01:00:00,6.379,121
2014-06-15 01:00:00,6.323,124
2014-06-16 01:00:00,6.371,130
2014-06-17 01:00:00,5.782,126
2014-06-18 01:00:00,5.504,101
2014-06-19 01:00:00,5.117,132
2014-06-20 01:00:00,4.446,130
2014-06-21 01:00:00,4.063,117
2014-06-22 01:00:00,3.986,134
2014-06-23 01:00:00,3.735,154
2014-06-24 01:00:00,3.793,130
2014-06-25 01:00:00,3.921,132
2014-06-26 01:00:00,3.99,116
2014-06-27 01:00:00,4.383,131
2014-06-28 01:00:00,4.415,110
2014-06-29 01:00:00,4.334,156
2014-06-30 01:00:00,4.117,153
2014-07-01 01:00:00,4.743,161
2014-07-02 01:00:00,3.554,242
2014-07-03 01:00:00,4.055,179
2014-07-04 01:00:00,4.241,137
2014-07-05 01:00:00,4.49,144
2014-07-06 01:00:00,4.437,156
2014-07-07 01:00:00,4.62,135
2014-07-08 01:00:00,4.516,147
2014-07-09 01:00:00,4.835,158
2014-07-10 01:00:00,4.514,154
2014-07-11 01:00:00,4.366,174
2014-07-12 01:00:00,4.531,151
2014-07-13 01:00:00,4.744,128
2014-07-14 01:00:00,4.6,150
2014-07-15 01:00:00,4.877,141
2014-07-16 01:00:00,4.846,144
2014-07-17 01:00:00,4.563,144
2014-07-18 01:00:00,4.469,153
2014-07-19 01:00:00,4.392,143
2014-07-20 01:00:00,4.242,157
2014-07-21 01:00:00,4.293,165
2014-07-22 01:00:00,4.374,153
2014-07-23 01:00:00,4.539,167
2014-07-24 01:00:00,4.611,144
2014-07-25 01:00:00,4.524,161
2014-07-26 01:00:00,4.515,171
2014-07-27 01:00:00,4.465,177
2014-07-28 01:00:00,4.5,201
2014-07-29 01:00:00,4.574,169
2014-07-30 01:00:00,4.796,159
2014-07-31 01:00:00,4.862,152
2014-08-01 01:00:00,4.615,176
2014-08-02 01:00:00,5.016,208
2014-08-03 01:00:00,4.995,197
2014-08-04 01:00:00,4.651,187
2014-08-05 01:00:00,4.304,212
2014-08-06 01:00:00,4.671,157
2014-08-07 01:00:00,4.864,186
2014-08-08 01:00:00,4.812,169
2014-08-09 01:00:00,4.64,164
2014-08-10 01:00:00,4.609,171
2014-08-11 01:00:00,4.744,180
2014-08-12 01:00:00,4.838,163
2014-08-13 01:00:00,5.005,166
2014-08-14 01:00:00,5.211,203
2014-08-15 01:00:00,5.308,196
2014-08-16 01:00:00,4.942,225
2014-08-17 01:00:00,4.306,279
2014-08-18 01:00:00,4.254,233
2014-08-19 01:00:00,4.753,192
2014-08-20 01:00:00,4.558,189
2014-08-21 01:00:00,4.664,193
2014-08-22 01:00:00,4.812,219
2014-08-23 01:00:00,4.733,207
2014-08-24 01:00:00,4.706,177
2014-08-25 01:00:00,4.685,214
2014-08-26 01:00:00,4.947,200
2014-08-27 01:00:00,5.264,162
2014-08-28 01:00:00,4.97,202
2014-08-29 01:00:00,5.034,246
2014-08-30 01:00:00,5.042,228
2014-08-31 01:00:00,4.945,219
2014-09-01 01:00:00,5.3,188
2014-09-02 01:00:00,5.235,212
2014-09-03 01:00:00,5.503,186
2014-09-04 01:00:00,5.495,163
2014-09-05 01:00:00,5.048,212
2014-09-06 01:00:00,5.062,241
2014-09-07 01:00:00,4.994,225
2014-09-08 01:00:00,5.161,183
2014-09-09 01:00:00,5.197,181
2014-09-10 01:00:00,5.057,167
2014-09-11 01:00:00,5.148,194
2014-09-12 01:00:00,4.881,214
2014-09-13 01:00:00,4.73,240
2014-09-14 01:00:00,4.459,228
2014-09-15 01:00:00,4.577,190
2014-09-16 01:00:00,4.569,190
2014-09-17 01:00:00,4.731,189
2014-09-18 01:00:00,4.515,197
2014-09-19 01:00:00,4.539,245
2014-09-20 01:00:00,4.248,257
2014-09-21 01:00:00,4.281,245
2014-09-22 01:00:00,4.334,195
2014-09-23 01:00:00,4.282,190
2014-09-24 01:00:00,4.303,195
2014-09-25 01:00:00,4.455,186
2014-09-26 01:00:00,4.263,226
2014-09-27 01:00:00,4.017,283
2014-09-28 01:00:00,4.028,239
2014-09-29 01:00:00,3.995,213
2014-09-30 01:00:00,4.051,191
2014-10-01 01:00:00,4.135,221
2014-10-02 01:00:00,4.151,237
2014-10-03 01:00:00,4.237,249
2014-10-04 01:00:00,4.216,297
2014-10-05 01:00:00,4.148,272
2014-10-06 01:00:00,4.301,223
2014-10-07 01:00:00,4.496,218
2014-10-08 01:00:00,4.265,228
2014-10-09 01:00:00,4.451,209
2014-10-10 01:00:00,4.216,256
2014-10-11 01:00:00,4.095,282
2014-10-12 01:00:00,4.086,287
2014-10-13 01:00:00,3.963,241
2014-10-14 01:00:00,4.075,226
2014-10-15 01:00:00,4.021,194
2014-10-16 01:00:00,3.946,261
2014-10-17 01:00:00,3.822,286
2014-10-18 01:00:00,3.657,316
2014-10-19 01:00:00,3.678,294
2014-10-20 01:00:00,3.678,263
2014-10-21 01:00:00,3.603,245
2014-10-22 01:00:00,3.819,226
2014-10-23 01:00:00,3.872,233
2014-10-24 01:00:00,3.939,264
2014-10-25 01:00:00,4.057,268
2014-10-26 01:00:00,3.368,353
2014-10-27 01:00:00,3.317,281
2014-10-28 01:00:00,3.569,268
2014-10-29 01:00:00,3.496,240
2014-10-30 01:00:00,3.965,227
2014-10-31 01:00:00,3.368,399
2014-11-01 01:00:00,3.435,325
2014-11-02 01:00:00,3.306,326
2014-11-03 01:00:00,3.157,262
2014-11-04 01:00:00,3.321,255
2014-11-05 01:00:00,3.23,262
2014-11-06 01:00:00,3.234,253
2014-11-07 01:00:00,3.261,267
2014-11-08 01:00:00,3.53,340
2014-11-09 01:00:00,3.245,285
2014-11-10 01:00:00,3.386,249
2014-11-11 01:00:00,3.236,243
2014-11-12 01:00:00,2.417,522
2014-11-13 01:00:00,2.557,366
2014-11-14 01:00:00,2.691,343
2014-11-15 01:00:00,2.77,372
2014-11-16 01:00:00,2.597,345
2014-11-17 01:00:00,2.634,285
2014-11-18 01:00:00,2.65,256
2014-11-19 01:00:00,2.602,238
2014-11-20 01:00:00,2.639,246
2014-11-21 01:00:00,2.476,302
2014-11-22 01:00:00,2.426,351
2014-11-23 01:00:00,2.502,296
2014-11-24 01:00:00,2.457,281
2014-11-25 01:00:00,2.651,274
2014-11-26 01:00:00,2.687,314
2014-11-27 01:00:00,2.762,386
2014-11-28 01:00:00,2.741,401
2014-11-29 01:00:00,4.622,75
2014-11-30 01:00:00,2.594,594
2014-12-01 01:00:00,2.304,380
2014-12-02 01:00:00,2.532,320
2014-12-03 01:00:00,2.823,267
2014-12-04 01:00:00,2.944,293
2014-12-05 01:00:00,3.071,354
2014-12-06 01:00:00,3.243,465
2014-12-07 01:00:00,3.212,366
2014-12-08 01:00:00,2.984,333
2014-12-09 01:00:00,3.071,313
2014-12-10 01:00:00,2.904,397
2014-12-11 01:00:00,3.026,316
2014-12-12 01:00:00,3.07,373
2014-12-13 01:00:00,2.963,463
2014-12-14 01:00:00,3.054,393
2014-12-15 01:00:00,2.986,359
2014-12-16 01:00:00,2.861,358
2014-12-17 01:00:00,2.893,377
2014-12-18 01:00:00,2.801,365
2014-12-19 01:00:00,2.868,436
2014-12-20 01:00:00,2.678,444
2014-12-21 01:00:00,2.74,428
2014-12-22 01:00:00,2.649,445
2014-12-23 01:00:00,2.745,372
2014-12-24 01:00:00,2.672,481
2014-12-25 01:00:00,3.112,511
2014-12-26 01:00:00,3.213,493
2014-12-27 01:00:00,3.249,533
2014-12-28 01:00:00,3.296,424
2014-12-29 01:00:00,3.118,506
2014-12-30 01:00:00,3.121,531
2014-12-31 01:00:00,3.179,432
2015-01-01 01:00:00,3.079,441
2015-01-02 01:00:00,2.995,593
2015-01-03 01:00:00,3.177,537
2015-01-04 01:00:00,3.157,491
2015-01-05 01:00:00,3.211,503
2015-01-06 01:00:00,3.33,470
2015-01-07 01:00:00,3.394,383
2015-01-08 01:00:00,3.486,443
2015-01-09 01:00:00,3.455,681
2015-01-10 01:00:00,3.812,772
2015-01-11 01:00:00,3.787,647
2015-01-12 01:00:00,3.714,569
2015-01-13 01:00:00,3.788,541
2015-01-14 01:00:00,3.742,531
2015-01-15 01:00:00,3.671,490
2015-01-16 01:00:00,3.429,592
2015-01-17 01:00:00,3.375,608
2015-01-18 01:00:00,3.313,603
