date,price,volume
2021-05-03 01:00:00,68.633,14
2021-05-04 01:00:00,46.605,803
2021-05-05 01:00:00,39.053,521
2021-05-06 01:00:00,31.713,456
2021-05-07 01:00:00,27.91,497
2021-05-08 01:00:00,28.281,478
2021-05-09 01:00:00,27.702,423
2021-05-10 01:00:00,25.234,438
2021-05-11 01:00:00,29.053,526
2021-05-12 01:00:00,32.294,486
2021-05-13 01:00:00,24.21,481
2021-05-14 01:00:00,26.508,437
2021-05-15 01:00:00,28.479,420
2021-05-16 01:00:00,28.52,463
2021-05-17 01:00:00,26.494,363
2021-05-18 01:00:00,23.76,380
2021-05-19 01:00:00,24.316,415
2021-05-20 01:00:00,22.019,468
2021-05-21 01:00:00,22.08,457
2021-05-22 01:00:00,22.07,479
2021-05-23 01:00:00,23.014,440
2021-05-24 01:00:00,21.67,399
2021-05-25 01:00:00,20.368,444
2021-05-26 01:00:00,23.184,378
2021-05-27 01:00:00,22.789,398
2021-05-28 01:00:00,24.125,433
2021-05-29 01:00:00,23.062,412
2021-05-30 01:00:00,20.481,444
2021-05-31 01:00:00,18.673,442
2021-06-01 01:00:00,18.066,447
2021-06-02 01:00:00,18.066,452
2021-06-03 01:00:00,17.405,402
2021-06-04 01:00:00,17.014,488
2021-06-05 01:00:00,16.324,502
2021-06-06 01:00:00,16.544,432
2021-06-07 01:00:00,16.791,383
2021-06-08 01:00:00,16.718,393
2021-06-09 01:00:00,16.694,372
2021-06-10 01:00:00,16.71,372
2021-06-11 01:00:00,16.702,362
2021-06-12 01:00:00,16.82,409
2021-06-13 01:00:00,16.018,429
2021-06-14 01:00:00,15.422,419
2021-06-15 01:00:00,15.247,394
2021-06-16 01:00:00,15.301,380
2021-06-17 01:00:00,14.686,373
2021-06-18 01:00:00,14.386,390
2021-06-19 01:00:00,13.987,414
2021-06-20 01:00:00,13.643,447
2021-06-21 01:00:00,12.998,440
2021-06-22 01:00:00,12.226,381
2021-06-23 01:00:00,11.871,451
2021-06-24 01:00:00,10.949,495
2021-06-25 01:00:00,10.752,551
2021-06-26 01:00:00,10.604,495
2021-06-27 01:00:00,11.105,390
2021-06-28 01:00:00,10.974,471
2021-06-29 01:00:00,11.165,427
2021-06-30 01:00:00,10.899,460
2021-07-01 01:00:00,10.885,438
2021-07-02 01:00:00,10.542,396
2021-07-03 01:00:00,10.737,466
2021-07-04 01:00:00,10.905,401
2021-07-05 01:00:00,10.528,414
2021-07-06 01:00:00,10.699,399
2021-07-07 01:00:00,10.589,407
2021-07-08 01:00:00,10.331,460
2021-07-09 01:00:00,10.362,511
2021-07-10 01:00:00,10.279,489
2021-07-11 01:00:00,9.895,439
2021-07-12 01:00:00,9.792,499
2021-07-13 01:00:00,9.925,466
2021-07-14 01:00:00,10.363,404
2021-07-15 01:00:00,10.197,441
2021-07-16 01:00:00,10.292,405
2021-07-17 01:00:00,10.274,484
2021-07-18 01:00:00,10.382,480
2021-07-19 01:00:00,10.545,487
2021-07-20 01:00:00,10.665,441
2021-07-21 01:00:00,10.345,375
2021-07-22 01:00:00,10.303,396
2021-07-23 01:00:00,10.295,443
2021-07-24 01:00:00,10.148,436
2021-07-25 01:00:00,10.102,432
2021-07-26 01:00:00,10.039,401
2021-07-27 01:00:00,10.036,242
2021-07-28 01:00:00,10.09,417
2021-07-29 01:00:00,9.854,452
2021-07-30 01:00:00,9.535,495
2021-07-31 01:00:00,9.385,499
2021-08-01 01:00:00,9.214,561
2021-08-02 01:00:00,9.267,500
2021-08-03 01:00:00,9.184,558
2021-08-04 01:00:00,9.203,449
2021-08-05 01:00:00,9.398,360
2021-08-06 01:00:00,9.029,486
2021-08-07 01:00:00,8.987,493
2021-08-08 01:00:00,9.051,438
2021-08-09 01:00:00,8.969,424
2021-08-10 01:00:00,8.864,422
2021-08-11 01:00:00,8.789,442
2021-08-12 01:00:00,8.706,434
2021-08-13 01:00:00,8.621,432
2021-08-14 01:00:00,8.415,462
2021-08-15 01:00:00,8.306,482
2021-08-16 01:00:00,7.986,456
2021-08-17 01:00:00,8.163,409
2021-08-18 01:00:00,8.039,447
2021-08-19 01:00:00,8.066,444
2021-08-20 01:00:00,7.944,472
2021-08-21 01:00:00,7.937,487
2021-08-22 01:00:00,7.825,467
2021-08-23 01:00:00,7.824,447
2021-08-24 01:00:00,7.744,463
2021-08-25 01:00:00,7.7,466
2021-08-26 01:00:00,7.55,448
2021-08-27 01:00:00,7.507,461
2021-08-28 01:00:00,7.643,510
2021-08-29 01:00:00,7.516,485
2021-08-30 01:00:00,7.59,481
2021-08-31 01:00:00,7.436,533
2021-09-01 01:00:00,7.751,451
2021-09-02 01:00:00,7.616,459
2021-09-03 01:00:00,7.516,501
2021-09-04 01:00:00,7.594,571
2021-09-05 01:00:00,7.758,490
2021-09-06 01:00:00,7.717,449
2021-09-07 01:00:00,7.582,430
2021-09-08 01:00:00,7.113,499
2021-09-09 01:00:00,7.135,509
2021-09-10 01:00:00,7.113,624
2021-09-11 01:00:00,7.041,567
2021-09-12 01:00:00,7.206,537
2021-09-13 01:00:00,7.46,459
2021-09-14 01:00:00,7.386,458
2021-09-15 01:00:00,7.377,476
2021-09-16 01:00:00,7.314,480
2021-09-17 01:00:00,7.27,478
2021-09-18 01:00:00,7.183,521
2021-09-19 01:00:00,7.02,540
2021-09-20 01:00:00,6.953,544
2021-09-21 01:00:00,7.079,456
2021-09-22 01:00:00,5.88,1241
2021-09-23 01:00:00,6.016,712
2021-09-24 01:00:00,6.136,615
2021-09-25 01:00:00,6.252,523
2021-09-26 01:00:00,6.426,517
2021-09-27 01:00:00,6.473,520
2021-09-28 01:00:00,6.396,452
2021-09-29 01:00:00,6.403,538
2021-09-30 01:00:00,6.283,544
2021-10-01 01:00:00,6.357,551
2021-10-02 01:00:00,6.404,513
2021-10-03 01:00:00,6.53,494
2021-10-04 01:00:00,6.499,483
2021-10-05 01:00:00,6.562,453
2021-10-06 01:00:00,6.523,502
2021-10-07 01:00:00,6.549,457
2021-10-08 01:00:00,6.585,528
2021-10-09 01:00:00,6.72,509
2021-10-10 01:00:00,6.827,464
2021-10-11 01:00:00,6.716,419
2021-10-12 01:00:00,6.817,436
2021-10-13 01:00:00,6.71,431
2021-10-14 01:00:00,6.906,379
2021-10-15 01:00:00,6.773,426
2021-10-16 01:00:00,6.86,538
2021-10-17 01:00:00,6.626,441
2021-10-18 01:00:00,6.601,404
2021-10-19 01:00:00,6.696,382
2021-10-20 01:00:00,6.689,376
2021-10-21 01:00:00,6.574,380
2021-10-22 01:00:00,6.361,929
2021-10-23 01:00:00,7.008,559
2021-10-24 01:00:00,7.097,491
2021-10-25 01:00:00,6.948,442
2021-10-26 01:00:00,7.078,443
2021-10-27 01:00:00,7.479,443
2021-10-28 01:00:00,7.228,457
2021-10-29 01:00:00,7.309,495
2021-10-30 01:00:00,7.651,495
2021-10-31 01:00:00,7.99,478
2021-11-01 01:00:00,7.986,433
2021-11-02 01:00:00,7.998,374
2021-11-03 01:00:00,7.953,425
2021-11-04 01:00:00,8.034,391
2021-11-05 01:00:00,8.033,469
2021-11-06 01:00:00,8.087,467
2021-11-07 01:00:00,7.915,475
2021-11-08 01:00:00,7.679,454
2021-11-09 01:00:00,7.721,385
2021-11-10 01:00:00,7.668,623
2021-11-11 01:00:00,7.857,453
2021-11-12 01:00:00,8.032,366
2021-11-13 01:00:00,7.907,421
2021-11-14 01:00:00,7.775,398
2021-11-15 01:00:00,7.865,388
2021-11-16 01:00:00,7.787,365
2021-11-17 01:00:00,7.832,365
2021-11-18 01:00:00,7.96,375
2021-11-19 01:00:00,7.957,374
2021-11-20 01:00:00,7.816,376
2021-11-21 01:00:00,7.848,381
2021-11-22 01:00:00,7.859,340
2021-11-23 01:00:00,7.791,336
2021-11-24 01:00:00,7.672,370
2021-11-25 01:00:00,7.471,422
2021-11-26 01:00:00,7.361,446
2021-11-27 01:00:00,7.435,402
2021-11-28 01:00:00,7.396,445
2021-11-29 01:00:00,7.482,365
2021-11-30 01:00:00,7.346,556
2021-12-01 01:00:00,7.466,409
2021-12-02 01:00:00,7.647,437
2021-12-03 01:00:00,7.761,405
2021-12-04 01:00:00,7.752,411
2021-12-05 01:00:00,8.065,438
2021-12-06 01:00:00,8.044,437
2021-12-07 01:00:00,8.029,390
2021-12-08 01:00:00,7.969,374
2021-12-09 01:00:00,7.934,355
2021-12-10 01:00:00,7.909,393
2021-12-11 01:00:00,7.748,403
2021-12-12 01:00:00,7.646,409
2021-12-13 01:00:00,7.704,358
2021-12-14 01:00:00,7.756,333
2021-12-15 01:00:00,7.451,412
2021-12-16 01:00:00,7.527,339
2021-12-17 01:00:00,7.49,361
2021-12-18 01:00:00,7.64,364
2021-12-19 01:00:00,7.616,448
2021-12-20 01:00:00,7.854,353
2021-12-21 01:00:00,7.586,359
2021-12-22 01:00:00,7.481,408
2021-12-23 01:00:00,7.371,438
2021-12-24 01:00:00,7.695,428
2021-12-25 01:00:00,7.845,467
2021-12-26 01:00:00,7.577,469
2021-12-27 01:00:00,7.645,448
2021-12-28 01:00:00,7.821,408
2021-12-29 01:00:00,7.814,459
2021-12-30 01:00:00,7.634,426
2021-12-31 01:00:00,7.689,417
2022-01-01 01:00:00,7.861,487
2022-01-02 01:00:00,7.797,486
2022-01-03 01:00:00,7.799,489
2022-01-04 01:00:00,7.739,428
2022-01-05 01:00:00,7.727,447
2022-01-06 01:00:00,7.901,408
2022-01-07 01:00:00,7.902,444
2022-01-08 01:00:00,7.92,454
2022-01-09 01:00:00,7.859,443
2022-01-10 01:00:00,7.692,413
2022-01-11 01:00:00,7.782,393
2022-01-12 01:00:00,7.681,401
2022-01-13 01:00:00,7.705,392
2022-01-14 01:00:00,7.532,421
2022-01-15 01:00:00,7.455,523
2022-01-16 01:00:00,7.449,499
