date,price,volume
2019-11-18 01:00:00,4.98,15
2019-11-19 01:00:00,1.246,2873
2019-11-20 01:00:00,1.458,1593
2019-11-21 01:00:00,1.365,1348
2019-11-22 01:00:00,1.378,1221
2019-11-23 01:00:00,1.393,1188
2019-11-24 01:00:00,1.305,1106
2019-11-25 01:00:00,1.309,780
2019-11-26 01:00:00,1.313,746
2019-11-27 01:00:00,1.231,1037
2019-11-28 01:00:00,1.174,860
2019-11-29 01:00:00,1.182,866
2019-11-30 01:00:00,1.342,862
2019-12-01 01:00:00,1.399,789
2019-12-02 01:00:00,1.528,612
2019-12-03 01:00:00,1.572,579
2019-12-04 01:00:00,1.681,546
2019-12-05 01:00:00,1.742,559
2019-12-06 01:00:00,1.583,656
2019-12-07 01:00:00,1.625,634
2019-12-08 01:00:00,1.416,614
2019-12-09 01:00:00,1.424,544
2019-12-10 01:00:00,1.398,583
2019-12-11 01:00:00,1.386,617
2019-12-12 01:00:00,1.356,606
2019-12-13 01:00:00,1.339,591
2019-12-14 01:00:00,1.378,625
2019-12-15 01:00:00,1.346,552
2019-12-16 01:00:00,1.327,540
2019-12-17 01:00:00,1.328,525
2019-12-18 01:00:00,1.294,648
2019-12-19 01:00:00,1.306,616
2019-12-20 01:00:00,1.244,708
2019-12-21 01:00:00,1.261,632
2019-12-22 01:00:00,1.289,599
2019-12-23 01:00:00,1.296,576
2019-12-24 01:00:00,1.29,577
2019-12-25 01:00:00,1.327,734
2019-12-26 01:00:00,1.324,694
2019-12-27 01:00:00,1.308,722
2019-12-28 01:00:00,1.296,720
2019-12-29 01:00:00,1.278,686
2019-12-30 01:00:00,1.284,689
2019-12-31 01:00:00,1.299,628
2020-01-01 01:00:00,1.287,661
2020-01-02 01:00:00,1.287,699
2020-01-03 01:00:00,1.294,716
2020-01-04 01:00:00,1.328,659
2020-01-05 01:00:00,1.321,642
2020-01-06 01:00:00,1.311,545
2020-01-07 01:00:00,1.317,598
2020-01-08 01:00:00,1.341,635
