date,price,volume
2014-02-21 01:00:00,19.643,13
2014-02-22 01:00:00,14.33,25
2014-02-23 01:00:00,14.259,19
2014-02-24 01:00:00,13.72,13
2014-02-25 01:00:00,17.93,12
2014-02-26 01:00:00,18.155,10
2014-02-27 01:00:00,16.406,5
2014-02-28 01:00:00,15.931,22
2014-03-01 01:00:00,13.775,18
2014-03-02 01:00:00,12.7,25
2014-03-03 01:00:00,14.769,13
2014-03-04 01:00:00,13.335,10
2014-03-05 01:00:00,13.076,15
2014-03-06 01:00:00,13.089,7
2014-03-07 01:00:00,15.624,10
2014-03-08 01:00:00,11.178,13
2014-03-09 01:00:00,10.294,21
2014-03-10 01:00:00,11.394,18
2014-03-11 01:00:00,11.006,14
2014-03-12 01:00:00,11.588,15
2014-03-13 01:00:00,11.751,8
2014-03-14 01:00:00,12.281,15
2014-03-15 01:00:00,10.764,22
2014-03-16 01:00:00,11.0,21
2014-03-17 01:00:00,10.136,27
2014-03-18 01:00:00,9.333,19
2014-03-19 01:00:00,9.21,21
2014-03-20 01:00:00,9.437,20
2014-03-21 01:00:00,9.661,24
2014-03-22 01:00:00,10.34,21
2014-03-23 01:00:00,9.642,20
2014-03-24 01:00:00,9.335,28
2014-03-25 01:00:00,9.146,22
2014-03-26 01:00:00,9.976,20
2014-03-27 01:00:00,9.709,11
2014-03-28 01:00:00,8.839,22
2014-03-29 01:00:00,9.34,32
2014-03-30 01:00:00,8.241,26
2014-03-31 01:00:00,7.867,40
2014-04-01 01:00:00,8.427,22
2014-04-02 01:00:00,8.136,31
2014-04-03 01:00:00,8.868,26
2014-04-04 01:00:00,8.706,27
2014-04-05 01:00:00,9.063,26
2014-04-06 01:00:00,8.938,35
2014-04-07 01:00:00,8.621,21
2014-04-08 01:00:00,8.853,28
2014-04-09 01:00:00,9.384,37
2014-04-10 01:00:00,9.145,28
2014-04-11 01:00:00,8.823,30
2014-04-12 01:00:00,8.995,30
2014-04-13 01:00:00,9.326,33
2014-04-14 01:00:00,9.073,30
2014-04-15 01:00:00,8.665,43
2014-04-16 01:00:00,8.368,47
2014-04-17 01:00:00,8.592,35
2014-04-18 01:00:00,8.165,34
2014-04-19 01:00:00,8.574,54
2014-04-20 01:00:00,8.012,38
2014-04-21 01:00:00,7.716,41
2014-04-22 01:00:00,7.796,44
2014-04-23 01:00:00,7.862,38
2014-04-24 01:00:00,8.138,46
2014-04-25 01:00:00,8.352,46
2014-04-26 01:00:00,8.459,44
2014-04-27 01:00:00,8.237,41
2014-04-28 01:00:00,8.017,43
2014-04-29 01:00:00,7.842,53
2014-04-30 01:00:00,8.12,55
2014-05-01 01:00:00,8.249,58
2014-05-02 01:00:00,7.321,54
2014-05-03 01:00:00,6.529,58
2014-05-04 01:00:00,6.424,68
2014-05-05 01:00:00,5.947,59
2014-05-06 01:00:00,5.525,62
2014-05-07 01:00:00,6.326,83
2014-05-08 01:00:00,7.335,54
2014-05-09 01:00:00,5.318,75
2014-05-10 01:00:00,5.0,72
2014-05-11 01:00:00,4.514,78
2014-05-12 01:00:00,4.71,42
2014-05-13 01:00:00,4.535,42
2014-05-14 01:00:00,4.879,40
2014-05-15 01:00:00,4.415,74
2014-05-16 01:00:00,4.512,64
2014-05-17 01:00:00,4.581,62
2014-05-18 01:00:00,4.011,74
2014-05-19 01:00:00,4.612,49
2014-05-20 01:00:00,4.561,35
2014-05-21 01:00:00,4.025,62
2014-05-22 01:00:00,3.943,57
2014-05-23 01:00:00,4.176,70
2014-05-24 01:00:00,4.068,86
2014-05-25 01:00:00,3.926,61
2014-05-26 01:00:00,4.457,55
2014-05-27 01:00:00,4.549,55
2014-05-28 01:00:00,3.828,82
2014-05-29 01:00:00,3.624,76
2014-05-30 01:00:00,4.189,81
2014-05-31 01:00:00,4.007,71
2014-06-01 01:00:00,4.195,69
2014-06-02 01:00:00,4.414,51
2014-06-03 01:00:00,4.069,70
2014-06-04 01:00:00,3.791,72
2014-06-05 01:00:00,3.947,50
2014-06-06 01:00:00,3.905,64
2014-06-07 01:00:00,3.766,71
2014-06-08 01:00:00,3.983,59
2014-06-09 01:00:00,3.971,71
2014-06-10 01:00:00,4.044,44
2014-06-11 01:00:00,3.925,58
2014-06-12 01:00:00,4.044,70
2014-06-13 01:00:00,4.191,67
2014-06-14 01:00:00,4.196,63
2014-06-15 01:00:00,4.131,70
2014-06-16 01:00:00,4.187,75
2014-06-17 01:00:00,3.798,82
2014-06-18 01:00:00,3.681,79
2014-06-19 01:00:00,3.584,79
2014-06-20 01:00:00,3.273,91
2014-06-21 01:00:00,3.201,85
2014-06-22 01:00:00,2.835,86
2014-06-23 01:00:00,2.879,98
2014-06-24 01:00:00,2.734,90
2014-06-25 01:00:00,2.93,83
2014-06-26 01:00:00,3.125,90
2014-06-27 01:00:00,3.074,87
2014-06-28 01:00:00,3.077,85
2014-06-29 01:00:00,3.072,93
