date,price,volume
2013-11-28 01:00:00,3.276,6
2013-11-29 01:00:00,1.795,20
2013-11-30 01:00:00,1.698,15
2013-12-01 01:00:00,1.037,24
2013-12-02 01:00:00,0.906,29
2013-12-03 01:00:00,1.01,21
2013-12-04 01:00:00,0.949,21
2013-12-05 01:00:00,0.815,22
2013-12-06 01:00:00,0.888,18
2013-12-07 01:00:00,0.873,36
2013-12-08 01:00:00,0.715,22
2013-12-09 01:00:00,0.678,28
2013-12-10 01:00:00,0.632,24
2013-12-11 01:00:00,0.698,32
2013-12-12 01:00:00,0.724,21
2013-12-13 01:00:00,0.612,17
2013-12-14 01:00:00,0.58,29
2013-12-15 01:00:00,0.617,24
2013-12-16 01:00:00,0.552,28
2013-12-17 01:00:00,0.614,33
2013-12-18 01:00:00,0.472,26
2013-12-19 01:00:00,0.421,36
2013-12-20 01:00:00,0.351,53
2013-12-21 01:00:00,0.351,61
2013-12-22 01:00:00,0.375,50
2013-12-23 01:00:00,0.338,71
2013-12-24 01:00:00,0.461,45
2013-12-25 01:00:00,0.464,38
2013-12-26 01:00:00,0.544,55
2013-12-27 01:00:00,0.46,50
2013-12-28 01:00:00,0.539,55
2013-12-29 01:00:00,0.531,35
2013-12-30 01:00:00,0.443,55
2013-12-31 01:00:00,0.483,54
2014-01-01 01:00:00,0.489,53
2014-01-02 01:00:00,0.483,48
2014-01-03 01:00:00,0.461,42
2014-01-04 01:00:00,0.54,82
2014-01-05 01:00:00,0.57,59
2014-01-06 01:00:00,0.542,53
2014-01-07 01:00:00,0.507,57
2014-01-08 01:00:00,0.599,43
2014-01-09 01:00:00,0.572,47
2014-01-10 01:00:00,0.489,59
2014-01-11 01:00:00,0.6,62
2014-01-12 01:00:00,0.484,68
2014-01-13 01:00:00,0.455,54
2014-01-14 01:00:00,0.444,61
2014-01-15 01:00:00,0.418,58
2014-01-16 01:00:00,0.488,45
2014-01-17 01:00:00,0.458,57
2014-01-18 01:00:00,0.441,84
2014-01-19 01:00:00,0.437,72
2014-01-20 01:00:00,0.467,61
2014-01-21 01:00:00,0.405,56
2014-01-22 01:00:00,0.411,64
2014-01-23 01:00:00,0.403,65
2014-01-24 01:00:00,0.462,76
2014-01-25 01:00:00,0.485,50
2014-01-26 01:00:00,0.433,80
2014-01-27 01:00:00,0.379,65
2014-01-28 01:00:00,0.389,70
2014-01-29 01:00:00,0.376,66
2014-01-30 01:00:00,0.354,56
2014-01-31 01:00:00,0.381,68
2014-02-01 01:00:00,0.38,83
2014-02-02 01:00:00,0.363,80
2014-02-03 01:00:00,0.381,53
2014-02-04 01:00:00,0.36,72
2014-02-05 01:00:00,0.324,59
2014-02-06 01:00:00,0.568,216
2014-02-07 01:00:00,1.139,129
2014-02-08 01:00:00,1.14,106
2014-02-09 01:00:00,1.016,126
2014-02-10 01:00:00,0.982,111
2014-02-11 01:00:00,1.06,88
2014-02-12 01:00:00,0.875,102
2014-02-13 01:00:00,0.673,97
2014-02-14 01:00:00,0.584,110
2014-02-15 01:00:00,0.562,128
2014-02-16 01:00:00,0.531,103
2014-02-17 01:00:00,0.458,100
2014-02-18 01:00:00,0.446,85
2014-02-19 01:00:00,0.406,76
2014-02-20 01:00:00,0.496,80
2014-02-21 01:00:00,0.392,96
2014-02-22 01:00:00,0.383,126
2014-02-23 01:00:00,0.412,135
2014-02-24 01:00:00,0.45,98
2014-02-25 01:00:00,0.425,100
2014-02-26 01:00:00,0.424,104
2014-02-27 01:00:00,0.52,95
2014-02-28 01:00:00,0.527,98
2014-03-01 01:00:00,0.518,94
2014-03-02 01:00:00,0.525,130
2014-03-03 01:00:00,0.502,91
2014-03-04 01:00:00,0.458,95
2014-03-05 01:00:00,0.458,82
2014-03-06 01:00:00,0.497,93
2014-03-07 01:00:00,0.495,93
2014-03-08 01:00:00,0.451,113
2014-03-09 01:00:00,0.432,137
2014-03-10 01:00:00,0.446,91
2014-03-11 01:00:00,0.421,97
2014-03-12 01:00:00,0.43,99
2014-03-13 01:00:00,0.404,53
2014-03-14 01:00:00,0.433,104
2014-03-15 01:00:00,0.382,160
2014-03-16 01:00:00,0.357,174
2014-03-17 01:00:00,0.379,160
2014-03-18 01:00:00,0.411,122
2014-03-19 01:00:00,0.443,125
2014-03-20 01:00:00,0.54,130
2014-03-21 01:00:00,0.602,114
2014-03-22 01:00:00,0.642,150
2014-03-23 01:00:00,0.637,136
2014-03-24 01:00:00,0.534,121
2014-03-25 01:00:00,0.557,96
2014-03-26 01:00:00,0.606,102
2014-03-27 01:00:00,0.616,109
2014-03-28 01:00:00,0.612,92
2014-03-29 01:00:00,0.632,159
2014-03-30 01:00:00,0.589,134
2014-03-31 01:00:00,0.55,132
2014-04-01 01:00:00,0.683,81
2014-04-02 01:00:00,0.582,106
2014-04-03 01:00:00,0.568,113
2014-04-04 01:00:00,0.555,141
2014-04-05 01:00:00,0.564,158
2014-04-06 01:00:00,0.652,149
2014-04-07 01:00:00,0.616,121
2014-04-08 01:00:00,0.616,108
2014-04-09 01:00:00,0.603,106
2014-04-10 01:00:00,0.638,125
2014-04-11 01:00:00,0.601,103
2014-04-12 01:00:00,0.534,125
2014-04-13 01:00:00,0.527,137
2014-04-14 01:00:00,0.517,151
2014-04-15 01:00:00,0.543,144
2014-04-16 01:00:00,0.528,157
2014-04-17 01:00:00,0.53,126
2014-04-18 01:00:00,0.509,131
2014-04-19 01:00:00,0.482,123
2014-04-20 01:00:00,0.443,136
2014-04-21 01:00:00,0.44,144
2014-04-22 01:00:00,0.449,141
2014-04-23 01:00:00,0.454,165
2014-04-24 01:00:00,0.498,141
2014-04-25 01:00:00,0.504,143
2014-04-26 01:00:00,0.471,138
2014-04-27 01:00:00,0.445,147
2014-04-28 01:00:00,0.467,151
2014-04-29 01:00:00,0.495,134
2014-04-30 01:00:00,0.5,116
2014-05-01 01:00:00,0.466,112
2014-05-02 01:00:00,0.408,120
2014-05-03 01:00:00,0.4,174
2014-05-04 01:00:00,0.359,206
2014-05-05 01:00:00,0.318,172
2014-05-06 01:00:00,0.334,201
2014-05-07 01:00:00,0.353,174
2014-05-08 01:00:00,0.347,170
2014-05-09 01:00:00,0.318,184
2014-05-10 01:00:00,0.301,242
2014-05-11 01:00:00,0.272,218
2014-05-12 01:00:00,0.279,216
2014-05-13 01:00:00,0.305,176
2014-05-14 01:00:00,0.28,166
2014-05-15 01:00:00,0.263,201
2014-05-16 01:00:00,0.273,229
2014-05-17 01:00:00,0.263,206
2014-05-18 01:00:00,0.263,246
2014-05-19 01:00:00,0.266,171
2014-05-20 01:00:00,0.265,162
2014-05-21 01:00:00,0.267,178
2014-05-22 01:00:00,0.267,175
2014-05-23 01:00:00,0.253,168
2014-05-24 01:00:00,0.265,225
2014-05-25 01:00:00,0.261,223
2014-05-26 01:00:00,0.27,191
2014-05-27 01:00:00,0.248,168
2014-05-28 01:00:00,0.251,168
2014-05-29 01:00:00,0.234,183
2014-05-30 01:00:00,0.217,181
2014-05-31 01:00:00,0.231,202
2014-06-01 01:00:00,0.218,161
2014-06-02 01:00:00,0.203,188
2014-06-03 01:00:00,0.229,156
2014-06-04 01:00:00,0.214,172
2014-06-05 01:00:00,0.204,147
2014-06-06 01:00:00,0.191,185
2014-06-07 01:00:00,0.204,197
2014-06-08 01:00:00,0.212,194
2014-06-09 01:00:00,0.206,171
2014-06-10 01:00:00,0.2,179
2014-06-11 01:00:00,0.212,187
2014-06-12 01:00:00,0.203,216
2014-06-13 01:00:00,0.211,197
2014-06-14 01:00:00,0.226,211
2014-06-15 01:00:00,0.217,237
2014-06-16 01:00:00,0.205,201
2014-06-17 01:00:00,0.187,214
2014-06-18 01:00:00,0.19,167
2014-06-19 01:00:00,0.179,209
2014-06-20 01:00:00,0.155,261
2014-06-21 01:00:00,0.155,224
2014-06-22 01:00:00,0.14,255
2014-06-23 01:00:00,0.134,224
2014-06-24 01:00:00,0.148,228
2014-06-25 01:00:00,0.154,280
2014-06-26 01:00:00,0.181,253
2014-06-27 01:00:00,0.193,318
2014-06-28 01:00:00,0.198,267
2014-06-29 01:00:00,0.207,299
2014-06-30 01:00:00,0.204,272
2014-07-01 01:00:00,0.237,282
2014-07-02 01:00:00,0.186,263
2014-07-03 01:00:00,0.189,274
2014-07-04 01:00:00,0.229,206
2014-07-05 01:00:00,0.257,224
2014-07-06 01:00:00,0.268,208
2014-07-07 01:00:00,0.26,217
2014-07-08 01:00:00,0.244,197
2014-07-09 01:00:00,0.249,220
2014-07-10 01:00:00,0.234,226
2014-07-11 01:00:00,0.224,271
2014-07-12 01:00:00,0.255,234
2014-07-13 01:00:00,0.253,236
2014-07-14 01:00:00,0.276,249
2014-07-15 01:00:00,0.285,225
2014-07-16 01:00:00,0.255,219
2014-07-17 01:00:00,0.25,230
2014-07-18 01:00:00,0.244,228
2014-07-19 01:00:00,0.251,213
2014-07-20 01:00:00,0.228,202
2014-07-21 01:00:00,0.235,251
2014-07-22 01:00:00,0.251,236
2014-07-23 01:00:00,0.266,222
2014-07-24 01:00:00,0.263,187
