date,price,volume
2019-03-14 01:00:00,16.279,138
2019-03-15 01:00:00,9.974,199
2019-03-16 01:00:00,8.923,214
2019-03-17 01:00:00,7.692,187
2019-03-18 01:00:00,7.459,147
2019-03-19 01:00:00,7.414,132
2019-03-20 01:00:00,7.542,124
2019-03-21 01:00:00,7.429,153
2019-03-22 01:00:00,6.675,138
2019-03-23 01:00:00,6.762,171
2019-03-24 01:00:00,6.187,202
2019-03-25 01:00:00,5.594,192
2019-03-26 01:00:00,5.387,197
2019-03-27 01:00:00,5.958,158
2019-03-28 01:00:00,6.273,156
2019-03-29 01:00:00,5.899,192
2019-03-30 01:00:00,6.216,176
2019-03-31 01:00:00,6.324,179
2019-04-01 01:00:00,6.256,157
2019-04-02 01:00:00,6.246,171
2019-04-03 01:00:00,6.4,154
2019-04-04 01:00:00,6.395,178
2019-04-05 01:00:00,6.696,166
2019-04-06 01:00:00,6.595,175
2019-04-07 01:00:00,6.238,202
2019-04-08 01:00:00,6.268,195
2019-04-09 01:00:00,6.508,179
2019-04-10 01:00:00,6.681,202
2019-04-11 01:00:00,6.411,139
2019-04-12 01:00:00,6.38,186
2019-04-13 01:00:00,6.198,208
2019-04-14 01:00:00,6.139,183
2019-04-15 01:00:00,6.168,186
2019-04-16 01:00:00,6.052,160
2019-04-17 01:00:00,5.956,152
2019-04-18 01:00:00,5.699,174
2019-04-19 01:00:00,5.692,188
2019-04-20 01:00:00,5.638,202
2019-04-21 01:00:00,5.577,231
2019-04-22 01:00:00,5.623,194
2019-04-23 01:00:00,5.756,177
2019-04-24 01:00:00,5.46,190
2019-04-25 01:00:00,5.322,211
2019-04-26 01:00:00,5.222,186
2019-04-27 01:00:00,5.356,207
2019-04-28 01:00:00,5.119,197
2019-04-29 01:00:00,4.94,175
2019-04-30 01:00:00,5.12,190
2019-05-01 01:00:00,5.217,211
2019-05-02 01:00:00,5.236,185
2019-05-03 01:00:00,5.29,169
2019-05-04 01:00:00,5.249,205
2019-05-05 01:00:00,5.304,221
2019-05-06 01:00:00,5.322,174
2019-05-07 01:00:00,5.353,208
2019-05-08 01:00:00,5.227,162
2019-05-09 01:00:00,4.927,214
2019-05-10 01:00:00,4.811,178
2019-05-11 01:00:00,4.864,194
2019-05-12 01:00:00,5.045,202
2019-05-13 01:00:00,5.114,175
2019-05-14 01:00:00,5.103,169
2019-05-15 01:00:00,5.016,181
2019-05-16 01:00:00,5.048,151
2019-05-17 01:00:00,5.1,205
2019-05-18 01:00:00,5.14,192
2019-05-19 01:00:00,4.994,208
2019-05-20 01:00:00,4.894,182
2019-05-21 01:00:00,4.986,191
2019-05-22 01:00:00,4.92,177
2019-05-23 01:00:00,5.129,181
2019-05-24 01:00:00,5.248,164
2019-05-25 01:00:00,5.227,190
2019-05-26 01:00:00,5.142,193
2019-05-27 01:00:00,5.177,194
2019-05-28 01:00:00,5.503,171
2019-05-29 01:00:00,5.12,169
2019-05-30 01:00:00,5.064,218
2019-05-31 01:00:00,5.255,199
2019-06-01 01:00:00,5.368,201
