date,price,volume
2023-04-25 01:00:00,0.101,28937
2023-04-26 01:00:00,0.095,9992
2023-04-27 01:00:00,0.097,6522
2023-04-28 01:00:00,0.094,6520
2023-04-29 01:00:00,0.089,5960
2023-04-30 01:00:00,0.083,4755
2023-05-01 01:00:00,0.08,4438
2023-05-02 01:00:00,0.081,3832
2023-05-03 01:00:00,0.088,3799
2023-05-04 01:00:00,0.083,3353
2023-05-05 01:00:00,0.074,4009
2023-05-06 01:00:00,0.077,3164
2023-05-07 01:00:00,0.074,2798
2023-05-08 01:00:00,0.074,2257
2023-05-09 01:00:00,0.073,2035
2023-05-10 01:00:00,0.076,2403
2023-05-11 01:00:00,0.072,1958
2023-05-12 01:00:00,0.07,1859
2023-05-13 01:00:00,0.063,1983
2023-05-14 01:00:00,0.062,2163
2023-05-15 01:00:00,0.058,1655
2023-05-16 01:00:00,0.057,1974
2023-05-17 01:00:00,0.06,1708
2023-05-18 01:00:00,0.054,1627
2023-05-19 01:00:00,0.065,1618
2023-05-20 01:00:00,0.058,1913
2023-05-21 01:00:00,0.055,1652
2023-05-22 01:00:00,0.057,1503
2023-05-23 01:00:00,0.059,1494
2023-05-24 01:00:00,0.059,1289
2023-05-25 01:00:00,0.058,1376
2023-05-26 01:00:00,0.063,1627
2023-05-27 01:00:00,0.066,1560
2023-05-28 01:00:00,0.063,1355
2023-05-29 01:00:00,0.061,1486
2023-05-30 01:00:00,0.064,1246
2023-05-31 01:00:00,0.064,1404
2023-06-01 01:00:00,0.064,1397
2023-06-02 01:00:00,0.065,1326
2023-06-03 01:00:00,0.063,1273
2023-06-04 01:00:00,0.063,1305
2023-06-05 01:00:00,0.063,1267
2023-06-06 01:00:00,0.06,1050
2023-06-07 01:00:00,0.064,1525
2023-06-08 01:00:00,0.064,1573
2023-06-09 01:00:00,0.064,1269
2023-06-10 01:00:00,0.063,1422
2023-06-11 01:00:00,0.063,1394
2023-06-12 01:00:00,0.063,1150
2023-06-13 01:00:00,0.067,1188
2023-06-14 01:00:00,0.063,1279
2023-06-15 01:00:00,0.062,1227
2023-06-16 01:00:00,0.065,1141
2023-06-17 01:00:00,0.065,1012
2023-06-18 01:00:00,0.062,1243
2023-06-19 01:00:00,0.068,1305
2023-06-20 01:00:00,0.061,864
2023-06-21 01:00:00,0.064,1317
2023-06-22 01:00:00,0.069,1097
2023-06-23 01:00:00,0.06,1427
2023-06-24 01:00:00,0.062,1398
2023-06-25 01:00:00,0.061,1057
2023-06-26 01:00:00,0.059,1001
2023-06-27 01:00:00,0.062,1109
2023-06-28 01:00:00,0.063,1019
2023-06-29 01:00:00,0.064,1008
2023-06-30 01:00:00,0.06,1093
2023-07-01 01:00:00,0.059,1055
2023-07-02 01:00:00,0.057,1122
2023-07-03 01:00:00,0.055,874
2023-07-04 01:00:00,0.055,770
2023-07-05 01:00:00,0.052,535
2023-07-06 01:00:00,0.055,641
2023-07-07 01:00:00,0.053,619
2023-07-08 01:00:00,0.056,613
2023-07-09 01:00:00,0.053,631
2023-07-10 01:00:00,0.054,552
2023-07-11 01:00:00,0.052,671
2023-07-12 01:00:00,0.053,1192
2023-07-13 01:00:00,0.052,1191
2023-07-14 01:00:00,0.049,708
2023-07-15 01:00:00,0.048,814
2023-07-16 01:00:00,0.048,803
2023-07-17 01:00:00,0.05,909
2023-07-18 01:00:00,0.046,728
2023-07-19 01:00:00,0.046,861
2023-07-20 01:00:00,0.048,925
2023-07-21 01:00:00,0.047,800
2023-07-22 01:00:00,0.048,756
2023-07-23 01:00:00,0.049,781
2023-07-24 01:00:00,0.05,641
2023-07-25 01:00:00,0.047,697
2023-07-26 01:00:00,0.051,1210
2023-07-27 01:00:00,0.053,965
2023-07-28 01:00:00,0.051,923
2023-07-29 01:00:00,0.049,760
2023-07-30 01:00:00,0.056,1228
2023-07-31 01:00:00,0.05,649
2023-08-01 01:00:00,0.05,770
2023-08-02 01:00:00,0.056,1323
