date,price,volume
2013-11-28 01:00:00,0.291,37
2013-11-29 01:00:00,0.109,96
2013-11-30 01:00:00,0.089,162
2013-12-01 01:00:00,0.085,172
2013-12-02 01:00:00,0.076,122
2013-12-03 01:00:00,0.058,164
2013-12-04 01:00:00,0.061,129
2013-12-05 01:00:00,0.056,195
2013-12-06 01:00:00,0.061,182
2013-12-07 01:00:00,0.065,191
2013-12-08 01:00:00,0.065,263
2013-12-09 01:00:00,0.061,172
2013-12-10 01:00:00,0.066,224
2013-12-11 01:00:00,0.055,189
2013-12-12 01:00:00,0.057,181
2013-12-13 01:00:00,0.055,174
2013-12-14 01:00:00,0.052,203
2013-12-15 01:00:00,0.05,253
2013-12-16 01:00:00,0.049,206
2013-12-17 01:00:00,0.044,228
2013-12-18 01:00:00,0.039,167
2013-12-19 01:00:00,0.033,199
2013-12-20 01:00:00,0.033,293
2013-12-21 01:00:00,0.037,376
2013-12-22 01:00:00,0.041,324
2013-12-23 01:00:00,0.038,314
2013-12-24 01:00:00,0.035,240
2013-12-25 01:00:00,0.033,194
2013-12-26 01:00:00,0.041,283
2013-12-27 01:00:00,0.041,278
2013-12-28 01:00:00,0.043,295
2013-12-29 01:00:00,0.035,281
2013-12-30 01:00:00,0.038,395
2013-12-31 01:00:00,0.04,314
2014-01-01 01:00:00,0.031,308
2014-01-02 01:00:00,0.04,309
2014-01-03 01:00:00,0.036,282
2014-01-04 01:00:00,0.039,396
2014-01-05 01:00:00,0.035,413
2014-01-06 01:00:00,0.043,393
2014-01-07 01:00:00,0.042,324
2014-01-08 01:00:00,0.043,304
2014-01-09 01:00:00,0.037,340
2014-01-10 01:00:00,0.042,422
2014-01-11 01:00:00,0.047,464
2014-01-12 01:00:00,0.045,484
2014-01-13 01:00:00,0.041,550
2014-01-14 01:00:00,0.03,436
2014-01-15 01:00:00,0.03,382
2014-01-16 01:00:00,0.031,400
2014-01-17 01:00:00,0.03,346
2014-01-18 01:00:00,0.04,575
2014-01-19 01:00:00,0.031,552
2014-01-20 01:00:00,0.031,506
2014-01-21 01:00:00,0.035,509
2014-01-22 01:00:00,0.033,560
2014-01-23 01:00:00,0.03,455
2014-01-24 01:00:00,0.034,622
2014-01-25 01:00:00,0.031,653
2014-01-26 01:00:00,0.033,816
2014-01-27 01:00:00,0.031,584
2014-01-28 01:00:00,0.031,603
2014-01-29 01:00:00,0.03,644
2014-01-30 01:00:00,0.03,539
2014-01-31 01:00:00,0.03,550
2014-02-01 01:00:00,0.03,752
2014-02-02 01:00:00,0.03,844
2014-02-03 01:00:00,0.03,633
2014-02-04 01:00:00,0.03,506
2014-02-05 01:00:00,0.03,623
2014-02-06 01:00:00,0.03,582
2014-02-07 01:00:00,0.03,580
2014-02-08 01:00:00,0.03,715
2014-02-09 01:00:00,0.03,720
2014-02-10 01:00:00,0.033,620
2014-02-11 01:00:00,0.03,673
2014-02-12 01:00:00,0.03,715
2014-02-13 01:00:00,0.03,656
2014-02-14 01:00:00,0.03,581
2014-02-15 01:00:00,0.03,778
2014-02-16 01:00:00,0.03,677
2014-02-17 01:00:00,0.03,624
2014-02-18 01:00:00,0.03,560
2014-02-19 01:00:00,0.03,504
2014-02-20 01:00:00,0.03,429
2014-02-21 01:00:00,0.03,559
2014-02-22 01:00:00,0.03,628
2014-02-23 01:00:00,0.03,558
2014-02-24 01:00:00,0.03,482
2014-02-25 01:00:00,0.03,565
2014-02-26 01:00:00,0.03,456
2014-02-27 01:00:00,0.03,582
2014-02-28 01:00:00,0.03,585
2014-03-01 01:00:00,0.03,663
2014-03-02 01:00:00,0.03,714
2014-03-03 01:00:00,0.03,627
2014-03-04 01:00:00,0.03,544
2014-03-05 01:00:00,0.03,484
2014-03-06 01:00:00,0.03,460
2014-03-07 01:00:00,0.03,550
2014-03-08 01:00:00,0.03,619
2014-03-09 01:00:00,0.03,687
2014-03-10 01:00:00,0.03,653
2014-03-11 01:00:00,0.03,513
2014-03-12 01:00:00,0.03,524
2014-03-13 01:00:00,0.03,378
2014-03-14 01:00:00,0.03,527
2014-03-15 01:00:00,0.03,816
2014-03-16 01:00:00,0.03,822
2014-03-17 01:00:00,0.03,748
