date,price,volume
2020-04-01 01:00:00,0.989,1551
2020-04-02 01:00:00,0.639,1713
2020-04-03 01:00:00,0.557,1259
2020-04-04 01:00:00,0.466,1226
2020-04-05 01:00:00,0.413,1203
2020-04-06 01:00:00,0.353,1462
2020-04-07 01:00:00,0.288,1268
2020-04-08 01:00:00,0.326,1812
2020-04-09 01:00:00,0.395,1305
2020-04-10 01:00:00,0.371,1297
2020-04-11 01:00:00,0.338,1333
2020-04-12 01:00:00,0.302,1432
2020-04-13 01:00:00,0.272,1497
2020-04-14 01:00:00,0.264,1400
2020-04-15 01:00:00,0.263,1356
2020-04-16 01:00:00,0.269,1278
2020-04-17 01:00:00,0.254,1437
2020-04-18 01:00:00,0.233,1408
2020-04-19 01:00:00,0.216,1542
2020-04-20 01:00:00,0.217,1349
2020-04-21 01:00:00,0.21,1433
2020-04-22 01:00:00,0.191,1284
2020-04-23 01:00:00,0.167,1423
2020-04-24 01:00:00,0.161,1437
2020-04-25 01:00:00,0.157,1559
2020-04-26 01:00:00,0.152,1524
2020-04-27 01:00:00,0.146,1492
2020-04-28 01:00:00,0.146,1657
2020-04-29 01:00:00,0.145,1622
2020-04-30 01:00:00,0.141,1769
2020-05-01 01:00:00,0.141,1389
2020-05-02 01:00:00,0.149,1525
2020-05-03 01:00:00,0.147,1353
2020-05-04 01:00:00,0.145,1338
2020-05-05 01:00:00,0.15,1256
2020-05-06 01:00:00,0.148,1369
2020-05-07 01:00:00,0.145,1306
2020-05-08 01:00:00,0.14,1374
2020-05-09 01:00:00,0.139,1423
2020-05-10 01:00:00,0.136,1392
2020-05-11 01:00:00,0.133,1411
2020-05-12 01:00:00,0.131,1489
2020-05-13 01:00:00,0.129,1575
2020-05-14 01:00:00,0.126,1582
2020-05-15 01:00:00,0.125,1395
2020-05-16 01:00:00,0.128,1387
2020-05-17 01:00:00,0.125,1342
2020-05-18 01:00:00,0.127,1393
2020-05-19 01:00:00,0.128,1199
2020-05-20 01:00:00,0.127,1388
2020-05-21 01:00:00,0.123,1188
2020-05-22 01:00:00,0.121,1365
2020-05-23 01:00:00,0.122,1474
2020-05-24 01:00:00,0.122,1354
2020-05-25 01:00:00,0.119,1217
2020-05-26 01:00:00,0.118,1415
2020-05-27 01:00:00,0.112,1186
2020-05-28 01:00:00,0.109,1237
2020-05-29 01:00:00,0.107,1220
2020-05-30 01:00:00,0.107,1193
2020-05-31 01:00:00,0.103,1332
2020-06-01 01:00:00,0.1,1251
2020-06-02 01:00:00,0.099,1191
2020-06-03 01:00:00,0.099,1090
2020-06-04 01:00:00,0.103,1003
2020-06-05 01:00:00,0.101,1468
2020-06-06 01:00:00,0.098,1124
2020-06-07 01:00:00,0.1,1194
2020-06-08 01:00:00,0.096,1025
2020-06-09 01:00:00,0.096,1278
2020-06-10 01:00:00,0.099,1227
2020-06-11 01:00:00,0.098,1183
2020-06-12 01:00:00,0.103,1066
2020-06-13 01:00:00,0.101,1033
2020-06-14 01:00:00,0.107,1048
2020-06-15 01:00:00,0.105,904
2020-06-16 01:00:00,0.102,971
2020-06-17 01:00:00,0.1,1060
2020-06-18 01:00:00,0.098,1021
2020-06-19 01:00:00,0.095,1038
2020-06-20 01:00:00,0.093,1377
2020-06-21 01:00:00,0.095,1179
2020-06-22 01:00:00,0.095,1203
2020-06-23 01:00:00,0.096,1166
2020-06-24 01:00:00,0.1,1054
2020-06-25 01:00:00,0.1,1094
2020-06-26 01:00:00,0.098,1286
