date,price,volume
2018-10-04 01:00:00,13.755,45
2018-10-05 01:00:00,9.896,47
2018-10-06 01:00:00,9.344,66
2018-10-07 01:00:00,10.098,49
2018-10-08 01:00:00,11.333,36
2018-10-09 01:00:00,10.861,41
2018-10-10 01:00:00,10.103,56
2018-10-11 01:00:00,8.2,55
2018-10-12 01:00:00,8.92,57
2018-10-13 01:00:00,8.746,60
2018-10-14 01:00:00,8.888,52
2018-10-15 01:00:00,9.203,36
2018-10-16 01:00:00,8.54,39
2018-10-17 01:00:00,8.106,56
2018-10-18 01:00:00,7.15,66
2018-10-19 01:00:00,6.758,71
2018-10-20 01:00:00,6.825,76
2018-10-21 01:00:00,6.888,49
2018-10-22 01:00:00,6.935,56
2018-10-23 01:00:00,7.372,56
2018-10-24 01:00:00,6.348,75
2018-10-25 01:00:00,5.714,78
2018-10-26 01:00:00,5.747,73
2018-10-27 01:00:00,5.336,77
2018-10-28 01:00:00,5.77,67
2018-10-29 01:00:00,5.8,60
2018-10-30 01:00:00,5.813,47
2018-10-31 01:00:00,5.751,63
2018-11-01 01:00:00,4.987,92
2018-11-02 01:00:00,5.343,89
2018-11-03 01:00:00,5.125,96
2018-11-04 01:00:00,5.224,71
2018-11-05 01:00:00,5.559,56
2018-11-06 01:00:00,5.357,59
2018-11-07 01:00:00,5.33,91
2018-11-08 01:00:00,5.202,72
2018-11-09 01:00:00,5.111,86
2018-11-10 01:00:00,5.431,98
2018-11-11 01:00:00,5.684,90
2018-11-12 01:00:00,5.307,69
2018-11-13 01:00:00,5.774,51
2018-11-14 01:00:00,5.728,75
2018-11-15 01:00:00,5.003,87
2018-11-16 01:00:00,5.153,85
2018-11-17 01:00:00,5.107,93
2018-11-18 01:00:00,4.689,93
2018-11-19 01:00:00,4.722,75
2018-11-20 01:00:00,4.779,71
2018-11-21 01:00:00,4.509,88
2018-11-22 01:00:00,4.559,97
2018-11-23 01:00:00,4.143,78
2018-11-24 01:00:00,3.916,118
2018-11-25 01:00:00,3.923,93
2018-11-26 01:00:00,3.924,76
2018-11-27 01:00:00,4.278,70
2018-11-28 01:00:00,4.149,84
2018-11-29 01:00:00,3.998,90
2018-11-30 01:00:00,4.113,84
2018-12-01 01:00:00,4.035,116
2018-12-02 01:00:00,4.036,111
2018-12-03 01:00:00,4.21,95
2018-12-04 01:00:00,4.205,90
2018-12-05 01:00:00,4.101,80
2018-12-06 01:00:00,4.02,94
2018-12-07 01:00:00,4.095,204
2018-12-08 01:00:00,4.352,167
2018-12-09 01:00:00,4.108,143
2018-12-10 01:00:00,4.124,108
2018-12-11 01:00:00,4.206,83
2018-12-12 01:00:00,4.164,125
2018-12-13 01:00:00,4.158,113
2018-12-14 01:00:00,4.168,107
2018-12-15 01:00:00,4.094,143
2018-12-16 01:00:00,4.197,134
2018-12-17 01:00:00,4.184,95
2018-12-18 01:00:00,4.337,110
2018-12-19 01:00:00,4.096,118
2018-12-20 01:00:00,3.707,132
2018-12-21 01:00:00,3.605,148
2018-12-22 01:00:00,3.69,155
2018-12-23 01:00:00,3.771,125
2018-12-24 01:00:00,3.986,108
2018-12-25 01:00:00,3.925,142
2018-12-26 01:00:00,4.008,144
2018-12-27 01:00:00,4.025,149
2018-12-28 01:00:00,4.255,134
2018-12-29 01:00:00,4.021,174
2018-12-30 01:00:00,3.725,169
2018-12-31 01:00:00,3.644,146
2019-01-01 01:00:00,3.72,146
2019-01-02 01:00:00,3.704,178
2019-01-03 01:00:00,3.738,184
2019-01-04 01:00:00,3.925,156
2019-01-05 01:00:00,4.163,150
2019-01-06 01:00:00,4.255,138
2019-01-07 01:00:00,3.984,138
2019-01-08 01:00:00,4.349,110
2019-01-09 01:00:00,4.627,130
2019-01-10 01:00:00,4.479,114
2019-01-11 01:00:00,4.326,138
2019-01-12 01:00:00,4.194,137
2019-01-13 01:00:00,4.325,125
2019-01-14 01:00:00,4.028,140
2019-01-15 01:00:00,4.217,104
2019-01-16 01:00:00,4.154,131
2019-01-17 01:00:00,4.189,125
2019-01-18 01:00:00,4.136,145
2019-01-19 01:00:00,4.173,155
2019-01-20 01:00:00,4.028,141
2019-01-21 01:00:00,4.084,123
2019-01-22 01:00:00,4.092,111
2019-01-23 01:00:00,3.933,132
2019-01-24 01:00:00,4.096,106
2019-01-25 01:00:00,3.982,122
2019-01-26 01:00:00,4.046,129
2019-01-27 01:00:00,4.193,150
2019-01-28 01:00:00,4.135,136
2019-01-29 01:00:00,4.268,106
2019-01-30 01:00:00,3.947,111
2019-01-31 01:00:00,3.96,146
2019-02-01 01:00:00,4.03,128
2019-02-02 01:00:00,4.06,147
2019-02-03 01:00:00,4.064,145
2019-02-04 01:00:00,3.988,131
2019-02-05 01:00:00,3.833,120
2019-02-06 01:00:00,3.746,138
2019-02-07 01:00:00,3.605,195
2019-02-08 01:00:00,3.583,164
