date,price,volume
2023-04-25 01:00:00,9.563,6617
2023-04-26 01:00:00,9.432,1898
2023-04-27 01:00:00,9.447,1251
2023-04-28 01:00:00,9.086,1142
2023-04-29 01:00:00,8.773,1010
2023-04-30 01:00:00,8.629,810
2023-05-01 01:00:00,8.165,757
2023-05-02 01:00:00,8.263,687
2023-05-03 01:00:00,8.777,677
2023-05-04 01:00:00,8.901,563
2023-05-05 01:00:00,7.854,856
2023-05-06 01:00:00,8.33,574
2023-05-07 01:00:00,8.509,515
2023-05-08 01:00:00,8.625,435
2023-05-09 01:00:00,8.685,365
2023-05-10 01:00:00,7.966,466
2023-05-11 01:00:00,7.386,372
2023-05-12 01:00:00,6.797,407
2023-05-13 01:00:00,6.456,407
2023-05-14 01:00:00,6.301,377
2023-05-15 01:00:00,6.475,352
2023-05-16 01:00:00,6.667,316
2023-05-17 01:00:00,6.665,315
2023-05-18 01:00:00,6.849,276
2023-05-19 01:00:00,6.572,323
2023-05-20 01:00:00,6.6,337
2023-05-21 01:00:00,6.535,300
2023-05-22 01:00:00,6.575,264
2023-05-23 01:00:00,6.69,249
2023-05-24 01:00:00,6.528,261
2023-05-25 01:00:00,6.731,264
2023-05-26 01:00:00,6.499,265
2023-05-27 01:00:00,6.577,261
2023-05-28 01:00:00,6.644,249
2023-05-29 01:00:00,6.401,265
2023-05-30 01:00:00,6.427,218
2023-05-31 01:00:00,6.563,249
2023-06-01 01:00:00,6.39,270
2023-06-02 01:00:00,6.371,251
2023-06-03 01:00:00,6.443,248
2023-06-04 01:00:00,6.496,250
2023-06-05 01:00:00,6.398,243
2023-06-06 01:00:00,6.22,233
2023-06-07 01:00:00,6.077,248
2023-06-08 01:00:00,6.142,268
2023-06-09 01:00:00,6.043,272
2023-06-10 01:00:00,5.987,294
2023-06-11 01:00:00,6.124,272
2023-06-12 01:00:00,6.061,235
2023-06-13 01:00:00,5.933,230
2023-06-14 01:00:00,5.892,255
2023-06-15 01:00:00,5.779,265
2023-06-16 01:00:00,5.754,233
2023-06-17 01:00:00,5.532,255
2023-06-18 01:00:00,5.419,263
2023-06-19 01:00:00,5.552,222
2023-06-20 01:00:00,5.502,205
2023-06-21 01:00:00,5.377,260
2023-06-22 01:00:00,5.491,207
2023-06-23 01:00:00,5.07,352
2023-06-24 01:00:00,5.285,260
2023-06-25 01:00:00,5.288,248
2023-06-26 01:00:00,5.147,256
2023-06-27 01:00:00,5.005,211
2023-06-28 01:00:00,4.934,216
2023-06-29 01:00:00,4.829,244
2023-06-30 01:00:00,4.482,310
2023-07-01 01:00:00,4.542,286
2023-07-02 01:00:00,4.486,307
2023-07-03 01:00:00,4.155,267
2023-07-04 01:00:00,4.284,193
2023-07-05 01:00:00,4.463,181
2023-07-06 01:00:00,4.813,158
2023-07-07 01:00:00,4.811,126
2023-07-08 01:00:00,5.068,121
2023-07-09 01:00:00,5.066,128
2023-07-10 01:00:00,4.309,106
2023-07-11 01:00:00,4.184,222
2023-07-12 01:00:00,3.833,349
2023-07-13 01:00:00,3.882,358
2023-07-14 01:00:00,3.991,281
2023-07-15 01:00:00,4.204,275
2023-07-16 01:00:00,4.055,251
2023-07-17 01:00:00,4.138,224
2023-07-18 01:00:00,4.107,257
2023-07-19 01:00:00,4.242,296
2023-07-20 01:00:00,4.114,252
2023-07-21 01:00:00,4.058,237
2023-07-22 01:00:00,4.299,238
2023-07-23 01:00:00,4.235,259
2023-07-24 01:00:00,4.133,283
2023-07-25 01:00:00,4.096,234
2023-07-26 01:00:00,3.927,251
2023-07-27 01:00:00,3.995,262
2023-07-28 01:00:00,4.062,251
2023-07-29 01:00:00,4.033,253
2023-07-30 01:00:00,4.009,304
2023-07-31 01:00:00,4.06,222
2023-08-01 01:00:00,4.139,261
2023-08-02 01:00:00,4.209,273
2023-08-03 01:00:00,4.251,267
2023-08-04 01:00:00,4.292,262
2023-08-05 01:00:00,4.239,244
2023-08-06 01:00:00,4.312,223
2023-08-07 01:00:00,4.279,227
2023-08-08 01:00:00,4.254,216
2023-08-09 01:00:00,4.299,232
2023-08-10 01:00:00,4.201,262
2023-08-11 01:00:00,4.073,232
2023-08-12 01:00:00,4.185,236
2023-08-13 01:00:00,4.102,222
2023-08-14 01:00:00,4.012,243
2023-08-15 01:00:00,4.036,217
2023-08-16 01:00:00,4.029,235
2023-08-17 01:00:00,4.041,232
2023-08-18 01:00:00,3.888,249
2023-08-19 01:00:00,4.006,260
2023-08-20 01:00:00,4.002,225
2023-08-21 01:00:00,3.916,254
2023-08-22 01:00:00,3.857,209
2023-08-23 01:00:00,3.927,253
2023-08-24 01:00:00,3.937,258
2023-08-25 01:00:00,3.932,227
2023-08-26 01:00:00,3.886,231
2023-08-27 01:00:00,3.937,238
2023-08-28 01:00:00,4.029,237
2023-08-29 01:00:00,3.956,204
2023-08-30 01:00:00,4.022,216
2023-08-31 01:00:00,3.905,228
2023-09-01 01:00:00,4.359,234
2023-09-02 01:00:00,4.604,264
2023-09-03 01:00:00,4.842,239
2023-09-04 01:00:00,4.984,213
2023-09-05 01:00:00,4.918,205
2023-09-06 01:00:00,4.783,204
2023-09-07 01:00:00,4.75,231
2023-09-08 01:00:00,4.737,258
2023-09-09 01:00:00,4.599,272
2023-09-10 01:00:00,4.601,284
2023-09-11 01:00:00,4.688,220
2023-09-12 01:00:00,4.722,221
2023-09-13 01:00:00,4.638,222
2023-09-14 01:00:00,4.507,238
2023-09-15 01:00:00,4.614,227
2023-09-16 01:00:00,4.428,257
2023-09-17 01:00:00,4.541,268
2023-09-18 01:00:00,4.176,217
2023-09-19 01:00:00,4.38,195
2023-09-20 01:00:00,4.422,149
2023-09-21 01:00:00,4.394,156
2023-09-22 01:00:00,4.514,173
2023-09-23 01:00:00,4.45,194
2023-09-24 01:00:00,4.437,195
2023-09-25 01:00:00,4.406,177
2023-09-26 01:00:00,4.498,178
2023-09-27 01:00:00,4.488,281
2023-09-28 01:00:00,4.465,402
2023-09-29 01:00:00,4.576,331
2023-09-30 01:00:00,4.623,352
2023-10-01 01:00:00,4.748,354
2023-10-02 01:00:00,4.875,273
2023-10-03 01:00:00,4.855,285
2023-10-04 01:00:00,4.618,282
2023-10-05 01:00:00,4.652,283
2023-10-06 01:00:00,4.804,268
2023-10-07 01:00:00,4.824,309
2023-10-08 01:00:00,4.802,290
2023-10-09 01:00:00,4.797,271
2023-10-10 01:00:00,4.695,246
2023-10-11 01:00:00,4.722,289
2023-10-12 01:00:00,4.799,275
2023-10-13 01:00:00,4.723,282
2023-10-14 01:00:00,4.607,328
2023-10-15 01:00:00,4.508,314
2023-10-16 01:00:00,4.547,301
2023-10-17 01:00:00,4.51,351
2023-10-18 01:00:00,4.614,290
2023-10-19 01:00:00,4.637,286
2023-10-20 01:00:00,4.565,281
2023-10-21 01:00:00,4.543,279
2023-10-22 01:00:00,4.52,262
2023-10-23 01:00:00,4.485,244
2023-10-24 01:00:00,4.349,213
