date,price,volume
2015-04-16 01:00:00,19.439,1158
2015-04-17 01:00:00,13.304,1194
2015-04-18 01:00:00,9.974,1497
2015-04-19 01:00:00,8.783,1262
2015-04-20 01:00:00,7.991,1317
2015-04-21 01:00:00,7.771,1175
2015-04-22 01:00:00,7.445,1176
2015-04-23 01:00:00,7.024,1297
2015-04-24 01:00:00,6.718,1586
2015-04-25 01:00:00,6.734,1623
2015-04-26 01:00:00,5.974,1707
2015-04-27 01:00:00,5.702,1582
2015-04-28 01:00:00,5.707,1475
2015-04-29 01:00:00,5.629,1520
2015-04-30 01:00:00,5.709,1868
2015-05-01 01:00:00,5.309,1808
2015-05-02 01:00:00,5.305,2164
2015-05-03 01:00:00,4.904,2034
2015-05-04 01:00:00,4.666,2081
2015-05-05 01:00:00,4.667,1849
2015-05-06 01:00:00,4.613,1817
2015-05-07 01:00:00,4.492,1733
2015-05-08 01:00:00,4.36,2178
2015-05-09 01:00:00,4.414,2638
2015-05-10 01:00:00,4.141,2247
2015-05-11 01:00:00,4.027,2298
2015-05-12 01:00:00,4.072,1929
2015-05-13 01:00:00,4.035,2098
2015-05-14 01:00:00,3.932,1892
2015-05-15 01:00:00,3.858,2373
2015-05-16 01:00:00,3.948,2402
2015-05-17 01:00:00,3.77,2651
2015-05-18 01:00:00,3.617,2316
2015-05-19 01:00:00,3.543,2357
2015-05-20 01:00:00,3.459,2259
2015-05-21 01:00:00,3.433,2353
2015-05-22 01:00:00,3.42,2381
2015-05-23 01:00:00,3.366,2767
2015-05-24 01:00:00,3.201,2615
2015-05-25 01:00:00,3.169,2916
2015-05-26 01:00:00,3.119,2675
2015-05-27 01:00:00,2.248,6031
2015-05-28 01:00:00,2.62,3964
2015-05-29 01:00:00,2.699,3775
2015-05-30 01:00:00,2.974,3900
2015-05-31 01:00:00,2.959,3458
2015-06-01 01:00:00,2.927,3497
2015-06-02 01:00:00,2.956,3188
2015-06-03 01:00:00,2.732,3018
2015-06-04 01:00:00,2.463,2934
2015-06-05 01:00:00,2.231,3441
2015-06-06 01:00:00,2.257,3328
2015-06-07 01:00:00,2.235,3238
2015-06-08 01:00:00,2.236,3089
2015-06-09 01:00:00,2.288,2931
2015-06-10 01:00:00,2.247,3103
2015-06-11 01:00:00,2.083,3136
2015-06-12 01:00:00,1.833,3710
2015-06-13 01:00:00,1.821,3949
2015-06-14 01:00:00,1.719,3878
2015-06-15 01:00:00,1.703,3712
2015-06-16 01:00:00,1.745,3354
2015-06-17 01:00:00,1.712,3295
2015-06-18 01:00:00,1.722,3298
2015-06-19 01:00:00,1.672,3781
2015-06-20 01:00:00,1.663,3734
2015-06-21 01:00:00,1.586,3655
2015-06-22 01:00:00,1.6,3819
2015-06-23 01:00:00,1.796,3026
2015-06-24 01:00:00,1.845,3287
2015-06-25 01:00:00,1.85,3213
2015-06-26 01:00:00,1.87,3413
2015-06-27 01:00:00,1.862,3388
2015-06-28 01:00:00,1.859,3429
2015-06-29 01:00:00,1.832,3451
2015-06-30 01:00:00,1.827,3455
2015-07-01 01:00:00,1.826,3405
2015-07-02 01:00:00,1.775,3342
2015-07-03 01:00:00,1.775,3317
2015-07-04 01:00:00,1.773,3292
2015-07-05 01:00:00,1.765,3179
2015-07-06 01:00:00,1.765,3387
2015-07-07 01:00:00,1.739,3516
2015-07-08 01:00:00,1.701,3283
2015-07-09 01:00:00,1.678,3654
2015-07-10 01:00:00,1.7,3414
2015-07-11 01:00:00,1.678,3447
2015-07-12 01:00:00,1.664,3643
2015-07-13 01:00:00,1.653,3604
2015-07-14 01:00:00,1.617,3460
2015-07-15 01:00:00,1.607,3630
2015-07-16 01:00:00,1.612,3581
2015-07-17 01:00:00,1.58,3539
2015-07-18 01:00:00,1.569,3719
2015-07-19 01:00:00,1.558,3592
2015-07-20 01:00:00,1.55,3939
2015-07-21 01:00:00,1.554,3595
2015-07-22 01:00:00,1.563,3416
2015-07-23 01:00:00,1.517,3981
2015-07-24 01:00:00,1.492,3861
2015-07-25 01:00:00,1.486,3729
2015-07-26 01:00:00,1.455,3365
2015-07-27 01:00:00,1.478,3915
2015-07-28 01:00:00,1.445,3783
2015-07-29 01:00:00,1.41,3698
2015-07-30 01:00:00,1.374,3822
2015-07-31 01:00:00,1.315,3993
2015-08-01 01:00:00,1.293,3933
2015-08-02 01:00:00,1.266,3949
2015-08-03 01:00:00,1.27,4022
2015-08-04 01:00:00,1.276,3683
2015-08-05 01:00:00,1.276,3976
2015-08-06 01:00:00,1.277,4098
2015-08-07 01:00:00,1.247,4050
2015-08-08 01:00:00,1.237,3852
2015-08-09 01:00:00,1.252,3648
2015-08-10 01:00:00,1.257,4067
2015-08-11 01:00:00,1.257,4004
2015-08-12 01:00:00,1.24,3949
2015-08-13 01:00:00,1.217,3887
2015-08-14 01:00:00,1.197,4040
2015-08-15 01:00:00,0.984,5487
2015-08-16 01:00:00,0.991,4479
2015-08-17 01:00:00,1.042,4338
2015-08-18 01:00:00,1.065,4112
2015-08-19 01:00:00,1.069,4079
2015-08-20 01:00:00,1.059,4298
2015-08-21 01:00:00,1.005,5272
2015-08-22 01:00:00,1.015,4967
2015-08-23 01:00:00,0.94,5919
2015-08-24 01:00:00,0.951,5426
2015-08-25 01:00:00,1.089,4583
2015-08-26 01:00:00,1.192,4566
2015-08-27 01:00:00,1.195,4382
2015-08-28 01:00:00,1.207,4545
2015-08-29 01:00:00,1.214,4535
2015-08-30 01:00:00,1.165,4908
2015-08-31 01:00:00,1.198,4725
2015-09-01 01:00:00,1.261,4832
2015-09-02 01:00:00,1.26,4178
2015-09-03 01:00:00,1.23,4020
2015-09-04 01:00:00,1.199,4421
2015-09-05 01:00:00,1.202,5618
2015-09-06 01:00:00,1.184,4951
2015-09-07 01:00:00,1.164,4106
2015-09-08 01:00:00,1.171,4266
2015-09-09 01:00:00,1.172,3615
2015-09-10 01:00:00,1.173,4455
2015-09-11 01:00:00,1.153,4965
2015-09-12 01:00:00,1.151,5610
2015-09-13 01:00:00,1.141,5010
2015-09-14 01:00:00,1.134,4302
2015-09-15 01:00:00,1.155,3914
2015-09-16 01:00:00,1.131,4852
2015-09-17 01:00:00,1.135,4555
2015-09-18 01:00:00,1.155,8450
2015-09-19 01:00:00,1.393,9767
2015-09-20 01:00:00,1.561,8814
2015-09-21 01:00:00,1.469,7385
2015-09-22 01:00:00,1.535,6813
2015-09-23 01:00:00,1.601,6731
2015-09-24 01:00:00,1.649,6020
2015-09-25 01:00:00,1.635,6669
2015-09-26 01:00:00,1.602,6866
2015-09-27 01:00:00,1.507,6105
2015-09-28 01:00:00,1.423,5015
2015-09-29 01:00:00,1.366,4949
2015-09-30 01:00:00,1.308,5280
2015-10-01 01:00:00,1.32,5004
2015-10-02 01:00:00,1.335,5809
2015-10-03 01:00:00,1.332,6068
2015-10-04 01:00:00,1.309,5178
2015-10-05 01:00:00,1.284,4495
2015-10-06 01:00:00,1.285,4095
2015-10-07 01:00:00,1.281,4448
2015-10-08 01:00:00,1.287,4338
2015-10-09 01:00:00,1.303,4796
2015-10-10 01:00:00,1.295,5373
2015-10-11 01:00:00,1.283,5183
2015-10-12 01:00:00,1.273,4166
2015-10-13 01:00:00,1.248,3762
2015-10-14 01:00:00,1.233,4191
2015-10-15 01:00:00,1.185,4136
2015-10-16 01:00:00,1.185,4144
2015-10-17 01:00:00,1.171,5482
2015-10-18 01:00:00,1.14,4869
2015-10-19 01:00:00,1.116,3680
2015-10-20 01:00:00,1.132,3670
2015-10-21 01:00:00,1.042,4481
2015-10-22 01:00:00,0.981,3455
2015-10-23 01:00:00,1.034,5088
2015-10-24 01:00:00,1.058,5549
2015-10-25 01:00:00,1.039,5177
2015-10-26 01:00:00,1.033,4097
2015-10-27 01:00:00,1.023,3869
2015-10-28 01:00:00,0.993,4399
2015-10-29 01:00:00,0.996,4138
2015-10-30 01:00:00,0.956,5325
2015-10-31 01:00:00,0.94,5936
2015-11-01 01:00:00,0.848,6605
2015-11-02 01:00:00,0.854,5167
2015-11-03 01:00:00,0.956,4364
2015-11-04 01:00:00,1.004,4156
2015-11-05 01:00:00,1.027,3999
2015-11-06 01:00:00,1.056,4678
2015-11-07 01:00:00,1.069,5417
2015-11-08 01:00:00,1.055,4991
2015-11-09 01:00:00,1.038,3792
2015-11-10 01:00:00,1.03,3580
2015-11-11 01:00:00,1.047,3610
2015-11-12 01:00:00,1.031,3445
2015-11-13 01:00:00,1.025,4145
2015-11-14 01:00:00,1.038,4931
2015-11-15 01:00:00,1.041,4716
2015-11-16 01:00:00,1.041,3648
2015-11-17 01:00:00,1.039,3576
2015-11-18 01:00:00,1.032,3625
2015-11-19 01:00:00,1.035,3409
2015-11-20 01:00:00,1.039,4056
2015-11-21 01:00:00,1.05,4878
2015-11-22 01:00:00,1.053,4167
2015-11-23 01:00:00,1.027,3260
2015-11-24 01:00:00,1.039,3642
2015-11-25 01:00:00,0.997,4277
2015-11-26 01:00:00,0.83,5345
2015-11-27 01:00:00,0.786,6107
2015-11-28 01:00:00,0.8,6915
2015-11-29 01:00:00,0.777,6186
2015-11-30 01:00:00,0.785,4968
2015-12-01 01:00:00,0.806,4748
2015-12-02 01:00:00,0.915,3939
2015-12-03 01:00:00,0.965,4144
2015-12-04 01:00:00,0.991,4872
2015-12-05 01:00:00,1.035,5576
2015-12-06 01:00:00,1.042,5314
2015-12-07 01:00:00,1.055,4403
2015-12-08 01:00:00,1.072,4040
2015-12-09 01:00:00,1.064,6081
2015-12-10 01:00:00,1.126,5355
2015-12-11 01:00:00,1.217,5950
2015-12-12 01:00:00,1.312,7536
2015-12-13 01:00:00,1.272,5465
2015-12-14 01:00:00,1.229,4360
2015-12-15 01:00:00,1.222,3985
2015-12-16 01:00:00,1.212,3553
2015-12-17 01:00:00,1.151,3427
2015-12-18 01:00:00,1.115,4163
2015-12-19 01:00:00,1.091,4579
2015-12-20 01:00:00,1.016,4566
2015-12-21 01:00:00,1.033,3595
2015-12-22 01:00:00,0.99,3990
2015-12-23 01:00:00,0.769,5919
2015-12-24 01:00:00,0.766,4805
2015-12-25 01:00:00,0.794,5360
2015-12-26 01:00:00,0.843,5668
2015-12-27 01:00:00,0.845,5978
2015-12-28 01:00:00,0.874,6118
2015-12-29 01:00:00,0.877,5779
2015-12-30 01:00:00,0.87,5588
2015-12-31 01:00:00,0.87,5196
2016-01-01 01:00:00,0.834,5439
2016-01-02 01:00:00,0.792,5841
2016-01-03 01:00:00,0.764,5622
2016-01-04 01:00:00,0.79,5363
2016-01-05 01:00:00,0.916,4444
2016-01-06 01:00:00,0.946,4131
2016-01-07 01:00:00,0.953,4160
