date,price,volume
2023-05-02 01:00:00,2.191,8853
2023-05-03 01:00:00,2.195,10811
2023-05-04 01:00:00,2.304,7591
2023-05-05 01:00:00,2.179,8314
2023-05-06 01:00:00,2.287,6166
2023-05-07 01:00:00,2.214,5421
2023-05-08 01:00:00,2.224,4182
2023-05-09 01:00:00,2.236,6234
2023-05-10 01:00:00,2.277,5249
2023-05-11 01:00:00,2.222,5623
2023-05-12 01:00:00,2.173,6001
2023-05-13 01:00:00,2.053,7701
2023-05-14 01:00:00,2.068,6794
2023-05-15 01:00:00,2.095,4879
2023-05-16 01:00:00,2.104,4012
2023-05-17 01:00:00,2.038,3818
2023-05-18 01:00:00,2.072,3679
2023-05-19 01:00:00,2.064,5023
2023-05-20 01:00:00,2.024,3978
2023-05-21 01:00:00,2.102,4448
2023-05-22 01:00:00,2.077,3533
2023-05-23 01:00:00,2.025,2951
2023-05-24 01:00:00,2.053,2928
2023-05-25 01:00:00,2.087,3690
2023-05-26 01:00:00,2.013,3547
2023-05-27 01:00:00,2.088,2853
2023-05-28 01:00:00,2.133,2378
2023-05-29 01:00:00,2.144,3432
2023-05-30 01:00:00,2.095,2544
2023-05-31 01:00:00,2.047,2617
2023-06-01 01:00:00,1.989,3333
2023-06-02 01:00:00,1.955,3615
2023-06-03 01:00:00,2.06,2912
2023-06-04 01:00:00,2.103,3028
2023-06-05 01:00:00,2.054,2698
2023-06-06 01:00:00,2.087,2290
2023-06-07 01:00:00,2.003,3047
2023-06-08 01:00:00,1.954,5174
2023-06-09 01:00:00,1.989,3905
2023-06-10 01:00:00,1.976,5779
2023-06-11 01:00:00,1.988,5159
2023-06-12 01:00:00,1.868,4601
2023-06-13 01:00:00,1.917,8233
2023-06-14 01:00:00,1.993,3538
2023-06-15 01:00:00,2.028,3296
2023-06-16 01:00:00,2.025,4379
2023-06-17 01:00:00,1.98,4274
2023-06-18 01:00:00,1.917,5473
2023-06-19 01:00:00,1.928,3948
2023-06-20 01:00:00,1.959,4556
2023-06-21 01:00:00,1.961,5089
2023-06-22 01:00:00,1.958,4105
2023-06-23 01:00:00,1.886,7253
2023-06-24 01:00:00,1.903,4277
2023-06-25 01:00:00,1.908,4722
2023-06-26 01:00:00,1.865,6382
2023-06-27 01:00:00,1.83,4393
2023-06-28 01:00:00,1.908,5875
2023-06-29 01:00:00,1.85,5254
2023-06-30 01:00:00,1.794,5958
2023-07-01 01:00:00,1.808,4399
2023-07-02 01:00:00,1.815,5444
2023-07-03 01:00:00,1.758,4982
2023-07-04 01:00:00,1.806,4471
2023-07-05 01:00:00,1.837,4356
2023-07-06 01:00:00,1.794,3969
2023-07-07 01:00:00,1.757,5809
2023-07-08 01:00:00,1.831,4778
2023-07-09 01:00:00,1.825,5459
2023-07-10 01:00:00,1.86,4425
2023-07-11 01:00:00,1.806,3758
2023-07-12 01:00:00,1.868,4824
2023-07-13 01:00:00,1.847,3930
2023-07-14 01:00:00,1.929,3630
2023-07-15 01:00:00,1.943,3760
2023-07-16 01:00:00,1.859,5522
