date,price,volume
2014-02-13 01:00:00,3.59,17356
2014-02-14 01:00:00,1.396,17914
2014-02-15 01:00:00,0.619,18311
2014-02-16 01:00:00,0.335,18521
2014-02-17 01:00:00,0.287,16565
2014-02-18 01:00:00,0.264,14547
2014-02-19 01:00:00,0.226,12638
2014-02-20 01:00:00,0.177,12623
2014-02-21 01:00:00,0.103,10817
2014-02-22 01:00:00,0.052,13016
2014-02-23 01:00:00,0.05,10918
2014-02-24 01:00:00,0.052,9360
2014-02-25 01:00:00,0.052,9662
2014-02-26 01:00:00,0.052,8665
2014-02-27 01:00:00,0.052,9154
2014-02-28 01:00:00,0.051,11817
2014-03-01 01:00:00,0.049,12157
2014-03-02 01:00:00,0.038,12735
2014-03-03 01:00:00,0.041,12066
2014-03-04 01:00:00,0.046,10186
2014-03-05 01:00:00,0.03,10127
2014-03-06 01:00:00,0.034,10411
2014-03-07 01:00:00,0.034,10112
2014-03-08 01:00:00,0.038,8406
2014-03-09 01:00:00,0.037,9089
2014-03-10 01:00:00,0.037,8676
2014-03-11 01:00:00,0.039,6732
2014-03-12 01:00:00,0.039,6318
2014-03-13 01:00:00,0.037,5182
2014-03-14 01:00:00,0.035,8531
2014-03-15 01:00:00,0.033,10165
2014-03-16 01:00:00,0.03,10254
2014-03-17 01:00:00,0.03,8131
2014-03-18 01:00:00,0.032,7537
2014-03-19 01:00:00,0.041,7989
2014-03-20 01:00:00,0.033,8233
2014-03-21 01:00:00,0.037,8321
2014-03-22 01:00:00,0.036,9303
2014-03-23 01:00:00,0.036,8672
2014-03-24 01:00:00,0.034,8312
2014-03-25 01:00:00,0.034,8166
2014-03-26 01:00:00,0.03,9979
2014-03-27 01:00:00,0.037,10092
2014-03-28 01:00:00,0.037,10647
2014-03-29 01:00:00,0.039,11651
2014-03-30 01:00:00,0.034,13368
2014-03-31 01:00:00,0.033,11801
2014-04-01 01:00:00,0.04,14096
2014-04-02 01:00:00,0.035,28919
2014-04-03 01:00:00,0.032,29341
2014-04-04 01:00:00,0.032,25525
2014-04-05 01:00:00,0.03,29219
2014-04-06 01:00:00,0.03,23997
2014-04-07 01:00:00,0.03,19404
2014-04-08 01:00:00,0.03,17633
2014-04-09 01:00:00,0.03,20428
2014-04-10 01:00:00,0.03,21184
2014-04-11 01:00:00,0.03,21810
2014-04-12 01:00:00,0.03,21300
2014-04-13 01:00:00,0.03,21988
2014-04-14 01:00:00,0.03,16600
2014-04-15 01:00:00,0.035,14630
2014-04-16 01:00:00,0.033,15602
2014-04-17 01:00:00,0.04,13394
2014-04-18 01:00:00,0.03,16932
2014-04-19 01:00:00,0.03,17474
2014-04-20 01:00:00,0.032,16254
2014-04-21 01:00:00,0.03,15461
2014-04-22 01:00:00,0.037,14532
2014-04-23 01:00:00,0.038,16170
2014-04-24 01:00:00,0.038,13962
2014-04-25 01:00:00,0.034,16108
2014-04-26 01:00:00,0.033,16071
2014-04-27 01:00:00,0.03,16610
2014-04-28 01:00:00,0.032,19713
2014-04-29 01:00:00,0.03,19413
2014-04-30 01:00:00,0.03,27242
2014-05-01 01:00:00,0.03,32658
2014-05-02 01:00:00,0.032,19508
2014-05-03 01:00:00,0.03,19354
2014-05-04 01:00:00,0.03,22506
2014-05-05 01:00:00,0.03,18978
2014-05-06 01:00:00,0.03,15405
2014-05-07 01:00:00,0.03,14905
2014-05-08 01:00:00,0.03,17099
2014-05-09 01:00:00,0.03,17994
2014-05-10 01:00:00,0.03,15986
2014-05-11 01:00:00,0.03,13210
2014-05-12 01:00:00,0.03,10778
2014-05-13 01:00:00,0.03,10600
2014-05-14 01:00:00,0.03,10526
2014-05-15 01:00:00,0.03,11292
2014-05-16 01:00:00,0.03,9850
2014-05-17 01:00:00,0.03,9950
2014-05-18 01:00:00,0.03,9245
2014-05-19 01:00:00,0.03,7456
2014-05-20 01:00:00,0.03,8398
2014-05-21 01:00:00,0.03,8311
2014-05-22 01:00:00,0.03,7991
2014-05-23 01:00:00,0.03,8082
2014-05-24 01:00:00,0.034,8084
2014-05-25 01:00:00,0.034,8685
2014-05-26 01:00:00,0.034,7349
2014-05-27 01:00:00,0.031,6073
2014-05-28 01:00:00,0.037,6169
2014-05-29 01:00:00,0.03,6711
2014-05-30 01:00:00,0.038,5980
2014-05-31 01:00:00,0.038,6083
2014-06-01 01:00:00,0.037,6643
2014-06-02 01:00:00,0.036,5942
2014-06-03 01:00:00,0.031,6558
2014-06-04 01:00:00,0.034,6221
2014-06-05 01:00:00,0.032,6576
2014-06-06 01:00:00,0.035,5674
2014-06-07 01:00:00,0.036,5678
2014-06-08 01:00:00,0.036,5721
2014-06-09 01:00:00,0.037,4955
2014-06-10 01:00:00,0.037,5170
2014-06-11 01:00:00,0.036,4767
2014-06-12 01:00:00,0.036,5491
2014-06-13 01:00:00,0.036,5440
2014-06-14 01:00:00,0.038,6752
2014-06-15 01:00:00,0.039,6433
2014-06-16 01:00:00,0.03,7119
2014-06-17 01:00:00,0.032,7292
2014-06-18 01:00:00,0.031,5978
2014-06-19 01:00:00,0.037,6292
2014-06-20 01:00:00,0.031,6642
2014-06-21 01:00:00,0.033,6991
2014-06-22 01:00:00,0.034,5632
2014-06-23 01:00:00,0.03,5987
2014-06-24 01:00:00,0.035,5262
2014-06-25 01:00:00,0.036,5684
2014-06-26 01:00:00,0.036,5866
2014-06-27 01:00:00,0.036,7430
2014-06-28 01:00:00,0.038,6780
2014-06-29 01:00:00,0.038,7045
2014-06-30 01:00:00,0.038,6507
2014-07-01 01:00:00,0.037,6897
2014-07-02 01:00:00,0.03,5833
2014-07-03 01:00:00,0.031,5067
2014-07-04 01:00:00,0.035,4989
2014-07-05 01:00:00,0.039,5579
2014-07-06 01:00:00,0.036,6372
2014-07-07 01:00:00,0.037,5479
2014-07-08 01:00:00,0.034,5929
2014-07-09 01:00:00,0.04,5240
2014-07-10 01:00:00,0.039,5720
2014-07-11 01:00:00,0.038,6399
2014-07-12 01:00:00,0.038,5873
2014-07-13 01:00:00,0.036,5972
2014-07-14 01:00:00,0.039,5410
2014-07-15 01:00:00,0.037,5819
2014-07-16 01:00:00,0.039,5487
2014-07-17 01:00:00,0.038,7525
2014-07-18 01:00:00,0.035,8981
2014-07-19 01:00:00,0.034,9839
2014-07-20 01:00:00,0.036,10331
2014-07-21 01:00:00,0.039,9180
2014-07-22 01:00:00,0.038,7691
2014-07-23 01:00:00,0.038,7695
2014-07-24 01:00:00,0.038,7164
2014-07-25 01:00:00,0.04,8654
2014-07-26 01:00:00,0.04,8789
2014-07-27 01:00:00,0.04,9058
2014-07-28 01:00:00,0.039,10383
2014-07-29 01:00:00,0.039,9760
2014-07-30 01:00:00,0.041,8894
2014-07-31 01:00:00,0.04,10527
2014-08-01 01:00:00,0.042,14591
2014-08-02 01:00:00,0.041,15306
2014-08-03 01:00:00,0.042,15909
2014-08-04 01:00:00,0.041,15543
2014-08-05 01:00:00,0.04,14692
2014-08-06 01:00:00,0.041,12382
2014-08-07 01:00:00,0.043,12795
2014-08-08 01:00:00,0.047,12524
2014-08-09 01:00:00,0.049,11705
2014-08-10 01:00:00,0.049,11353
2014-08-11 01:00:00,0.051,10636
2014-08-12 01:00:00,0.051,10787
2014-08-13 01:00:00,0.051,10391
2014-08-14 01:00:00,0.051,9649
2014-08-15 01:00:00,0.051,11443
2014-08-16 01:00:00,0.052,13146
2014-08-17 01:00:00,0.043,15336
2014-08-18 01:00:00,0.048,10809
2014-08-19 01:00:00,0.051,10036
2014-08-20 01:00:00,0.051,10253
2014-08-21 01:00:00,0.05,10979
2014-08-22 01:00:00,0.051,11155
2014-08-23 01:00:00,0.051,12600
2014-08-24 01:00:00,0.052,14276
2014-08-25 01:00:00,0.061,13820
2014-08-26 01:00:00,0.06,14920
2014-08-27 01:00:00,0.061,14700
2014-08-28 01:00:00,0.063,14922
2014-08-29 01:00:00,0.076,24693
2014-08-30 01:00:00,0.108,18904
2014-08-31 01:00:00,0.113,14457
2014-09-01 01:00:00,0.114,12548
2014-09-02 01:00:00,0.117,13449
2014-09-03 01:00:00,0.118,11878
2014-09-04 01:00:00,0.112,9128
2014-09-05 01:00:00,0.111,10883
2014-09-06 01:00:00,0.105,11972
2014-09-07 01:00:00,0.098,10927
2014-09-08 01:00:00,0.095,8649
2014-09-09 01:00:00,0.097,8676
2014-09-10 01:00:00,0.102,7032
2014-09-11 01:00:00,0.093,9094
2014-09-12 01:00:00,0.096,8639
2014-09-13 01:00:00,0.099,9653
2014-09-14 01:00:00,0.097,8432
2014-09-15 01:00:00,0.099,7916
2014-09-16 01:00:00,0.099,6326
2014-09-17 01:00:00,0.097,7157
2014-09-18 01:00:00,0.096,7163
2014-09-19 01:00:00,0.1,7085
2014-09-20 01:00:00,0.1,8297
2014-09-21 01:00:00,0.101,7463
2014-09-22 01:00:00,0.102,6403
2014-09-23 01:00:00,0.102,5590
2014-09-24 01:00:00,0.101,5676
2014-09-25 01:00:00,0.102,5158
2014-09-26 01:00:00,0.106,7178
2014-09-27 01:00:00,0.105,7319
2014-09-28 01:00:00,0.104,7091
2014-09-29 01:00:00,0.102,5714
2014-09-30 01:00:00,0.107,6275
2014-10-01 01:00:00,0.106,5457
2014-10-02 01:00:00,0.106,5863
2014-10-03 01:00:00,0.106,6044
2014-10-04 01:00:00,0.106,6921
2014-10-05 01:00:00,0.105,6748
2014-10-06 01:00:00,0.101,5938
2014-10-07 01:00:00,0.106,5891
2014-10-08 01:00:00,0.103,5942
2014-10-09 01:00:00,0.101,6120
2014-10-10 01:00:00,0.105,6386
2014-10-11 01:00:00,0.103,7740
2014-10-12 01:00:00,0.103,7765
2014-10-13 01:00:00,0.107,6029
2014-10-14 01:00:00,0.105,5946
2014-10-15 01:00:00,0.104,5495
2014-10-16 01:00:00,0.109,6076
2014-10-17 01:00:00,0.112,6811
2014-10-18 01:00:00,0.11,6941
2014-10-19 01:00:00,0.108,6397
2014-10-20 01:00:00,0.112,5565
2014-10-21 01:00:00,0.107,4635
2014-10-22 01:00:00,0.108,5773
2014-10-23 01:00:00,0.114,8337
2014-10-24 01:00:00,0.121,5486
2014-10-25 01:00:00,0.122,6536
2014-10-26 01:00:00,0.115,6423
2014-10-27 01:00:00,0.121,4965
2014-10-28 01:00:00,0.121,4771
2014-10-29 01:00:00,0.13,4879
2014-10-30 01:00:00,0.125,5122
2014-10-31 01:00:00,0.123,6011
2014-11-01 01:00:00,0.129,6297
2014-11-02 01:00:00,0.124,6409
2014-11-03 01:00:00,0.124,4765
2014-11-04 01:00:00,0.127,4840
2014-11-05 01:00:00,0.126,4003
2014-11-06 01:00:00,0.123,4519
2014-11-07 01:00:00,0.121,4678
2014-11-08 01:00:00,0.119,5583
2014-11-09 01:00:00,0.113,4760
2014-11-10 01:00:00,0.118,4385
2014-11-11 01:00:00,0.116,4296
2014-11-12 01:00:00,0.096,6913
2014-11-13 01:00:00,0.089,4240
2014-11-14 01:00:00,0.092,4300
2014-11-15 01:00:00,0.099,4313
2014-11-16 01:00:00,0.092,4386
2014-11-17 01:00:00,0.093,3489
2014-11-18 01:00:00,0.094,3087
2014-11-19 01:00:00,0.092,3255
2014-11-20 01:00:00,0.096,2899
2014-11-21 01:00:00,0.082,3676
2014-11-22 01:00:00,0.072,3406
2014-11-23 01:00:00,0.076,4002
2014-11-24 01:00:00,0.075,3030
2014-11-25 01:00:00,0.084,2982
2014-11-26 01:00:00,0.085,3285
2014-11-27 01:00:00,0.081,3839
2014-11-28 01:00:00,0.086,4332
2014-11-29 01:00:00,0.08,4729
2014-11-30 01:00:00,0.073,5394
2014-12-01 01:00:00,0.074,4041
2014-12-02 01:00:00,0.083,3562
2014-12-03 01:00:00,0.088,3037
2014-12-04 01:00:00,0.096,3025
2014-12-05 01:00:00,0.097,3513
2014-12-06 01:00:00,0.102,4381
2014-12-07 01:00:00,0.102,4408
2014-12-08 01:00:00,0.107,3544
2014-12-09 01:00:00,0.111,3602
2014-12-10 01:00:00,0.11,3546
2014-12-11 01:00:00,0.103,3639
2014-12-12 01:00:00,0.102,3687
2014-12-13 01:00:00,0.089,4252
2014-12-14 01:00:00,0.087,3797
2014-12-15 01:00:00,0.09,3240
2014-12-16 01:00:00,0.089,3609
2014-12-17 01:00:00,0.09,3571
2014-12-18 01:00:00,0.087,3233
2014-12-19 01:00:00,0.086,3637
