date,price,volume
2021-05-03 01:00:00,3.285,20
2021-05-04 01:00:00,3.397,1322
2021-05-05 01:00:00,2.887,977
2021-05-06 01:00:00,2.082,734
2021-05-07 01:00:00,1.56,803
2021-05-08 01:00:00,1.444,818
2021-05-09 01:00:00,1.414,723
2021-05-10 01:00:00,1.302,704
2021-05-11 01:00:00,1.455,688
2021-05-12 01:00:00,1.936,726
2021-05-13 01:00:00,1.499,730
2021-05-14 01:00:00,1.328,770
2021-05-15 01:00:00,1.42,701
2021-05-16 01:00:00,1.428,747
2021-05-17 01:00:00,1.537,654
2021-05-18 01:00:00,1.565,679
2021-05-19 01:00:00,1.426,679
2021-05-20 01:00:00,1.262,731
2021-05-21 01:00:00,1.185,738
2021-05-22 01:00:00,1.141,765
2021-05-23 01:00:00,1.109,743
2021-05-24 01:00:00,1.072,735
2021-05-25 01:00:00,0.938,673
2021-05-26 01:00:00,0.853,861
2021-05-27 01:00:00,0.919,676
2021-05-28 01:00:00,0.999,758
2021-05-29 01:00:00,0.971,722
2021-05-30 01:00:00,0.884,701
2021-05-31 01:00:00,0.844,709
2021-06-01 01:00:00,0.801,633
2021-06-02 01:00:00,0.788,660
2021-06-03 01:00:00,0.766,602
2021-06-04 01:00:00,0.72,668
2021-06-05 01:00:00,0.645,745
2021-06-06 01:00:00,0.645,672
2021-06-07 01:00:00,0.679,641
2021-06-08 01:00:00,0.712,525
2021-06-09 01:00:00,0.714,555
2021-06-10 01:00:00,0.737,580
2021-06-11 01:00:00,0.756,600
2021-06-12 01:00:00,0.783,618
2021-06-13 01:00:00,0.831,605
2021-06-14 01:00:00,0.816,554
2021-06-15 01:00:00,0.743,549
2021-06-16 01:00:00,0.707,596
2021-06-17 01:00:00,0.675,602
2021-06-18 01:00:00,0.67,566
2021-06-19 01:00:00,0.655,617
2021-06-20 01:00:00,0.668,524
2021-06-21 01:00:00,0.614,593
2021-06-22 01:00:00,0.57,639
2021-06-23 01:00:00,0.523,677
2021-06-24 01:00:00,0.487,599
2021-06-25 01:00:00,0.445,644
2021-06-26 01:00:00,0.431,557
2021-06-27 01:00:00,0.459,468
2021-06-28 01:00:00,0.475,600
2021-06-29 01:00:00,0.474,647
2021-06-30 01:00:00,0.466,493
2021-07-01 01:00:00,0.447,421
2021-07-02 01:00:00,0.47,466
2021-07-03 01:00:00,0.458,442
2021-07-04 01:00:00,0.467,497
2021-07-05 01:00:00,0.456,521
2021-07-06 01:00:00,0.45,597
2021-07-07 01:00:00,0.446,487
2021-07-08 01:00:00,0.437,530
2021-07-09 01:00:00,0.431,683
2021-07-10 01:00:00,0.425,575
2021-07-11 01:00:00,0.421,526
2021-07-12 01:00:00,0.415,533
2021-07-13 01:00:00,0.4,568
2021-07-14 01:00:00,0.393,577
2021-07-15 01:00:00,0.389,661
2021-07-16 01:00:00,0.406,537
2021-07-17 01:00:00,0.414,638
2021-07-18 01:00:00,0.411,612
2021-07-19 01:00:00,0.416,574
2021-07-20 01:00:00,0.428,490
2021-07-21 01:00:00,0.425,550
2021-07-22 01:00:00,0.433,550
2021-07-23 01:00:00,0.43,670
2021-07-24 01:00:00,0.432,676
2021-07-25 01:00:00,0.428,603
2021-07-26 01:00:00,0.426,524
2021-07-27 01:00:00,0.42,272
2021-07-28 01:00:00,0.413,577
2021-07-29 01:00:00,0.423,697
2021-07-30 01:00:00,0.415,606
2021-07-31 01:00:00,0.42,546
2021-08-01 01:00:00,0.415,457
2021-08-02 01:00:00,0.4,539
2021-08-03 01:00:00,0.397,549
2021-08-04 01:00:00,0.384,671
2021-08-05 01:00:00,0.375,358
2021-08-06 01:00:00,0.364,848
2021-08-07 01:00:00,0.364,537
2021-08-08 01:00:00,0.366,512
2021-08-09 01:00:00,0.36,525
2021-08-10 01:00:00,0.372,556
2021-08-11 01:00:00,0.354,624
2021-08-12 01:00:00,0.359,545
2021-08-13 01:00:00,0.352,528
2021-08-14 01:00:00,0.347,565
2021-08-15 01:00:00,0.363,508
2021-08-16 01:00:00,0.367,464
2021-08-17 01:00:00,0.359,462
2021-08-18 01:00:00,0.383,556
2021-08-19 01:00:00,0.406,603
2021-08-20 01:00:00,0.373,490
2021-08-21 01:00:00,0.349,547
2021-08-22 01:00:00,0.348,609
2021-08-23 01:00:00,0.343,656
2021-08-24 01:00:00,0.347,565
2021-08-25 01:00:00,0.35,626
2021-08-26 01:00:00,0.34,486
2021-08-27 01:00:00,0.334,690
2021-08-28 01:00:00,0.325,590
2021-08-29 01:00:00,0.326,718
2021-08-30 01:00:00,0.318,622
2021-08-31 01:00:00,0.314,628
2021-09-01 01:00:00,0.306,713
2021-09-02 01:00:00,0.307,553
2021-09-03 01:00:00,0.311,490
2021-09-04 01:00:00,0.311,603
2021-09-05 01:00:00,0.319,662
2021-09-06 01:00:00,0.323,540
2021-09-07 01:00:00,0.308,567
2021-09-08 01:00:00,0.305,554
2021-09-09 01:00:00,0.311,562
2021-09-10 01:00:00,0.309,736
2021-09-11 01:00:00,0.308,570
2021-09-12 01:00:00,0.307,651
2021-09-13 01:00:00,0.308,571
2021-09-14 01:00:00,0.308,455
2021-09-15 01:00:00,0.315,513
2021-09-16 01:00:00,0.319,512
2021-09-17 01:00:00,0.304,617
2021-09-18 01:00:00,0.299,714
2021-09-19 01:00:00,0.298,597
2021-09-20 01:00:00,0.291,635
2021-09-21 01:00:00,0.297,535
2021-09-22 01:00:00,0.241,663
2021-09-23 01:00:00,0.186,573
2021-09-24 01:00:00,0.206,497
2021-09-25 01:00:00,0.224,542
2021-09-26 01:00:00,0.237,402
2021-09-27 01:00:00,0.243,468
2021-09-28 01:00:00,0.233,435
2021-09-29 01:00:00,0.237,457
2021-09-30 01:00:00,0.242,482
2021-10-01 01:00:00,0.25,339
2021-10-02 01:00:00,0.248,512
2021-10-03 01:00:00,0.265,506
2021-10-04 01:00:00,0.258,390
2021-10-05 01:00:00,0.264,438
2021-10-06 01:00:00,0.25,512
2021-10-07 01:00:00,0.27,419
2021-10-08 01:00:00,0.267,438
2021-10-09 01:00:00,0.268,435
2021-10-10 01:00:00,0.276,372
2021-10-11 01:00:00,0.268,473
2021-10-12 01:00:00,0.258,372
2021-10-13 01:00:00,0.257,434
2021-10-14 01:00:00,0.261,430
2021-10-15 01:00:00,0.266,406
2021-10-16 01:00:00,0.273,464
2021-10-17 01:00:00,0.265,337
2021-10-18 01:00:00,0.261,331
2021-10-19 01:00:00,0.249,418
2021-10-20 01:00:00,0.254,466
2021-10-21 01:00:00,0.26,351
2021-10-22 01:00:00,0.242,476
2021-10-23 01:00:00,0.24,512
2021-10-24 01:00:00,0.249,385
2021-10-25 01:00:00,0.251,313
2021-10-26 01:00:00,0.258,367
2021-10-27 01:00:00,0.264,420
2021-10-28 01:00:00,0.259,392
2021-10-29 01:00:00,0.253,403
2021-10-30 01:00:00,0.257,450
2021-10-31 01:00:00,0.262,404
2021-11-01 01:00:00,0.297,352
2021-11-02 01:00:00,0.288,363
2021-11-03 01:00:00,0.29,346
2021-11-04 01:00:00,0.297,380
2021-11-05 01:00:00,0.308,380
2021-11-06 01:00:00,0.301,337
2021-11-07 01:00:00,0.284,434
2021-11-08 01:00:00,0.288,399
2021-11-09 01:00:00,0.273,348
2021-11-10 01:00:00,0.272,452
2021-11-11 01:00:00,0.282,458
2021-11-12 01:00:00,0.285,356
2021-11-13 01:00:00,0.279,413
2021-11-14 01:00:00,0.281,427
2021-11-15 01:00:00,0.298,361
2021-11-16 01:00:00,0.293,364
2021-11-17 01:00:00,0.289,321
2021-11-18 01:00:00,0.288,353
2021-11-19 01:00:00,0.288,364
2021-11-20 01:00:00,0.286,392
2021-11-21 01:00:00,0.293,407
2021-11-22 01:00:00,0.286,387
2021-11-23 01:00:00,0.284,306
2021-11-24 01:00:00,0.282,323
2021-11-25 01:00:00,0.299,350
2021-11-26 01:00:00,0.276,463
2021-11-27 01:00:00,0.271,380
2021-11-28 01:00:00,0.27,432
2021-11-29 01:00:00,0.277,362
2021-11-30 01:00:00,0.264,413
2021-12-01 01:00:00,0.26,397
2021-12-02 01:00:00,0.259,357
2021-12-03 01:00:00,0.26,439
2021-12-04 01:00:00,0.268,437
2021-12-05 01:00:00,0.273,459
2021-12-06 01:00:00,0.28,417
2021-12-07 01:00:00,0.281,391
2021-12-08 01:00:00,0.275,336
2021-12-09 01:00:00,0.282,361
2021-12-10 01:00:00,0.279,356
2021-12-11 01:00:00,0.278,387
2021-12-12 01:00:00,0.277,331
2021-12-13 01:00:00,0.279,344
2021-12-14 01:00:00,0.277,312
2021-12-15 01:00:00,0.278,309
2021-12-16 01:00:00,0.272,374
2021-12-17 01:00:00,0.28,293
2021-12-18 01:00:00,0.275,364
2021-12-19 01:00:00,0.276,419
2021-12-20 01:00:00,0.282,324
2021-12-21 01:00:00,0.273,318
2021-12-22 01:00:00,0.275,328
2021-12-23 01:00:00,0.281,324
2021-12-24 01:00:00,0.281,366
2021-12-25 01:00:00,0.285,385
2021-12-26 01:00:00,0.284,451
2021-12-27 01:00:00,0.289,386
2021-12-28 01:00:00,0.282,379
2021-12-29 01:00:00,0.284,451
2021-12-30 01:00:00,0.284,473
2021-12-31 01:00:00,0.281,373
2022-01-01 01:00:00,0.286,484
2022-01-02 01:00:00,0.305,485
2022-01-03 01:00:00,0.302,399
2022-01-04 01:00:00,0.296,426
2022-01-05 01:00:00,0.293,444
2022-01-06 01:00:00,0.287,474
2022-01-07 01:00:00,0.287,510
2022-01-08 01:00:00,0.29,513
2022-01-09 01:00:00,0.291,451
2022-01-10 01:00:00,0.29,477
2022-01-11 01:00:00,0.29,478
2022-01-12 01:00:00,0.291,452
2022-01-13 01:00:00,0.293,418
2022-01-14 01:00:00,0.294,547
2022-01-15 01:00:00,0.299,568
