date,price,volume
2024-10-10 01:00:00,4.929,135
2024-10-11 01:00:00,2.454,1062
2024-10-12 01:00:00,1.249,1566
2024-10-13 01:00:00,1.319,1644
2024-10-14 01:00:00,1.344,1509
2024-10-15 01:00:00,1.414,1398
2024-10-16 01:00:00,1.468,1420
2024-10-17 01:00:00,1.517,1389
2024-10-18 01:00:00,1.46,1775
2024-10-19 01:00:00,1.192,1771
2024-10-20 01:00:00,0.882,1879
2024-10-21 01:00:00,0.762,1992
2024-10-22 01:00:00,0.681,1983
2024-10-23 01:00:00,0.623,2170
2024-10-24 01:00:00,0.574,2046
2024-10-25 01:00:00,0.537,2093
2024-10-26 01:00:00,0.53,2220
2024-10-27 01:00:00,0.547,2249
2024-10-28 01:00:00,0.496,1830
2024-10-29 01:00:00,0.519,1485
2024-10-30 01:00:00,0.588,1521
2024-10-31 01:00:00,0.693,1431
2024-11-01 01:00:00,0.714,1314
2024-11-02 01:00:00,0.732,1323
2024-11-03 01:00:00,0.782,1242
2024-11-04 01:00:00,0.793,1261
2024-11-05 01:00:00,0.815,935
2024-11-06 01:00:00,0.795,1066
2024-11-07 01:00:00,0.719,999
2024-11-08 01:00:00,0.743,939
2024-11-09 01:00:00,0.757,1064
2024-11-10 01:00:00,0.773,975
2024-11-11 01:00:00,0.762,727
2024-11-12 01:00:00,0.786,70
2024-11-12 04:00:00,0.78,29
2024-11-12 05:00:00,0.778,10
2024-11-12 06:00:00,0.799,7
2024-11-12 07:00:00,0.799,5
2024-11-12 08:00:00,0.779,18
2024-11-12 09:00:00,0.77,40
2024-11-12 10:00:00,0.71,41
2024-11-12 11:00:00,0.749,30
2024-11-12 12:00:00,0.724,40
2024-11-12 13:00:00,0.7,40
2024-11-12 14:00:00,0.697,37
2024-11-12 15:00:00,0.71,55
2024-11-12 16:00:00,0.7,67
2024-11-12 17:00:00,0.767,63
2024-11-12 18:00:00,0.712,66
2024-11-12 19:00:00,0.718,55
2024-11-12 20:00:00,0.715,44
2024-11-12 21:00:00,0.748,46
2024-11-12 22:00:00,0.751,35
2024-11-12 23:00:00,0.756,31
2024-11-13 00:00:00,0.734,27
2024-11-13 01:00:00,0.77,19
