date,price,volume
2024-10-10 01:00:00,4.656,142
2024-10-11 01:00:00,2.704,1088
2024-10-12 01:00:00,1.284,1586
2024-10-13 01:00:00,1.325,1425
2024-10-14 01:00:00,1.301,1300
2024-10-15 01:00:00,1.248,1242
2024-10-16 01:00:00,1.25,1260
2024-10-17 01:00:00,1.224,1200
2024-10-18 01:00:00,1.088,1772
2024-10-19 01:00:00,0.882,2102
2024-10-20 01:00:00,0.706,2409
2024-10-21 01:00:00,0.618,2678
2024-10-22 01:00:00,0.519,2673
2024-10-23 01:00:00,0.439,3187
2024-10-24 01:00:00,0.402,3139
2024-10-25 01:00:00,0.364,3400
2024-10-26 01:00:00,0.362,3361
2024-10-27 01:00:00,0.332,3405
2024-10-28 01:00:00,0.309,2928
2024-10-29 01:00:00,0.335,2663
2024-10-30 01:00:00,0.403,2626
2024-10-31 01:00:00,0.472,2379
2024-11-01 01:00:00,0.49,2313
2024-11-02 01:00:00,0.559,2149
2024-11-03 01:00:00,0.581,2236
2024-11-04 01:00:00,0.612,2293
2024-11-05 01:00:00,0.645,1716
2024-11-06 01:00:00,0.584,1712
2024-11-07 01:00:00,0.559,1553
2024-11-08 01:00:00,0.552,1529
2024-11-09 01:00:00,0.586,1453
2024-11-10 01:00:00,0.582,1541
2024-11-11 01:00:00,0.561,1274
2024-11-12 01:00:00,0.577,91
2024-11-12 04:00:00,0.59,29
2024-11-12 05:00:00,0.569,32
2024-11-12 06:00:00,0.564,16
2024-11-12 07:00:00,0.564,43
2024-11-12 08:00:00,0.569,34
2024-11-12 09:00:00,0.564,50
2024-11-12 10:00:00,0.567,38
2024-11-12 11:00:00,0.564,54
2024-11-12 12:00:00,0.544,52
2024-11-12 13:00:00,0.54,45
2024-11-12 14:00:00,0.529,57
2024-11-12 15:00:00,0.53,72
2024-11-12 16:00:00,0.564,71
2024-11-12 17:00:00,0.558,66
2024-11-12 18:00:00,0.529,64
2024-11-12 19:00:00,0.57,75
2024-11-12 20:00:00,0.544,73
2024-11-12 21:00:00,0.558,64
2024-11-12 22:00:00,0.552,61
2024-11-12 23:00:00,0.561,42
2024-11-13 00:00:00,0.54,40
2024-11-13 01:00:00,0.563,26
2024-11-13 02:00:00,0.539,34
2024-11-13 03:00:00,0.57,38
2024-11-13 04:00:00,0.596,21
2024-11-13 05:00:00,0.587,22
2024-11-13 06:00:00,0.586,33
2024-11-13 07:00:00,0.6,24
2024-11-13 08:00:00,0.6,18
2024-11-13 09:00:00,0.54,80
2024-11-13 10:00:00,0.55,62
2024-11-13 11:00:00,0.561,42
2024-11-13 12:00:00,0.569,57
2024-11-13 13:00:00,0.552,84
2024-11-13 14:00:00,0.562,104
2024-11-13 15:00:00,0.552,73
2024-11-13 16:00:00,0.567,79
2024-11-13 17:00:00,0.572,108
2024-11-13 18:00:00,0.59,90
2024-11-13 19:00:00,0.55,204
2024-11-13 20:00:00,0.586,91
2024-11-13 21:00:00,0.57,78
2024-11-13 22:00:00,0.573,80
2024-11-13 23:00:00,0.6,56
2024-11-14 00:00:00,0.583,41
2024-11-14 01:00:00,0.61,33
2024-11-14 02:00:00,0.603,40
2024-11-14 03:00:00,0.577,36
2024-11-14 04:00:00,0.564,27
2024-11-14 05:00:00,0.57,13
2024-11-14 06:00:00,0.575,37
2024-11-14 07:00:00,0.6,27
2024-11-14 08:00:00,0.6,32
2024-11-14 09:00:00,0.557,34
2024-11-14 10:00:00,0.538,50
2024-11-14 11:00:00,0.538,53
2024-11-14 12:00:00,0.57,48
2024-11-14 13:00:00,0.556,64
2024-11-14 14:00:00,0.589,62
2024-11-14 15:00:00,0.558,71
2024-11-14 16:00:00,0.55,92
2024-11-14 17:00:00,0.588,87
2024-11-14 18:00:00,0.583,90
2024-11-14 19:00:00,0.6,103
2024-11-14 20:00:00,0.583,96
2024-11-14 21:00:00,0.598,92
2024-11-14 22:00:00,0.59,73
2024-11-14 23:00:00,0.582,56
2024-11-15 00:00:00,0.604,37
2024-11-15 01:00:00,0.57,32
2024-11-15 02:00:00,0.58,24
2024-11-15 03:00:00,0.6,22
2024-11-15 04:00:00,0.59,31
2024-11-15 05:00:00,0.572,31
2024-11-15 06:00:00,0.59,33
2024-11-15 07:00:00,0.599,19
2024-11-15 08:00:00,0.57,29
2024-11-15 09:00:00,0.555,38
2024-11-15 10:00:00,0.55,50
2024-11-15 11:00:00,0.572,43
2024-11-15 12:00:00,0.58,53
2024-11-15 13:00:00,0.588,63
2024-11-15 14:00:00,0.603,61
2024-11-15 15:00:00,0.582,67
2024-11-15 16:00:00,0.595,96
2024-11-15 17:00:00,0.601,83
2024-11-15 18:00:00,0.582,87
2024-11-15 19:00:00,0.614,80
2024-11-15 20:00:00,0.6,83
2024-11-15 21:00:00,0.632,71
2024-11-15 22:00:00,0.625,76
2024-11-15 23:00:00,0.629,62
2024-11-16 00:00:00,0.57,66
2024-11-16 01:00:00,0.569,56
2024-11-16 02:00:00,0.625,32
2024-11-16 03:00:00,0.647,20
2024-11-16 04:00:00,0.615,22
2024-11-16 05:00:00,0.65,21
2024-11-16 06:00:00,0.653,17
2024-11-16 07:00:00,0.637,22
2024-11-16 08:00:00,0.66,52
2024-11-16 09:00:00,0.643,52
2024-11-16 10:00:00,0.6,75
2024-11-16 11:00:00,0.607,63
2024-11-16 12:00:00,0.619,71
2024-11-16 13:00:00,0.63,69
2024-11-16 14:00:00,0.611,62
2024-11-16 15:00:00,0.631,53
2024-11-16 16:00:00,0.651,88
2024-11-16 17:00:00,0.653,71
2024-11-16 18:00:00,0.643,61
2024-11-16 19:00:00,0.621,70
2024-11-16 20:00:00,0.66,82
2024-11-16 21:00:00,0.643,80
2024-11-16 22:00:00,0.611,64
2024-11-16 23:00:00,0.611,55
2024-11-17 00:00:00,0.607,40
2024-11-17 01:00:00,0.611,47
2024-11-17 02:00:00,0.65,25
