date,price,volume
2015-12-09 01:00:00,1.663,2314
2015-12-10 01:00:00,1.006,2088
2015-12-11 01:00:00,1.115,1940
2015-12-12 01:00:00,1.11,2484
2015-12-13 01:00:00,1.066,2208
2015-12-14 01:00:00,1.006,1651
2015-12-15 01:00:00,0.992,1515
2015-12-16 01:00:00,0.93,1364
2015-12-17 01:00:00,0.827,1339
2015-12-18 01:00:00,0.755,1458
2015-12-19 01:00:00,0.717,1625
2015-12-20 01:00:00,0.629,1619
2015-12-21 01:00:00,0.638,1434
2015-12-22 01:00:00,0.619,1273
2015-12-23 01:00:00,0.495,1489
2015-12-24 01:00:00,0.47,1409
2015-12-25 01:00:00,0.501,1455
2015-12-26 01:00:00,0.53,1592
2015-12-27 01:00:00,0.523,1710
2015-12-28 01:00:00,0.495,1763
2015-12-29 01:00:00,0.498,1754
2015-12-30 01:00:00,0.491,1646
2015-12-31 01:00:00,0.486,1415
2016-01-01 01:00:00,0.443,1706
2016-01-02 01:00:00,0.433,1743
2016-01-03 01:00:00,0.438,1678
2016-01-04 01:00:00,0.438,1538
2016-01-05 01:00:00,0.497,1545
2016-01-06 01:00:00,0.526,1490
2016-01-07 01:00:00,0.507,1391
2016-01-08 01:00:00,0.545,1518
2016-01-09 01:00:00,0.518,1741
2016-01-10 01:00:00,0.515,1488
2016-01-11 01:00:00,0.503,1238
2016-01-12 01:00:00,0.493,1172
2016-01-13 01:00:00,0.494,1076
2016-01-14 01:00:00,0.472,1332
2016-01-15 01:00:00,0.454,1426
2016-01-16 01:00:00,0.435,1628
2016-01-17 01:00:00,0.447,1485
2016-01-18 01:00:00,0.458,1250
2016-01-19 01:00:00,0.466,1138
2016-01-20 01:00:00,0.452,1163
2016-01-21 01:00:00,0.459,1166
2016-01-22 01:00:00,0.452,1301
2016-01-23 01:00:00,0.449,1711
2016-01-24 01:00:00,0.457,1596
2016-01-25 01:00:00,0.454,1293
2016-01-26 01:00:00,0.462,1301
2016-01-27 01:00:00,0.46,1317
2016-01-28 01:00:00,0.468,1221
2016-01-29 01:00:00,0.449,1401
2016-01-30 01:00:00,0.443,1587
2016-01-31 01:00:00,0.433,1553
2016-02-01 01:00:00,0.427,1227
2016-02-02 01:00:00,0.431,1227
2016-02-03 01:00:00,0.431,1291
