date,price,volume
2019-03-14 01:00:00,13.531,354
2019-03-15 01:00:00,11.323,302
2019-03-16 01:00:00,8.978,376
2019-03-17 01:00:00,7.417,346
2019-03-18 01:00:00,7.242,266
2019-03-19 01:00:00,7.158,230
2019-03-20 01:00:00,6.889,224
2019-03-21 01:00:00,6.389,270
2019-03-22 01:00:00,6.268,295
2019-03-23 01:00:00,5.866,298
2019-03-24 01:00:00,5.613,303
2019-03-25 01:00:00,5.451,271
2019-03-26 01:00:00,5.535,261
2019-03-27 01:00:00,5.528,245
2019-03-28 01:00:00,5.347,229
2019-03-29 01:00:00,5.2,292
2019-03-30 01:00:00,5.105,291
2019-03-31 01:00:00,4.875,298
2019-04-01 01:00:00,4.919,287
2019-04-02 01:00:00,4.895,249
2019-04-03 01:00:00,4.9,267
2019-04-04 01:00:00,4.769,249
2019-04-05 01:00:00,4.805,277
2019-04-06 01:00:00,4.778,332
2019-04-07 01:00:00,4.579,312
2019-04-08 01:00:00,4.334,266
2019-04-09 01:00:00,4.186,350
2019-04-10 01:00:00,3.893,329
2019-04-11 01:00:00,3.916,289
2019-04-12 01:00:00,3.992,312
2019-04-13 01:00:00,3.981,323
2019-04-14 01:00:00,4.144,286
2019-04-15 01:00:00,3.952,257
2019-04-16 01:00:00,3.819,321
2019-04-17 01:00:00,3.874,260
2019-04-18 01:00:00,3.85,278
2019-04-19 01:00:00,3.952,263
2019-04-20 01:00:00,3.781,299
2019-04-21 01:00:00,3.808,346
2019-04-22 01:00:00,3.668,301
2019-04-23 01:00:00,3.686,287
2019-04-24 01:00:00,3.556,280
2019-04-25 01:00:00,3.456,311
2019-04-26 01:00:00,3.305,299
2019-04-27 01:00:00,3.326,313
2019-04-28 01:00:00,3.237,315
2019-04-29 01:00:00,3.104,285
2019-04-30 01:00:00,3.084,343
2019-05-01 01:00:00,3.172,344
2019-05-02 01:00:00,3.139,280
2019-05-03 01:00:00,3.287,291
2019-05-04 01:00:00,3.239,305
2019-05-05 01:00:00,3.275,299
2019-05-06 01:00:00,3.188,257
2019-05-07 01:00:00,3.112,274
2019-05-08 01:00:00,3.067,293
2019-05-09 01:00:00,2.981,252
2019-05-10 01:00:00,2.983,314
2019-05-11 01:00:00,2.877,350
2019-05-12 01:00:00,2.807,312
2019-05-13 01:00:00,2.903,305
2019-05-14 01:00:00,2.784,290
2019-05-15 01:00:00,2.762,284
2019-05-16 01:00:00,2.794,249
2019-05-17 01:00:00,2.817,306
2019-05-18 01:00:00,2.827,317
2019-05-19 01:00:00,2.928,317
2019-05-20 01:00:00,2.829,274
2019-05-21 01:00:00,2.886,278
2019-05-22 01:00:00,2.964,252
2019-05-23 01:00:00,2.983,222
2019-05-24 01:00:00,3.032,282
2019-05-25 01:00:00,3.01,307
2019-05-26 01:00:00,3.059,280
2019-05-27 01:00:00,3.041,268
2019-05-28 01:00:00,2.883,244
2019-05-29 01:00:00,2.868,274
2019-05-30 01:00:00,2.855,291
2019-05-31 01:00:00,2.932,317
2019-06-01 01:00:00,2.993,302
2019-06-02 01:00:00,3.024,289
2019-06-03 01:00:00,3.073,263
2019-06-04 01:00:00,3.083,266
2019-06-05 01:00:00,3.152,232
2019-06-06 01:00:00,3.031,234
2019-06-07 01:00:00,3.059,248
2019-06-08 01:00:00,2.979,305
