date,price,volume
2015-01-09 01:00:00,4.452,212
2015-01-10 01:00:00,3.212,263
2015-01-11 01:00:00,2.46,286
2015-01-12 01:00:00,2.407,189
2015-01-13 01:00:00,2.167,195
2015-01-14 01:00:00,2.152,246
2015-01-15 01:00:00,2.142,212
2015-01-16 01:00:00,2.047,213
2015-01-17 01:00:00,1.862,236
2015-01-18 01:00:00,1.65,272
2015-01-19 01:00:00,1.51,254
2015-01-20 01:00:00,1.587,251
2015-01-21 01:00:00,1.517,238
2015-01-22 01:00:00,1.52,204
2015-01-23 01:00:00,1.449,260
2015-01-24 01:00:00,1.538,268
2015-01-25 01:00:00,1.363,298
2015-01-26 01:00:00,1.223,298
2015-01-27 01:00:00,1.194,247
2015-01-28 01:00:00,1.18,227
2015-01-29 01:00:00,1.147,261
2015-01-30 01:00:00,1.152,307
2015-01-31 01:00:00,1.168,350
2015-02-01 01:00:00,1.115,377
2015-02-02 01:00:00,1.032,295
2015-02-03 01:00:00,1.028,329
2015-02-04 01:00:00,1.018,297
2015-02-05 01:00:00,1.026,255
2015-02-06 01:00:00,0.998,301
2015-02-07 01:00:00,1.006,337
2015-02-08 01:00:00,0.945,324
2015-02-09 01:00:00,0.889,278
2015-02-10 01:00:00,0.891,250
2015-02-11 01:00:00,0.843,296
2015-02-12 01:00:00,0.84,258
2015-02-13 01:00:00,0.851,318
2015-02-14 01:00:00,0.831,411
2015-02-15 01:00:00,0.825,368
2015-02-16 01:00:00,0.783,320
2015-02-17 01:00:00,0.784,303
2015-02-18 01:00:00,0.768,307
2015-02-19 01:00:00,0.789,323
2015-02-20 01:00:00,0.78,324
2015-02-21 01:00:00,0.813,371
2015-02-22 01:00:00,0.77,365
2015-02-23 01:00:00,0.774,311
2015-02-24 01:00:00,0.787,289
2015-02-25 01:00:00,0.734,307
2015-02-26 01:00:00,0.76,335
2015-02-27 01:00:00,0.731,423
2015-02-28 01:00:00,0.726,449
2015-03-01 01:00:00,0.742,423
2015-03-02 01:00:00,0.706,284
2015-03-03 01:00:00,0.757,351
2015-03-04 01:00:00,0.72,294
2015-03-05 01:00:00,0.722,325
2015-03-06 01:00:00,0.703,343
2015-03-07 01:00:00,0.688,440
2015-03-08 01:00:00,0.675,409
2015-03-09 01:00:00,0.659,287
2015-03-10 01:00:00,0.607,286
2015-03-11 01:00:00,0.619,295
2015-03-12 01:00:00,0.588,279
2015-03-13 01:00:00,0.59,415
2015-03-14 01:00:00,0.578,477
2015-03-15 01:00:00,0.51,463
2015-03-16 01:00:00,0.519,409
2015-03-17 01:00:00,0.582,355
2015-03-18 01:00:00,0.609,344
2015-03-19 01:00:00,0.612,385
2015-03-20 01:00:00,0.62,349
2015-03-21 01:00:00,0.603,415
2015-03-22 01:00:00,0.595,368
2015-03-23 01:00:00,0.579,342
2015-03-24 01:00:00,0.567,413
2015-03-25 01:00:00,0.585,368
2015-03-26 01:00:00,0.574,392
2015-03-27 01:00:00,0.583,400
2015-03-28 01:00:00,0.563,442
2015-03-29 01:00:00,0.552,485
2015-03-30 01:00:00,0.549,343
2015-03-31 01:00:00,0.547,440
2015-04-01 01:00:00,0.572,553
2015-04-02 01:00:00,0.576,469
2015-04-03 01:00:00,0.611,488
2015-04-04 01:00:00,0.589,534
2015-04-05 01:00:00,0.588,472
2015-04-06 01:00:00,0.593,473
2015-04-07 01:00:00,0.606,415
2015-04-08 01:00:00,0.606,406
2015-04-09 01:00:00,0.585,414
2015-04-10 01:00:00,0.592,388
2015-04-11 01:00:00,0.569,573
2015-04-12 01:00:00,0.566,507
2015-04-13 01:00:00,0.538,443
2015-04-14 01:00:00,0.538,320
2015-04-15 01:00:00,0.514,323
2015-04-16 01:00:00,0.442,541
2015-04-17 01:00:00,0.434,592
2015-04-18 01:00:00,0.437,711
2015-04-19 01:00:00,0.441,511
2015-04-20 01:00:00,0.411,596
2015-04-21 01:00:00,0.426,524
2015-04-22 01:00:00,0.425,482
2015-04-23 01:00:00,0.42,449
2015-04-24 01:00:00,0.428,541
2015-04-25 01:00:00,0.423,640
2015-04-26 01:00:00,0.419,607
2015-04-27 01:00:00,0.416,458
2015-04-28 01:00:00,0.42,435
2015-04-29 01:00:00,0.423,431
2015-04-30 01:00:00,0.429,508
2015-05-01 01:00:00,0.433,556
2015-05-02 01:00:00,0.438,621
2015-05-03 01:00:00,0.421,563
2015-05-04 01:00:00,8.518,455
2015-05-05 01:00:00,0.411,405
