date,price,volume
2015-01-09 01:00:00,4.749,575
2015-01-10 01:00:00,3.478,675
2015-01-11 01:00:00,2.607,802
2015-01-12 01:00:00,2.424,656
2015-01-13 01:00:00,2.285,603
2015-01-14 01:00:00,2.224,660
2015-01-15 01:00:00,2.184,686
2015-01-16 01:00:00,2.059,734
2015-01-17 01:00:00,1.901,816
2015-01-18 01:00:00,1.7,979
2015-01-19 01:00:00,1.59,862
2015-01-20 01:00:00,1.519,878
2015-01-21 01:00:00,1.562,751
2015-01-22 01:00:00,1.523,916
2015-01-23 01:00:00,1.45,1034
2015-01-24 01:00:00,1.528,937
2015-01-25 01:00:00,1.359,1132
2015-01-26 01:00:00,1.243,1007
2015-01-27 01:00:00,1.241,996
2015-01-28 01:00:00,1.202,1128
2015-01-29 01:00:00,1.193,1101
2015-01-30 01:00:00,1.172,1295
2015-01-31 01:00:00,1.207,1424
2015-02-01 01:00:00,1.133,1442
2015-02-02 01:00:00,1.056,1129
2015-02-03 01:00:00,1.062,1119
2015-02-04 01:00:00,1.033,1210
2015-02-05 01:00:00,1.036,1112
2015-02-06 01:00:00,1.005,1245
2015-02-07 01:00:00,1.009,1491
2015-02-08 01:00:00,0.958,1284
2015-02-09 01:00:00,0.897,1183
2015-02-10 01:00:00,0.903,1127
2015-02-11 01:00:00,0.863,1161
2015-02-12 01:00:00,0.855,1211
2015-02-13 01:00:00,0.866,1407
2015-02-14 01:00:00,0.849,1578
2015-02-15 01:00:00,0.823,1558
2015-02-16 01:00:00,0.789,1383
2015-02-17 01:00:00,0.783,1318
2015-02-18 01:00:00,0.794,1282
2015-02-19 01:00:00,0.797,1302
2015-02-20 01:00:00,0.791,1538
2015-02-21 01:00:00,0.826,1440
2015-02-22 01:00:00,0.789,1525
2015-02-23 01:00:00,0.789,1294
2015-02-24 01:00:00,0.785,1310
2015-02-25 01:00:00,0.765,1219
2015-02-26 01:00:00,0.775,1366
2015-02-27 01:00:00,0.76,1647
2015-02-28 01:00:00,0.74,1729
2015-03-01 01:00:00,0.746,1701
2015-03-02 01:00:00,0.721,1407
2015-03-03 01:00:00,0.753,1408
2015-03-04 01:00:00,0.743,1279
