date,price,volume
2020-12-03 01:00:00,1.836,44
2020-12-04 01:00:00,0.829,1615
2020-12-05 01:00:00,0.824,1140
2020-12-06 01:00:00,0.87,777
2020-12-07 01:00:00,0.863,693
2020-12-08 01:00:00,0.873,697
2020-12-09 01:00:00,0.654,1167
2020-12-10 01:00:00,0.66,782
2020-12-11 01:00:00,0.677,784
2020-12-12 01:00:00,0.756,701
2020-12-13 01:00:00,0.787,578
2020-12-14 01:00:00,0.791,513
2020-12-15 01:00:00,0.783,607
2020-12-16 01:00:00,0.663,1157
2020-12-17 01:00:00,0.686,840
2020-12-18 01:00:00,0.775,828
2020-12-19 01:00:00,0.833,831
2020-12-20 01:00:00,0.826,699
2020-12-21 01:00:00,0.831,556
2020-12-22 01:00:00,0.828,640
2020-12-23 01:00:00,0.715,1158
2020-12-24 01:00:00,0.708,870
2020-12-25 01:00:00,0.745,642
2020-12-26 01:00:00,0.675,714
2020-12-27 01:00:00,0.715,523
2020-12-28 01:00:00,0.692,681
2020-12-29 01:00:00,0.664,749
2020-12-30 01:00:00,0.609,1251
2020-12-31 01:00:00,0.622,869
2021-01-01 01:00:00,0.645,754
2021-01-02 01:00:00,0.629,817
2021-01-03 01:00:00,0.631,789
2021-01-04 01:00:00,0.645,799
2021-01-05 01:00:00,0.649,802
2021-01-06 01:00:00,0.589,1245
2021-01-07 01:00:00,0.632,874
2021-01-08 01:00:00,0.661,968
2021-01-09 01:00:00,0.67,877
2021-01-10 01:00:00,0.693,725
2021-01-11 01:00:00,0.723,691
2021-01-12 01:00:00,0.771,702
2021-01-13 01:00:00,0.696,1132
2021-01-14 01:00:00,0.703,876
2021-01-15 01:00:00,0.709,751
2021-01-16 01:00:00,0.711,824
2021-01-17 01:00:00,0.677,701
2021-01-18 01:00:00,0.682,609
2021-01-19 01:00:00,0.671,671
2021-01-20 01:00:00,0.626,1049
2021-01-21 01:00:00,0.637,775
2021-01-22 01:00:00,0.639,830
2021-01-23 01:00:00,0.638,803
2021-01-24 01:00:00,0.633,753
2021-01-25 01:00:00,0.64,657
2021-01-26 01:00:00,0.639,700
2021-01-27 01:00:00,0.59,1062
2021-01-28 01:00:00,0.519,1420
2021-01-29 01:00:00,0.499,829
2021-01-30 01:00:00,0.515,797
2021-01-31 01:00:00,0.524,748
2021-02-01 01:00:00,0.53,607
2021-02-02 01:00:00,0.538,603
2021-02-03 01:00:00,0.49,935
2021-02-04 01:00:00,0.524,908
2021-02-05 01:00:00,0.503,711
2021-02-06 01:00:00,0.499,736
2021-02-07 01:00:00,0.512,671
2021-02-08 01:00:00,0.521,602
2021-02-09 01:00:00,0.503,625
2021-02-10 01:00:00,0.466,941
2021-02-11 01:00:00,0.486,751
2021-02-12 01:00:00,0.463,853
2021-02-13 01:00:00,0.458,826
2021-02-14 01:00:00,0.441,784
2021-02-15 01:00:00,0.445,701
2021-02-16 01:00:00,0.464,679
2021-02-17 01:00:00,0.441,918
2021-02-18 01:00:00,0.45,809
2021-02-19 01:00:00,0.469,759
2021-02-20 01:00:00,0.481,713
2021-02-21 01:00:00,0.482,660
2021-02-22 01:00:00,0.485,658
2021-02-23 01:00:00,0.49,705
2021-02-24 01:00:00,0.483,875
2021-02-25 01:00:00,0.495,751
2021-02-26 01:00:00,0.506,803
2021-02-27 01:00:00,0.527,857
2021-02-28 01:00:00,0.554,959
2021-03-01 01:00:00,0.56,657
2021-03-02 01:00:00,0.57,663
2021-03-03 01:00:00,0.545,861
2021-03-04 01:00:00,0.548,707
2021-03-05 01:00:00,0.572,757
2021-03-06 01:00:00,0.569,875
2021-03-07 01:00:00,0.576,839
2021-03-08 01:00:00,0.593,728
2021-03-09 01:00:00,0.575,694
2021-03-10 01:00:00,0.541,821
2021-03-11 01:00:00,0.56,726
2021-03-12 01:00:00,0.568,787
2021-03-13 01:00:00,0.574,907
2021-03-14 01:00:00,0.573,789
