date,price,volume
2016-02-18 01:00:00,1.272,295
2016-02-19 01:00:00,1.101,267
2016-02-20 01:00:00,1.039,192
2016-02-21 01:00:00,1.123,156
2016-02-22 01:00:00,1.153,87
2016-02-23 01:00:00,1.115,91
2016-02-24 01:00:00,1.139,92
2016-02-25 01:00:00,0.935,114
2016-02-26 01:00:00,0.724,159
2016-02-27 01:00:00,0.639,191
2016-02-28 01:00:00,0.625,123
2016-02-29 01:00:00,0.626,115
2016-03-01 01:00:00,0.603,112
2016-03-02 01:00:00,0.583,103
2016-03-03 01:00:00,0.555,101
2016-03-04 01:00:00,0.505,156
2016-03-05 01:00:00,0.478,161
2016-03-06 01:00:00,0.4,192
2016-03-07 01:00:00,0.405,132
2016-03-08 01:00:00,0.403,129
2016-03-09 01:00:00,0.497,83
2016-03-10 01:00:00,0.56,59
2016-03-11 01:00:00,0.588,100
2016-03-12 01:00:00,0.542,95
2016-03-13 01:00:00,0.524,105
2016-03-14 01:00:00,0.482,75
2016-03-15 01:00:00,0.44,85
2016-03-16 01:00:00,0.434,81
2016-03-17 01:00:00,0.436,105
2016-03-18 01:00:00,0.425,105
2016-03-19 01:00:00,0.444,96
2016-03-20 01:00:00,0.421,112
2016-03-21 01:00:00,0.425,104
2016-03-22 01:00:00,0.451,73
2016-03-23 01:00:00,0.374,74
2016-03-24 01:00:00,0.399,92
2016-03-25 01:00:00,0.405,86
2016-03-26 01:00:00,0.377,94
2016-03-27 01:00:00,0.385,97
2016-03-28 01:00:00,0.376,103
2016-03-29 01:00:00,0.383,85
2016-03-30 01:00:00,0.337,78
2016-03-31 01:00:00,0.295,112
2016-04-01 01:00:00,0.328,132
2016-04-02 01:00:00,0.336,129
2016-04-03 01:00:00,0.325,118
2016-04-04 01:00:00,0.316,95
2016-04-05 01:00:00,0.321,96
2016-04-06 01:00:00,0.34,120
2016-04-07 01:00:00,0.323,100
2016-04-08 01:00:00,0.335,94
2016-04-09 01:00:00,0.333,122
2016-04-10 01:00:00,0.337,106
2016-04-11 01:00:00,0.339,92
2016-04-12 01:00:00,0.319,85
2016-04-13 01:00:00,0.349,101
2016-04-14 01:00:00,0.345,78
2016-04-15 01:00:00,0.316,89
2016-04-16 01:00:00,0.327,139
2016-04-17 01:00:00,0.307,129
2016-04-18 01:00:00,0.309,108
2016-04-19 01:00:00,0.304,91
2016-04-20 01:00:00,0.277,110
2016-04-21 01:00:00,0.276,139
2016-04-22 01:00:00,0.275,116
2016-04-23 01:00:00,0.297,124
2016-04-24 01:00:00,0.306,134
2016-04-25 01:00:00,0.283,107
2016-04-26 01:00:00,0.303,80
2016-04-27 01:00:00,0.316,80
2016-04-28 01:00:00,0.432,101
2016-04-29 01:00:00,0.268,145
2016-04-30 01:00:00,0.27,167
2016-05-01 01:00:00,0.27,134
2016-05-02 01:00:00,0.265,120
2016-05-03 01:00:00,0.274,102
2016-05-04 01:00:00,0.264,106
2016-05-05 01:00:00,0.259,113
2016-05-06 01:00:00,0.26,122
2016-05-07 01:00:00,0.267,119
2016-05-08 01:00:00,0.257,125
2016-05-09 01:00:00,0.262,92
2016-05-10 01:00:00,0.257,90
2016-05-11 01:00:00,0.253,81
2016-05-12 01:00:00,0.232,102
2016-05-13 01:00:00,0.223,112
2016-05-14 01:00:00,0.238,91
2016-05-15 01:00:00,0.233,105
2016-05-16 01:00:00,0.23,92
2016-05-17 01:00:00,0.233,87
2016-05-18 01:00:00,0.228,95
2016-05-19 01:00:00,0.221,90
2016-05-20 01:00:00,0.227,89
2016-05-21 01:00:00,0.231,120
2016-05-22 01:00:00,0.237,101
2016-05-23 01:00:00,0.228,69
2016-05-24 01:00:00,0.243,106
2016-05-25 01:00:00,0.228,79
2016-05-26 01:00:00,0.239,58
2016-05-27 01:00:00,0.24,61
2016-05-28 01:00:00,0.23,84
2016-05-29 01:00:00,0.225,80
2016-05-30 01:00:00,0.224,107
2016-05-31 01:00:00,0.22,98
2016-06-01 01:00:00,0.219,74
2016-06-02 01:00:00,0.219,90
2016-06-03 01:00:00,0.213,89
2016-06-04 01:00:00,0.213,98
2016-06-05 01:00:00,0.224,92
2016-06-06 01:00:00,0.235,73
2016-06-07 01:00:00,0.252,94
2016-06-08 01:00:00,0.261,81
2016-06-09 01:00:00,0.246,51
2016-06-10 01:00:00,0.217,82
2016-06-11 01:00:00,0.215,85
2016-06-12 01:00:00,0.214,92
2016-06-13 01:00:00,0.217,67
2016-06-14 01:00:00,0.219,81
2016-06-15 01:00:00,0.221,44
2016-06-16 01:00:00,0.198,101
2016-06-17 01:00:00,0.189,77
2016-06-18 01:00:00,0.213,86
2016-06-19 01:00:00,0.22,98
2016-06-20 01:00:00,0.219,87
2016-06-21 01:00:00,0.212,101
2016-06-22 01:00:00,0.205,98
2016-06-23 01:00:00,0.198,76
2016-06-24 01:00:00,0.182,81
2016-06-25 01:00:00,0.177,86
2016-06-26 01:00:00,0.158,94
2016-06-27 01:00:00,0.155,103
2016-06-28 01:00:00,0.178,82
2016-06-29 01:00:00,0.18,68
2016-06-30 01:00:00,0.181,86
2016-07-01 01:00:00,0.176,83
2016-07-02 01:00:00,0.173,90
2016-07-03 01:00:00,0.178,73
2016-07-04 01:00:00,0.167,98
2016-07-05 01:00:00,0.194,87
2016-07-06 01:00:00,0.211,76
2016-07-07 01:00:00,0.212,62
2016-07-08 01:00:00,0.212,77
2016-07-09 01:00:00,0.212,101
2016-07-10 01:00:00,0.195,72
2016-07-11 01:00:00,0.169,69
2016-07-12 01:00:00,0.198,104
2016-07-13 01:00:00,0.22,58
2016-07-14 01:00:00,0.208,97
2016-07-15 01:00:00,0.223,55
2016-07-16 01:00:00,0.213,60
2016-07-17 01:00:00,0.201,84
2016-07-18 01:00:00,0.234,60
2016-07-19 01:00:00,0.23,74
2016-07-20 01:00:00,0.224,54
2016-07-21 01:00:00,0.217,62
2016-07-22 01:00:00,0.22,54
2016-07-23 01:00:00,0.218,87
2016-07-24 01:00:00,0.22,63
2016-07-25 01:00:00,0.256,55
2016-07-26 01:00:00,0.259,63
2016-07-27 01:00:00,0.232,58
2016-07-28 01:00:00,0.239,52
2016-07-29 01:00:00,0.229,60
2016-07-30 01:00:00,0.226,65
2016-07-31 01:00:00,0.226,68
2016-08-01 01:00:00,0.229,53
2016-08-02 01:00:00,0.235,63
2016-08-03 01:00:00,0.229,49
2016-08-04 01:00:00,0.229,61
2016-08-05 01:00:00,0.235,56
2016-08-06 01:00:00,0.23,60
2016-08-07 01:00:00,0.25,46
2016-08-08 01:00:00,0.261,60
2016-08-09 01:00:00,0.259,43
2016-08-10 01:00:00,0.249,54
2016-08-11 01:00:00,0.232,66
2016-08-12 01:00:00,0.239,57
2016-08-13 01:00:00,0.23,62
2016-08-14 01:00:00,0.238,49
2016-08-15 01:00:00,0.229,50
2016-08-16 01:00:00,0.218,49
2016-08-17 01:00:00,0.22,39
2016-08-18 01:00:00,0.225,67
2016-08-19 01:00:00,0.235,55
2016-08-20 01:00:00,0.244,62
2016-08-21 01:00:00,0.224,54
2016-08-22 01:00:00,0.23,49
2016-08-23 01:00:00,0.238,52
2016-08-24 01:00:00,0.242,55
2016-08-25 01:00:00,0.237,49
2016-08-26 01:00:00,0.245,57
2016-08-27 01:00:00,0.242,53
2016-08-28 01:00:00,0.228,61
2016-08-29 01:00:00,0.246,54
2016-08-30 01:00:00,0.242,61
2016-08-31 01:00:00,0.256,50
2016-09-01 01:00:00,0.269,44
2016-09-02 01:00:00,0.26,40
2016-09-03 01:00:00,0.23,66
2016-09-04 01:00:00,0.243,60
2016-09-05 01:00:00,0.237,66
2016-09-06 01:00:00,0.237,48
2016-09-07 01:00:00,0.25,41
2016-09-08 01:00:00,0.24,54
2016-09-09 01:00:00,0.264,65
2016-09-10 01:00:00,0.289,52
2016-09-11 01:00:00,0.28,58
2016-09-12 01:00:00,0.26,43
2016-09-13 01:00:00,0.242,33
2016-09-14 01:00:00,0.24,47
2016-09-15 01:00:00,0.242,36
2016-09-16 01:00:00,0.251,58
2016-09-17 01:00:00,0.248,59
2016-09-18 01:00:00,0.25,60
2016-09-19 01:00:00,0.253,53
2016-09-20 01:00:00,0.319,32
2016-09-21 01:00:00,0.253,50
2016-09-22 01:00:00,0.233,42
2016-09-23 01:00:00,0.263,54
2016-09-24 01:00:00,0.254,48
2016-09-25 01:00:00,0.25,46
2016-09-26 01:00:00,0.253,51
2016-09-27 01:00:00,0.252,34
2016-09-28 01:00:00,0.253,34
2016-09-29 01:00:00,0.248,42
2016-09-30 01:00:00,0.241,50
2016-10-01 01:00:00,0.234,54
2016-10-02 01:00:00,0.253,49
2016-10-03 01:00:00,0.23,31
2016-10-04 01:00:00,0.236,34
2016-10-05 01:00:00,0.236,34
2016-10-06 01:00:00,0.234,27
2016-10-07 01:00:00,0.221,45
2016-10-08 01:00:00,0.225,50
2016-10-09 01:00:00,0.217,42
2016-10-10 01:00:00,0.218,40
2016-10-11 01:00:00,0.205,37
2016-10-12 01:00:00,0.212,35
2016-10-13 01:00:00,0.204,35
2016-10-14 01:00:00,0.2,35
2016-10-15 01:00:00,0.208,42
2016-10-16 01:00:00,0.213,53
2016-10-17 01:00:00,0.206,35
2016-10-18 01:00:00,0.202,46
2016-10-19 01:00:00,0.186,45
2016-10-20 01:00:00,0.189,37
2016-10-21 01:00:00,0.187,37
2016-10-22 01:00:00,0.188,46
2016-10-23 01:00:00,0.186,61
2016-10-24 01:00:00,0.197,36
2016-10-25 01:00:00,0.215,40
2016-10-26 01:00:00,0.202,33
2016-10-27 01:00:00,0.211,51
2016-10-28 01:00:00,0.212,34
2016-10-29 01:00:00,0.209,42
2016-10-30 01:00:00,0.209,41
2016-10-31 01:00:00,0.204,50
2016-11-01 01:00:00,0.221,39
2016-11-02 01:00:00,0.205,36
2016-11-03 01:00:00,0.21,48
2016-11-04 01:00:00,0.213,42
2016-11-05 01:00:00,0.22,48
2016-11-06 01:00:00,0.227,55
2016-11-07 01:00:00,0.206,36
2016-11-08 01:00:00,0.213,35
2016-11-09 01:00:00,0.208,47
2016-11-10 01:00:00,0.211,35
2016-11-11 01:00:00,0.219,49
2016-11-12 01:00:00,0.217,77
2016-11-13 01:00:00,0.231,57
2016-11-14 01:00:00,0.24,36
2016-11-15 01:00:00,0.233,35
2016-11-16 01:00:00,0.224,31
2016-11-17 01:00:00,0.21,41
2016-11-18 01:00:00,0.227,46
2016-11-19 01:00:00,0.218,32
2016-11-20 01:00:00,0.222,52
2016-11-21 01:00:00,0.209,37
2016-11-22 01:00:00,0.204,37
