date,price,volume
2022-01-21 01:00:00,23.206,198
2022-01-22 01:00:00,14.235,193
2022-01-23 01:00:00,12.719,174
2022-01-24 01:00:00,11.271,156
2022-01-25 01:00:00,9.884,148
2022-01-26 01:00:00,9.07,145
2022-01-27 01:00:00,8.481,152
2022-01-28 01:00:00,7.923,168
2022-01-29 01:00:00,7.005,173
2022-01-30 01:00:00,6.647,160
2022-01-31 01:00:00,6.207,174
2022-02-01 01:00:00,6.699,167
2022-02-02 01:00:00,6.842,158
2022-02-03 01:00:00,7.295,139
2022-02-04 01:00:00,7.616,159
2022-02-05 01:00:00,7.583,167
2022-02-06 01:00:00,7.034,188
2022-02-07 01:00:00,7.27,158
2022-02-08 01:00:00,6.735,156
2022-02-09 01:00:00,6.43,168
2022-02-10 01:00:00,6.453,170
2022-02-11 01:00:00,6.713,180
2022-02-12 01:00:00,7.109,172
2022-02-13 01:00:00,7.162,163
2022-02-14 01:00:00,6.638,116
2022-02-15 01:00:00,6.073,160
2022-02-16 01:00:00,6.073,177
2022-02-17 01:00:00,6.45,178
2022-02-18 01:00:00,6.283,178
2022-02-19 01:00:00,6.357,190
2022-02-20 01:00:00,6.526,138
2022-02-21 01:00:00,6.532,159
2022-02-22 01:00:00,6.171,166
2022-02-23 01:00:00,6.073,146
2022-02-24 01:00:00,6.248,158
2022-02-25 01:00:00,6.147,178
2022-02-26 01:00:00,6.277,184
2022-02-27 01:00:00,6.296,179
2022-02-28 01:00:00,6.274,175
2022-03-01 01:00:00,6.324,144
2022-03-02 01:00:00,6.275,152
2022-03-03 01:00:00,6.397,167
2022-03-04 01:00:00,6.56,154
2022-03-05 01:00:00,6.759,179
2022-03-06 01:00:00,6.602,171
2022-03-07 01:00:00,6.47,172
2022-03-08 01:00:00,6.612,217
2022-03-09 01:00:00,6.751,144
2022-03-10 01:00:00,6.864,190
2022-03-11 01:00:00,7.006,178
2022-03-12 01:00:00,6.971,179
2022-03-13 01:00:00,6.963,178
2022-03-14 01:00:00,6.706,170
2022-03-15 01:00:00,6.805,174
2022-03-16 01:00:00,6.791,164
2022-03-17 01:00:00,6.746,186
2022-03-18 01:00:00,6.699,183
2022-03-19 01:00:00,6.783,169
2022-03-20 01:00:00,6.817,196
2022-03-21 01:00:00,6.903,157
2022-03-22 01:00:00,6.839,152
2022-03-23 01:00:00,6.836,149
2022-03-24 01:00:00,6.699,153
2022-03-25 01:00:00,6.572,163
2022-03-26 01:00:00,6.596,192
2022-03-27 01:00:00,6.841,176
2022-03-28 01:00:00,6.605,130
2022-03-29 01:00:00,6.388,164
2022-03-30 01:00:00,6.263,151
2022-03-31 01:00:00,6.194,149
2022-04-01 01:00:00,6.243,175
2022-04-02 01:00:00,5.858,164
2022-04-03 01:00:00,5.756,186
2022-04-04 01:00:00,5.665,160
2022-04-05 01:00:00,5.64,160
2022-04-06 01:00:00,5.664,143
2022-04-07 01:00:00,5.778,176
2022-04-08 01:00:00,5.844,180
2022-04-09 01:00:00,5.897,158
2022-04-10 01:00:00,6.026,163
2022-04-11 01:00:00,6.056,141
2022-04-12 01:00:00,6.187,150
2022-04-13 01:00:00,6.344,145
2022-04-14 01:00:00,6.255,151
2022-04-15 01:00:00,6.324,138
2022-04-16 01:00:00,6.481,142
2022-04-17 01:00:00,6.514,147
2022-04-18 01:00:00,6.601,170
2022-04-19 01:00:00,6.558,124
2022-04-20 01:00:00,6.68,133
2022-04-21 01:00:00,6.595,134
2022-04-22 01:00:00,6.58,136
2022-04-23 01:00:00,6.546,178
2022-04-24 01:00:00,6.225,171
2022-04-25 01:00:00,6.123,132
2022-04-26 01:00:00,6.215,149
2022-04-27 01:00:00,5.983,165
2022-04-28 01:00:00,6.023,158
2022-04-29 01:00:00,6.142,156
2022-04-30 01:00:00,5.871,163
2022-05-01 01:00:00,5.918,170
2022-05-02 01:00:00,6.092,167
2022-05-03 01:00:00,5.936,152
2022-05-04 01:00:00,5.63,232
2022-05-05 01:00:00,5.116,169
2022-05-06 01:00:00,5.048,144
2022-05-07 01:00:00,4.94,160
2022-05-08 01:00:00,4.933,149
2022-05-09 01:00:00,4.702,129
2022-05-10 01:00:00,4.574,148
2022-05-11 01:00:00,4.507,199
2022-05-12 01:00:00,4.321,157
2022-05-13 01:00:00,4.25,146
2022-05-14 01:00:00,4.143,222
2022-05-15 01:00:00,4.184,181
2022-05-16 01:00:00,4.311,141
2022-05-17 01:00:00,4.364,149
2022-05-18 01:00:00,4.458,139
2022-05-19 01:00:00,4.575,130
2022-05-20 01:00:00,4.438,128
2022-05-21 01:00:00,4.416,193
2022-05-22 01:00:00,4.55,200
2022-05-23 01:00:00,4.33,117
2022-05-24 01:00:00,4.441,168
2022-05-25 01:00:00,4.237,153
2022-05-26 01:00:00,4.197,165
2022-05-27 01:00:00,4.082,140
2022-05-28 01:00:00,4.17,189
2022-05-29 01:00:00,4.035,173
2022-05-30 01:00:00,3.905,140
2022-05-31 01:00:00,3.857,154
2022-06-01 01:00:00,3.882,143
2022-06-02 01:00:00,3.885,155
2022-06-03 01:00:00,3.824,196
2022-06-04 01:00:00,3.858,188
2022-06-05 01:00:00,3.873,191
2022-06-06 01:00:00,3.879,153
2022-06-07 01:00:00,4.07,135
2022-06-08 01:00:00,3.993,199
2022-06-09 01:00:00,3.997,169
2022-06-10 01:00:00,3.977,192
2022-06-11 01:00:00,3.867,180
2022-06-12 01:00:00,3.881,184
2022-06-13 01:00:00,3.98,168
2022-06-14 01:00:00,3.891,136
2022-06-15 01:00:00,3.787,166
2022-06-16 01:00:00,3.684,183
2022-06-17 01:00:00,3.505,200
2022-06-18 01:00:00,3.468,150
2022-06-19 01:00:00,3.477,174
2022-06-20 01:00:00,3.366,179
2022-06-21 01:00:00,3.371,182
2022-06-22 01:00:00,3.328,157
2022-06-23 01:00:00,3.41,169
2022-06-24 01:00:00,3.221,165
2022-06-25 01:00:00,3.223,186
2022-06-26 01:00:00,3.402,180
2022-06-27 01:00:00,3.419,181
2022-06-28 01:00:00,3.304,162
2022-06-29 01:00:00,3.334,144
2022-06-30 01:00:00,3.354,144
2022-07-01 01:00:00,3.4,181
2022-07-02 01:00:00,3.364,241
2022-07-03 01:00:00,3.359,236
2022-07-04 01:00:00,3.278,207
2022-07-05 01:00:00,3.337,210
2022-07-06 01:00:00,3.334,229
2022-07-07 01:00:00,3.299,209
2022-07-08 01:00:00,3.356,194
2022-07-09 01:00:00,3.359,180
2022-07-10 01:00:00,3.411,212
2022-07-11 01:00:00,3.397,232
2022-07-12 01:00:00,3.445,240
2022-07-13 01:00:00,3.611,132
2022-07-14 01:00:00,3.438,187
2022-07-15 01:00:00,3.448,198
2022-07-16 01:00:00,3.481,196
2022-07-17 01:00:00,3.39,174
2022-07-18 01:00:00,3.522,243
2022-07-19 01:00:00,3.463,177
2022-07-20 01:00:00,3.867,82
2022-07-21 01:00:00,3.433,181
2022-07-22 01:00:00,3.459,198
2022-07-23 01:00:00,3.43,212
2022-07-24 01:00:00,3.427,185
