date,price,volume
2015-05-27 01:00:00,0.285,1573
2015-05-28 01:00:00,0.278,1488
2015-05-29 01:00:00,0.373,877
2015-05-30 01:00:00,0.445,663
2015-05-31 01:00:00,0.526,479
2015-06-01 01:00:00,0.553,306
2015-06-02 01:00:00,0.582,316
2015-06-03 01:00:00,0.284,2331
2015-06-04 01:00:00,0.247,1480
2015-06-05 01:00:00,0.284,1113
2015-06-06 01:00:00,0.319,765
2015-06-07 01:00:00,0.34,639
2015-06-08 01:00:00,0.365,680
2015-06-09 01:00:00,0.386,411
2015-06-10 01:00:00,0.239,2171
2015-06-11 01:00:00,0.223,1612
2015-06-12 01:00:00,0.227,1237
2015-06-13 01:00:00,0.266,1029
2015-06-14 01:00:00,0.26,968
2015-06-15 01:00:00,0.263,632
2015-06-16 01:00:00,0.267,670
2015-06-17 01:00:00,0.188,2227
2015-06-18 01:00:00,0.195,1562
2015-06-19 01:00:00,0.209,1255
2015-06-20 01:00:00,0.23,1246
2015-06-21 01:00:00,0.233,936
2015-06-22 01:00:00,0.247,773
2015-06-23 01:00:00,0.288,660
2015-06-24 01:00:00,0.219,2259
2015-06-25 01:00:00,0.212,1867
2015-06-26 01:00:00,0.223,1354
2015-06-27 01:00:00,0.237,1126
2015-06-28 01:00:00,0.254,970
2015-06-29 01:00:00,0.261,801
2015-06-30 01:00:00,0.266,845
2015-07-01 01:00:00,0.211,2350
2015-07-02 01:00:00,0.205,1717
2015-07-03 01:00:00,0.237,1316
2015-07-04 01:00:00,0.25,1184
2015-07-05 01:00:00,0.251,1177
2015-07-06 01:00:00,0.263,1002
2015-07-07 01:00:00,0.278,939
2015-07-08 01:00:00,0.21,2114
2015-07-09 01:00:00,0.217,1724
2015-07-10 01:00:00,0.221,1290
2015-07-11 01:00:00,0.235,1100
2015-07-12 01:00:00,0.227,1044
2015-07-13 01:00:00,0.23,1106
2015-07-14 01:00:00,0.235,895
2015-07-15 01:00:00,0.195,2183
2015-07-16 01:00:00,0.189,1762
2015-07-17 01:00:00,0.204,1592
2015-07-18 01:00:00,0.209,1121
2015-07-19 01:00:00,0.217,1073
2015-07-20 01:00:00,0.224,1049
2015-07-21 01:00:00,0.229,915
2015-07-22 01:00:00,0.189,2041
2015-07-23 01:00:00,0.176,2034
2015-07-24 01:00:00,0.188,1450
2015-07-25 01:00:00,0.198,1229
2015-07-26 01:00:00,0.213,1101
2015-07-27 01:00:00,0.215,1091
2015-07-28 01:00:00,0.218,1054
2015-07-29 01:00:00,0.182,2073
2015-07-30 01:00:00,0.175,1900
2015-07-31 01:00:00,0.183,1437
2015-08-01 01:00:00,0.187,1138
2015-08-02 01:00:00,0.187,1193
2015-08-03 01:00:00,0.192,1125
2015-08-04 01:00:00,0.195,993
2015-08-05 01:00:00,0.168,2281
2015-08-06 01:00:00,0.165,1707
2015-08-07 01:00:00,0.172,1324
2015-08-08 01:00:00,0.178,1244
2015-08-09 01:00:00,0.186,1337
2015-08-10 01:00:00,0.201,1139
2015-08-11 01:00:00,0.197,933
2015-08-12 01:00:00,0.157,2144
2015-08-13 01:00:00,0.161,1679
2015-08-14 01:00:00,0.164,1495
2015-08-15 01:00:00,0.13,1434
2015-08-16 01:00:00,0.129,1483
2015-08-17 01:00:00,0.141,1450
2015-08-18 01:00:00,0.158,1172
2015-08-19 01:00:00,0.128,2560
2015-08-20 01:00:00,0.124,2043
2015-08-21 01:00:00,0.126,2004
2015-08-22 01:00:00,0.139,1718
2015-08-23 01:00:00,0.121,1784
2015-08-24 01:00:00,0.143,1504
2015-08-25 01:00:00,0.189,1165
2015-08-26 01:00:00,0.156,2585
2015-08-27 01:00:00,0.16,2205
2015-08-28 01:00:00,0.181,1787
2015-08-29 01:00:00,0.195,1533
2015-08-30 01:00:00,0.192,1423
2015-08-31 01:00:00,0.193,1351
2015-09-01 01:00:00,0.214,1187
2015-09-02 01:00:00,0.167,2126
2015-09-03 01:00:00,0.168,2220
2015-09-04 01:00:00,0.18,1628
2015-09-05 01:00:00,0.188,1917
2015-09-06 01:00:00,0.192,1515
2015-09-07 01:00:00,0.189,1134
2015-09-08 01:00:00,0.198,1087
2015-09-09 01:00:00,0.176,1772
2015-09-10 01:00:00,0.166,2009
2015-09-11 01:00:00,0.171,1818
2015-09-12 01:00:00,0.178,1961
2015-09-13 01:00:00,0.179,1585
2015-09-14 01:00:00,0.182,1249
2015-09-15 01:00:00,0.194,1112
2015-09-16 01:00:00,0.162,2591
2015-09-17 01:00:00,0.15,1805
2015-09-18 01:00:00,0.15,2541
2015-09-19 01:00:00,0.17,2447
2015-09-20 01:00:00,0.191,2392
2015-09-21 01:00:00,0.183,1461
2015-09-22 01:00:00,0.196,1357
2015-09-23 01:00:00,0.163,2751
2015-09-24 01:00:00,0.166,2353
2015-09-25 01:00:00,0.164,2115
2015-09-26 01:00:00,0.172,2393
2015-09-27 01:00:00,0.175,1920
2015-09-28 01:00:00,0.179,1563
2015-09-29 01:00:00,0.186,1381
2015-09-30 01:00:00,0.153,2362
2015-10-01 01:00:00,0.154,2317
2015-10-02 01:00:00,0.172,1718
2015-10-03 01:00:00,0.184,1727
2015-10-04 01:00:00,0.185,1290
2015-10-05 01:00:00,0.188,1070
2015-10-06 01:00:00,0.205,813
2015-10-07 01:00:00,0.211,924
2015-10-08 01:00:00,0.209,804
2015-10-09 01:00:00,0.212,770
2015-10-10 01:00:00,0.22,939
2015-10-11 01:00:00,0.22,850
2015-10-12 01:00:00,0.221,623
2015-10-13 01:00:00,0.22,526
2015-10-14 01:00:00,0.214,614
2015-10-15 01:00:00,0.214,526
2015-10-16 01:00:00,0.207,553
2015-10-17 01:00:00,0.218,626
2015-10-18 01:00:00,0.22,681
2015-10-19 01:00:00,0.207,468
2015-10-20 01:00:00,0.204,538
2015-10-21 01:00:00,0.181,561
2015-10-22 01:00:00,0.183,455
2015-10-23 01:00:00,0.187,625
2015-10-24 01:00:00,0.21,742
2015-10-25 01:00:00,0.209,536
2015-10-26 01:00:00,0.208,466
2015-10-27 01:00:00,0.211,467
2015-10-28 01:00:00,0.207,474
2015-10-29 01:00:00,0.196,512
2015-10-30 01:00:00,0.21,557
2015-10-31 01:00:00,0.212,616
2015-11-01 01:00:00,0.175,846
2015-11-02 01:00:00,0.205,523
2015-11-03 01:00:00,0.22,368
2015-11-04 01:00:00,0.246,393
2015-11-05 01:00:00,0.247,364
2015-11-06 01:00:00,0.273,386
2015-11-07 01:00:00,0.261,434
2015-11-08 01:00:00,0.255,447
2015-11-09 01:00:00,0.251,363
2015-11-10 01:00:00,0.24,273
2015-11-11 01:00:00,0.244,272
2015-11-12 01:00:00,0.242,251
2015-11-13 01:00:00,0.254,307
2015-11-14 01:00:00,0.253,334
2015-11-15 01:00:00,0.27,351
2015-11-16 01:00:00,0.246,281
2015-11-17 01:00:00,0.249,287
2015-11-18 01:00:00,0.257,235
2015-11-19 01:00:00,0.247,310
2015-11-20 01:00:00,0.262,264
2015-11-21 01:00:00,0.259,322
2015-11-22 01:00:00,0.24,286
2015-11-23 01:00:00,0.215,234
2015-11-24 01:00:00,0.239,344
2015-11-25 01:00:00,0.235,284
2015-11-26 01:00:00,0.21,273
2015-11-27 01:00:00,0.202,320
2015-11-28 01:00:00,0.214,371
2015-11-29 01:00:00,0.208,325
2015-11-30 01:00:00,0.214,273
2015-12-01 01:00:00,0.217,238
2015-12-02 01:00:00,0.248,259
2015-12-03 01:00:00,0.282,191
2015-12-04 01:00:00,0.308,243
2015-12-05 01:00:00,0.335,268
2015-12-06 01:00:00,0.315,303
2015-12-07 01:00:00,0.33,202
2015-12-08 01:00:00,0.345,192
2015-12-09 01:00:00,0.335,224
2015-12-10 01:00:00,0.345,223
2015-12-11 01:00:00,0.354,220
2015-12-12 01:00:00,0.366,238
2015-12-13 01:00:00,0.369,235
2015-12-14 01:00:00,0.394,161
2015-12-15 01:00:00,0.371,139
2015-12-16 01:00:00,0.369,143
2015-12-17 01:00:00,0.366,133
2015-12-18 01:00:00,0.356,129
2015-12-19 01:00:00,0.351,166
2015-12-20 01:00:00,0.334,201
2015-12-21 01:00:00,0.311,145
2015-12-22 01:00:00,0.323,148
2015-12-23 01:00:00,0.242,241
2015-12-24 01:00:00,0.255,196
2015-12-25 01:00:00,0.283,184
2015-12-26 01:00:00,0.309,222
2015-12-27 01:00:00,0.325,240
2015-12-28 01:00:00,0.318,247
2015-12-29 01:00:00,0.321,234
2015-12-30 01:00:00,0.299,196
2015-12-31 01:00:00,0.337,240
2016-01-01 01:00:00,0.308,180
2016-01-02 01:00:00,0.286,246
2016-01-03 01:00:00,0.299,202
2016-01-04 01:00:00,0.277,200
2016-01-05 01:00:00,0.325,124
2016-01-06 01:00:00,0.365,192
2016-01-07 01:00:00,0.391,123
2016-01-08 01:00:00,0.412,118
2016-01-09 01:00:00,0.409,159
2016-01-10 01:00:00,0.386,138
2016-01-11 01:00:00,0.375,106
2016-01-12 01:00:00,0.385,119
2016-01-13 01:00:00,0.394,95
2016-01-14 01:00:00,0.377,111
2016-01-15 01:00:00,0.37,101
