date,price,volume
2016-11-29 01:00:00,5.205,136
2016-11-30 01:00:00,3.552,181
2016-12-01 01:00:00,2.787,184
2016-12-02 01:00:00,2.704,185
2016-12-03 01:00:00,2.406,208
2016-12-04 01:00:00,2.365,192
2016-12-05 01:00:00,1.916,150
2016-12-06 01:00:00,1.986,160
2016-12-07 01:00:00,1.99,149
2016-12-08 01:00:00,1.775,164
2016-12-09 01:00:00,1.756,151
2016-12-10 01:00:00,1.754,193
2016-12-11 01:00:00,1.628,193
2016-12-12 01:00:00,1.498,146
2016-12-13 01:00:00,1.421,131
2016-12-14 01:00:00,1.36,156
2016-12-15 01:00:00,1.296,145
2016-12-16 01:00:00,1.269,143
2016-12-17 01:00:00,1.264,158
2016-12-18 01:00:00,1.181,163
2016-12-19 01:00:00,1.124,129
2016-12-20 01:00:00,1.016,155
2016-12-21 01:00:00,0.974,151
2016-12-22 01:00:00,0.923,133
2016-12-23 01:00:00,0.954,149
2016-12-24 01:00:00,0.971,207
2016-12-25 01:00:00,1.084,286
2016-12-26 01:00:00,1.245,254
2016-12-27 01:00:00,1.228,208
2016-12-28 01:00:00,1.187,181
2016-12-29 01:00:00,1.09,169
2016-12-30 01:00:00,0.997,208
2016-12-31 01:00:00,0.955,173
2017-01-01 01:00:00,0.93,185
2017-01-02 01:00:00,0.956,223
2017-01-03 01:00:00,0.953,172
2017-01-04 01:00:00,0.915,170
2017-01-05 01:00:00,0.872,173
2017-01-06 01:00:00,0.896,204
2017-01-07 01:00:00,0.863,192
2017-01-08 01:00:00,0.845,196
2017-01-09 01:00:00,0.855,159
2017-01-10 01:00:00,0.827,178
2017-01-11 01:00:00,0.837,188
2017-01-12 01:00:00,0.793,161
2017-01-13 01:00:00,0.761,214
2017-01-14 01:00:00,0.726,248
2017-01-15 01:00:00,0.698,192
2017-01-16 01:00:00,0.684,214
2017-01-17 01:00:00,0.677,187
2017-01-18 01:00:00,0.652,160
2017-01-19 01:00:00,0.603,154
2017-01-20 01:00:00,0.577,201
2017-01-21 01:00:00,0.563,248
2017-01-22 01:00:00,0.526,211
2017-01-23 01:00:00,0.526,212
2017-01-24 01:00:00,0.525,221
2017-01-25 01:00:00,0.532,211
2017-01-26 01:00:00,0.54,203
2017-01-27 01:00:00,0.541,251
2017-01-28 01:00:00,0.534,239
2017-01-29 01:00:00,0.527,285
2017-01-30 01:00:00,0.514,203
2017-01-31 01:00:00,0.513,239
2017-02-01 01:00:00,0.497,204
2017-02-02 01:00:00,0.502,237
2017-02-03 01:00:00,0.5,215
2017-02-04 01:00:00,0.501,228
2017-02-05 01:00:00,0.496,264
2017-02-06 01:00:00,0.479,237
2017-02-07 01:00:00,0.501,181
2017-02-08 01:00:00,0.514,195
2017-02-09 01:00:00,0.503,216
2017-02-10 01:00:00,0.506,230
2017-02-11 01:00:00,0.51,288
2017-02-12 01:00:00,0.489,277
2017-02-13 01:00:00,0.488,214
2017-02-14 01:00:00,0.487,230
2017-02-15 01:00:00,0.476,223
2017-02-16 01:00:00,0.467,200
2017-02-17 01:00:00,0.47,216
2017-02-18 01:00:00,0.464,266
2017-02-19 01:00:00,0.458,281
2017-02-20 01:00:00,0.447,236
2017-02-21 01:00:00,0.437,236
2017-02-22 01:00:00,0.442,204
2017-02-23 01:00:00,0.437,201
2017-02-24 01:00:00,0.443,232
2017-02-25 01:00:00,0.443,310
2017-02-26 01:00:00,0.444,292
2017-02-27 01:00:00,0.42,212
2017-02-28 01:00:00,0.403,215
2017-03-01 01:00:00,0.397,295
2017-03-02 01:00:00,0.398,261
2017-03-03 01:00:00,0.435,401
2017-03-04 01:00:00,0.427,306
2017-03-05 01:00:00,0.419,262
2017-03-06 01:00:00,0.404,222
2017-03-07 01:00:00,0.408,205
2017-03-08 01:00:00,0.405,222
2017-03-09 01:00:00,0.399,222
2017-03-10 01:00:00,0.4,212
2017-03-11 01:00:00,0.408,340
2017-03-12 01:00:00,0.39,274
2017-03-13 01:00:00,0.398,192
2017-03-14 01:00:00,0.385,212
2017-03-15 01:00:00,0.379,260
2017-03-16 01:00:00,0.361,336
2017-03-17 01:00:00,0.373,314
2017-03-18 01:00:00,0.384,347
2017-03-19 01:00:00,0.384,345
2017-03-20 01:00:00,0.38,254
2017-03-21 01:00:00,0.379,295
2017-03-22 01:00:00,0.384,250
2017-03-23 01:00:00,0.378,252
2017-03-24 01:00:00,0.375,284
2017-03-25 01:00:00,0.348,344
2017-03-26 01:00:00,0.329,361
2017-03-27 01:00:00,0.335,246
2017-03-28 01:00:00,0.336,281
2017-03-29 01:00:00,0.325,296
2017-03-30 01:00:00,0.322,275
2017-03-31 01:00:00,0.327,286
2017-04-01 01:00:00,0.338,344
2017-04-02 01:00:00,0.351,309
2017-04-03 01:00:00,0.346,232
2017-04-04 01:00:00,0.345,244
2017-04-05 01:00:00,0.341,241
2017-04-06 01:00:00,0.332,246
2017-04-07 01:00:00,0.329,283
2017-04-08 01:00:00,0.32,312
2017-04-09 01:00:00,0.317,368
2017-04-10 01:00:00,0.304,274
2017-04-11 01:00:00,0.301,317
2017-04-12 01:00:00,0.295,300
2017-04-13 01:00:00,0.32,404
2017-04-14 01:00:00,0.328,282
2017-04-15 01:00:00,0.325,261
2017-04-16 01:00:00,0.323,291
2017-04-17 01:00:00,0.322,310
2017-04-18 01:00:00,0.325,276
2017-04-19 01:00:00,0.331,282
2017-04-20 01:00:00,0.338,240
2017-04-21 01:00:00,0.341,250
2017-04-22 01:00:00,0.35,315
2017-04-23 01:00:00,0.331,276
2017-04-24 01:00:00,0.327,194
2017-04-25 01:00:00,0.322,213
2017-04-26 01:00:00,0.324,207
2017-04-27 01:00:00,0.313,232
2017-04-28 01:00:00,0.315,268
2017-04-29 01:00:00,0.311,296
2017-04-30 01:00:00,0.329,320
2017-05-01 01:00:00,0.321,235
2017-05-02 01:00:00,0.314,193
2017-05-03 01:00:00,0.315,240
2017-05-04 01:00:00,0.314,204
2017-05-05 01:00:00,0.329,226
2017-05-06 01:00:00,0.33,232
2017-05-07 01:00:00,0.322,287
2017-05-08 01:00:00,0.312,248
2017-05-09 01:00:00,0.319,211
2017-05-10 01:00:00,0.307,221
2017-05-11 01:00:00,0.316,239
2017-05-12 01:00:00,0.32,235
2017-05-13 01:00:00,0.324,287
2017-05-14 01:00:00,0.323,321
2017-05-15 01:00:00,0.312,253
2017-05-16 01:00:00,0.318,202
2017-05-17 01:00:00,0.324,181
2017-05-18 01:00:00,0.324,214
2017-05-19 01:00:00,0.326,240
2017-05-20 01:00:00,0.339,216
2017-05-21 01:00:00,0.348,212
2017-05-22 01:00:00,0.335,172
2017-05-23 01:00:00,0.332,186
2017-05-24 01:00:00,0.289,324
2017-05-25 01:00:00,0.293,322
2017-05-26 01:00:00,0.312,310
2017-05-27 01:00:00,0.336,315
2017-05-28 01:00:00,0.34,292
2017-05-29 01:00:00,0.34,257
2017-05-30 01:00:00,0.339,268
2017-05-31 01:00:00,0.339,242
2017-06-01 01:00:00,0.344,253
2017-06-02 01:00:00,0.342,239
2017-06-03 01:00:00,0.355,273
2017-06-04 01:00:00,0.348,267
2017-06-05 01:00:00,0.34,260
2017-06-06 01:00:00,0.337,233
2017-06-07 01:00:00,0.355,270
2017-06-08 01:00:00,0.354,213
2017-06-09 01:00:00,0.357,254
2017-06-10 01:00:00,0.364,235
2017-06-11 01:00:00,0.34,233
2017-06-12 01:00:00,0.349,206
2017-06-13 01:00:00,0.343,170
2017-06-14 01:00:00,0.336,186
2017-06-15 01:00:00,0.337,225
2017-06-16 01:00:00,0.336,223
2017-06-17 01:00:00,0.331,193
2017-06-18 01:00:00,0.324,255
2017-06-19 01:00:00,0.33,219
2017-06-20 01:00:00,0.322,168
2017-06-21 01:00:00,0.296,214
2017-06-22 01:00:00,0.271,231
2017-06-23 01:00:00,0.251,255
2017-06-24 01:00:00,0.265,194
2017-06-25 01:00:00,0.277,210
2017-06-26 01:00:00,0.275,203
2017-06-27 01:00:00,0.284,174
2017-06-28 01:00:00,0.28,188
2017-06-29 01:00:00,0.283,211
2017-06-30 01:00:00,0.28,255
2017-07-01 01:00:00,0.291,240
2017-07-02 01:00:00,0.294,242
2017-07-03 01:00:00,0.292,219
2017-07-04 01:00:00,0.305,217
2017-07-05 01:00:00,0.297,219
2017-07-06 01:00:00,0.309,178
2017-07-07 01:00:00,0.312,180
2017-07-08 01:00:00,0.3,202
2017-07-09 01:00:00,0.314,229
2017-07-10 01:00:00,0.308,213
2017-07-11 01:00:00,0.313,177
2017-07-12 01:00:00,0.313,193
2017-07-13 01:00:00,0.316,160
2017-07-14 01:00:00,0.317,227
2017-07-15 01:00:00,0.309,199
2017-07-16 01:00:00,0.314,223
2017-07-17 01:00:00,0.314,196
2017-07-18 01:00:00,0.312,189
2017-07-19 01:00:00,0.331,205
2017-07-20 01:00:00,0.338,213
2017-07-21 01:00:00,0.332,205
2017-07-22 01:00:00,0.336,182
2017-07-23 01:00:00,0.322,242
2017-07-24 01:00:00,0.327,209
2017-07-25 01:00:00,0.338,197
2017-07-26 01:00:00,0.344,185
2017-07-27 01:00:00,0.346,172
2017-07-28 01:00:00,0.349,173
2017-07-29 01:00:00,0.349,210
2017-07-30 01:00:00,0.352,191
2017-07-31 01:00:00,0.359,180
2017-08-01 01:00:00,0.377,212
2017-08-02 01:00:00,0.405,173
2017-08-03 01:00:00,0.375,206
2017-08-04 01:00:00,0.36,202
2017-08-05 01:00:00,0.349,247
2017-08-06 01:00:00,0.343,193
2017-08-07 01:00:00,0.339,204
2017-08-08 01:00:00,0.344,232
2017-08-09 01:00:00,0.345,182
2017-08-10 01:00:00,0.345,185
2017-08-11 01:00:00,0.344,160
2017-08-12 01:00:00,0.349,190
