date,price,volume
2019-10-18 01:00:00,0.258,261
2019-10-19 01:00:00,0.207,1456
2019-10-20 01:00:00,0.144,1368
2019-10-21 01:00:00,0.127,980
2019-10-22 01:00:00,0.106,864
2019-10-23 01:00:00,0.101,909
2019-10-24 01:00:00,0.098,639
2019-10-25 01:00:00,0.105,623
2019-10-26 01:00:00,0.134,542
2019-10-27 01:00:00,0.137,558
2019-10-28 01:00:00,0.133,403
2019-10-29 01:00:00,0.119,471
2019-10-30 01:00:00,0.118,450
2019-10-31 01:00:00,0.119,380
2019-11-01 01:00:00,0.116,477
2019-11-02 01:00:00,0.122,584
2019-11-03 01:00:00,0.128,479
2019-11-04 01:00:00,0.127,440
2019-11-05 01:00:00,0.123,420
2019-11-06 01:00:00,0.123,406
2019-11-07 01:00:00,0.119,364
2019-11-08 01:00:00,0.113,421
2019-11-09 01:00:00,0.114,514
2019-11-10 01:00:00,0.111,507
2019-11-11 01:00:00,0.102,430
2019-11-12 01:00:00,0.099,377
2019-11-13 01:00:00,0.095,362
2019-11-14 01:00:00,0.093,481
2019-11-15 01:00:00,0.096,406
2019-11-16 01:00:00,0.094,527
2019-11-17 01:00:00,0.087,580
2019-11-18 01:00:00,0.085,404
2019-11-19 01:00:00,0.073,985
2019-11-20 01:00:00,0.076,530
2019-11-21 01:00:00,0.072,428
2019-11-22 01:00:00,0.075,514
2019-11-23 01:00:00,0.073,480
2019-11-24 01:00:00,0.077,488
2019-11-25 01:00:00,0.075,457
2019-11-26 01:00:00,0.074,520
2019-11-27 01:00:00,0.072,497
2019-11-28 01:00:00,0.07,437
2019-11-29 01:00:00,0.072,450
2019-11-30 01:00:00,0.07,487
2019-12-01 01:00:00,0.074,519
2019-12-02 01:00:00,0.072,365
2019-12-03 01:00:00,0.073,361
2019-12-04 01:00:00,0.07,414
2019-12-05 01:00:00,0.074,411
2019-12-06 01:00:00,0.075,406
2019-12-07 01:00:00,0.076,419
2019-12-08 01:00:00,0.075,417
2019-12-09 01:00:00,0.077,339
2019-12-10 01:00:00,0.072,342
2019-12-11 01:00:00,0.075,349
2019-12-12 01:00:00,0.073,430
2019-12-13 01:00:00,0.074,404
2019-12-14 01:00:00,0.077,455
2019-12-15 01:00:00,0.077,451
2019-12-16 01:00:00,0.076,341
2019-12-17 01:00:00,0.077,348
2019-12-18 01:00:00,0.078,350
2019-12-19 01:00:00,0.074,438
2019-12-20 01:00:00,0.072,440
2019-12-21 01:00:00,0.072,429
2019-12-22 01:00:00,0.073,373
2019-12-23 01:00:00,0.069,386
2019-12-24 01:00:00,0.073,408
2019-12-25 01:00:00,0.072,448
2019-12-26 01:00:00,0.073,447
2019-12-27 01:00:00,0.072,368
2019-12-28 01:00:00,0.074,425
2019-12-29 01:00:00,0.074,403
2019-12-30 01:00:00,0.072,463
2019-12-31 01:00:00,0.074,445
2020-01-01 01:00:00,0.074,475
2020-01-02 01:00:00,0.076,567
2020-01-03 01:00:00,0.078,517
2020-01-04 01:00:00,0.078,519
2020-01-05 01:00:00,0.078,485
2020-01-06 01:00:00,0.078,573
2020-01-07 01:00:00,0.081,449
2020-01-08 01:00:00,0.081,433
2020-01-09 01:00:00,0.081,408
2020-01-10 01:00:00,0.082,484
2020-01-11 01:00:00,0.078,563
2020-01-12 01:00:00,0.08,446
2020-01-13 01:00:00,0.079,435
2020-01-14 01:00:00,0.084,395
2020-01-15 01:00:00,0.084,496
2020-01-16 01:00:00,0.081,462
2020-01-17 01:00:00,0.082,492
2020-01-18 01:00:00,0.085,558
2020-01-19 01:00:00,0.082,635
2020-01-20 01:00:00,0.084,454
2020-01-21 01:00:00,0.084,457
2020-01-22 01:00:00,0.084,445
2020-01-23 01:00:00,0.082,503
2020-01-24 01:00:00,0.081,527
2020-01-25 01:00:00,0.081,585
2020-01-26 01:00:00,0.079,508
2020-01-27 01:00:00,0.081,440
2020-01-28 01:00:00,0.082,441
2020-01-29 01:00:00,0.082,462
2020-01-30 01:00:00,0.085,445
2020-01-31 01:00:00,0.082,453
2020-02-01 01:00:00,0.082,579
2020-02-02 01:00:00,0.083,529
2020-02-03 01:00:00,0.083,398
2020-02-04 01:00:00,0.084,409
2020-02-05 01:00:00,0.086,490
2020-02-06 01:00:00,0.087,523
2020-02-07 01:00:00,0.088,507
2020-02-08 01:00:00,0.088,491
2020-02-09 01:00:00,0.084,504
2020-02-10 01:00:00,0.083,455
2020-02-11 01:00:00,0.084,426
2020-02-12 01:00:00,0.088,494
2020-02-13 01:00:00,0.086,474
2020-02-14 01:00:00,0.087,563
2020-02-15 01:00:00,0.087,593
2020-02-16 01:00:00,0.087,588
2020-02-17 01:00:00,0.086,484
2020-02-18 01:00:00,0.085,460
2020-02-19 01:00:00,0.088,468
2020-02-20 01:00:00,0.084,386
2020-02-21 01:00:00,0.086,484
2020-02-22 01:00:00,0.088,451
2020-02-23 01:00:00,0.088,486
2020-02-24 01:00:00,0.088,508
2020-02-25 01:00:00,0.084,510
2020-02-26 01:00:00,0.086,537
2020-02-27 01:00:00,0.087,505
