date,price,volume
2015-05-27 01:00:00,0.936,1677
2015-05-28 01:00:00,0.764,1539
2015-05-29 01:00:00,0.862,1119
2015-05-30 01:00:00,0.961,863
2015-05-31 01:00:00,0.979,748
2015-06-01 01:00:00,1.075,588
2015-06-02 01:00:00,1.039,539
2015-06-03 01:00:00,0.91,888
2015-06-04 01:00:00,0.678,1398
2015-06-05 01:00:00,0.678,1140
2015-06-06 01:00:00,0.685,1160
2015-06-07 01:00:00,0.725,861
2015-06-08 01:00:00,0.761,824
2015-06-09 01:00:00,0.743,704
2015-06-10 01:00:00,0.738,970
2015-06-11 01:00:00,0.651,995
2015-06-12 01:00:00,0.603,1204
2015-06-13 01:00:00,0.633,1085
2015-06-14 01:00:00,0.621,1062
2015-06-15 01:00:00,0.632,915
2015-06-16 01:00:00,0.634,922
2015-06-17 01:00:00,0.624,923
2015-06-18 01:00:00,0.598,1108
2015-06-19 01:00:00,0.571,1257
2015-06-20 01:00:00,0.549,1259
2015-06-21 01:00:00,0.501,1237
2015-06-22 01:00:00,0.512,1218
2015-06-23 01:00:00,0.567,1197
2015-06-24 01:00:00,0.551,1162
2015-06-25 01:00:00,0.555,1191
2015-06-26 01:00:00,0.56,1388
2015-06-27 01:00:00,0.555,1367
2015-06-28 01:00:00,0.539,1288
2015-06-29 01:00:00,0.553,1377
2015-06-30 01:00:00,0.555,1267
2015-07-01 01:00:00,0.573,1163
2015-07-02 01:00:00,0.556,1001
2015-07-03 01:00:00,0.558,1230
2015-07-04 01:00:00,0.561,1076
2015-07-05 01:00:00,0.548,1196
2015-07-06 01:00:00,0.528,1211
2015-07-07 01:00:00,0.526,1279
2015-07-08 01:00:00,0.522,1117
2015-07-09 01:00:00,0.517,1263
2015-07-10 01:00:00,0.523,1150
2015-07-11 01:00:00,0.52,1189
2015-07-12 01:00:00,0.505,1256
2015-07-13 01:00:00,0.48,1208
2015-07-14 01:00:00,0.479,1073
2015-07-15 01:00:00,0.485,1164
2015-07-16 01:00:00,0.484,1194
2015-07-17 01:00:00,0.486,1253
2015-07-18 01:00:00,0.478,1273
2015-07-19 01:00:00,0.479,1227
2015-07-20 01:00:00,0.468,1259
2015-07-21 01:00:00,0.45,1144
2015-07-22 01:00:00,0.443,1078
2015-07-23 01:00:00,0.437,1529
2015-07-24 01:00:00,0.441,1472
2015-07-25 01:00:00,0.455,1206
2015-07-26 01:00:00,0.456,1126
2015-07-27 01:00:00,0.457,1399
2015-07-28 01:00:00,0.445,1285
2015-07-29 01:00:00,0.439,1120
2015-07-30 01:00:00,0.438,1221
2015-07-31 01:00:00,0.438,1351
2015-08-01 01:00:00,0.44,1211
2015-08-02 01:00:00,0.442,1231
2015-08-03 01:00:00,0.429,1186
2015-08-04 01:00:00,0.428,1054
2015-08-05 01:00:00,0.418,1234
2015-08-06 01:00:00,0.416,1133
2015-08-07 01:00:00,0.412,1080
2015-08-08 01:00:00,0.418,1216
2015-08-09 01:00:00,0.414,1130
