date,price,volume
2016-02-18 01:00:00,2.564,1778
2016-02-19 01:00:00,2.289,1789
2016-02-20 01:00:00,2.324,1473
2016-02-21 01:00:00,2.469,1128
2016-02-22 01:00:00,2.601,730
2016-02-23 01:00:00,2.675,616
2016-02-24 01:00:00,2.665,562
2016-02-25 01:00:00,2.441,771
2016-02-26 01:00:00,1.85,1247
2016-02-27 01:00:00,1.867,1460
2016-02-28 01:00:00,1.881,874
2016-02-29 01:00:00,1.676,950
2016-03-01 01:00:00,1.743,919
2016-03-02 01:00:00,1.89,820
2016-03-03 01:00:00,1.879,800
2016-03-04 01:00:00,1.593,1160
2016-03-05 01:00:00,1.486,1586
2016-03-06 01:00:00,1.429,1307
2016-03-07 01:00:00,1.331,1029
2016-03-08 01:00:00,1.269,909
2016-03-09 01:00:00,1.314,864
2016-03-10 01:00:00,1.553,639
2016-03-11 01:00:00,1.653,767
2016-03-12 01:00:00,1.648,949
2016-03-13 01:00:00,1.51,929
2016-03-14 01:00:00,1.458,784
2016-03-15 01:00:00,1.409,715
2016-03-16 01:00:00,1.408,739
2016-03-17 01:00:00,1.378,754
2016-03-18 01:00:00,1.281,1046
2016-03-19 01:00:00,1.322,1062
2016-03-20 01:00:00,1.335,1000
2016-03-21 01:00:00,1.339,804
2016-03-22 01:00:00,1.33,812
2016-03-23 01:00:00,1.304,796
2016-03-24 01:00:00,1.253,889
2016-03-25 01:00:00,1.184,1029
2016-03-26 01:00:00,1.124,1017
2016-03-27 01:00:00,1.098,1031
2016-03-28 01:00:00,1.045,1041
2016-03-29 01:00:00,1.049,968
2016-03-30 01:00:00,1.037,1096
2016-03-31 01:00:00,1.046,1183
2016-04-01 01:00:00,1.115,1301
2016-04-02 01:00:00,1.193,1334
2016-04-03 01:00:00,1.073,1368
2016-04-04 01:00:00,1.131,1075
2016-04-05 01:00:00,1.193,996
2016-04-06 01:00:00,1.203,931
2016-04-07 01:00:00,1.176,894
2016-04-08 01:00:00,1.169,1151
2016-04-09 01:00:00,1.162,1249
2016-04-10 01:00:00,1.15,1159
2016-04-11 01:00:00,1.056,996
2016-04-12 01:00:00,1.022,965
2016-04-13 01:00:00,0.973,921
2016-04-14 01:00:00,0.994,949
2016-04-15 01:00:00,0.995,1082
2016-04-16 01:00:00,1.005,1314
2016-04-17 01:00:00,0.999,1292
2016-04-18 01:00:00,0.983,1025
2016-04-19 01:00:00,0.975,1000
