date,price,volume
2013-11-28 01:00:00,0.624,16
2013-11-29 01:00:00,0.621,48
2013-11-30 01:00:00,0.415,62
2013-12-01 01:00:00,0.39,65
2013-12-02 01:00:00,0.35,51
2013-12-03 01:00:00,0.325,55
2013-12-04 01:00:00,0.307,38
2013-12-05 01:00:00,0.336,42
2013-12-06 01:00:00,0.356,62
2013-12-07 01:00:00,0.249,76
2013-12-08 01:00:00,0.259,90
2013-12-09 01:00:00,0.258,58
2013-12-10 01:00:00,0.26,61
2013-12-11 01:00:00,0.227,50
2013-12-12 01:00:00,0.215,61
2013-12-13 01:00:00,0.19,67
2013-12-14 01:00:00,0.192,58
2013-12-15 01:00:00,0.185,68
2013-12-16 01:00:00,0.18,65
2013-12-17 01:00:00,0.179,74
2013-12-18 01:00:00,0.169,73
2013-12-19 01:00:00,0.164,64
2013-12-20 01:00:00,0.11,101
2013-12-21 01:00:00,0.103,142
2013-12-22 01:00:00,0.118,141
2013-12-23 01:00:00,0.119,117
2013-12-24 01:00:00,0.105,107
2013-12-25 01:00:00,0.139,86
2013-12-26 01:00:00,0.109,96
2013-12-27 01:00:00,0.11,112
2013-12-28 01:00:00,0.12,126
2013-12-29 01:00:00,0.111,108
2013-12-30 01:00:00,0.104,130
2013-12-31 01:00:00,0.102,94
2014-01-01 01:00:00,0.101,110
2014-01-02 01:00:00,0.104,154
2014-01-03 01:00:00,0.1,104
2014-01-04 01:00:00,0.101,190
2014-01-05 01:00:00,0.103,173
2014-01-06 01:00:00,0.101,152
2014-01-07 01:00:00,0.1,110
2014-01-08 01:00:00,0.1,136
2014-01-09 01:00:00,0.091,127
2014-01-10 01:00:00,0.088,119
2014-01-11 01:00:00,0.094,135
2014-01-12 01:00:00,0.079,158
2014-01-13 01:00:00,0.075,141
2014-01-14 01:00:00,0.074,146
2014-01-15 01:00:00,0.075,121
2014-01-16 01:00:00,0.076,140
2014-01-17 01:00:00,0.088,105
2014-01-18 01:00:00,0.08,151
2014-01-19 01:00:00,0.076,145
2014-01-20 01:00:00,0.067,146
2014-01-21 01:00:00,0.069,140
2014-01-22 01:00:00,0.078,136
2014-01-23 01:00:00,0.076,141
2014-01-24 01:00:00,0.071,95
2014-01-25 01:00:00,0.07,161
2014-01-26 01:00:00,0.062,226
2014-01-27 01:00:00,0.056,141
2014-01-28 01:00:00,0.058,173
2014-01-29 01:00:00,0.066,211
2014-01-30 01:00:00,0.064,168
2014-01-31 01:00:00,0.057,157
2014-02-01 01:00:00,0.058,220
2014-02-02 01:00:00,0.058,230
2014-02-03 01:00:00,0.081,168
2014-02-04 01:00:00,0.052,179
2014-02-05 01:00:00,0.046,143
2014-02-06 01:00:00,0.052,196
