date,price,volume
2013-11-28 01:00:00,0.377,49
2013-11-29 01:00:00,0.108,92
2013-11-30 01:00:00,0.086,113
2013-12-01 01:00:00,0.075,144
2013-12-02 01:00:00,0.063,106
2013-12-03 01:00:00,0.056,88
2013-12-04 01:00:00,0.06,104
2013-12-05 01:00:00,0.053,145
2013-12-06 01:00:00,0.058,164
2013-12-07 01:00:00,0.063,165
2013-12-08 01:00:00,0.066,221
2013-12-09 01:00:00,0.066,164
2013-12-10 01:00:00,0.055,170
2013-12-11 01:00:00,0.05,179
2013-12-12 01:00:00,0.063,145
2013-12-13 01:00:00,0.045,167
2013-12-14 01:00:00,0.052,202
2013-12-15 01:00:00,0.047,187
2013-12-16 01:00:00,0.044,207
2013-12-17 01:00:00,0.04,196
2013-12-18 01:00:00,0.042,184
2013-12-19 01:00:00,0.03,209
2013-12-20 01:00:00,0.03,245
2013-12-21 01:00:00,0.03,290
2013-12-22 01:00:00,0.042,341
2013-12-23 01:00:00,0.034,287
2013-12-24 01:00:00,0.039,268
2013-12-25 01:00:00,0.033,162
2013-12-26 01:00:00,0.034,269
2013-12-27 01:00:00,0.043,282
2013-12-28 01:00:00,0.037,300
2013-12-29 01:00:00,0.033,340
2013-12-30 01:00:00,0.032,303
2013-12-31 01:00:00,0.035,290
2014-01-01 01:00:00,0.03,255
2014-01-02 01:00:00,0.031,330
2014-01-03 01:00:00,0.032,279
2014-01-04 01:00:00,0.036,406
2014-01-05 01:00:00,0.03,410
2014-01-06 01:00:00,0.034,412
2014-01-07 01:00:00,0.034,337
2014-01-08 01:00:00,0.034,342
2014-01-09 01:00:00,0.037,388
2014-01-10 01:00:00,0.038,406
2014-01-11 01:00:00,0.038,314
2014-01-12 01:00:00,0.034,417
2014-01-13 01:00:00,0.03,398
2014-01-14 01:00:00,0.033,348
2014-01-15 01:00:00,0.03,346
2014-01-16 01:00:00,0.03,350
2014-01-17 01:00:00,0.03,408
2014-01-18 01:00:00,0.03,530
2014-01-19 01:00:00,0.03,530
2014-01-20 01:00:00,0.03,465
2014-01-21 01:00:00,0.03,399
2014-01-22 01:00:00,0.03,434
2014-01-23 01:00:00,0.03,360
2014-01-24 01:00:00,0.03,457
2014-01-25 01:00:00,0.03,523
2014-01-26 01:00:00,0.03,543
2014-01-27 01:00:00,0.03,506
2014-01-28 01:00:00,0.03,561
2014-01-29 01:00:00,0.03,480
2014-01-30 01:00:00,0.03,522
2014-01-31 01:00:00,0.03,488
2014-02-01 01:00:00,0.03,536
2014-02-02 01:00:00,0.03,682
2014-02-03 01:00:00,0.03,562
2014-02-04 01:00:00,0.03,702
2014-02-05 01:00:00,0.03,539
2014-02-06 01:00:00,0.03,506
2014-02-07 01:00:00,0.03,560
2014-02-08 01:00:00,0.03,784
2014-02-09 01:00:00,0.03,789
2014-02-10 01:00:00,0.03,451
2014-02-11 01:00:00,0.03,460
2014-02-12 01:00:00,0.03,622
2014-02-13 01:00:00,0.03,500
2014-02-14 01:00:00,0.03,531
2014-02-15 01:00:00,0.03,606
2014-02-16 01:00:00,0.03,654
2014-02-17 01:00:00,0.03,501
2014-02-18 01:00:00,0.03,435
2014-02-19 01:00:00,0.03,459
2014-02-20 01:00:00,0.03,420
2014-02-21 01:00:00,0.03,421
2014-02-22 01:00:00,0.03,381
2014-02-23 01:00:00,0.038,309
