date,price,volume
2016-08-19 01:00:00,0.505,501
2016-08-20 01:00:00,0.375,579
2016-08-21 01:00:00,0.308,423
2016-08-22 01:00:00,0.275,489
2016-08-23 01:00:00,0.235,427
2016-08-24 01:00:00,0.238,432
2016-08-25 01:00:00,0.242,499
2016-08-26 01:00:00,0.225,450
2016-08-27 01:00:00,0.241,492
2016-08-28 01:00:00,0.217,475
2016-08-29 01:00:00,0.21,486
2016-08-30 01:00:00,0.199,450
2016-08-31 01:00:00,0.193,464
2016-09-01 01:00:00,0.186,376
2016-09-02 01:00:00,0.179,438
2016-09-03 01:00:00,0.168,401
2016-09-04 01:00:00,0.157,446
2016-09-05 01:00:00,0.149,438
2016-09-06 01:00:00,0.145,399
2016-09-07 01:00:00,0.138,349
2016-09-08 01:00:00,0.133,456
2016-09-09 01:00:00,0.131,427
2016-09-10 01:00:00,0.13,570
2016-09-11 01:00:00,0.127,553
2016-09-12 01:00:00,0.121,399
2016-09-13 01:00:00,0.11,428
2016-09-14 01:00:00,0.112,391
2016-09-15 01:00:00,0.115,408
2016-09-16 01:00:00,0.114,481
2016-09-17 01:00:00,0.116,605
2016-09-18 01:00:00,0.113,581
2016-09-19 01:00:00,0.108,421
2016-09-20 01:00:00,0.11,416
2016-09-21 01:00:00,0.107,363
2016-09-22 01:00:00,0.11,401
2016-09-23 01:00:00,0.107,446
2016-09-24 01:00:00,0.106,483
2016-09-25 01:00:00,0.103,608
2016-09-26 01:00:00,0.096,402
2016-09-27 01:00:00,0.1,471
2016-09-28 01:00:00,0.098,332
2016-09-29 01:00:00,0.097,454
2016-09-30 01:00:00,0.091,439
2016-10-01 01:00:00,0.094,547
2016-10-02 01:00:00,0.091,584
2016-10-03 01:00:00,0.093,492
2016-10-04 01:00:00,0.092,353
2016-10-05 01:00:00,0.094,434
2016-10-06 01:00:00,0.089,421
2016-10-07 01:00:00,0.084,424
2016-10-08 01:00:00,0.085,477
2016-10-09 01:00:00,0.08,509
2016-10-10 01:00:00,0.078,448
2016-10-11 01:00:00,0.076,389
2016-10-12 01:00:00,0.08,464
2016-10-13 01:00:00,0.079,377
2016-10-14 01:00:00,0.079,445
2016-10-15 01:00:00,0.079,495
2016-10-16 01:00:00,0.078,558
2016-10-17 01:00:00,0.074,395
2016-10-18 01:00:00,0.075,408
2016-10-19 01:00:00,0.076,493
2016-10-20 01:00:00,0.074,398
2016-10-21 01:00:00,0.077,536
2016-10-22 01:00:00,0.076,500
2016-10-23 01:00:00,0.078,518
2016-10-24 01:00:00,0.075,367
2016-10-25 01:00:00,0.075,445
2016-10-26 01:00:00,0.076,394
2016-10-27 01:00:00,0.075,487
2016-10-28 01:00:00,0.071,437
2016-10-29 01:00:00,0.074,514
2016-10-30 01:00:00,0.068,527
2016-10-31 01:00:00,0.069,438
2016-11-01 01:00:00,0.066,421
2016-11-02 01:00:00,0.071,486
2016-11-03 01:00:00,0.072,312
2016-11-04 01:00:00,0.072,435
2016-11-05 01:00:00,0.076,576
2016-11-06 01:00:00,0.074,603
2016-11-07 01:00:00,0.074,489
2016-11-08 01:00:00,0.076,393
2016-11-09 01:00:00,0.075,352
2016-11-10 01:00:00,0.076,588
2016-11-11 01:00:00,0.077,518
2016-11-12 01:00:00,0.078,529
2016-11-13 01:00:00,0.077,516
2016-11-14 01:00:00,0.075,356
2016-11-15 01:00:00,0.073,396
2016-11-16 01:00:00,0.074,432
2016-11-17 01:00:00,0.077,454
2016-11-18 01:00:00,0.075,377
2016-11-19 01:00:00,0.075,456
2016-11-20 01:00:00,0.075,446
