date,price,volume
2021-05-03 01:00:00,24.89,3
2021-05-04 01:00:00,19.591,179
2021-05-05 01:00:00,12.003,158
2021-05-06 01:00:00,11.03,101
2021-05-07 01:00:00,8.608,123
2021-05-08 01:00:00,7.716,109
2021-05-09 01:00:00,7.103,117
2021-05-10 01:00:00,7.029,136
2021-05-11 01:00:00,7.163,101
2021-05-12 01:00:00,7.384,101
2021-05-13 01:00:00,6.771,116
2021-05-14 01:00:00,6.213,122
2021-05-15 01:00:00,5.793,106
2021-05-16 01:00:00,5.832,126
2021-05-17 01:00:00,5.912,116
2021-05-18 01:00:00,5.554,120
2021-05-19 01:00:00,5.466,135
2021-05-20 01:00:00,5.229,143
2021-05-21 01:00:00,5.291,107
2021-05-22 01:00:00,5.463,114
2021-05-23 01:00:00,5.45,115
2021-05-24 01:00:00,5.737,102
2021-05-25 01:00:00,5.47,120
2021-05-26 01:00:00,4.906,132
2021-05-27 01:00:00,4.957,143
2021-05-28 01:00:00,5.239,98
2021-05-29 01:00:00,4.678,111
2021-05-30 01:00:00,4.271,131
2021-05-31 01:00:00,4.396,134
2021-06-01 01:00:00,4.486,114
2021-06-02 01:00:00,4.469,100
2021-06-03 01:00:00,4.636,104
2021-06-04 01:00:00,4.716,106
2021-06-05 01:00:00,4.501,120
2021-06-06 01:00:00,4.293,101
2021-06-07 01:00:00,4.403,124
2021-06-08 01:00:00,4.451,119
2021-06-09 01:00:00,4.275,81
2021-06-10 01:00:00,4.26,92
2021-06-11 01:00:00,4.225,112
2021-06-12 01:00:00,4.481,148
2021-06-13 01:00:00,4.639,108
2021-06-14 01:00:00,4.301,122
2021-06-15 01:00:00,4.31,100
2021-06-16 01:00:00,4.214,95
2021-06-17 01:00:00,4.002,115
2021-06-18 01:00:00,3.954,97
2021-06-19 01:00:00,3.94,114
2021-06-20 01:00:00,4.118,104
2021-06-21 01:00:00,3.814,94
2021-06-22 01:00:00,3.499,103
2021-06-23 01:00:00,3.285,122
2021-06-24 01:00:00,3.157,137
2021-06-25 01:00:00,3.106,105
2021-06-26 01:00:00,3.123,110
2021-06-27 01:00:00,3.164,139
2021-06-28 01:00:00,3.091,102
2021-06-29 01:00:00,3.083,126
2021-06-30 01:00:00,2.974,127
2021-07-01 01:00:00,2.886,86
2021-07-02 01:00:00,2.974,112
2021-07-03 01:00:00,2.916,95
2021-07-04 01:00:00,2.932,88
2021-07-05 01:00:00,2.831,110
2021-07-06 01:00:00,2.899,123
2021-07-07 01:00:00,2.918,137
2021-07-08 01:00:00,2.886,126
2021-07-09 01:00:00,2.883,128
2021-07-10 01:00:00,2.835,98
2021-07-11 01:00:00,2.755,104
2021-07-12 01:00:00,2.808,101
2021-07-13 01:00:00,2.75,101
2021-07-14 01:00:00,2.689,124
2021-07-15 01:00:00,2.777,161
2021-07-16 01:00:00,2.804,104
2021-07-17 01:00:00,2.817,105
2021-07-18 01:00:00,2.756,127
2021-07-19 01:00:00,2.815,125
2021-07-20 01:00:00,2.805,135
2021-07-21 01:00:00,2.811,115
2021-07-22 01:00:00,2.826,85
2021-07-23 01:00:00,2.859,139
2021-07-24 01:00:00,2.729,121
2021-07-25 01:00:00,2.712,111
2021-07-26 01:00:00,2.711,103
2021-07-27 01:00:00,2.803,67
2021-07-28 01:00:00,2.783,97
2021-07-29 01:00:00,2.669,93
2021-07-30 01:00:00,2.698,125
2021-07-31 01:00:00,2.692,163
2021-08-01 01:00:00,2.694,113
2021-08-02 01:00:00,2.656,136
2021-08-03 01:00:00,2.705,128
2021-08-04 01:00:00,2.618,101
2021-08-05 01:00:00,2.587,78
2021-08-06 01:00:00,2.585,118
2021-08-07 01:00:00,2.518,134
2021-08-08 01:00:00,2.522,81
2021-08-09 01:00:00,2.532,124
2021-08-10 01:00:00,2.517,117
2021-08-11 01:00:00,2.399,112
2021-08-12 01:00:00,2.438,90
2021-08-13 01:00:00,2.366,108
2021-08-14 01:00:00,2.362,115
2021-08-15 01:00:00,2.457,121
2021-08-16 01:00:00,2.381,127
2021-08-17 01:00:00,2.329,134
2021-08-18 01:00:00,2.296,119
2021-08-19 01:00:00,2.299,122
2021-08-20 01:00:00,2.291,99
2021-08-21 01:00:00,2.234,114
2021-08-22 01:00:00,2.235,133
2021-08-23 01:00:00,2.241,110
2021-08-24 01:00:00,2.219,101
2021-08-25 01:00:00,2.314,104
2021-08-26 01:00:00,2.161,121
2021-08-27 01:00:00,2.184,130
2021-08-28 01:00:00,2.167,123
2021-08-29 01:00:00,2.188,91
2021-08-30 01:00:00,2.237,112
2021-08-31 01:00:00,2.21,120
2021-09-01 01:00:00,2.188,111
2021-09-02 01:00:00,2.162,118
2021-09-03 01:00:00,2.284,140
2021-09-04 01:00:00,2.308,153
2021-09-05 01:00:00,2.214,122
2021-09-06 01:00:00,2.187,99
2021-09-07 01:00:00,2.23,105
2021-09-08 01:00:00,2.159,106
2021-09-09 01:00:00,2.082,122
2021-09-10 01:00:00,2.139,182
2021-09-11 01:00:00,2.145,146
2021-09-12 01:00:00,2.245,133
2021-09-13 01:00:00,2.244,145
2021-09-14 01:00:00,2.214,130
2021-09-15 01:00:00,2.272,117
2021-09-16 01:00:00,2.324,116
2021-09-17 01:00:00,2.297,143
2021-09-18 01:00:00,2.234,146
2021-09-19 01:00:00,2.163,146
2021-09-20 01:00:00,2.152,137
2021-09-21 01:00:00,2.1,144
2021-09-22 01:00:00,1.808,316
2021-09-23 01:00:00,1.522,145
2021-09-24 01:00:00,1.559,138
2021-09-25 01:00:00,1.575,148
2021-09-26 01:00:00,1.64,131
2021-09-27 01:00:00,1.652,148
2021-09-28 01:00:00,1.717,92
2021-09-29 01:00:00,1.64,152
2021-09-30 01:00:00,1.654,133
2021-10-01 01:00:00,1.727,131
2021-10-02 01:00:00,1.648,135
2021-10-03 01:00:00,1.704,137
2021-10-04 01:00:00,1.692,133
2021-10-05 01:00:00,1.679,108
2021-10-06 01:00:00,1.672,120
2021-10-07 01:00:00,1.654,150
2021-10-08 01:00:00,1.659,129
2021-10-09 01:00:00,1.719,157
2021-10-10 01:00:00,1.714,138
2021-10-11 01:00:00,1.675,124
2021-10-12 01:00:00,1.682,114
2021-10-13 01:00:00,1.749,134
2021-10-14 01:00:00,1.841,104
2021-10-15 01:00:00,1.781,136
2021-10-16 01:00:00,1.79,130
2021-10-17 01:00:00,1.798,114
2021-10-18 01:00:00,1.731,107
2021-10-19 01:00:00,1.701,120
2021-10-20 01:00:00,1.737,117
2021-10-21 01:00:00,1.663,122
2021-10-22 01:00:00,1.479,168
2021-10-23 01:00:00,1.541,148
2021-10-24 01:00:00,1.573,134
2021-10-25 01:00:00,1.515,124
2021-10-26 01:00:00,1.525,111
2021-10-27 01:00:00,1.666,123
2021-10-28 01:00:00,1.632,130
2021-10-29 01:00:00,1.604,135
2021-10-30 01:00:00,1.622,109
2021-10-31 01:00:00,1.558,133
2021-11-01 01:00:00,1.629,131
2021-11-02 01:00:00,1.66,128
2021-11-03 01:00:00,1.7,127
2021-11-04 01:00:00,1.694,142
2021-11-05 01:00:00,1.716,135
2021-11-06 01:00:00,1.683,131
2021-11-07 01:00:00,1.708,150
2021-11-08 01:00:00,1.644,149
2021-11-09 01:00:00,1.699,97
2021-11-10 01:00:00,1.569,153
2021-11-11 01:00:00,1.631,135
2021-11-12 01:00:00,1.627,129
2021-11-13 01:00:00,1.644,119
2021-11-14 01:00:00,1.593,139
2021-11-15 01:00:00,1.619,108
2021-11-16 01:00:00,1.631,142
