date,price,volume
2024-10-10 01:00:00,3.561,9
2024-10-11 01:00:00,0.981,61
2024-10-12 01:00:00,0.76,105
2024-10-13 01:00:00,0.691,114
2024-10-14 01:00:00,0.742,142
2024-10-15 01:00:00,0.836,119
2024-10-16 01:00:00,0.71,126
2024-10-17 01:00:00,0.691,101
2024-10-18 01:00:00,0.683,117
2024-10-19 01:00:00,0.664,107
2024-10-20 01:00:00,0.588,125
2024-10-21 01:00:00,0.543,99
2024-10-22 01:00:00,0.484,78
2024-10-23 01:00:00,0.441,99
2024-10-24 01:00:00,0.427,72
2024-10-25 01:00:00,0.404,72
2024-10-26 01:00:00,0.403,56
2024-10-27 01:00:00,0.404,78
2024-10-28 01:00:00,0.448,92
2024-10-29 01:00:00,0.436,51
2024-10-30 01:00:00,0.445,82
2024-10-31 01:00:00,0.45,59
2024-11-01 01:00:00,0.511,75
2024-11-02 01:00:00,0.57,73
2024-11-03 01:00:00,0.641,80
2024-11-04 01:00:00,0.651,61
2024-11-05 01:00:00,0.699,49
2024-11-06 01:00:00,0.723,64
2024-11-07 01:00:00,0.77,101
2024-11-08 01:00:00,0.804,46
2024-11-09 01:00:00,0.84,68
2024-11-10 01:00:00,0.816,84
2024-11-11 01:00:00,0.843,68
2024-11-12 01:00:00,0.853,61
2024-11-13 06:00:00,0.863,2
2024-11-13 07:00:00,0.89,1
2024-11-13 08:00:00,0.863,2
2024-11-13 09:00:00,0.81,1
2024-11-13 10:00:00,0.863,2
2024-11-13 11:00:00,0.881,2
2024-11-13 12:00:00,0.888,1
2024-11-13 13:00:00,0.874,3
2024-11-13 14:00:00,0.888,1
2024-11-13 15:00:00,0.874,1
2024-11-13 16:00:00,0.902,4
2024-11-13 17:00:00,0.867,5
2024-11-13 18:00:00,0.845,5
2024-11-13 19:00:00,0.884,8
2024-11-13 20:00:00,0.897,1
2024-11-13 21:00:00,0.868,1
2024-11-13 23:00:00,0.891,1
2024-11-14 00:00:00,0.338,1
2024-11-14 01:00:00,0.8,1
2024-11-14 03:00:00,0.82,3
2024-11-14 04:00:00,0.84,3
