date,price,volume
2017-09-14 01:00:00,5.0,1
2017-09-15 01:00:00,2.404,731
2017-09-16 01:00:00,2.035,721
2017-09-17 01:00:00,1.66,711
2017-09-18 01:00:00,1.623,525
2017-09-19 01:00:00,1.54,537
2017-09-20 01:00:00,1.452,504
2017-09-21 01:00:00,1.428,474
2017-09-22 01:00:00,1.361,551
2017-09-23 01:00:00,1.188,611
2017-09-24 01:00:00,1.046,653
2017-09-25 01:00:00,1.007,468
2017-09-26 01:00:00,1.044,437
2017-09-27 01:00:00,1.119,465
2017-09-28 01:00:00,1.052,420
2017-09-29 01:00:00,1.0,499
2017-09-30 01:00:00,0.997,633
2017-10-01 01:00:00,0.908,624
2017-10-02 01:00:00,0.852,496
2017-10-03 01:00:00,0.842,422
2017-10-04 01:00:00,0.84,410
2017-10-05 01:00:00,0.785,452
2017-10-06 01:00:00,0.796,473
2017-10-07 01:00:00,0.824,613
2017-10-08 01:00:00,0.786,524
2017-10-09 01:00:00,0.736,451
2017-10-10 01:00:00,0.722,447
2017-10-11 01:00:00,0.703,523
2017-10-12 01:00:00,0.726,510
2017-10-13 01:00:00,0.733,539
2017-10-14 01:00:00,0.711,562
2017-10-15 01:00:00,0.686,586
2017-10-16 01:00:00,0.651,493
2017-10-17 01:00:00,0.624,460
2017-10-18 01:00:00,0.602,529
2017-10-19 01:00:00,0.589,553
2017-10-20 01:00:00,0.577,557
2017-10-21 01:00:00,0.554,719
2017-10-22 01:00:00,0.539,589
2017-10-23 01:00:00,0.523,468
2017-10-24 01:00:00,0.529,419
2017-10-25 01:00:00,0.506,483
2017-10-26 01:00:00,0.487,456
2017-10-27 01:00:00,0.464,658
2017-10-28 01:00:00,0.476,579
2017-10-29 01:00:00,0.468,547
2017-10-30 01:00:00,0.435,535
2017-10-31 01:00:00,0.428,529
2017-11-01 01:00:00,0.424,547
2017-11-02 01:00:00,0.435,468
2017-11-03 01:00:00,0.424,479
2017-11-04 01:00:00,0.429,597
2017-11-05 01:00:00,0.425,497
2017-11-06 01:00:00,0.42,485
2017-11-07 01:00:00,0.42,426
2017-11-08 01:00:00,0.414,420
2017-11-09 01:00:00,0.401,375
2017-11-10 01:00:00,0.401,518
2017-11-11 01:00:00,0.394,630
2017-11-12 01:00:00,0.385,577
2017-11-13 01:00:00,0.361,481
2017-11-14 01:00:00,0.366,451
2017-11-15 01:00:00,0.359,485
2017-11-16 01:00:00,0.349,426
2017-11-17 01:00:00,0.353,485
2017-11-18 01:00:00,0.352,571
2017-11-19 01:00:00,0.353,573
2017-11-20 01:00:00,0.339,491
2017-11-21 01:00:00,0.321,478
2017-11-22 01:00:00,0.303,518
2017-11-23 01:00:00,0.283,615
2017-11-24 01:00:00,0.259,610
2017-11-25 01:00:00,0.273,576
2017-11-26 01:00:00,0.271,581
2017-11-27 01:00:00,0.255,475
2017-11-28 01:00:00,0.269,502
2017-11-29 01:00:00,0.278,462
2017-11-30 01:00:00,0.287,414
2017-12-01 01:00:00,0.267,527
2017-12-02 01:00:00,0.282,621
2017-12-03 01:00:00,0.289,646
2017-12-04 01:00:00,0.283,469
2017-12-05 01:00:00,0.282,447
2017-12-06 01:00:00,0.286,488
2017-12-07 01:00:00,0.284,497
2017-12-08 01:00:00,0.285,550
2017-12-09 01:00:00,0.288,653
2017-12-10 01:00:00,0.28,595
2017-12-11 01:00:00,0.269,570
2017-12-12 01:00:00,0.275,585
2017-12-13 01:00:00,0.275,475
2017-12-14 01:00:00,0.276,511
2017-12-15 01:00:00,0.279,567
2017-12-16 01:00:00,0.272,649
2017-12-17 01:00:00,0.279,618
2017-12-18 01:00:00,0.267,538
2017-12-19 01:00:00,0.261,521
2017-12-20 01:00:00,0.253,577
2017-12-21 01:00:00,0.252,565
2017-12-22 01:00:00,0.238,677
2017-12-23 01:00:00,0.247,683
2017-12-24 01:00:00,0.241,599
2017-12-25 01:00:00,0.246,691
2017-12-26 01:00:00,0.244,709
2017-12-27 01:00:00,0.247,772
2017-12-28 01:00:00,0.251,722
2017-12-29 01:00:00,0.244,781
2017-12-30 01:00:00,0.241,751
2017-12-31 01:00:00,0.245,635
2018-01-01 01:00:00,0.238,649
2018-01-02 01:00:00,0.248,789
2018-01-03 01:00:00,0.248,689
2018-01-04 01:00:00,0.252,660
2018-01-05 01:00:00,0.261,777
2018-01-06 01:00:00,0.264,724
2018-01-07 01:00:00,0.273,685
2018-01-08 01:00:00,0.273,627
2018-01-09 01:00:00,0.265,639
2018-01-10 01:00:00,0.261,672
2018-01-11 01:00:00,0.27,785
2018-01-12 01:00:00,0.274,709
2018-01-13 01:00:00,0.28,894
2018-01-14 01:00:00,0.27,771
2018-01-15 01:00:00,0.254,885
2018-01-16 01:00:00,0.258,748
2018-01-17 01:00:00,0.26,686
2018-01-18 01:00:00,0.252,691
2018-01-19 01:00:00,0.253,741
2018-01-20 01:00:00,0.263,850
2018-01-21 01:00:00,0.26,866
2018-01-22 01:00:00,0.251,865
2018-01-23 01:00:00,0.257,747
2018-01-24 01:00:00,0.258,740
2018-01-25 01:00:00,0.263,706
2018-01-26 01:00:00,0.258,822
2018-01-27 01:00:00,0.241,891
2018-01-28 01:00:00,0.239,930
2018-01-29 01:00:00,0.237,806
2018-01-30 01:00:00,0.239,775
2018-01-31 01:00:00,0.243,762
2018-02-01 01:00:00,0.242,766
2018-02-02 01:00:00,0.239,820
2018-02-03 01:00:00,0.244,847
2018-02-04 01:00:00,0.241,802
2018-02-05 01:00:00,0.24,706
2018-02-06 01:00:00,0.235,648
2018-02-07 01:00:00,0.234,682
2018-02-08 01:00:00,0.235,728
2018-02-09 01:00:00,0.239,714
2018-02-10 01:00:00,0.239,872
2018-02-11 01:00:00,0.231,848
2018-02-12 01:00:00,0.234,732
2018-02-13 01:00:00,0.237,637
2018-02-14 01:00:00,0.232,666
2018-02-15 01:00:00,0.233,714
2018-02-16 01:00:00,0.235,1008
2018-02-17 01:00:00,0.236,1255
2018-02-18 01:00:00,0.238,1102
2018-02-19 01:00:00,0.235,973
2018-02-20 01:00:00,0.239,912
2018-02-21 01:00:00,0.243,872
2018-02-22 01:00:00,0.243,934
2018-02-23 01:00:00,0.244,1099
2018-02-24 01:00:00,0.246,1098
2018-02-25 01:00:00,0.25,1014
2018-02-26 01:00:00,0.243,796
2018-02-27 01:00:00,0.241,792
2018-02-28 01:00:00,0.241,727
2018-03-01 01:00:00,0.238,750
2018-03-02 01:00:00,0.239,780
2018-03-03 01:00:00,0.239,959
2018-03-04 01:00:00,0.24,1025
2018-03-05 01:00:00,0.235,739
2018-03-06 01:00:00,0.229,765
2018-03-07 01:00:00,0.225,792
2018-03-08 01:00:00,0.231,768
2018-03-09 01:00:00,0.229,783
2018-03-10 01:00:00,0.233,873
2018-03-11 01:00:00,0.231,821
2018-03-12 01:00:00,0.226,669
2018-03-13 01:00:00,0.225,606
2018-03-14 01:00:00,0.219,628
2018-03-15 01:00:00,0.221,552
2018-03-16 01:00:00,0.217,717
2018-03-17 01:00:00,0.214,897
2018-03-18 01:00:00,0.213,854
2018-03-19 01:00:00,0.211,661
2018-03-20 01:00:00,0.208,584
2018-03-21 01:00:00,0.205,565
2018-03-22 01:00:00,0.205,598
2018-03-23 01:00:00,0.205,672
2018-03-24 01:00:00,0.206,758
2018-03-25 01:00:00,0.204,744
2018-03-26 01:00:00,0.198,674
2018-03-27 01:00:00,0.199,606
2018-03-28 01:00:00,0.191,599
2018-03-29 01:00:00,0.192,710
2018-03-30 01:00:00,0.191,777
2018-03-31 01:00:00,0.199,665
2018-04-01 01:00:00,0.196,614
2018-04-02 01:00:00,0.2,590
2018-04-03 01:00:00,0.204,516
2018-04-04 01:00:00,0.204,530
2018-04-05 01:00:00,0.204,530
2018-04-06 01:00:00,0.202,551
2018-04-07 01:00:00,0.205,660
2018-04-08 01:00:00,0.206,627
2018-04-09 01:00:00,0.203,498
2018-04-10 01:00:00,0.196,578
2018-04-11 01:00:00,0.197,498
2018-04-12 01:00:00,0.206,440
2018-04-13 01:00:00,0.213,494
2018-04-14 01:00:00,0.215,570
2018-04-15 01:00:00,0.216,604
2018-04-16 01:00:00,0.221,479
2018-04-17 01:00:00,0.218,397
2018-04-18 01:00:00,0.215,441
2018-04-19 01:00:00,0.207,441
2018-04-20 01:00:00,0.215,464
2018-04-21 01:00:00,0.214,572
2018-04-22 01:00:00,0.218,592
2018-04-23 01:00:00,0.213,442
2018-04-24 01:00:00,0.211,427
2018-04-25 01:00:00,0.22,422
2018-04-26 01:00:00,0.22,443
2018-04-27 01:00:00,0.214,440
2018-04-28 01:00:00,0.222,606
2018-04-29 01:00:00,0.213,549
2018-04-30 01:00:00,0.216,512
2018-05-01 01:00:00,0.219,468
2018-05-02 01:00:00,0.215,459
2018-05-03 01:00:00,0.214,437
2018-05-04 01:00:00,0.211,451
2018-05-05 01:00:00,0.213,566
2018-05-06 01:00:00,0.216,507
2018-05-07 01:00:00,0.219,390
2018-05-08 01:00:00,0.211,445
2018-05-09 01:00:00,0.209,520
2018-05-10 01:00:00,0.217,459
2018-05-11 01:00:00,0.215,423
2018-05-12 01:00:00,0.212,506
2018-05-13 01:00:00,0.207,447
2018-05-14 01:00:00,0.209,419
2018-05-15 01:00:00,0.206,420
2018-05-16 01:00:00,0.205,366
2018-05-17 01:00:00,0.202,376
2018-05-18 01:00:00,0.207,403
2018-05-19 01:00:00,0.201,504
2018-05-20 01:00:00,0.206,452
2018-05-21 01:00:00,0.203,429
2018-05-22 01:00:00,0.204,372
2018-05-23 01:00:00,0.206,363
2018-05-24 01:00:00,0.2,365
2018-05-25 01:00:00,0.199,420
2018-05-26 01:00:00,0.2,422
2018-05-27 01:00:00,0.199,514
2018-05-28 01:00:00,0.196,407
2018-05-29 01:00:00,0.196,327
2018-05-30 01:00:00,0.199,355
2018-05-31 01:00:00,0.197,405
2018-06-01 01:00:00,0.192,461
2018-06-02 01:00:00,0.192,416
2018-06-03 01:00:00,0.192,461
2018-06-04 01:00:00,0.189,388
2018-06-05 01:00:00,0.192,431
2018-06-06 01:00:00,0.191,436
2018-06-07 01:00:00,0.185,352
2018-06-08 01:00:00,0.184,391
2018-06-09 01:00:00,0.183,385
2018-06-10 01:00:00,0.185,366
2018-06-11 01:00:00,0.179,334
2018-06-12 01:00:00,0.18,349
2018-06-13 01:00:00,0.179,366
2018-06-14 01:00:00,0.176,349
2018-06-15 01:00:00,0.177,353
2018-06-16 01:00:00,0.171,399
2018-06-17 01:00:00,0.171,458
2018-06-18 01:00:00,0.172,461
2018-06-19 01:00:00,0.171,384
2018-06-20 01:00:00,0.165,420
2018-06-21 01:00:00,0.167,417
2018-06-22 01:00:00,0.152,555
2018-06-23 01:00:00,0.14,567
2018-06-24 01:00:00,0.144,474
2018-06-25 01:00:00,0.142,472
2018-06-26 01:00:00,0.145,408
2018-06-27 01:00:00,0.148,420
2018-06-28 01:00:00,0.146,389
2018-06-29 01:00:00,0.14,447
2018-06-30 01:00:00,0.135,452
2018-07-01 01:00:00,0.137,425
2018-07-02 01:00:00,0.139,426
2018-07-03 01:00:00,0.143,431
2018-07-04 01:00:00,0.146,471
2018-07-05 01:00:00,0.15,417
2018-07-06 01:00:00,0.154,416
2018-07-07 01:00:00,0.161,390
2018-07-08 01:00:00,0.162,420
2018-07-09 01:00:00,0.162,432
2018-07-10 01:00:00,0.165,401
2018-07-11 01:00:00,0.166,432
2018-07-12 01:00:00,0.167,446
2018-07-13 01:00:00,0.165,446
2018-07-14 01:00:00,0.164,426
2018-07-15 01:00:00,0.169,402
2018-07-16 01:00:00,0.175,444
2018-07-17 01:00:00,0.18,547
2018-07-18 01:00:00,0.183,511
2018-07-19 01:00:00,0.178,425
2018-07-20 01:00:00,0.176,373
2018-07-21 01:00:00,0.178,432
2018-07-22 01:00:00,0.179,444
2018-07-23 01:00:00,0.181,446
2018-07-24 01:00:00,0.185,429
2018-07-25 01:00:00,0.185,401
2018-07-26 01:00:00,0.185,451
2018-07-27 01:00:00,0.188,411
2018-07-28 01:00:00,0.184,429
2018-07-29 01:00:00,0.189,438
2018-07-30 01:00:00,0.189,398
2018-07-31 01:00:00,0.191,460
2018-08-01 01:00:00,0.187,575
2018-08-02 01:00:00,0.182,529
2018-08-03 01:00:00,0.184,602
2018-08-04 01:00:00,0.193,652
2018-08-05 01:00:00,0.194,707
2018-08-06 01:00:00,0.195,625
2018-08-07 01:00:00,0.199,607
2018-08-08 01:00:00,0.197,629
2018-08-09 01:00:00,0.195,626
2018-08-10 01:00:00,0.194,647
2018-08-11 01:00:00,0.192,632
2018-08-12 01:00:00,0.192,594
2018-08-13 01:00:00,0.196,554
2018-08-14 01:00:00,0.197,557
2018-08-15 01:00:00,0.199,548
2018-08-16 01:00:00,0.205,521
2018-08-17 01:00:00,0.202,562
2018-08-18 01:00:00,0.202,526
2018-08-19 01:00:00,0.206,541
2018-08-20 01:00:00,0.205,523
2018-08-21 01:00:00,0.206,526
2018-08-22 01:00:00,0.208,535
2018-08-23 01:00:00,0.202,480
2018-08-24 01:00:00,0.195,631
2018-08-25 01:00:00,0.2,535
2018-08-26 01:00:00,0.197,553
2018-08-27 01:00:00,0.199,544
2018-08-28 01:00:00,0.201,590
2018-08-29 01:00:00,0.203,510
2018-08-30 01:00:00,0.192,650
2018-08-31 01:00:00,0.192,585
2018-09-01 01:00:00,0.192,595
2018-09-02 01:00:00,0.193,607
2018-09-03 01:00:00,0.192,440
2018-09-04 01:00:00,0.188,430
2018-09-05 01:00:00,0.192,399
2018-09-06 01:00:00,0.192,442
2018-09-07 01:00:00,0.185,525
2018-09-08 01:00:00,0.186,591
2018-09-09 01:00:00,0.182,562
2018-09-10 01:00:00,0.182,445
2018-09-11 01:00:00,0.183,419
2018-09-12 01:00:00,0.185,505
2018-09-13 01:00:00,0.191,454
2018-09-14 01:00:00,0.183,508
2018-09-15 01:00:00,0.186,710
2018-09-16 01:00:00,0.188,611
2018-09-17 01:00:00,0.183,502
2018-09-18 01:00:00,0.179,478
2018-09-19 01:00:00,0.184,426
2018-09-20 01:00:00,0.182,457
2018-09-21 01:00:00,0.188,482
2018-09-22 01:00:00,0.182,748
2018-09-23 01:00:00,0.176,667
2018-09-24 01:00:00,0.176,534
2018-09-25 01:00:00,0.174,501
2018-09-26 01:00:00,0.177,434
2018-09-27 01:00:00,0.181,446
2018-09-28 01:00:00,0.183,445
2018-09-29 01:00:00,0.182,566
2018-09-30 01:00:00,0.183,485
2018-10-01 01:00:00,0.177,429
2018-10-02 01:00:00,0.18,444
2018-10-03 01:00:00,0.178,495
2018-10-04 01:00:00,0.177,479
2018-10-05 01:00:00,0.177,569
2018-10-06 01:00:00,0.174,626
2018-10-07 01:00:00,0.174,603
2018-10-08 01:00:00,0.174,514
2018-10-09 01:00:00,0.176,520
2018-10-10 01:00:00,0.173,448
2018-10-11 01:00:00,0.176,469
2018-10-12 01:00:00,0.179,530
2018-10-13 01:00:00,0.176,615
2018-10-14 01:00:00,0.179,581
2018-10-15 01:00:00,0.176,541
2018-10-16 01:00:00,0.178,482
2018-10-17 01:00:00,0.176,491
2018-10-18 01:00:00,0.179,475
2018-10-19 01:00:00,0.18,477
2018-10-20 01:00:00,0.173,687
2018-10-21 01:00:00,0.16,708
2018-10-22 01:00:00,0.158,548
2018-10-23 01:00:00,0.16,507
2018-10-24 01:00:00,0.159,444
2018-10-25 01:00:00,0.158,390
2018-10-26 01:00:00,0.16,449
2018-10-27 01:00:00,0.163,590
2018-10-28 01:00:00,0.16,567
2018-10-29 01:00:00,0.156,518
2018-10-30 01:00:00,0.146,525
2018-10-31 01:00:00,0.146,472
2018-11-01 01:00:00,0.149,444
2018-11-02 01:00:00,0.157,459
2018-11-03 01:00:00,0.156,517
2018-11-04 01:00:00,0.157,535
2018-11-05 01:00:00,0.155,416
2018-11-06 01:00:00,0.155,360
2018-11-07 01:00:00,0.156,363
2018-11-08 01:00:00,0.157,461
2018-11-09 01:00:00,0.155,459
2018-11-10 01:00:00,0.156,583
2018-11-11 01:00:00,0.153,564
2018-11-12 01:00:00,0.155,427
2018-11-13 01:00:00,0.153,371
2018-11-14 01:00:00,0.158,377
2018-11-15 01:00:00,0.156,473
2018-11-16 01:00:00,0.158,447
2018-11-17 01:00:00,0.157,513
2018-11-18 01:00:00,0.153,569
2018-11-19 01:00:00,0.156,436
2018-11-20 01:00:00,0.152,411
2018-11-21 01:00:00,0.147,401
2018-11-22 01:00:00,0.132,457
2018-11-23 01:00:00,0.131,502
2018-11-24 01:00:00,0.133,576
2018-11-25 01:00:00,0.136,506
2018-11-26 01:00:00,0.133,416
2018-11-27 01:00:00,0.134,398
2018-11-28 01:00:00,0.133,406
2018-11-29 01:00:00,0.137,418
2018-11-30 01:00:00,0.14,443
2018-12-01 01:00:00,0.139,536
2018-12-02 01:00:00,0.139,447
2018-12-03 01:00:00,0.133,373
2018-12-04 01:00:00,0.135,408
2018-12-05 01:00:00,0.137,371
2018-12-06 01:00:00,0.136,395
2018-12-07 01:00:00,0.131,638
2018-12-08 01:00:00,0.137,781
2018-12-09 01:00:00,0.142,838
2018-12-10 01:00:00,0.142,648
2018-12-11 01:00:00,0.142,552
2018-12-12 01:00:00,0.144,522
2018-12-13 01:00:00,0.148,534
2018-12-14 01:00:00,0.146,608
2018-12-15 01:00:00,0.15,705
2018-12-16 01:00:00,0.151,719
2018-12-17 01:00:00,0.147,570
2018-12-18 01:00:00,0.147,510
2018-12-19 01:00:00,0.141,544
2018-12-20 01:00:00,0.138,532
