date,price,volume
2017-09-15 01:00:00,3.651,554
2017-09-16 01:00:00,2.624,597
2017-09-17 01:00:00,2.276,555
2017-09-18 01:00:00,2.062,432
2017-09-19 01:00:00,2.066,406
2017-09-20 01:00:00,1.948,350
2017-09-21 01:00:00,1.931,331
2017-09-22 01:00:00,1.883,424
2017-09-23 01:00:00,1.687,509
2017-09-24 01:00:00,1.501,481
2017-09-25 01:00:00,1.375,423
2017-09-26 01:00:00,1.42,374
2017-09-27 01:00:00,1.499,336
2017-09-28 01:00:00,1.343,371
2017-09-29 01:00:00,1.34,388
2017-09-30 01:00:00,1.353,492
2017-10-01 01:00:00,1.235,425
2017-10-02 01:00:00,1.131,394
2017-10-03 01:00:00,1.095,383
2017-10-04 01:00:00,1.094,386
2017-10-05 01:00:00,1.076,404
2017-10-06 01:00:00,1.111,401
2017-10-07 01:00:00,1.116,464
2017-10-08 01:00:00,1.054,417
2017-10-09 01:00:00,1.004,362
2017-10-10 01:00:00,0.996,366
2017-10-11 01:00:00,0.964,371
2017-10-12 01:00:00,1.049,441
2017-10-13 01:00:00,1.025,373
2017-10-14 01:00:00,1.0,440
2017-10-15 01:00:00,1.0,443
2017-10-16 01:00:00,0.962,376
2017-10-17 01:00:00,0.912,398
2017-10-18 01:00:00,0.874,369
2017-10-19 01:00:00,0.873,386
2017-10-20 01:00:00,0.878,382
2017-10-21 01:00:00,0.885,505
2017-10-22 01:00:00,0.81,428
2017-10-23 01:00:00,0.825,352
2017-10-24 01:00:00,0.809,336
2017-10-25 01:00:00,0.777,371
2017-10-26 01:00:00,0.759,338
2017-10-27 01:00:00,0.73,399
2017-10-28 01:00:00,0.743,433
2017-10-29 01:00:00,0.707,480
2017-10-30 01:00:00,0.677,421
2017-10-31 01:00:00,0.686,396
2017-11-01 01:00:00,0.686,428
2017-11-02 01:00:00,0.685,371
2017-11-03 01:00:00,0.686,359
2017-11-04 01:00:00,0.68,469
2017-11-05 01:00:00,0.675,440
2017-11-06 01:00:00,0.663,381
2017-11-07 01:00:00,0.655,371
2017-11-08 01:00:00,0.639,380
2017-11-09 01:00:00,0.65,339
2017-11-10 01:00:00,0.633,426
2017-11-11 01:00:00,0.616,550
2017-11-12 01:00:00,0.603,513
2017-11-13 01:00:00,0.573,443
2017-11-14 01:00:00,0.543,569
2017-11-15 01:00:00,0.543,456
2017-11-16 01:00:00,0.545,409
2017-11-17 01:00:00,0.546,465
2017-11-18 01:00:00,0.577,510
2017-11-19 01:00:00,0.593,480
2017-11-20 01:00:00,0.547,418
2017-11-21 01:00:00,0.507,429
2017-11-22 01:00:00,0.51,454
2017-11-23 01:00:00,0.457,484
2017-11-24 01:00:00,0.443,567
2017-11-25 01:00:00,0.44,620
2017-11-26 01:00:00,0.444,565
2017-11-27 01:00:00,0.42,480
2017-11-28 01:00:00,0.425,452
2017-11-29 01:00:00,0.441,459
2017-11-30 01:00:00,0.433,416
2017-12-01 01:00:00,0.451,520
2017-12-02 01:00:00,0.471,602
2017-12-03 01:00:00,0.478,548
2017-12-04 01:00:00,0.458,485
2017-12-05 01:00:00,0.442,508
2017-12-06 01:00:00,0.464,516
2017-12-07 01:00:00,0.473,449
2017-12-08 01:00:00,0.47,564
2017-12-09 01:00:00,0.491,576
2017-12-10 01:00:00,0.472,563
2017-12-11 01:00:00,0.471,471
2017-12-12 01:00:00,0.482,441
2017-12-13 01:00:00,0.471,458
2017-12-14 01:00:00,0.481,466
2017-12-15 01:00:00,0.468,459
2017-12-16 01:00:00,0.476,554
2017-12-17 01:00:00,0.459,548
2017-12-18 01:00:00,0.444,468
