date,price,volume
2023-02-10 01:00:00,6.547,261
2023-02-11 01:00:00,4.608,227
2023-02-12 01:00:00,4.417,240
2023-02-13 01:00:00,5.049,137
2023-02-14 01:00:00,4.413,171
2023-02-15 01:00:00,3.874,137
2023-02-16 01:00:00,3.65,214
2023-02-17 01:00:00,3.226,159
2023-02-18 01:00:00,2.942,191
2023-02-19 01:00:00,2.644,149
2023-02-20 01:00:00,2.195,110
2023-02-21 01:00:00,2.066,157
2023-02-22 01:00:00,2.088,178
2023-02-23 01:00:00,2.304,218
2023-02-24 01:00:00,2.375,176
2023-02-25 01:00:00,2.307,173
2023-02-26 01:00:00,2.255,152
2023-02-27 01:00:00,2.081,205
2023-02-28 01:00:00,2.01,176
2023-03-01 01:00:00,2.037,178
2023-03-02 01:00:00,2.127,186
2023-03-03 01:00:00,2.233,194
2023-03-04 01:00:00,2.368,178
2023-03-05 01:00:00,2.258,191
2023-03-06 01:00:00,2.304,177
2023-03-07 01:00:00,2.147,170
2023-03-08 01:00:00,2.193,162
2023-03-09 01:00:00,2.063,160
2023-03-10 01:00:00,2.02,173
2023-03-11 01:00:00,1.95,213
2023-03-12 01:00:00,1.933,236
2023-03-13 01:00:00,1.918,195
2023-03-14 01:00:00,1.913,205
2023-03-15 01:00:00,1.842,199
2023-03-16 01:00:00,1.653,243
2023-03-17 01:00:00,1.568,237
2023-03-18 01:00:00,1.482,247
2023-03-19 01:00:00,1.518,232
2023-03-20 01:00:00,1.565,237
2023-03-21 01:00:00,1.557,194
2023-03-22 01:00:00,1.539,194
2023-03-23 01:00:00,1.481,238
2023-03-24 01:00:00,1.49,254
2023-03-25 01:00:00,1.581,237
2023-03-26 01:00:00,1.568,309
2023-03-27 01:00:00,1.549,233
2023-03-28 01:00:00,1.557,241
2023-03-29 01:00:00,1.596,232
2023-03-30 01:00:00,1.57,203
2023-03-31 01:00:00,1.634,226
2023-04-01 01:00:00,1.694,243
2023-04-02 01:00:00,1.799,256
2023-04-03 01:00:00,1.818,243
2023-04-04 01:00:00,1.875,204
2023-04-05 01:00:00,1.906,206
2023-04-06 01:00:00,1.908,205
2023-04-07 01:00:00,1.849,149
2023-04-08 01:00:00,1.873,198
2023-04-09 01:00:00,1.835,232
2023-04-10 01:00:00,1.867,228
2023-04-11 01:00:00,1.786,189
2023-04-12 01:00:00,1.922,184
2023-04-13 01:00:00,1.872,184
2023-04-14 01:00:00,1.877,186
2023-04-15 01:00:00,1.968,167
2023-04-16 01:00:00,1.951,155
2023-04-17 01:00:00,1.956,206
2023-04-18 01:00:00,1.96,199
2023-04-19 01:00:00,1.97,151
2023-04-20 01:00:00,1.853,271
2023-04-21 01:00:00,1.84,287
2023-04-22 01:00:00,1.824,258
2023-04-23 01:00:00,1.847,281
2023-04-24 01:00:00,1.83,241
2023-04-25 01:00:00,1.787,328
2023-04-26 01:00:00,1.598,210
2023-04-27 01:00:00,1.499,260
2023-04-28 01:00:00,1.551,261
2023-04-29 01:00:00,1.595,253
2023-04-30 01:00:00,1.538,272
2023-05-01 01:00:00,1.43,226
2023-05-02 01:00:00,1.347,237
2023-05-03 01:00:00,1.324,212
2023-05-04 01:00:00,1.367,250
2023-05-05 01:00:00,1.319,297
2023-05-06 01:00:00,1.191,296
2023-05-07 01:00:00,1.099,287
2023-05-08 01:00:00,1.078,274
2023-05-09 01:00:00,1.082,264
2023-05-10 01:00:00,1.124,265
2023-05-11 01:00:00,1.173,227
2023-05-12 01:00:00,1.184,253
2023-05-13 01:00:00,1.233,251
2023-05-14 01:00:00,1.146,261
2023-05-15 01:00:00,1.06,198
2023-05-16 01:00:00,0.978,294
2023-05-17 01:00:00,1.002,310
2023-05-18 01:00:00,1.033,270
2023-05-19 01:00:00,0.964,297
2023-05-20 01:00:00,0.987,394
2023-05-21 01:00:00,0.991,321
2023-05-22 01:00:00,0.972,302
2023-05-23 01:00:00,0.953,231
2023-05-24 01:00:00,0.932,281
2023-05-25 01:00:00,0.904,247
2023-05-26 01:00:00,0.932,312
2023-05-27 01:00:00,0.944,279
2023-05-28 01:00:00,0.943,306
2023-05-29 01:00:00,0.927,299
2023-05-30 01:00:00,0.925,226
2023-05-31 01:00:00,0.879,323
2023-06-01 01:00:00,0.865,271
2023-06-02 01:00:00,0.892,304
2023-06-03 01:00:00,0.867,300
2023-06-04 01:00:00,0.902,382
2023-06-05 01:00:00,0.929,237
2023-06-06 01:00:00,0.912,216
2023-06-07 01:00:00,0.908,276
2023-06-08 01:00:00,0.944,277
2023-06-09 01:00:00,0.949,258
2023-06-10 01:00:00,1.055,311
2023-06-11 01:00:00,1.032,223
2023-06-12 01:00:00,0.938,213
2023-06-13 01:00:00,0.899,172
2023-06-14 01:00:00,0.863,223
2023-06-15 01:00:00,0.867,237
2023-06-16 01:00:00,0.858,195
2023-06-17 01:00:00,0.841,219
2023-06-18 01:00:00,0.85,223
2023-06-19 01:00:00,0.814,172
2023-06-20 01:00:00,0.787,166
2023-06-21 01:00:00,0.815,210
