date,price,volume
2016-06-01 01:00:00,14.503,516
2016-06-02 01:00:00,7.964,445
2016-06-03 01:00:00,6.315,408
2016-06-04 01:00:00,5.624,387
2016-06-05 01:00:00,5.178,318
2016-06-06 01:00:00,5.057,302
2016-06-07 01:00:00,4.569,220
2016-06-08 01:00:00,4.322,252
2016-06-09 01:00:00,4.158,253
2016-06-10 01:00:00,4.213,234
2016-06-11 01:00:00,4.037,243
2016-06-12 01:00:00,3.831,192
2016-06-13 01:00:00,3.807,172
2016-06-14 01:00:00,3.594,164
2016-06-15 01:00:00,3.473,137
2016-06-16 01:00:00,3.283,245
2016-06-17 01:00:00,3.331,207
2016-06-18 01:00:00,3.385,226
2016-06-19 01:00:00,3.409,188
2016-06-20 01:00:00,3.269,171
2016-06-21 01:00:00,3.342,171
2016-06-22 01:00:00,3.377,131
2016-06-23 01:00:00,2.981,173
2016-06-24 01:00:00,2.568,176
2016-06-25 01:00:00,2.365,225
2016-06-26 01:00:00,2.504,163
2016-06-27 01:00:00,2.473,145
2016-06-28 01:00:00,2.445,152
2016-06-29 01:00:00,2.624,151
2016-06-30 01:00:00,2.534,137
2016-07-01 01:00:00,2.551,146
2016-07-02 01:00:00,2.509,136
2016-07-03 01:00:00,2.428,132
2016-07-04 01:00:00,2.357,149
2016-07-05 01:00:00,2.656,129
2016-07-06 01:00:00,2.563,165
2016-07-07 01:00:00,2.592,164
2016-07-08 01:00:00,2.905,134
2016-07-09 01:00:00,2.932,132
2016-07-10 01:00:00,2.516,189
2016-07-11 01:00:00,2.505,142
2016-07-12 01:00:00,2.675,107
2016-07-13 01:00:00,2.989,103
2016-07-14 01:00:00,2.716,119
2016-07-15 01:00:00,2.79,93
2016-07-16 01:00:00,2.738,109
2016-07-17 01:00:00,2.712,99
2016-07-18 01:00:00,2.611,98
2016-07-19 01:00:00,2.64,121
2016-07-20 01:00:00,2.657,88
2016-07-21 01:00:00,2.47,87
2016-07-22 01:00:00,2.483,81
2016-07-23 01:00:00,2.393,94
2016-07-24 01:00:00,2.4,93
2016-07-25 01:00:00,2.376,92
2016-07-26 01:00:00,2.429,74
2016-07-27 01:00:00,2.318,98
2016-07-28 01:00:00,2.336,80
2016-07-29 01:00:00,2.386,82
2016-07-30 01:00:00,2.546,108
2016-07-31 01:00:00,2.438,81
2016-08-01 01:00:00,2.346,99
2016-08-02 01:00:00,2.346,88
2016-08-03 01:00:00,2.308,76
2016-08-04 01:00:00,2.22,77
2016-08-05 01:00:00,2.212,76
2016-08-06 01:00:00,2.148,95
2016-08-07 01:00:00,2.086,104
2016-08-08 01:00:00,2.053,87
2016-08-09 01:00:00,2.117,86
2016-08-10 01:00:00,2.021,103
2016-08-11 01:00:00,2.081,99
2016-08-12 01:00:00,2.115,78
2016-08-13 01:00:00,2.052,76
2016-08-14 01:00:00,2.146,85
2016-08-15 01:00:00,2.104,80
2016-08-16 01:00:00,2.135,90
2016-08-17 01:00:00,2.089,84
2016-08-18 01:00:00,2.143,90
2016-08-19 01:00:00,2.123,104
2016-08-20 01:00:00,2.086,106
2016-08-21 01:00:00,2.163,99
2016-08-22 01:00:00,2.124,104
2016-08-23 01:00:00,2.071,115
2016-08-24 01:00:00,2.152,82
2016-08-25 01:00:00,2.127,96
2016-08-26 01:00:00,2.186,89
2016-08-27 01:00:00,2.185,79
2016-08-28 01:00:00,2.174,99
2016-08-29 01:00:00,2.12,96
2016-08-30 01:00:00,2.175,72
2016-08-31 01:00:00,2.188,93
2016-09-01 01:00:00,2.203,90
2016-09-02 01:00:00,2.049,82
2016-09-03 01:00:00,2.03,108
2016-09-04 01:00:00,2.028,102
2016-09-05 01:00:00,2.011,88
2016-09-06 01:00:00,1.988,85
