date,price,volume
2024-02-07 01:00:00,14.268,216186
2024-02-08 01:00:00,9.792,114499
2024-02-09 01:00:00,10.192,88684
2024-02-10 01:00:00,10.319,73672
2024-02-11 01:00:00,10.143,60732
2024-02-12 01:00:00,9.563,49800
2024-02-13 01:00:00,8.606,53537
2024-02-14 01:00:00,5.215,147843
2024-02-15 01:00:00,5.056,113034
2024-02-16 01:00:00,5.733,88169
2024-02-17 01:00:00,5.72,81216
2024-02-18 01:00:00,5.585,68788
2024-02-19 01:00:00,5.477,56726
2024-02-20 01:00:00,5.381,52443
2024-02-21 01:00:00,3.962,143408
2024-02-22 01:00:00,3.738,105339
2024-02-23 01:00:00,3.843,102535
2024-02-24 01:00:00,3.924,99345
2024-02-25 01:00:00,4.009,77824
2024-02-26 01:00:00,3.949,62332
2024-02-27 01:00:00,3.83,65103
2024-02-28 01:00:00,3.079,128075
2024-02-29 01:00:00,3.149,100123
2024-03-01 01:00:00,3.45,92788
2024-03-02 01:00:00,3.681,86332
2024-03-03 01:00:00,3.662,75253
2024-03-04 01:00:00,3.615,61134
2024-03-05 01:00:00,3.453,63843
2024-03-06 01:00:00,2.955,117713
2024-03-07 01:00:00,2.999,93557
2024-03-08 01:00:00,3.098,92455
2024-03-09 01:00:00,3.169,92286
2024-03-10 01:00:00,3.14,82712
2024-03-11 01:00:00,3.126,64307
2024-03-12 01:00:00,3.067,59526
2024-03-13 01:00:00,2.654,113929
2024-03-14 01:00:00,2.532,100647
2024-03-15 01:00:00,2.623,97937
2024-03-16 01:00:00,2.713,95282
2024-03-17 01:00:00,2.777,79853
2024-03-18 01:00:00,2.812,64027
2024-03-19 01:00:00,2.818,59040
2024-03-20 01:00:00,2.426,113218
2024-03-21 01:00:00,2.373,92340
2024-03-22 01:00:00,2.563,81185
2024-03-23 01:00:00,2.594,83775
2024-03-24 01:00:00,2.601,77704
2024-03-25 01:00:00,2.614,68260
2024-03-26 01:00:00,2.548,71594
2024-03-27 01:00:00,2.213,126110
2024-03-28 01:00:00,2.237,101112
2024-03-29 01:00:00,2.322,103857
2024-03-30 01:00:00,2.325,94849
2024-03-31 01:00:00,2.325,101311
2024-04-01 01:00:00,2.301,87345
2024-04-02 01:00:00,2.225,85025
2024-04-03 01:00:00,1.95,127174
2024-04-04 01:00:00,1.986,104860
2024-04-05 01:00:00,2.062,110575
2024-04-06 01:00:00,2.096,114340
2024-04-07 01:00:00,2.093,99823
2024-04-08 01:00:00,2.083,85874
2024-04-09 01:00:00,2.018,87551
2024-04-10 01:00:00,1.828,119382
2024-04-11 01:00:00,1.895,101815
2024-04-12 01:00:00,2.018,112297
2024-04-13 01:00:00,2.095,104621
2024-04-14 01:00:00,2.154,86424
2024-04-15 01:00:00,2.11,77900
2024-04-16 01:00:00,2.021,75744
2024-04-17 01:00:00,1.823,111310
2024-04-18 01:00:00,1.859,93130
2024-04-19 01:00:00,1.884,91996
2024-04-20 01:00:00,1.888,96959
2024-04-21 01:00:00,1.748,96470
2024-04-22 01:00:00,1.477,108412
2024-04-23 01:00:00,1.378,92614
2024-04-24 01:00:00,1.245,130068
2024-04-25 01:00:00,1.238,110843
2024-04-26 01:00:00,1.237,133849
2024-04-27 01:00:00,1.368,118952
2024-04-28 01:00:00,1.371,107702
2024-04-29 01:00:00,1.304,94672
2024-04-30 01:00:00,1.288,99790
2024-05-01 01:00:00,1.186,129902
2024-05-02 01:00:00,1.213,109819
2024-05-03 01:00:00,1.265,114174
2024-05-04 01:00:00,1.281,111855
2024-05-05 01:00:00,1.255,109790
2024-05-06 01:00:00,1.253,84179
2024-05-07 01:00:00,1.232,83363
2024-05-08 01:00:00,1.147,119439
2024-05-09 01:00:00,1.162,112446
2024-05-10 01:00:00,1.214,104912
2024-05-11 01:00:00,1.256,104930
2024-05-12 01:00:00,1.295,92476
2024-05-13 01:00:00,1.314,77167
2024-05-14 01:00:00,1.308,81640
2024-05-15 01:00:00,1.207,103181
2024-05-16 01:00:00,1.182,98002
2024-05-17 01:00:00,1.158,109042
2024-05-18 01:00:00,1.128,118538
2024-05-19 01:00:00,1.073,111616
2024-05-20 01:00:00,0.969,109549
2024-05-21 01:00:00,0.834,121144
2024-05-22 01:00:00,0.72,142607
2024-05-23 01:00:00,0.78,316801
2024-05-24 01:00:00,1.242,213061
2024-05-25 01:00:00,1.188,103241
2024-05-26 01:00:00,0.995,102484
2024-05-27 01:00:00,0.889,100937
2024-05-28 01:00:00,0.851,89489
2024-05-29 01:00:00,0.79,137301
2024-05-30 01:00:00,1.01,96221
2024-05-31 01:00:00,1.052,93158
2024-06-01 01:00:00,1.136,90579
2024-06-02 01:00:00,1.254,74051
2024-06-03 01:00:00,1.317,55235
2024-06-04 01:00:00,1.285,58731
2024-06-05 01:00:00,1.093,85953
2024-06-06 01:00:00,1.029,82912
2024-06-07 01:00:00,1.007,80104
2024-06-08 01:00:00,0.988,86645
