date,price,volume
2017-07-16 01:00:00,3.3,4468
2017-07-17 01:00:00,3.04,1852
2017-07-18 01:00:00,2.862,2344
2017-07-19 01:00:00,2.453,3442
2017-07-20 01:00:00,2.291,1129
2017-07-21 01:00:00,2.314,792
2017-07-22 01:00:00,2.429,1572
2017-07-23 01:00:00,2.094,1275
2017-07-24 01:00:00,2.108,557
2017-07-25 01:00:00,2.223,354
2017-07-26 01:00:00,2.186,296
2017-07-27 01:00:00,2.29,354
2017-07-28 01:00:00,2.372,245
2017-07-29 01:00:00,2.426,199
2017-07-30 01:00:00,2.591,232
2017-07-31 01:00:00,2.566,165
2017-08-01 01:00:00,2.588,202
2017-08-02 01:00:00,2.736,205
2017-08-03 01:00:00,2.496,154
2017-08-04 01:00:00,2.503,133
2017-08-05 01:00:00,2.478,115
2017-08-06 01:00:00,2.732,216
2017-08-07 01:00:00,2.539,103
2017-08-08 01:00:00,2.509,82
2017-08-09 01:00:00,2.266,84
2017-08-10 01:00:00,2.495,94
2017-08-11 01:00:00,2.554,155
2017-08-12 01:00:00,2.664,80
2017-08-13 01:00:00,2.476,97
2017-08-14 01:00:00,2.794,77
2017-08-15 01:00:00,2.77,56
2017-08-16 01:00:00,2.706,54
2017-08-17 01:00:00,2.555,95
2017-08-18 01:00:00,2.481,71
2017-08-19 01:00:00,2.512,59
2017-08-20 01:00:00,2.559,79
2017-08-21 01:00:00,2.453,68
2017-08-22 01:00:00,2.798,124
2017-08-23 01:00:00,2.711,46
2017-08-24 01:00:00,2.493,51
2017-08-25 01:00:00,2.554,69
2017-08-26 01:00:00,10.285,66
2017-08-27 01:00:00,2.593,34
2017-08-28 01:00:00,2.426,52
2017-08-29 01:00:00,2.481,36
2017-08-30 01:00:00,2.736,56
2017-08-31 01:00:00,2.601,43
2017-09-01 01:00:00,2.789,44
2017-09-02 01:00:00,2.822,98
2017-09-03 01:00:00,2.81,58
2017-09-04 01:00:00,2.919,37
2017-09-05 01:00:00,2.742,34
2017-09-06 01:00:00,2.864,29
2017-09-07 01:00:00,2.81,22
2017-09-08 01:00:00,2.777,36
2017-09-09 01:00:00,2.944,30
2017-09-10 01:00:00,2.862,50
2017-09-11 01:00:00,2.964,43
2017-09-12 01:00:00,2.961,24
2017-09-13 01:00:00,2.977,25
2017-09-14 01:00:00,2.984,33
2017-09-15 01:00:00,3.037,57
2017-09-16 01:00:00,2.836,28
2017-09-17 01:00:00,2.765,28
2017-09-18 01:00:00,2.633,31
2017-09-19 01:00:00,2.694,30
2017-09-20 01:00:00,2.731,15
2017-09-21 01:00:00,2.805,32
2017-09-22 01:00:00,2.788,24
2017-09-23 01:00:00,2.622,36
2017-09-24 01:00:00,2.763,29
2017-09-25 01:00:00,2.974,38
2017-09-26 01:00:00,2.991,45
2017-09-27 01:00:00,2.761,22
2017-09-28 01:00:00,2.536,21
2017-09-29 01:00:00,2.785,40
2017-09-30 01:00:00,2.661,28
2017-10-01 01:00:00,2.928,36
2017-10-02 01:00:00,2.757,23
2017-10-03 01:00:00,2.602,17
2017-10-04 01:00:00,2.685,15
2017-10-05 01:00:00,2.602,20
2017-10-06 01:00:00,2.68,43
2017-10-07 01:00:00,2.646,36
2017-10-08 01:00:00,2.892,26
2017-10-09 01:00:00,2.686,17
