date,price,volume
2019-11-19 01:00:00,0.03,1467
2019-11-20 01:00:00,0.031,826
2019-11-21 01:00:00,0.031,837
2019-11-22 01:00:00,0.03,840
2019-11-23 01:00:00,0.034,859
2019-11-24 01:00:00,0.03,619
2019-11-25 01:00:00,0.031,472
2019-11-26 01:00:00,0.034,584
2019-11-27 01:00:00,0.032,590
2019-11-28 01:00:00,0.039,501
2019-11-29 01:00:00,0.037,425
2019-11-30 01:00:00,0.04,446
2019-12-01 01:00:00,0.044,476
2019-12-02 01:00:00,0.045,320
2019-12-03 01:00:00,0.043,514
2019-12-04 01:00:00,0.036,2391
2019-12-05 01:00:00,0.034,1730
2019-12-06 01:00:00,0.032,1058
2019-12-07 01:00:00,0.032,1199
2019-12-08 01:00:00,0.032,926
2019-12-09 01:00:00,0.031,667
2019-12-10 01:00:00,0.035,867
2019-12-11 01:00:00,0.03,1047
2019-12-12 01:00:00,0.031,585
2019-12-13 01:00:00,0.033,641
2019-12-14 01:00:00,0.031,886
2019-12-15 01:00:00,0.032,1393
2019-12-16 01:00:00,0.032,622
2019-12-17 01:00:00,0.03,572
2019-12-18 01:00:00,0.031,873
2019-12-19 01:00:00,0.031,565
2019-12-20 01:00:00,0.03,470
2019-12-21 01:00:00,0.03,889
2019-12-22 01:00:00,0.03,416
2019-12-23 01:00:00,0.03,442
2019-12-24 01:00:00,0.03,456
2019-12-25 01:00:00,0.032,598
2019-12-26 01:00:00,0.03,692
2019-12-27 01:00:00,0.037,1284
2019-12-28 01:00:00,0.03,458
2019-12-29 01:00:00,0.03,720
2019-12-30 01:00:00,0.03,416
2019-12-31 01:00:00,0.031,577
2020-01-01 01:00:00,0.03,2541
2020-01-02 01:00:00,0.03,1500
2020-01-03 01:00:00,0.03,1185
2020-01-04 01:00:00,0.03,1226
2020-01-05 01:00:00,0.03,937
2020-01-06 01:00:00,0.03,929
2020-01-07 01:00:00,0.03,769
2020-01-08 01:00:00,0.03,1422
2020-01-09 01:00:00,0.03,1132
2020-01-10 01:00:00,0.03,788
2020-01-11 01:00:00,0.03,864
2020-01-12 01:00:00,0.03,729
2020-01-13 01:00:00,0.03,621
2020-01-14 01:00:00,0.031,623
2020-01-15 01:00:00,0.03,888
2020-01-16 01:00:00,0.031,888
2020-01-17 01:00:00,0.032,869
2020-01-18 01:00:00,0.03,609
2020-01-19 01:00:00,0.03,648
2020-01-20 01:00:00,0.03,1003
2020-01-21 01:00:00,0.031,857
2020-01-22 01:00:00,0.032,943
2020-01-23 01:00:00,0.031,896
2020-01-24 01:00:00,0.031,1237
2020-01-25 01:00:00,0.03,743
2020-01-26 01:00:00,0.032,1533
2020-01-27 01:00:00,0.03,528
2020-01-28 01:00:00,0.03,498
2020-01-29 01:00:00,0.03,959
2020-01-30 01:00:00,0.032,768
2020-01-31 01:00:00,0.035,1239
2020-02-01 01:00:00,0.037,625
2020-02-02 01:00:00,0.037,898
2020-02-03 01:00:00,0.043,1130
2020-02-04 01:00:00,0.075,895
2020-02-05 01:00:00,0.068,826
2020-02-06 01:00:00,0.063,700
2020-02-07 01:00:00,0.052,1255
2020-02-08 01:00:00,0.05,1381
2020-02-09 01:00:00,0.041,1712
2020-02-10 01:00:00,0.036,912
2020-02-11 01:00:00,0.035,843
2020-02-12 01:00:00,0.038,1187
2020-02-13 01:00:00,0.04,1035
2020-02-14 01:00:00,0.038,936
2020-02-15 01:00:00,0.039,1169
2020-02-16 01:00:00,0.04,1187
2020-02-17 01:00:00,0.042,889
2020-02-18 01:00:00,0.04,1088
2020-02-19 01:00:00,0.037,3843
2020-02-20 01:00:00,0.036,2095
2020-02-21 01:00:00,0.037,1787
2020-02-22 01:00:00,0.041,2128
2020-02-23 01:00:00,0.044,2309
2020-02-24 01:00:00,0.057,2151
2020-02-25 01:00:00,0.052,2063
2020-02-26 01:00:00,0.046,2192
2020-02-27 01:00:00,0.046,1829
2020-02-28 01:00:00,0.049,2008
2020-02-29 01:00:00,0.053,2412
2020-03-01 01:00:00,0.054,1878
2020-03-02 01:00:00,0.051,1809
2020-03-03 01:00:00,0.051,1528
2020-03-04 01:00:00,0.048,2516
2020-03-05 01:00:00,0.045,2018
2020-03-06 01:00:00,0.046,1912
2020-03-07 01:00:00,0.044,1719
2020-03-08 01:00:00,0.043,1683
2020-03-09 01:00:00,0.042,1758
2020-03-10 01:00:00,0.041,1048
2020-03-11 01:00:00,0.042,1270
2020-03-12 01:00:00,0.044,1475
2020-03-13 01:00:00,0.04,1307
2020-03-14 01:00:00,0.041,1487
2020-03-15 01:00:00,0.041,1501
2020-03-16 01:00:00,0.04,1407
2020-03-17 01:00:00,0.039,1240
2020-03-18 01:00:00,0.04,1300
2020-03-19 01:00:00,0.04,1289
2020-03-20 01:00:00,0.048,1844
2020-03-21 01:00:00,0.046,1094
2020-03-22 01:00:00,0.046,1226
2020-03-23 01:00:00,0.043,1127
2020-03-24 01:00:00,0.043,1035
2020-03-25 01:00:00,0.045,1139
2020-03-26 01:00:00,0.045,1350
2020-03-27 01:00:00,0.051,1696
2020-03-28 01:00:00,0.05,1060
2020-03-29 01:00:00,0.048,891
2020-03-30 01:00:00,0.053,1557
2020-03-31 01:00:00,0.047,1594
2020-04-01 01:00:00,0.044,1482
2020-04-02 01:00:00,0.044,1119
2020-04-03 01:00:00,0.045,1025
2020-04-04 01:00:00,0.044,1051
2020-04-05 01:00:00,0.044,914
2020-04-06 01:00:00,0.044,965
2020-04-07 01:00:00,0.043,1042
2020-04-08 01:00:00,0.044,828
2020-04-09 01:00:00,0.046,912
2020-04-10 01:00:00,0.046,848
2020-04-11 01:00:00,0.044,861
2020-04-12 01:00:00,0.045,642
2020-04-13 01:00:00,0.045,772
2020-04-14 01:00:00,0.045,700
2020-04-15 01:00:00,0.045,689
2020-04-16 01:00:00,0.046,849
2020-04-17 01:00:00,0.047,1250
2020-04-18 01:00:00,0.049,778
2020-04-19 01:00:00,0.047,670
2020-04-20 01:00:00,0.049,472
2020-04-21 01:00:00,0.049,571
2020-04-22 01:00:00,0.049,419
2020-04-23 01:00:00,0.049,581
2020-04-24 01:00:00,0.049,663
2020-04-25 01:00:00,0.052,527
2020-04-26 01:00:00,0.052,532
2020-04-27 01:00:00,0.053,543
2020-04-28 01:00:00,0.051,528
2020-04-29 01:00:00,0.054,457
2020-04-30 01:00:00,0.057,498
2020-05-01 01:00:00,0.06,638
2020-05-02 01:00:00,0.064,538
2020-05-03 01:00:00,0.067,682
2020-05-04 01:00:00,0.07,555
2020-05-05 01:00:00,0.079,714
2020-05-06 01:00:00,0.083,598
2020-05-07 01:00:00,0.083,357
2020-05-08 01:00:00,0.084,400
2020-05-09 01:00:00,0.08,299
2020-05-10 01:00:00,0.083,383
2020-05-11 01:00:00,0.082,303
2020-05-12 01:00:00,0.085,454
2020-05-13 01:00:00,0.083,404
2020-05-14 01:00:00,0.083,337
2020-05-15 01:00:00,0.085,357
2020-05-16 01:00:00,0.088,343
2020-05-17 01:00:00,0.091,482
2020-05-18 01:00:00,0.098,575
2020-05-19 01:00:00,0.103,334
2020-05-20 01:00:00,0.099,348
2020-05-21 01:00:00,0.098,247
2020-05-22 01:00:00,0.105,289
2020-05-23 01:00:00,0.111,389
2020-05-24 01:00:00,0.106,234
2020-05-25 01:00:00,0.101,320
2020-05-26 01:00:00,0.097,318
2020-05-27 01:00:00,0.094,301
2020-05-28 01:00:00,0.093,449
2020-05-29 01:00:00,0.091,233
2020-05-30 01:00:00,0.093,377
2020-05-31 01:00:00,0.088,275
2020-06-01 01:00:00,0.09,684
2020-06-02 01:00:00,0.088,1098
2020-06-03 01:00:00,0.088,500
2020-06-04 01:00:00,0.086,268
2020-06-05 01:00:00,0.087,251
2020-06-06 01:00:00,0.09,245
2020-06-07 01:00:00,0.09,257
2020-06-08 01:00:00,0.09,198
2020-06-09 01:00:00,0.09,243
2020-06-10 01:00:00,0.09,367
2020-06-11 01:00:00,0.091,227
2020-06-12 01:00:00,0.091,194
2020-06-13 01:00:00,0.091,205
2020-06-14 01:00:00,0.09,228
2020-06-15 01:00:00,0.092,347
2020-06-16 01:00:00,0.089,205
2020-06-17 01:00:00,0.084,186
2020-06-18 01:00:00,0.082,214
2020-06-19 01:00:00,0.083,271
2020-06-20 01:00:00,0.084,226
2020-06-21 01:00:00,0.087,181
2020-06-22 01:00:00,0.08,136
2020-06-23 01:00:00,0.084,206
2020-06-24 01:00:00,0.079,177
2020-06-25 01:00:00,0.08,279
2020-06-26 01:00:00,0.075,328
2020-06-27 01:00:00,0.073,253
2020-06-28 01:00:00,0.074,329
2020-06-29 01:00:00,0.073,268
2020-06-30 01:00:00,0.072,308
2020-07-01 01:00:00,0.073,250
2020-07-02 01:00:00,0.073,366
2020-07-03 01:00:00,0.073,408
2020-07-04 01:00:00,0.074,284
2020-07-05 01:00:00,0.078,257
2020-07-06 01:00:00,0.08,175
2020-07-07 01:00:00,1.259,224
2020-07-08 01:00:00,0.079,269
2020-07-09 01:00:00,0.083,426
2020-07-10 01:00:00,0.085,156
2020-07-11 01:00:00,0.089,205
2020-07-12 01:00:00,0.092,272
2020-07-13 01:00:00,0.157,222
2020-07-14 01:00:00,0.161,207
2020-07-15 01:00:00,0.098,219
2020-07-16 01:00:00,0.095,310
2020-07-17 01:00:00,0.096,276
2020-07-18 01:00:00,0.099,270
2020-07-19 01:00:00,0.102,152
2020-07-20 01:00:00,0.098,162
2020-07-21 01:00:00,0.092,287
2020-07-22 01:00:00,0.095,308
2020-07-23 01:00:00,0.1,514
2020-07-24 01:00:00,0.164,117
2020-07-25 01:00:00,0.096,139
2020-07-26 01:00:00,0.101,270
2020-07-27 01:00:00,0.101,141
2020-07-28 01:00:00,0.105,262
2020-07-29 01:00:00,0.116,331
2020-07-30 01:00:00,0.118,293
2020-07-31 01:00:00,0.123,258
