date,price,volume
2021-05-03 01:00:00,2.978,14
2021-05-04 01:00:00,3.295,1398
2021-05-05 01:00:00,3.08,1042
2021-05-06 01:00:00,2.225,840
2021-05-07 01:00:00,1.722,821
2021-05-08 01:00:00,1.483,843
2021-05-09 01:00:00,1.417,724
2021-05-10 01:00:00,1.364,776
2021-05-11 01:00:00,1.548,766
2021-05-12 01:00:00,2.055,737
2021-05-13 01:00:00,1.57,703
2021-05-14 01:00:00,1.371,745
2021-05-15 01:00:00,1.446,723
2021-05-16 01:00:00,1.447,729
2021-05-17 01:00:00,1.461,719
2021-05-18 01:00:00,1.486,697
2021-05-19 01:00:00,1.375,731
2021-05-20 01:00:00,1.247,784
2021-05-21 01:00:00,1.163,800
2021-05-22 01:00:00,1.14,809
2021-05-23 01:00:00,1.127,718
2021-05-24 01:00:00,1.06,871
2021-05-25 01:00:00,0.929,849
2021-05-26 01:00:00,0.855,868
2021-05-27 01:00:00,0.903,772
2021-05-28 01:00:00,1.025,638
2021-05-29 01:00:00,0.975,678
2021-05-30 01:00:00,0.923,702
2021-05-31 01:00:00,0.856,704
2021-06-01 01:00:00,0.813,683
2021-06-02 01:00:00,0.784,637
2021-06-03 01:00:00,0.761,757
2021-06-04 01:00:00,0.71,753
2021-06-05 01:00:00,0.659,826
2021-06-06 01:00:00,0.639,701
2021-06-07 01:00:00,0.67,682
2021-06-08 01:00:00,0.709,621
2021-06-09 01:00:00,0.716,630
2021-06-10 01:00:00,0.785,568
2021-06-11 01:00:00,0.837,602
2021-06-12 01:00:00,0.764,651
2021-06-13 01:00:00,0.77,660
2021-06-14 01:00:00,0.763,643
2021-06-15 01:00:00,0.734,628
2021-06-16 01:00:00,0.706,569
2021-06-17 01:00:00,0.669,558
2021-06-18 01:00:00,0.665,632
2021-06-19 01:00:00,0.641,594
2021-06-20 01:00:00,0.641,475
2021-06-21 01:00:00,0.614,571
2021-06-22 01:00:00,0.571,673
2021-06-23 01:00:00,0.511,676
2021-06-24 01:00:00,0.488,668
2021-06-25 01:00:00,0.473,620
2021-06-26 01:00:00,0.462,531
2021-06-27 01:00:00,0.467,520
2021-06-28 01:00:00,0.476,567
2021-06-29 01:00:00,0.469,636
2021-06-30 01:00:00,0.474,510
2021-07-01 01:00:00,0.455,393
2021-07-02 01:00:00,0.464,555
2021-07-03 01:00:00,0.447,449
2021-07-04 01:00:00,0.452,558
