date,price,volume
2023-02-10 01:00:00,23.567,673
2023-02-11 01:00:00,16.116,576
2023-02-12 01:00:00,13.396,624
2023-02-13 01:00:00,13.545,485
2023-02-14 01:00:00,12.779,420
2023-02-15 01:00:00,12.001,411
2023-02-16 01:00:00,10.937,488
2023-02-17 01:00:00,12.957,503
2023-02-18 01:00:00,13.346,501
2023-02-19 01:00:00,10.074,476
2023-02-20 01:00:00,9.676,412
2023-02-21 01:00:00,9.275,382
2023-02-22 01:00:00,9.534,410
2023-02-23 01:00:00,10.011,404
2023-02-24 01:00:00,10.096,413
2023-02-25 01:00:00,9.789,401
2023-02-26 01:00:00,9.244,468
2023-02-27 01:00:00,9.06,402
2023-02-28 01:00:00,9.17,431
2023-03-01 01:00:00,9.573,398
2023-03-02 01:00:00,9.785,371
2023-03-03 01:00:00,9.915,418
2023-03-04 01:00:00,9.918,475
2023-03-05 01:00:00,9.648,468
2023-03-06 01:00:00,8.945,418
2023-03-07 01:00:00,8.02,431
2023-03-08 01:00:00,8.079,426
2023-03-09 01:00:00,8.252,432
2023-03-10 01:00:00,8.307,428
2023-03-11 01:00:00,8.221,461
2023-03-12 01:00:00,8.125,553
2023-03-13 01:00:00,7.634,424
2023-03-14 01:00:00,7.23,468
2023-03-15 01:00:00,7.136,508
2023-03-16 01:00:00,7.11,484
2023-03-17 01:00:00,7.114,489
2023-03-18 01:00:00,7.119,521
2023-03-19 01:00:00,7.196,469
2023-03-20 01:00:00,7.186,410
2023-03-21 01:00:00,7.011,440
2023-03-22 01:00:00,7.119,542
2023-03-23 01:00:00,7.391,608
2023-03-24 01:00:00,7.564,579
2023-03-25 01:00:00,7.628,570
2023-03-26 01:00:00,7.528,678
2023-03-27 01:00:00,7.284,603
2023-03-28 01:00:00,7.343,572
2023-03-29 01:00:00,7.317,514
2023-03-30 01:00:00,7.219,436
2023-03-31 01:00:00,7.409,446
2023-04-01 01:00:00,7.387,565
2023-04-02 01:00:00,7.365,615
2023-04-03 01:00:00,7.158,594
2023-04-04 01:00:00,7.265,492
2023-04-05 01:00:00,7.137,545
2023-04-06 01:00:00,7.196,547
2023-04-07 01:00:00,7.32,496
2023-04-08 01:00:00,7.442,523
2023-04-09 01:00:00,7.42,650
2023-04-10 01:00:00,7.318,597
2023-04-11 01:00:00,7.505,565
2023-04-12 01:00:00,7.543,525
2023-04-13 01:00:00,7.598,544
2023-04-14 01:00:00,7.911,515
2023-04-15 01:00:00,8.337,454
2023-04-16 01:00:00,8.529,498
2023-04-17 01:00:00,8.145,553
2023-04-18 01:00:00,7.935,481
2023-04-19 01:00:00,8.025,509
2023-04-20 01:00:00,7.666,690
2023-04-21 01:00:00,7.514,672
2023-04-22 01:00:00,7.413,681
2023-04-23 01:00:00,7.127,697
2023-04-24 01:00:00,7.014,655
2023-04-25 01:00:00,6.532,989
2023-04-26 01:00:00,5.875,575
2023-04-27 01:00:00,5.909,621
2023-04-28 01:00:00,5.847,620
2023-04-29 01:00:00,5.954,640
2023-04-30 01:00:00,5.87,640
2023-05-01 01:00:00,5.742,624
2023-05-02 01:00:00,5.577,601
2023-05-03 01:00:00,5.526,629
2023-05-04 01:00:00,5.508,578
2023-05-05 01:00:00,5.122,896
2023-05-06 01:00:00,4.727,773
2023-05-07 01:00:00,4.668,691
2023-05-08 01:00:00,4.542,643
2023-05-09 01:00:00,4.334,569
2023-05-10 01:00:00,4.317,607
2023-05-11 01:00:00,4.393,564
2023-05-12 01:00:00,4.199,589
2023-05-13 01:00:00,4.222,637
2023-05-14 01:00:00,4.113,644
2023-05-15 01:00:00,4.069,573
2023-05-16 01:00:00,4.114,617
2023-05-17 01:00:00,4.178,576
2023-05-18 01:00:00,4.13,614
2023-05-19 01:00:00,4.205,633
2023-05-20 01:00:00,4.133,659
2023-05-21 01:00:00,4.137,667
2023-05-22 01:00:00,4.091,655
2023-05-23 01:00:00,4.121,554
2023-05-24 01:00:00,4.019,723
2023-05-25 01:00:00,3.947,707
2023-05-26 01:00:00,3.807,641
2023-05-27 01:00:00,3.807,700
2023-05-28 01:00:00,3.778,649
2023-05-29 01:00:00,3.706,727
2023-05-30 01:00:00,3.656,740
2023-05-31 01:00:00,3.653,714
2023-06-01 01:00:00,3.66,716
2023-06-02 01:00:00,3.632,682
2023-06-03 01:00:00,3.687,637
2023-06-04 01:00:00,3.577,715
2023-06-05 01:00:00,3.506,713
2023-06-06 01:00:00,3.544,734
2023-06-07 01:00:00,3.658,641
2023-06-08 01:00:00,3.607,672
2023-06-09 01:00:00,3.58,664
2023-06-10 01:00:00,3.53,648
2023-06-11 01:00:00,3.628,623
2023-06-12 01:00:00,3.592,583
2023-06-13 01:00:00,3.696,542
2023-06-14 01:00:00,3.58,690
2023-06-15 01:00:00,3.5,622
2023-06-16 01:00:00,3.482,698
2023-06-17 01:00:00,3.461,607
2023-06-18 01:00:00,3.489,635
2023-06-19 01:00:00,3.435,538
2023-06-20 01:00:00,3.352,551
2023-06-21 01:00:00,3.397,560
2023-06-22 01:00:00,3.356,600
2023-06-23 01:00:00,3.236,812
2023-06-24 01:00:00,3.211,627
2023-06-25 01:00:00,3.104,635
2023-06-26 01:00:00,3.123,559
2023-06-27 01:00:00,3.024,581
2023-06-28 01:00:00,3.043,1043
2023-06-29 01:00:00,2.868,784
2023-06-30 01:00:00,2.661,744
2023-07-01 01:00:00,2.622,642
2023-07-02 01:00:00,2.527,619
2023-07-03 01:00:00,2.451,548
2023-07-04 01:00:00,2.6,434
2023-07-05 01:00:00,2.511,537
2023-07-06 01:00:00,2.471,497
2023-07-07 01:00:00,2.41,437
2023-07-08 01:00:00,2.47,368
2023-07-09 01:00:00,2.7,451
2023-07-10 01:00:00,2.584,423
2023-07-11 01:00:00,2.642,773
2023-07-12 01:00:00,2.477,1128
2023-07-13 01:00:00,2.449,821
2023-07-14 01:00:00,2.503,576
2023-07-15 01:00:00,2.579,610
2023-07-16 01:00:00,2.59,629
2023-07-17 01:00:00,2.587,546
2023-07-18 01:00:00,2.647,532
2023-07-19 01:00:00,2.551,667
2023-07-20 01:00:00,2.544,608
2023-07-21 01:00:00,2.584,574
2023-07-22 01:00:00,2.535,661
2023-07-23 01:00:00,2.5,630
2023-07-24 01:00:00,2.496,532
2023-07-25 01:00:00,2.463,595
2023-07-26 01:00:00,2.443,668
2023-07-27 01:00:00,2.424,659
2023-07-28 01:00:00,2.408,636
2023-07-29 01:00:00,2.414,642
2023-07-30 01:00:00,2.408,680
2023-07-31 01:00:00,2.412,694
2023-08-01 01:00:00,2.406,664
2023-08-02 01:00:00,2.404,752
2023-08-03 01:00:00,2.415,648
2023-08-04 01:00:00,2.386,662
2023-08-05 01:00:00,2.396,664
2023-08-06 01:00:00,2.434,668
2023-08-07 01:00:00,2.43,641
2023-08-08 01:00:00,2.316,716
2023-08-09 01:00:00,2.271,788
2023-08-10 01:00:00,2.288,635
2023-08-11 01:00:00,2.295,620
2023-08-12 01:00:00,2.262,618
2023-08-13 01:00:00,2.273,694
2023-08-14 01:00:00,2.169,616
2023-08-15 01:00:00,2.262,584
2023-08-16 01:00:00,2.261,664
2023-08-17 01:00:00,2.241,641
2023-08-18 01:00:00,2.224,666
2023-08-19 01:00:00,2.143,734
2023-08-20 01:00:00,2.179,691
2023-08-21 01:00:00,2.199,675
2023-08-22 01:00:00,2.211,601
2023-08-23 01:00:00,2.245,669
2023-08-24 01:00:00,2.266,641
2023-08-25 01:00:00,2.245,640
2023-08-26 01:00:00,2.245,679
2023-08-27 01:00:00,2.235,664
2023-08-28 01:00:00,2.232,637
2023-08-29 01:00:00,2.267,618
2023-08-30 01:00:00,2.232,729
2023-08-31 01:00:00,2.251,687
2023-09-01 01:00:00,2.385,774
2023-09-02 01:00:00,2.576,812
2023-09-03 01:00:00,2.622,809
2023-09-04 01:00:00,2.602,776
2023-09-05 01:00:00,2.612,655
2023-09-06 01:00:00,2.539,709
2023-09-07 01:00:00,2.534,763
2023-09-08 01:00:00,2.514,751
2023-09-09 01:00:00,2.561,805
2023-09-10 01:00:00,2.604,823
2023-09-11 01:00:00,2.524,719
2023-09-12 01:00:00,2.548,632
2023-09-13 01:00:00,2.55,770
2023-09-14 01:00:00,2.575,711
2023-09-15 01:00:00,2.59,760
2023-09-16 01:00:00,2.578,756
2023-09-17 01:00:00,2.594,748
2023-09-18 01:00:00,2.494,670
2023-09-19 01:00:00,2.565,598
2023-09-20 01:00:00,2.522,597
2023-09-21 01:00:00,2.542,558
2023-09-22 01:00:00,2.534,617
2023-09-23 01:00:00,2.564,638
2023-09-24 01:00:00,2.541,586
2023-09-25 01:00:00,2.526,586
2023-09-26 01:00:00,2.49,616
2023-09-27 01:00:00,2.461,849
2023-09-28 01:00:00,2.559,1177
2023-09-29 01:00:00,2.554,1035
2023-09-30 01:00:00,2.748,1017
2023-10-01 01:00:00,2.874,995
2023-10-02 01:00:00,2.821,795
2023-10-03 01:00:00,2.717,798
2023-10-04 01:00:00,2.79,790
2023-10-05 01:00:00,2.796,822
2023-10-06 01:00:00,2.734,836
2023-10-07 01:00:00,2.757,850
2023-10-08 01:00:00,2.779,889
2023-10-09 01:00:00,2.755,764
2023-10-10 01:00:00,2.685,731
2023-10-11 01:00:00,2.676,872
2023-10-12 01:00:00,2.675,856
2023-10-13 01:00:00,2.701,933
2023-10-14 01:00:00,2.705,849
2023-10-15 01:00:00,2.711,836
2023-10-16 01:00:00,2.623,750
2023-10-17 01:00:00,2.581,705
2023-10-18 01:00:00,2.57,749
2023-10-19 01:00:00,2.677,754
2023-10-20 01:00:00,2.637,784
2023-10-21 01:00:00,2.593,837
2023-10-22 01:00:00,2.459,818
2023-10-23 01:00:00,2.554,628
2023-10-24 01:00:00,2.526,552
2023-10-25 01:00:00,2.454,781
2023-10-26 01:00:00,2.374,705
2023-10-27 01:00:00,2.339,751
2023-10-28 01:00:00,2.305,753
2023-10-29 01:00:00,2.23,669
2023-10-30 01:00:00,2.168,568
2023-10-31 01:00:00,2.154,567
2023-11-01 01:00:00,2.132,675
2023-11-02 01:00:00,2.131,726
2023-11-03 01:00:00,2.16,666
2023-11-04 01:00:00,2.19,615
2023-11-05 01:00:00,2.222,649
2023-11-06 01:00:00,2.206,545
2023-11-07 01:00:00,2.163,492
2023-11-08 01:00:00,2.078,634
2023-11-09 01:00:00,2.178,537
2023-11-10 01:00:00,2.152,575
2023-11-11 01:00:00,2.165,577
2023-11-12 01:00:00,2.133,543
2023-11-13 01:00:00,2.077,462
2023-11-14 01:00:00,2.044,438
2023-11-15 01:00:00,1.978,539
2023-11-16 01:00:00,1.907,480
2023-11-17 01:00:00,1.969,501
2023-11-18 01:00:00,1.925,525
2023-11-19 01:00:00,1.935,551
2023-11-20 01:00:00,1.88,424
2023-11-21 01:00:00,1.851,518
2023-11-22 01:00:00,1.752,698
2023-11-23 01:00:00,1.714,747
2023-11-24 01:00:00,1.721,620
2023-11-25 01:00:00,1.706,716
2023-11-26 01:00:00,1.719,620
2023-11-27 01:00:00,1.703,672
2023-11-28 01:00:00,1.706,637
2023-11-29 01:00:00,1.712,713
2023-11-30 01:00:00,1.752,668
2023-12-01 01:00:00,1.782,602
2023-12-02 01:00:00,1.887,606
2023-12-03 01:00:00,1.888,643
2023-12-04 01:00:00,1.855,454
2023-12-05 01:00:00,1.938,412
2023-12-06 01:00:00,1.935,513
2023-12-07 01:00:00,1.931,427
2023-12-08 01:00:00,1.852,581
