date,price,volume
2023-02-10 01:00:00,15.312,84
2023-02-11 01:00:00,10.692,71
2023-02-12 01:00:00,9.746,70
2023-02-13 01:00:00,9.435,63
2023-02-14 01:00:00,8.582,63
2023-02-15 01:00:00,8.22,52
2023-02-16 01:00:00,8.091,69
2023-02-17 01:00:00,8.466,75
2023-02-18 01:00:00,8.584,58
2023-02-19 01:00:00,7.553,63
2023-02-20 01:00:00,7.012,58
2023-02-21 01:00:00,6.746,62
2023-02-22 01:00:00,6.895,70
2023-02-23 01:00:00,7.128,61
2023-02-24 01:00:00,6.877,70
2023-02-25 01:00:00,6.547,68
2023-02-26 01:00:00,6.447,66
2023-02-27 01:00:00,6.557,74
2023-02-28 01:00:00,6.642,81
2023-03-01 01:00:00,6.673,70
2023-03-02 01:00:00,6.685,70
2023-03-03 01:00:00,6.382,90
2023-03-04 01:00:00,6.526,82
2023-03-05 01:00:00,6.479,73
2023-03-06 01:00:00,6.289,71
2023-03-07 01:00:00,6.353,76
2023-03-08 01:00:00,6.081,87
2023-03-09 01:00:00,6.161,84
2023-03-10 01:00:00,5.833,90
2023-03-11 01:00:00,5.633,116
2023-03-12 01:00:00,5.618,108
2023-03-13 01:00:00,5.674,97
2023-03-14 01:00:00,5.683,84
2023-03-15 01:00:00,5.553,87
2023-03-16 01:00:00,5.55,90
2023-03-17 01:00:00,5.231,94
2023-03-18 01:00:00,5.063,132
2023-03-19 01:00:00,4.877,117
2023-03-20 01:00:00,4.791,106
2023-03-21 01:00:00,4.928,96
2023-03-22 01:00:00,4.868,126
2023-03-23 01:00:00,4.988,126
2023-03-24 01:00:00,5.361,115
2023-03-25 01:00:00,5.622,135
2023-03-26 01:00:00,5.524,139
2023-03-27 01:00:00,5.439,145
2023-03-28 01:00:00,5.322,136
2023-03-29 01:00:00,5.433,128
2023-03-30 01:00:00,5.287,107
2023-03-31 01:00:00,5.408,94
2023-04-01 01:00:00,5.305,145
2023-04-02 01:00:00,5.395,151
2023-04-03 01:00:00,5.359,162
2023-04-04 01:00:00,5.327,132
2023-04-05 01:00:00,5.537,108
2023-04-06 01:00:00,5.623,134
2023-04-07 01:00:00,5.577,131
2023-04-08 01:00:00,5.596,114
2023-04-09 01:00:00,5.725,141
2023-04-10 01:00:00,5.719,136
2023-04-11 01:00:00,5.522,125
2023-04-12 01:00:00,5.513,142
2023-04-13 01:00:00,5.609,152
2023-04-14 01:00:00,5.667,128
2023-04-15 01:00:00,5.641,105
2023-04-16 01:00:00,5.617,117
2023-04-17 01:00:00,5.631,163
2023-04-18 01:00:00,5.636,90
2023-04-19 01:00:00,5.705,112
2023-04-20 01:00:00,5.596,164
2023-04-21 01:00:00,5.581,146
2023-04-22 01:00:00,5.425,141
2023-04-23 01:00:00,5.518,130
2023-04-24 01:00:00,5.35,133
2023-04-25 01:00:00,4.856,230
2023-04-26 01:00:00,4.596,135
2023-04-27 01:00:00,4.451,136
2023-04-28 01:00:00,4.097,173
2023-04-29 01:00:00,4.024,154
2023-04-30 01:00:00,4.105,159
2023-05-01 01:00:00,4.119,139
2023-05-02 01:00:00,3.927,148
2023-05-03 01:00:00,3.989,132
2023-05-04 01:00:00,3.991,128
2023-05-05 01:00:00,3.544,212
2023-05-06 01:00:00,3.589,137
2023-05-07 01:00:00,3.404,162
2023-05-08 01:00:00,3.474,160
2023-05-09 01:00:00,3.421,223
2023-05-10 01:00:00,3.409,126
2023-05-11 01:00:00,3.587,173
2023-05-12 01:00:00,3.629,162
2023-05-13 01:00:00,3.659,210
2023-05-14 01:00:00,3.823,145
2023-05-15 01:00:00,3.717,146
2023-05-16 01:00:00,3.589,156
2023-05-17 01:00:00,3.567,142
2023-05-18 01:00:00,3.382,146
2023-05-19 01:00:00,3.442,158
2023-05-20 01:00:00,3.345,139
2023-05-21 01:00:00,3.119,147
2023-05-22 01:00:00,3.108,182
2023-05-23 01:00:00,2.974,157
2023-05-24 01:00:00,2.957,149
2023-05-25 01:00:00,3.035,149
2023-05-26 01:00:00,2.951,168
2023-05-27 01:00:00,2.889,193
2023-05-28 01:00:00,2.818,189
2023-05-29 01:00:00,2.843,172
2023-05-30 01:00:00,2.751,178
2023-05-31 01:00:00,2.652,194
2023-06-01 01:00:00,2.669,194
2023-06-02 01:00:00,2.617,196
2023-06-03 01:00:00,2.642,281
2023-06-04 01:00:00,2.75,232
2023-06-05 01:00:00,2.796,200
