date,price,volume
2017-09-15 01:00:00,22.616,155
2017-09-16 01:00:00,14.524,201
2017-09-17 01:00:00,11.511,201
2017-09-18 01:00:00,11.803,139
2017-09-19 01:00:00,11.209,156
2017-09-20 01:00:00,10.7,135
2017-09-21 01:00:00,10.271,137
2017-09-22 01:00:00,9.346,199
2017-09-23 01:00:00,9.543,211
2017-09-24 01:00:00,9.266,152
2017-09-25 01:00:00,8.939,183
2017-09-26 01:00:00,8.409,157
2017-09-27 01:00:00,8.047,139
2017-09-28 01:00:00,7.701,178
2017-09-29 01:00:00,7.679,209
2017-09-30 01:00:00,8.163,219
2017-10-01 01:00:00,8.151,209
2017-10-02 01:00:00,7.783,178
2017-10-03 01:00:00,7.522,164
2017-10-04 01:00:00,7.728,158
2017-10-05 01:00:00,7.288,169
2017-10-06 01:00:00,7.167,187
2017-10-07 01:00:00,7.196,235
2017-10-08 01:00:00,7.098,218
2017-10-09 01:00:00,6.883,181
2017-10-10 01:00:00,7.068,166
2017-10-11 01:00:00,6.74,193
2017-10-12 01:00:00,6.84,185
2017-10-13 01:00:00,7.022,184
2017-10-14 01:00:00,6.991,241
2017-10-15 01:00:00,6.927,220
2017-10-16 01:00:00,6.807,181
2017-10-17 01:00:00,6.312,176
2017-10-18 01:00:00,6.413,181
2017-10-19 01:00:00,6.159,214
2017-10-20 01:00:00,6.162,208
2017-10-21 01:00:00,6.264,234
2017-10-22 01:00:00,6.44,205
2017-10-23 01:00:00,6.224,191
2017-10-24 01:00:00,6.089,195
2017-10-25 01:00:00,6.215,159
2017-10-26 01:00:00,5.706,211
2017-10-27 01:00:00,5.664,200
2017-10-28 01:00:00,5.909,264
2017-10-29 01:00:00,5.816,221
2017-10-30 01:00:00,5.533,208
2017-10-31 01:00:00,5.7,181
2017-11-01 01:00:00,5.597,194
2017-11-02 01:00:00,5.73,175
2017-11-03 01:00:00,5.612,181
2017-11-04 01:00:00,5.57,209
2017-11-05 01:00:00,5.375,257
2017-11-06 01:00:00,5.574,159
2017-11-07 01:00:00,5.66,138
2017-11-08 01:00:00,5.486,151
2017-11-09 01:00:00,5.29,146
