date,price,volume
2022-01-21 01:00:00,17.789,1179
2022-01-22 01:00:00,11.722,993
2022-01-23 01:00:00,9.871,918
2022-01-24 01:00:00,8.929,844
2022-01-25 01:00:00,8.576,768
2022-01-26 01:00:00,7.92,758
2022-01-27 01:00:00,7.368,778
2022-01-28 01:00:00,6.903,867
2022-01-29 01:00:00,6.345,969
2022-01-30 01:00:00,5.963,932
2022-01-31 01:00:00,5.807,984
2022-02-01 01:00:00,6.153,880
2022-02-02 01:00:00,6.506,829
2022-02-03 01:00:00,6.765,849
2022-02-04 01:00:00,6.99,852
2022-02-05 01:00:00,6.794,877
2022-02-06 01:00:00,6.713,952
2022-02-07 01:00:00,6.519,893
2022-02-08 01:00:00,6.555,919
2022-02-09 01:00:00,6.502,834
2022-02-10 01:00:00,6.404,850
2022-02-11 01:00:00,6.412,940
2022-02-12 01:00:00,6.339,952
2022-02-13 01:00:00,5.969,950
2022-02-14 01:00:00,5.863,856
2022-02-15 01:00:00,5.625,917
2022-02-16 01:00:00,5.679,1015
2022-02-17 01:00:00,5.733,928
2022-02-18 01:00:00,5.712,1041
2022-02-19 01:00:00,5.61,1093
2022-02-20 01:00:00,5.688,1042
2022-02-21 01:00:00,5.553,1078
2022-02-22 01:00:00,5.637,1031
2022-02-23 01:00:00,5.716,1052
2022-02-24 01:00:00,5.561,958
2022-02-25 01:00:00,5.403,1010
2022-02-26 01:00:00,5.398,1181
2022-02-27 01:00:00,5.337,1140
2022-02-28 01:00:00,5.375,1162
2022-03-01 01:00:00,5.356,1082
2022-03-02 01:00:00,5.244,1074
2022-03-03 01:00:00,5.243,1026
2022-03-04 01:00:00,5.23,1042
2022-03-05 01:00:00,5.302,1160
2022-03-06 01:00:00,5.348,1183
2022-03-07 01:00:00,5.154,1069
2022-03-08 01:00:00,4.824,1328
2022-03-09 01:00:00,4.669,1035
2022-03-10 01:00:00,4.447,1109
2022-03-11 01:00:00,4.459,1298
2022-03-12 01:00:00,4.469,1472
2022-03-13 01:00:00,4.567,1206
2022-03-14 01:00:00,4.498,971
2022-03-15 01:00:00,4.396,1049
2022-03-16 01:00:00,4.297,1159
2022-03-17 01:00:00,4.359,1185
2022-03-18 01:00:00,4.376,1108
2022-03-19 01:00:00,4.317,1236
2022-03-20 01:00:00,4.233,1282
2022-03-21 01:00:00,4.32,1121
2022-03-22 01:00:00,4.204,1099
2022-03-23 01:00:00,4.166,1190
2022-03-24 01:00:00,4.213,1063
2022-03-25 01:00:00,4.114,1258
2022-03-26 01:00:00,4.112,1395
2022-03-27 01:00:00,4.039,1301
2022-03-28 01:00:00,4.025,1108
2022-03-29 01:00:00,4.027,1147
2022-03-30 01:00:00,4.041,1122
2022-03-31 01:00:00,3.978,1250
2022-04-01 01:00:00,3.94,1407
2022-04-02 01:00:00,3.932,1461
2022-04-03 01:00:00,3.95,1403
2022-04-04 01:00:00,3.968,1177
2022-04-05 01:00:00,3.956,1172
2022-04-06 01:00:00,3.963,1130
2022-04-07 01:00:00,3.938,1202
2022-04-08 01:00:00,3.971,1218
2022-04-09 01:00:00,4.042,1333
2022-04-10 01:00:00,4.016,1388
2022-04-11 01:00:00,4.013,1212
2022-04-12 01:00:00,3.996,1103
2022-04-13 01:00:00,3.894,1196
2022-04-14 01:00:00,3.777,1279
2022-04-15 01:00:00,3.897,1290
2022-04-16 01:00:00,3.769,1287
