date,price,volume
2024-02-07 01:00:00,4.298,493
2024-02-08 01:00:00,4.091,307
2024-02-09 01:00:00,4.745,276
2024-02-10 01:00:00,4.831,192
2024-02-11 01:00:00,4.88,191
2024-02-12 01:00:00,6.793,153
2024-02-13 01:00:00,6.733,151
2024-02-14 01:00:00,4.463,266
2024-02-15 01:00:00,2.783,259
2024-02-16 01:00:00,2.789,169
2024-02-17 01:00:00,2.951,186
2024-02-18 01:00:00,2.837,165
2024-02-19 01:00:00,2.854,196
2024-02-20 01:00:00,2.983,138
2024-02-21 01:00:00,2.782,214
2024-02-22 01:00:00,2.568,220
2024-02-23 01:00:00,2.295,203
2024-02-24 01:00:00,2.116,216
2024-02-25 01:00:00,2.279,186
2024-02-26 01:00:00,2.364,150
2024-02-27 01:00:00,2.426,168
2024-02-28 01:00:00,2.229,233
2024-02-29 01:00:00,2.196,219
2024-03-01 01:00:00,2.19,189
2024-03-02 01:00:00,2.468,253
2024-03-03 01:00:00,2.315,186
2024-03-04 01:00:00,2.736,136
2024-03-05 01:00:00,2.835,206
2024-03-06 01:00:00,2.468,260
2024-03-07 01:00:00,2.379,254
2024-03-08 01:00:00,2.318,224
2024-03-09 01:00:00,2.341,226
2024-03-10 01:00:00,2.195,229
2024-03-11 01:00:00,2.186,182
2024-03-12 01:00:00,2.16,183
2024-03-13 01:00:00,2.158,220
2024-03-14 01:00:00,2.045,262
2024-03-15 01:00:00,1.847,241
2024-03-16 01:00:00,1.832,241
2024-03-17 01:00:00,1.851,229
2024-03-18 01:00:00,1.918,178
2024-03-19 01:00:00,1.939,175
2024-03-20 01:00:00,1.952,269
2024-03-21 01:00:00,1.884,227
2024-03-22 01:00:00,1.825,188
2024-03-23 01:00:00,1.863,221
2024-03-24 01:00:00,1.922,171
2024-03-25 01:00:00,1.927,185
2024-03-26 01:00:00,1.88,175
2024-03-27 01:00:00,1.865,203
2024-03-28 01:00:00,1.834,182
2024-03-29 01:00:00,1.794,242
2024-03-30 01:00:00,1.647,214
2024-03-31 01:00:00,1.624,223
2024-04-01 01:00:00,1.473,192
2024-04-02 01:00:00,1.448,204
2024-04-03 01:00:00,1.434,249
2024-04-04 01:00:00,1.428,237
2024-04-05 01:00:00,1.503,214
2024-04-06 01:00:00,1.542,248
2024-04-07 01:00:00,1.553,214
2024-04-08 01:00:00,1.596,272
2024-04-09 01:00:00,1.556,204
2024-04-10 01:00:00,1.59,300
2024-04-11 01:00:00,1.573,213
2024-04-12 01:00:00,1.553,239
2024-04-13 01:00:00,1.563,250
2024-04-14 01:00:00,1.581,217
2024-04-15 01:00:00,1.574,202
2024-04-16 01:00:00,1.511,160
2024-04-17 01:00:00,1.479,228
2024-04-18 01:00:00,1.42,224
2024-04-19 01:00:00,1.398,195
2024-04-20 01:00:00,1.334,198
2024-04-21 01:00:00,1.252,160
2024-04-22 01:00:00,1.158,181
2024-04-23 01:00:00,1.133,216
2024-04-24 01:00:00,1.119,244
2024-04-25 01:00:00,1.099,254
2024-04-26 01:00:00,1.097,310
2024-04-27 01:00:00,1.134,259
2024-04-28 01:00:00,1.11,289
2024-04-29 01:00:00,1.221,263
2024-04-30 01:00:00,1.245,272
2024-05-01 01:00:00,1.268,225
2024-05-02 01:00:00,1.252,240
2024-05-03 01:00:00,1.235,205
2024-05-04 01:00:00,1.165,211
2024-05-05 01:00:00,1.187,257
2024-05-06 01:00:00,1.208,169
2024-05-07 01:00:00,1.234,171
2024-05-08 01:00:00,1.215,215
2024-05-09 01:00:00,1.222,249
2024-05-10 01:00:00,1.211,226
2024-05-11 01:00:00,1.202,226
2024-05-12 01:00:00,1.205,193
2024-05-13 01:00:00,1.182,144
2024-05-14 01:00:00,1.195,145
2024-05-15 01:00:00,1.185,190
2024-05-16 01:00:00,1.184,184
2024-05-17 01:00:00,1.214,235
2024-05-18 01:00:00,1.21,195
2024-05-19 01:00:00,1.195,232
2024-05-20 01:00:00,1.159,187
2024-05-21 01:00:00,1.136,178
2024-05-22 01:00:00,1.083,280
2024-05-23 01:00:00,1.063,257
2024-05-24 01:00:00,1.013,312
2024-05-25 01:00:00,0.972,219
2024-05-26 01:00:00,0.97,201
2024-05-27 01:00:00,0.924,172
2024-05-28 01:00:00,0.932,187
2024-05-29 01:00:00,0.914,189
2024-05-30 01:00:00,0.915,239
2024-05-31 01:00:00,0.924,199
2024-06-01 01:00:00,0.942,190
2024-06-02 01:00:00,0.953,209
2024-06-03 01:00:00,0.995,169
2024-06-04 01:00:00,0.976,142
2024-06-05 01:00:00,0.95,197
