date,price,volume
2014-11-12 01:00:00,7.216,2394
2014-11-13 01:00:00,5.909,1602
2014-11-14 01:00:00,4.776,1322
2014-11-15 01:00:00,4.192,1341
2014-11-16 01:00:00,3.562,1270
2014-11-17 01:00:00,3.411,945
2014-11-18 01:00:00,3.047,905
2014-11-19 01:00:00,2.883,822
2014-11-20 01:00:00,2.558,896
2014-11-21 01:00:00,2.262,1053
2014-11-22 01:00:00,2.264,1187
2014-11-23 01:00:00,2.117,1079
2014-11-24 01:00:00,2.094,797
2014-11-25 01:00:00,2.131,819
2014-11-26 01:00:00,2.063,916
2014-11-27 01:00:00,1.798,1154
2014-11-28 01:00:00,1.924,1205
2014-11-29 01:00:00,4.545,152
2014-11-30 01:00:00,2.54,1828
2014-12-01 01:00:00,1.658,1150
2014-12-02 01:00:00,1.754,1045
2014-12-03 01:00:00,1.865,980
2014-12-04 01:00:00,1.855,940
2014-12-05 01:00:00,2.192,1645
2014-12-06 01:00:00,2.342,1435
2014-12-07 01:00:00,1.997,1325
2014-12-08 01:00:00,1.947,1047
2014-12-09 01:00:00,2.714,2624
2014-12-10 01:00:00,8.833,8263
2014-12-11 01:00:00,5.016,2738
2014-12-12 01:00:00,4.816,1523
2014-12-13 01:00:00,3.596,1617
2014-12-14 01:00:00,3.282,1618
2014-12-15 01:00:00,3.385,1281
2014-12-16 01:00:00,3.271,1227
2014-12-17 01:00:00,2.965,1121
2014-12-18 01:00:00,2.672,1443
2014-12-19 01:00:00,2.165,2054
2014-12-20 01:00:00,2.105,1640
2014-12-21 01:00:00,2.01,1504
2014-12-22 01:00:00,1.933,1562
2014-12-23 01:00:00,1.892,1344
2014-12-24 01:00:00,1.873,1365
2014-12-25 01:00:00,1.881,1769
2014-12-26 01:00:00,1.888,1693
2014-12-27 01:00:00,1.882,1802
2014-12-28 01:00:00,1.852,1729
2014-12-29 01:00:00,1.832,1741
2014-12-30 01:00:00,1.793,1753
2014-12-31 01:00:00,1.809,1614
2015-01-01 01:00:00,1.692,1536
2015-01-02 01:00:00,1.676,2225
2015-01-03 01:00:00,1.733,2044
2015-01-04 01:00:00,1.712,1881
2015-01-05 01:00:00,1.716,1957
2015-01-06 01:00:00,1.716,1790
2015-01-07 01:00:00,1.774,1536
2015-01-08 01:00:00,1.706,2082
2015-01-09 01:00:00,1.647,2791
2015-01-10 01:00:00,1.844,2847
2015-01-11 01:00:00,1.833,2745
2015-01-12 01:00:00,1.828,2304
2015-01-13 01:00:00,1.848,2232
2015-01-14 01:00:00,1.867,2359
2015-01-15 01:00:00,1.867,2363
2015-01-16 01:00:00,1.803,2564
2015-01-17 01:00:00,1.848,2623
2015-01-18 01:00:00,1.806,2742
2015-01-19 01:00:00,1.792,2273
2015-01-20 01:00:00,1.772,2094
2015-01-21 01:00:00,1.755,2068
2015-01-22 01:00:00,1.729,1997
2015-01-23 01:00:00,1.747,2452
2015-01-24 01:00:00,1.819,2498
2015-01-25 01:00:00,1.649,2656
2015-01-26 01:00:00,1.607,2125
2015-01-27 01:00:00,1.587,2138
2015-01-28 01:00:00,1.57,2081
2015-01-29 01:00:00,1.505,2061
2015-01-30 01:00:00,1.479,2615
2015-01-31 01:00:00,1.505,2768
2015-02-01 01:00:00,1.436,2760
2015-02-02 01:00:00,1.414,2210
2015-02-03 01:00:00,1.421,2147
2015-02-04 01:00:00,1.423,1980
2015-02-05 01:00:00,1.426,2036
2015-02-06 01:00:00,1.372,2405
2015-02-07 01:00:00,1.434,2709
2015-02-08 01:00:00,1.299,2652
2015-02-09 01:00:00,1.299,2081
2015-02-10 01:00:00,1.306,1851
2015-02-11 01:00:00,1.307,2049
2015-02-12 01:00:00,1.238,2150
2015-02-13 01:00:00,1.219,2467
2015-02-14 01:00:00,1.289,2778
2015-02-15 01:00:00,1.249,2714
2015-02-16 01:00:00,1.206,2480
2015-02-17 01:00:00,1.206,2275
2015-02-18 01:00:00,1.244,2194
2015-02-19 01:00:00,1.265,2136
2015-02-20 01:00:00,1.236,2477
2015-02-21 01:00:00,1.247,2307
2015-02-22 01:00:00,1.249,2374
2015-02-23 01:00:00,1.229,2012
2015-02-24 01:00:00,1.244,1896
2015-02-25 01:00:00,1.259,1920
2015-02-26 01:00:00,1.267,1876
2015-02-27 01:00:00,1.189,2570
2015-02-28 01:00:00,1.2,2748
2015-03-01 01:00:00,1.166,2501
2015-03-02 01:00:00,1.165,2022
2015-03-03 01:00:00,1.193,1972
2015-03-04 01:00:00,1.185,1906
2015-03-05 01:00:00,1.158,1975
2015-03-06 01:00:00,1.125,2339
2015-03-07 01:00:00,1.118,2746
2015-03-08 01:00:00,1.102,2410
2015-03-09 01:00:00,1.063,2011
2015-03-10 01:00:00,1.062,1884
2015-03-11 01:00:00,1.055,1730
2015-03-12 01:00:00,1.055,1857
2015-03-13 01:00:00,1.015,2437
2015-03-14 01:00:00,0.975,3076
2015-03-15 01:00:00,0.878,3147
2015-03-16 01:00:00,0.846,2443
2015-03-17 01:00:00,0.977,1955
2015-03-18 01:00:00,1.007,2024
2015-03-19 01:00:00,1.058,1939
2015-03-20 01:00:00,1.017,2454
2015-03-21 01:00:00,1.028,2772
2015-03-22 01:00:00,1.013,2591
2015-03-23 01:00:00,1.006,2266
2015-03-24 01:00:00,1.023,2072
2015-03-25 01:00:00,1.057,2142
2015-03-26 01:00:00,1.037,2179
2015-03-27 01:00:00,1.059,2286
2015-03-28 01:00:00,1.042,2810
2015-03-29 01:00:00,1.007,2633
2015-03-30 01:00:00,0.989,2117
2015-03-31 01:00:00,0.993,2098
2015-04-01 01:00:00,1.02,3296
2015-04-02 01:00:00,1.112,2833
2015-04-03 01:00:00,1.166,2879
2015-04-04 01:00:00,1.115,3090
2015-04-05 01:00:00,1.135,2831
2015-04-06 01:00:00,1.154,2646
2015-04-07 01:00:00,1.176,2563
2015-04-08 01:00:00,1.173,2439
2015-04-09 01:00:00,1.165,2268
2015-04-10 01:00:00,1.18,2100
2015-04-11 01:00:00,1.131,2726
2015-04-12 01:00:00,1.131,2628
2015-04-13 01:00:00,1.085,2149
2015-04-14 01:00:00,1.078,2029
2015-04-15 01:00:00,1.075,1938
2015-04-16 01:00:00,0.92,2693
2015-04-17 01:00:00,0.932,3001
2015-04-18 01:00:00,0.996,3398
2015-04-19 01:00:00,1.011,2655
2015-04-20 01:00:00,0.957,2745
2015-04-21 01:00:00,0.997,2399
2015-04-22 01:00:00,1.011,2319
2015-04-23 01:00:00,1.031,2451
2015-04-24 01:00:00,1.013,2866
2015-04-25 01:00:00,1.039,3430
2015-04-26 01:00:00,1.03,3053
2015-04-27 01:00:00,1.056,2404
2015-04-28 01:00:00,1.082,2308
2015-04-29 01:00:00,1.117,2318
2015-04-30 01:00:00,1.106,2833
2015-05-01 01:00:00,1.098,2823
2015-05-02 01:00:00,1.108,3190
2015-05-03 01:00:00,1.099,2843
2015-05-04 01:00:00,1.041,2650
2015-05-05 01:00:00,1.066,2389
2015-05-06 01:00:00,1.085,2231
2015-05-07 01:00:00,1.076,2075
2015-05-08 01:00:00,1.026,2706
2015-05-09 01:00:00,1.022,2974
2015-05-10 01:00:00,1.009,2827
2015-05-11 01:00:00,0.991,2155
2015-05-12 01:00:00,1.017,1921
2015-05-13 01:00:00,1.016,2136
2015-05-14 01:00:00,1.014,2228
2015-05-15 01:00:00,1.001,2209
2015-05-16 01:00:00,1.025,2617
2015-05-17 01:00:00,0.99,2530
2015-05-18 01:00:00,0.986,2070
2015-05-19 01:00:00,0.991,2003
2015-05-20 01:00:00,0.989,1895
2015-05-21 01:00:00,0.986,1954
2015-05-22 01:00:00,0.969,2223
2015-05-23 01:00:00,0.984,2605
2015-05-24 01:00:00,0.969,2328
2015-05-25 01:00:00,0.959,2102
2015-05-26 01:00:00,0.947,2061
2015-05-27 01:00:00,0.604,3407
2015-05-28 01:00:00,0.658,2911
2015-05-29 01:00:00,0.723,2817
2015-05-30 01:00:00,0.799,2864
2015-05-31 01:00:00,0.813,2700
2015-06-01 01:00:00,0.811,2438
2015-06-02 01:00:00,0.847,2362
2015-06-03 01:00:00,0.824,2361
2015-06-04 01:00:00,0.786,2411
2015-06-05 01:00:00,0.72,2586
2015-06-06 01:00:00,0.748,2405
2015-06-07 01:00:00,0.755,2523
2015-06-08 01:00:00,0.719,2268
2015-06-09 01:00:00,0.728,2066
2015-06-10 01:00:00,0.749,2193
2015-06-11 01:00:00,0.711,2225
2015-06-12 01:00:00,0.59,2629
2015-06-13 01:00:00,0.584,2806
2015-06-14 01:00:00,0.56,2889
2015-06-15 01:00:00,0.54,2467
2015-06-16 01:00:00,0.564,2363
2015-06-17 01:00:00,0.553,2489
2015-06-18 01:00:00,0.579,2312
2015-06-19 01:00:00,0.583,2321
2015-06-20 01:00:00,0.571,2466
2015-06-21 01:00:00,0.554,2335
2015-06-22 01:00:00,0.544,2472
2015-06-23 01:00:00,0.617,1993
2015-06-24 01:00:00,0.666,2085
2015-06-25 01:00:00,0.679,1940
2015-06-26 01:00:00,0.705,2191
