date,price,volume
2022-07-01 01:00:00,0.573,13
2022-07-02 01:00:00,0.709,382
2022-07-03 01:00:00,0.48,350
2022-07-04 01:00:00,0.399,321
2022-07-05 01:00:00,0.349,278
2022-07-06 01:00:00,0.296,299
2022-07-07 01:00:00,0.266,243
2022-07-08 01:00:00,0.266,270
2022-07-09 01:00:00,0.303,349
2022-07-10 01:00:00,0.372,288
2022-07-11 01:00:00,0.347,291
2022-07-12 01:00:00,0.321,294
2022-07-13 01:00:00,0.327,179
2022-07-14 01:00:00,0.309,351
2022-07-15 01:00:00,0.357,333
2022-07-16 01:00:00,0.363,262
2022-07-17 01:00:00,0.35,363
2022-07-18 01:00:00,0.345,309
2022-07-19 01:00:00,0.338,336
2022-07-20 01:00:00,0.391,216
2022-07-21 01:00:00,0.363,309
2022-07-22 01:00:00,0.346,310
2022-07-23 01:00:00,0.304,340
2022-07-24 01:00:00,0.259,258
2022-07-25 01:00:00,0.222,292
2022-07-26 01:00:00,0.205,373
2022-07-27 01:00:00,0.196,286
2022-07-28 01:00:00,0.202,338
2022-07-29 01:00:00,0.216,290
2022-07-30 01:00:00,0.224,256
2022-07-31 01:00:00,0.23,299
2022-08-01 01:00:00,0.249,417
2022-08-02 01:00:00,0.268,306
2022-08-03 01:00:00,0.279,283
2022-08-04 01:00:00,0.273,278
2022-08-05 01:00:00,0.252,260
2022-08-06 01:00:00,0.254,321
2022-08-07 01:00:00,0.223,321
2022-08-08 01:00:00,0.206,277
2022-08-09 01:00:00,0.199,157
2022-08-10 01:00:00,0.189,299
2022-08-11 01:00:00,0.171,333
2022-08-12 01:00:00,0.169,370
2022-08-13 01:00:00,0.178,299
2022-08-14 01:00:00,0.183,347
2022-08-15 01:00:00,0.188,325
2022-08-16 01:00:00,0.192,378
2022-08-17 01:00:00,0.177,458
2022-08-18 01:00:00,0.185,351
2022-08-19 01:00:00,0.188,348
2022-08-20 01:00:00,0.193,342
2022-08-21 01:00:00,0.192,359
2022-08-22 01:00:00,0.207,323
2022-08-23 01:00:00,0.195,320
2022-08-24 01:00:00,0.194,294
2022-08-25 01:00:00,0.191,349
2022-08-26 01:00:00,0.184,298
2022-08-27 01:00:00,0.19,309
2022-08-28 01:00:00,0.196,344
2022-08-29 01:00:00,0.19,317
2022-08-30 01:00:00,0.19,286
2022-08-31 01:00:00,0.184,340
2022-09-01 01:00:00,0.191,327
2022-09-02 01:00:00,0.186,397
2022-09-03 01:00:00,0.188,358
2022-09-04 01:00:00,0.195,391
2022-09-05 01:00:00,0.198,339
2022-09-06 01:00:00,0.202,253
2022-09-07 01:00:00,0.197,289
2022-09-08 01:00:00,0.195,312
2022-09-09 01:00:00,0.198,309
2022-09-10 01:00:00,0.201,354
2022-09-11 01:00:00,0.2,338
2022-09-12 01:00:00,0.2,340
2022-09-13 01:00:00,0.195,251
2022-09-14 01:00:00,0.197,302
2022-09-15 01:00:00,0.192,296
2022-09-16 01:00:00,0.183,285
2022-09-17 01:00:00,0.179,292
2022-09-18 01:00:00,0.178,308
2022-09-19 01:00:00,0.173,284
2022-09-20 01:00:00,0.175,263
2022-09-21 01:00:00,0.171,243
2022-09-22 01:00:00,0.161,261
2022-09-23 01:00:00,0.147,316
2022-09-24 01:00:00,0.141,442
2022-09-25 01:00:00,0.139,317
2022-09-26 01:00:00,0.143,370
2022-09-27 01:00:00,0.146,343
2022-09-28 01:00:00,0.132,466
2022-09-29 01:00:00,0.135,550
2022-09-30 01:00:00,0.136,343
2022-10-01 01:00:00,0.13,451
2022-10-02 01:00:00,0.124,446
2022-10-03 01:00:00,0.129,333
2022-10-04 01:00:00,0.127,332
2022-10-05 01:00:00,0.129,293
2022-10-06 01:00:00,0.129,343
2022-10-07 01:00:00,0.131,275
2022-10-08 01:00:00,0.13,390
2022-10-09 01:00:00,0.133,444
2022-10-10 01:00:00,0.135,248
2022-10-11 01:00:00,0.131,284
2022-10-12 01:00:00,0.125,250
2022-10-13 01:00:00,0.125,351
2022-10-14 01:00:00,0.119,245
2022-10-15 01:00:00,0.129,481
2022-10-16 01:00:00,0.129,342
2022-10-17 01:00:00,0.129,283
2022-10-18 01:00:00,0.132,291
2022-10-19 01:00:00,0.13,254
2022-10-20 01:00:00,0.131,288
2022-10-21 01:00:00,0.129,341
2022-10-22 01:00:00,0.127,463
2022-10-23 01:00:00,0.125,399
2022-10-24 01:00:00,0.124,249
2022-10-25 01:00:00,0.124,274
2022-10-26 01:00:00,0.118,289
2022-10-27 01:00:00,0.119,283
2022-10-28 01:00:00,0.121,384
2022-10-29 01:00:00,0.124,387
2022-10-30 01:00:00,0.122,406
2022-10-31 01:00:00,0.122,291
2022-11-01 01:00:00,0.114,346
2022-11-02 01:00:00,0.113,293
2022-11-03 01:00:00,0.11,306
2022-11-04 01:00:00,0.112,329
2022-11-05 01:00:00,0.113,470
2022-11-06 01:00:00,0.119,437
2022-11-07 01:00:00,0.112,269
2022-11-08 01:00:00,0.111,381
2022-11-09 01:00:00,0.106,377
2022-11-10 01:00:00,0.107,409
2022-11-11 01:00:00,0.105,398
2022-11-12 01:00:00,0.108,396
2022-11-13 01:00:00,0.103,361
2022-11-14 01:00:00,0.1,387
2022-11-15 01:00:00,0.102,339
2022-11-16 01:00:00,0.103,304
2022-11-17 01:00:00,0.109,291
2022-11-18 01:00:00,0.105,352
2022-11-19 01:00:00,0.108,440
2022-11-20 01:00:00,0.108,324
2022-11-21 01:00:00,0.105,277
2022-11-22 01:00:00,0.099,491
2022-11-23 01:00:00,0.095,334
2022-11-24 01:00:00,0.095,342
2022-11-25 01:00:00,0.093,358
2022-11-26 01:00:00,0.09,454
2022-11-27 01:00:00,0.092,439
2022-11-28 01:00:00,0.085,271
2022-11-29 01:00:00,0.085,208
2022-11-30 01:00:00,0.089,358
2022-12-01 01:00:00,0.088,301
2022-12-02 01:00:00,0.088,358
2022-12-03 01:00:00,0.088,395
2022-12-04 01:00:00,0.091,449
2022-12-05 01:00:00,0.09,410
2022-12-06 01:00:00,0.091,352
2022-12-07 01:00:00,0.094,340
2022-12-08 01:00:00,0.091,406
2022-12-09 01:00:00,0.092,403
2022-12-10 01:00:00,0.094,389
2022-12-11 01:00:00,0.09,408
2022-12-12 01:00:00,0.089,302
2022-12-13 01:00:00,0.087,246
2022-12-14 01:00:00,0.085,325
2022-12-15 01:00:00,0.085,440
2022-12-16 01:00:00,0.085,352
2022-12-17 01:00:00,0.081,400
2022-12-18 01:00:00,0.083,390
2022-12-19 01:00:00,0.084,333
2022-12-20 01:00:00,0.08,282
2022-12-21 01:00:00,0.082,284
2022-12-22 01:00:00,0.081,303
2022-12-23 01:00:00,0.079,439
2022-12-24 01:00:00,0.079,514
2022-12-25 01:00:00,0.077,434
2022-12-26 01:00:00,0.074,342
2022-12-27 01:00:00,0.076,329
2022-12-28 01:00:00,0.071,387
2022-12-29 01:00:00,0.07,382
2022-12-30 01:00:00,0.07,433
2022-12-31 01:00:00,0.074,548
2023-01-01 01:00:00,0.074,421
2023-01-02 01:00:00,0.072,569
2023-01-03 01:00:00,0.07,520
2023-01-04 01:00:00,0.071,358
2023-01-05 01:00:00,0.071,392
2023-01-06 01:00:00,0.072,331
2023-01-07 01:00:00,0.075,526
2023-01-08 01:00:00,0.075,439
2023-01-09 01:00:00,0.078,445
2023-01-10 01:00:00,0.079,409
2023-01-11 01:00:00,0.08,384
2023-01-12 01:00:00,0.08,402
2023-01-13 01:00:00,0.079,369
2023-01-14 01:00:00,0.081,578
2023-01-15 01:00:00,0.081,432
2023-01-16 01:00:00,0.084,422
2023-01-17 01:00:00,0.086,455
2023-01-18 01:00:00,0.09,416
2023-01-19 01:00:00,0.085,466
2023-01-20 01:00:00,0.084,371
2023-01-21 01:00:00,0.087,440
2023-01-22 01:00:00,0.087,389
2023-01-23 01:00:00,0.09,477
2023-01-24 01:00:00,0.089,362
2023-01-25 01:00:00,0.097,466
2023-01-26 01:00:00,0.095,386
2023-01-27 01:00:00,0.094,382
2023-01-28 01:00:00,0.092,490
2023-01-29 01:00:00,0.095,492
2023-01-30 01:00:00,0.093,393
2023-01-31 01:00:00,0.096,638
2023-02-01 01:00:00,0.117,874
2023-02-02 01:00:00,0.109,442
2023-02-03 01:00:00,0.121,431
2023-02-04 01:00:00,0.108,447
2023-02-05 01:00:00,0.104,499
2023-02-06 01:00:00,0.102,397
2023-02-07 01:00:00,0.099,380
2023-02-08 01:00:00,0.096,369
2023-02-09 01:00:00,0.096,469
2023-02-10 01:00:00,0.095,501
2023-02-11 01:00:00,0.097,584
2023-02-12 01:00:00,0.095,685
2023-02-13 01:00:00,0.095,630
2023-02-14 01:00:00,0.099,573
2023-02-15 01:00:00,0.099,481
2023-02-16 01:00:00,0.101,760
2023-02-17 01:00:00,0.098,657
2023-02-18 01:00:00,0.1,774
2023-02-19 01:00:00,0.1,672
2023-02-20 01:00:00,0.1,595
2023-02-21 01:00:00,0.099,555
2023-02-22 01:00:00,0.098,484
2023-02-23 01:00:00,0.098,586
2023-02-24 01:00:00,0.096,668
2023-02-25 01:00:00,0.094,725
2023-02-26 01:00:00,0.09,673
2023-02-27 01:00:00,0.09,501
2023-02-28 01:00:00,0.09,633
2023-03-01 01:00:00,0.091,650
2023-03-02 01:00:00,0.092,595
2023-03-03 01:00:00,0.088,577
2023-03-04 01:00:00,0.089,1167
2023-03-05 01:00:00,0.09,668
2023-03-06 01:00:00,0.09,860
2023-03-07 01:00:00,0.089,463
2023-03-08 01:00:00,0.092,676
2023-03-09 01:00:00,0.082,491
2023-03-10 01:00:00,0.087,781
2023-03-11 01:00:00,0.087,753
2023-03-12 01:00:00,0.083,770
2023-03-13 01:00:00,0.085,611
2023-03-14 01:00:00,0.086,727
2023-03-15 01:00:00,0.086,733
2023-03-16 01:00:00,0.08,628
2023-03-17 01:00:00,0.084,773
2023-03-18 01:00:00,0.082,745
2023-03-19 01:00:00,0.082,815
2023-03-20 01:00:00,0.08,1031
2023-03-21 01:00:00,0.078,738
2023-03-22 01:00:00,0.08,715
2023-03-23 01:00:00,0.079,755
2023-03-24 01:00:00,0.08,888
2023-03-25 01:00:00,0.081,1450
2023-03-26 01:00:00,0.086,1172
2023-03-27 01:00:00,0.083,868
2023-03-28 01:00:00,0.089,825
2023-03-29 01:00:00,0.088,1071
2023-03-30 01:00:00,0.083,569
2023-03-31 01:00:00,0.093,543
2023-04-01 01:00:00,0.093,791
2023-04-02 01:00:00,0.096,891
2023-04-03 01:00:00,0.089,766
2023-04-04 01:00:00,0.093,695
2023-04-05 01:00:00,0.095,813
2023-04-06 01:00:00,0.105,910
2023-04-07 01:00:00,0.105,692
2023-04-08 01:00:00,0.1,667
2023-04-09 01:00:00,0.098,822
2023-04-10 01:00:00,0.097,719
2023-04-11 01:00:00,0.099,775
2023-04-12 01:00:00,0.098,625
2023-04-13 01:00:00,0.101,652
2023-04-14 01:00:00,0.104,759
2023-04-15 01:00:00,0.103,671
2023-04-16 01:00:00,0.105,644
2023-04-17 01:00:00,0.102,721
