date,price,volume
2022-07-01 01:00:00,1.691,56
2022-07-02 01:00:00,1.085,971
2022-07-03 01:00:00,0.746,786
2022-07-04 01:00:00,0.635,676
2022-07-05 01:00:00,0.592,687
2022-07-06 01:00:00,0.568,622
2022-07-07 01:00:00,0.443,588
2022-07-08 01:00:00,0.416,656
2022-07-09 01:00:00,0.471,637
2022-07-10 01:00:00,0.53,615
2022-07-11 01:00:00,0.496,615
2022-07-12 01:00:00,0.491,656
2022-07-13 01:00:00,0.541,428
2022-07-14 01:00:00,0.481,677
2022-07-15 01:00:00,0.479,669
2022-07-16 01:00:00,0.493,732
2022-07-17 01:00:00,0.518,637
2022-07-18 01:00:00,0.538,659
2022-07-19 01:00:00,0.51,746
2022-07-20 01:00:00,0.53,517
2022-07-21 01:00:00,0.491,774
2022-07-22 01:00:00,0.475,730
2022-07-23 01:00:00,0.41,899
2022-07-24 01:00:00,0.339,738
2022-07-25 01:00:00,0.31,736
2022-07-26 01:00:00,0.292,614
2022-07-27 01:00:00,0.265,803
2022-07-28 01:00:00,0.276,745
2022-07-29 01:00:00,0.302,556
2022-07-30 01:00:00,0.323,656
2022-07-31 01:00:00,0.336,697
2022-08-01 01:00:00,0.34,683
2022-08-02 01:00:00,0.343,670
2022-08-03 01:00:00,0.356,687
2022-08-04 01:00:00,0.35,629
2022-08-05 01:00:00,0.339,626
2022-08-06 01:00:00,0.322,652
2022-08-07 01:00:00,0.293,672
2022-08-08 01:00:00,0.267,609
2022-08-09 01:00:00,0.249,403
2022-08-10 01:00:00,0.248,800
2022-08-11 01:00:00,0.241,925
2022-08-12 01:00:00,0.228,1056
2022-08-13 01:00:00,0.243,781
2022-08-14 01:00:00,0.247,743
2022-08-15 01:00:00,0.255,723
2022-08-16 01:00:00,0.263,845
2022-08-17 01:00:00,0.246,1061
2022-08-18 01:00:00,0.24,800
2022-08-19 01:00:00,0.239,812
2022-08-20 01:00:00,0.239,787
2022-08-21 01:00:00,0.249,791
2022-08-22 01:00:00,0.257,766
2022-08-23 01:00:00,0.254,712
2022-08-24 01:00:00,0.269,738
2022-08-25 01:00:00,0.262,732
2022-08-26 01:00:00,0.258,777
2022-08-27 01:00:00,0.26,748
2022-08-28 01:00:00,0.269,830
2022-08-29 01:00:00,0.272,914
2022-08-30 01:00:00,0.284,582
2022-08-31 01:00:00,0.28,677
2022-09-01 01:00:00,0.281,713
2022-09-02 01:00:00,0.28,701
2022-09-03 01:00:00,0.275,671
2022-09-04 01:00:00,0.265,733
2022-09-05 01:00:00,0.267,701
2022-09-06 01:00:00,0.273,648
2022-09-07 01:00:00,0.278,666
2022-09-08 01:00:00,0.282,729
2022-09-09 01:00:00,0.281,729
2022-09-10 01:00:00,0.284,754
2022-09-11 01:00:00,0.279,675
2022-09-12 01:00:00,0.278,665
2022-09-13 01:00:00,0.272,566
2022-09-14 01:00:00,0.265,736
2022-09-15 01:00:00,0.253,598
2022-09-16 01:00:00,0.246,737
2022-09-17 01:00:00,0.23,748
2022-09-18 01:00:00,0.217,700
2022-09-19 01:00:00,0.206,608
2022-09-20 01:00:00,0.197,758
2022-09-21 01:00:00,0.192,807
2022-09-22 01:00:00,0.181,845
2022-09-23 01:00:00,0.179,655
2022-09-24 01:00:00,0.187,858
2022-09-25 01:00:00,0.187,828
2022-09-26 01:00:00,0.18,981
2022-09-27 01:00:00,0.179,740
2022-09-28 01:00:00,0.176,562
2022-09-29 01:00:00,0.173,687
2022-09-30 01:00:00,0.172,831
2022-10-01 01:00:00,0.172,955
2022-10-02 01:00:00,0.171,741
2022-10-03 01:00:00,0.173,775
2022-10-04 01:00:00,0.172,645
2022-10-05 01:00:00,0.175,618
2022-10-06 01:00:00,0.177,743
2022-10-07 01:00:00,0.175,633
2022-10-08 01:00:00,0.18,798
2022-10-09 01:00:00,0.183,705
2022-10-10 01:00:00,0.18,599
2022-10-11 01:00:00,0.182,566
2022-10-12 01:00:00,0.183,539
2022-10-13 01:00:00,0.184,649
2022-10-14 01:00:00,0.181,478
2022-10-15 01:00:00,0.184,809
2022-10-16 01:00:00,0.183,717
2022-10-17 01:00:00,0.188,675
2022-10-18 01:00:00,0.188,632
2022-10-19 01:00:00,0.187,523
2022-10-20 01:00:00,0.188,608
2022-10-21 01:00:00,0.193,903
2022-10-22 01:00:00,0.18,1128
2022-10-23 01:00:00,0.179,853
2022-10-24 01:00:00,0.173,640
2022-10-25 01:00:00,0.171,656
2022-10-26 01:00:00,0.171,588
2022-10-27 01:00:00,0.167,577
2022-10-28 01:00:00,0.17,777
2022-10-29 01:00:00,0.169,749
2022-10-30 01:00:00,0.168,812
2022-10-31 01:00:00,0.166,771
2022-11-01 01:00:00,0.162,690
2022-11-02 01:00:00,0.168,676
2022-11-03 01:00:00,0.165,522
2022-11-04 01:00:00,0.161,666
2022-11-05 01:00:00,0.169,680
2022-11-06 01:00:00,0.164,595
2022-11-07 01:00:00,0.166,494
2022-11-08 01:00:00,0.162,544
2022-11-09 01:00:00,0.161,1188
2022-11-10 01:00:00,0.16,593
2022-11-11 01:00:00,0.161,796
2022-11-12 01:00:00,0.16,749
2022-11-13 01:00:00,0.152,703
2022-11-14 01:00:00,0.149,642
2022-11-15 01:00:00,0.149,632
2022-11-16 01:00:00,0.142,497
2022-11-17 01:00:00,0.143,572
2022-11-18 01:00:00,0.143,542
2022-11-19 01:00:00,0.165,1201
2022-11-20 01:00:00,0.168,1098
2022-11-21 01:00:00,0.168,759
2022-11-22 01:00:00,0.164,801
2022-11-23 01:00:00,0.162,752
2022-11-24 01:00:00,0.152,655
2022-11-25 01:00:00,0.145,719
2022-11-26 01:00:00,0.145,736
2022-11-27 01:00:00,0.142,821
2022-11-28 01:00:00,0.139,639
2022-11-29 01:00:00,0.142,632
2022-11-30 01:00:00,0.14,621
2022-12-01 01:00:00,0.141,614
2022-12-02 01:00:00,0.146,654
2022-12-03 01:00:00,0.146,746
2022-12-04 01:00:00,0.145,755
2022-12-05 01:00:00,0.139,668
2022-12-06 01:00:00,0.141,623
2022-12-07 01:00:00,0.139,708
2022-12-08 01:00:00,0.143,746
2022-12-09 01:00:00,0.137,790
2022-12-10 01:00:00,0.138,771
2022-12-11 01:00:00,0.139,789
2022-12-12 01:00:00,0.13,714
2022-12-13 01:00:00,0.133,867
2022-12-14 01:00:00,0.131,732
2022-12-15 01:00:00,0.131,688
2022-12-16 01:00:00,0.126,701
2022-12-17 01:00:00,0.127,948
2022-12-18 01:00:00,0.125,811
2022-12-19 01:00:00,0.123,748
2022-12-20 01:00:00,0.121,806
2022-12-21 01:00:00,0.12,739
2022-12-22 01:00:00,0.119,863
2022-12-23 01:00:00,0.117,910
2022-12-24 01:00:00,0.115,930
2022-12-25 01:00:00,0.11,890
2022-12-26 01:00:00,0.111,810
2022-12-27 01:00:00,0.11,700
2022-12-28 01:00:00,0.106,779
2022-12-29 01:00:00,0.107,794
2022-12-30 01:00:00,0.107,932
2022-12-31 01:00:00,0.105,735
2023-01-01 01:00:00,0.103,780
2023-01-02 01:00:00,0.105,873
2023-01-03 01:00:00,0.103,902
2023-01-04 01:00:00,0.1,1013
2023-01-05 01:00:00,0.101,1143
2023-01-06 01:00:00,0.099,865
2023-01-07 01:00:00,0.107,1047
2023-01-08 01:00:00,0.108,805
2023-01-09 01:00:00,0.109,740
2023-01-10 01:00:00,0.111,739
2023-01-11 01:00:00,0.109,749
2023-01-12 01:00:00,0.109,710
2023-01-13 01:00:00,0.113,816
2023-01-14 01:00:00,0.115,933
2023-01-15 01:00:00,0.113,782
2023-01-16 01:00:00,0.115,793
2023-01-17 01:00:00,0.113,667
2023-01-18 01:00:00,0.113,833
2023-01-19 01:00:00,0.114,738
2023-01-20 01:00:00,0.115,825
2023-01-21 01:00:00,0.122,1136
2023-01-22 01:00:00,0.122,1127
2023-01-23 01:00:00,0.126,1165
2023-01-24 01:00:00,0.13,928
2023-01-25 01:00:00,0.132,980
2023-01-26 01:00:00,0.131,900
2023-01-27 01:00:00,0.139,920
2023-01-28 01:00:00,0.135,1049
2023-01-29 01:00:00,0.134,1013
2023-01-30 01:00:00,0.132,799
2023-01-31 01:00:00,0.139,2331
2023-02-01 01:00:00,0.165,1266
2023-02-02 01:00:00,0.167,837
2023-02-03 01:00:00,0.166,889
2023-02-04 01:00:00,0.155,942
2023-02-05 01:00:00,0.145,1016
2023-02-06 01:00:00,0.142,872
2023-02-07 01:00:00,0.147,991
2023-02-08 01:00:00,0.143,810
2023-02-09 01:00:00,0.145,846
2023-02-10 01:00:00,0.137,1183
2023-02-11 01:00:00,0.144,1338
2023-02-12 01:00:00,0.147,1389
2023-02-13 01:00:00,0.142,1150
2023-02-14 01:00:00,0.147,1178
2023-02-15 01:00:00,0.141,1018
2023-02-16 01:00:00,0.147,1253
2023-02-17 01:00:00,0.151,1231
2023-02-18 01:00:00,0.152,1420
2023-02-19 01:00:00,0.168,1272
2023-02-20 01:00:00,0.151,982
2023-02-21 01:00:00,0.142,988
2023-02-22 01:00:00,0.141,1057
2023-02-23 01:00:00,0.143,1183
2023-02-24 01:00:00,0.14,1350
2023-02-25 01:00:00,0.14,1399
2023-02-26 01:00:00,0.137,1398
2023-02-27 01:00:00,0.136,1074
2023-02-28 01:00:00,0.129,1081
2023-03-01 01:00:00,0.13,993
2023-03-02 01:00:00,0.13,1084
2023-03-03 01:00:00,0.129,1097
2023-03-04 01:00:00,0.123,1300
2023-03-05 01:00:00,0.127,1420
2023-03-06 01:00:00,0.123,1100
2023-03-07 01:00:00,0.122,1122
2023-03-08 01:00:00,0.125,1421
2023-03-09 01:00:00,0.119,1107
2023-03-10 01:00:00,0.12,1296
2023-03-11 01:00:00,0.121,1658
2023-03-12 01:00:00,0.122,1555
2023-03-13 01:00:00,0.122,1593
2023-03-14 01:00:00,0.121,1490
2023-03-15 01:00:00,0.125,1436
2023-03-16 01:00:00,0.119,1317
2023-03-17 01:00:00,0.121,1509
2023-03-18 01:00:00,0.122,2135
2023-03-19 01:00:00,0.121,1422
2023-03-20 01:00:00,0.119,1340
2023-03-21 01:00:00,0.117,1302
2023-03-22 01:00:00,0.118,1356
2023-03-23 01:00:00,0.116,1552
2023-03-24 01:00:00,0.12,1563
2023-03-25 01:00:00,0.125,1503
2023-03-26 01:00:00,0.125,1598
2023-03-27 01:00:00,0.128,1489
2023-03-28 01:00:00,0.126,1418
2023-03-29 01:00:00,0.126,1624
2023-03-30 01:00:00,0.126,1159
2023-03-31 01:00:00,0.13,1219
2023-04-01 01:00:00,0.132,1712
2023-04-02 01:00:00,0.13,1542
2023-04-03 01:00:00,0.129,1529
2023-04-04 01:00:00,0.13,1441
2023-04-05 01:00:00,0.134,1433
2023-04-06 01:00:00,0.14,1468
2023-04-07 01:00:00,0.138,1186
2023-04-08 01:00:00,0.14,1274
2023-04-09 01:00:00,0.138,1348
2023-04-10 01:00:00,0.138,1407
2023-04-11 01:00:00,0.149,1331
2023-04-12 01:00:00,0.148,1218
2023-04-13 01:00:00,0.152,1133
2023-04-14 01:00:00,0.15,1112
2023-04-15 01:00:00,0.153,1190
2023-04-16 01:00:00,0.155,1144
2023-04-17 01:00:00,0.155,1371
2023-04-18 01:00:00,0.158,1022
2023-04-19 01:00:00,0.164,1116
2023-04-20 01:00:00,0.154,1419
2023-04-21 01:00:00,0.151,1511
2023-04-22 01:00:00,0.144,1615
2023-04-23 01:00:00,0.146,1739
2023-04-24 01:00:00,0.147,1619
2023-04-25 01:00:00,0.137,2273
2023-04-26 01:00:00,0.136,1507
2023-04-27 01:00:00,0.131,2021
2023-04-28 01:00:00,0.131,1533
2023-04-29 01:00:00,0.129,1429
2023-04-30 01:00:00,0.131,1460
2023-05-01 01:00:00,0.128,1455
2023-05-02 01:00:00,0.13,1787
2023-05-03 01:00:00,0.128,1310
2023-05-04 01:00:00,0.126,1235
2023-05-05 01:00:00,0.115,1631
2023-05-06 01:00:00,0.117,1641
2023-05-07 01:00:00,0.112,1888
2023-05-08 01:00:00,0.113,1272
2023-05-09 01:00:00,0.115,1855
2023-05-10 01:00:00,0.114,1532
2023-05-11 01:00:00,0.115,1427
2023-05-12 01:00:00,0.11,1316
2023-05-13 01:00:00,0.115,1815
2023-05-14 01:00:00,0.114,1466
2023-05-15 01:00:00,0.112,1592
2023-05-16 01:00:00,0.114,1202
2023-05-17 01:00:00,0.115,1229
2023-05-18 01:00:00,0.109,1181
2023-05-19 01:00:00,0.111,1302
2023-05-20 01:00:00,0.112,1510
2023-05-21 01:00:00,0.112,1402
2023-05-22 01:00:00,0.112,1343
2023-05-23 01:00:00,0.111,1455
2023-05-24 01:00:00,0.11,1691
2023-05-25 01:00:00,0.109,1412
2023-05-26 01:00:00,0.105,1677
2023-05-27 01:00:00,0.106,1723
2023-05-28 01:00:00,0.107,1892
2023-05-29 01:00:00,0.106,1487
2023-05-30 01:00:00,0.107,1417
2023-05-31 01:00:00,0.108,1377
2023-06-01 01:00:00,0.107,1604
2023-06-02 01:00:00,0.106,1854
2023-06-03 01:00:00,0.107,1532
2023-06-04 01:00:00,0.105,1745
2023-06-05 01:00:00,0.106,1467
