date,price,volume
2018-10-04 01:00:00,1.406,18
2018-10-05 01:00:00,0.88,51
2018-10-06 01:00:00,0.693,70
2018-10-07 01:00:00,0.838,54
2018-10-08 01:00:00,0.955,46
2018-10-09 01:00:00,1.068,18
2018-10-10 01:00:00,0.706,56
2018-10-11 01:00:00,0.504,62
2018-10-12 01:00:00,0.548,74
2018-10-13 01:00:00,0.549,69
2018-10-14 01:00:00,0.58,55
2018-10-15 01:00:00,0.694,53
2018-10-16 01:00:00,0.694,44
2018-10-17 01:00:00,0.524,69
2018-10-18 01:00:00,0.502,59
2018-10-19 01:00:00,0.457,52
2018-10-20 01:00:00,0.414,68
2018-10-21 01:00:00,0.469,70
2018-10-22 01:00:00,0.507,43
2018-10-23 01:00:00,0.555,52
2018-10-24 01:00:00,0.544,71
2018-10-25 01:00:00,0.51,53
2018-10-26 01:00:00,0.421,76
2018-10-27 01:00:00,0.436,108
2018-10-28 01:00:00,0.457,63
2018-10-29 01:00:00,0.466,45
2018-10-30 01:00:00,0.422,58
2018-10-31 01:00:00,0.368,77
2018-11-01 01:00:00,0.31,86
2018-11-02 01:00:00,0.349,83
2018-11-03 01:00:00,0.429,81
2018-11-04 01:00:00,0.422,73
2018-11-05 01:00:00,0.426,36
2018-11-06 01:00:00,0.42,63
2018-11-07 01:00:00,0.416,59
2018-11-08 01:00:00,0.394,67
2018-11-09 01:00:00,0.361,82
2018-11-10 01:00:00,0.366,89
2018-11-11 01:00:00,0.348,74
2018-11-12 01:00:00,0.36,73
2018-11-13 01:00:00,0.365,67
2018-11-14 01:00:00,0.371,85
2018-11-15 01:00:00,0.337,127
2018-11-16 01:00:00,0.346,57
2018-11-17 01:00:00,0.324,99
2018-11-18 01:00:00,0.323,101
2018-11-19 01:00:00,0.316,99
2018-11-20 01:00:00,0.319,81
2018-11-21 01:00:00,0.304,86
2018-11-22 01:00:00,0.257,111
2018-11-23 01:00:00,0.255,115
2018-11-24 01:00:00,0.26,108
2018-11-25 01:00:00,0.261,82
2018-11-26 01:00:00,0.273,65
2018-11-27 01:00:00,0.274,74
2018-11-28 01:00:00,0.26,93
2018-11-29 01:00:00,0.256,75
2018-11-30 01:00:00,0.271,87
2018-12-01 01:00:00,0.266,89
2018-12-02 01:00:00,0.277,110
2018-12-03 01:00:00,0.281,89
2018-12-04 01:00:00,0.289,110
2018-12-05 01:00:00,0.284,83
2018-12-06 01:00:00,0.278,88
2018-12-07 01:00:00,0.259,162
2018-12-08 01:00:00,0.259,171
2018-12-09 01:00:00,0.261,147
2018-12-10 01:00:00,0.268,114
2018-12-11 01:00:00,0.276,136
2018-12-12 01:00:00,0.267,153
2018-12-13 01:00:00,0.27,154
2018-12-14 01:00:00,0.278,145
2018-12-15 01:00:00,0.281,142
2018-12-16 01:00:00,0.268,131
2018-12-17 01:00:00,0.282,145
2018-12-18 01:00:00,0.276,137
2018-12-19 01:00:00,0.279,123
2018-12-20 01:00:00,0.249,153
2018-12-21 01:00:00,0.234,165
2018-12-22 01:00:00,0.243,149
2018-12-23 01:00:00,0.239,138
2018-12-24 01:00:00,0.24,116
2018-12-25 01:00:00,0.248,169
2018-12-26 01:00:00,0.267,121
2018-12-27 01:00:00,0.247,125
2018-12-28 01:00:00,0.236,110
2018-12-29 01:00:00,0.231,151
2018-12-30 01:00:00,0.232,210
2018-12-31 01:00:00,0.244,157
2019-01-01 01:00:00,0.26,123
2019-01-02 01:00:00,0.247,173
2019-01-03 01:00:00,0.245,142
2019-01-04 01:00:00,0.255,139
2019-01-05 01:00:00,0.275,135
2019-01-06 01:00:00,0.269,127
2019-01-07 01:00:00,0.273,151
2019-01-08 01:00:00,0.27,143
2019-01-09 01:00:00,0.266,142
2019-01-10 01:00:00,0.262,131
2019-01-11 01:00:00,0.266,182
2019-01-12 01:00:00,0.271,177
2019-01-13 01:00:00,0.274,124
2019-01-14 01:00:00,0.273,155
2019-01-15 01:00:00,0.27,108
2019-01-16 01:00:00,0.251,153
2019-01-17 01:00:00,0.262,167
2019-01-18 01:00:00,0.256,119
2019-01-19 01:00:00,0.257,141
2019-01-20 01:00:00,0.258,153
2019-01-21 01:00:00,0.252,127
2019-01-22 01:00:00,0.258,127
2019-01-23 01:00:00,0.263,131
2019-01-24 01:00:00,0.26,137
2019-01-25 01:00:00,0.259,163
2019-01-26 01:00:00,0.261,140
2019-01-27 01:00:00,0.251,167
2019-01-28 01:00:00,0.256,134
2019-01-29 01:00:00,0.245,122
2019-01-30 01:00:00,0.261,203
2019-01-31 01:00:00,0.27,180
2019-02-01 01:00:00,0.269,164
2019-02-02 01:00:00,0.276,177
2019-02-03 01:00:00,0.267,180
2019-02-04 01:00:00,0.269,133
2019-02-05 01:00:00,0.253,155
2019-02-06 01:00:00,0.242,200
2019-02-07 01:00:00,0.235,221
2019-02-08 01:00:00,0.24,233
2019-02-09 01:00:00,0.237,211
2019-02-10 01:00:00,0.238,175
2019-02-11 01:00:00,0.236,181
2019-02-12 01:00:00,0.244,134
2019-02-13 01:00:00,0.251,143
2019-02-14 01:00:00,0.246,171
2019-02-15 01:00:00,0.249,150
2019-02-16 01:00:00,0.247,172
2019-02-17 01:00:00,0.253,172
2019-02-18 01:00:00,0.262,157
2019-02-19 01:00:00,0.264,123
2019-02-20 01:00:00,0.248,150
2019-02-21 01:00:00,0.264,139
2019-02-22 01:00:00,0.253,159
2019-02-23 01:00:00,0.242,160
2019-02-24 01:00:00,0.256,167
2019-02-25 01:00:00,0.247,167
2019-02-26 01:00:00,0.246,160
2019-02-27 01:00:00,0.247,156
2019-02-28 01:00:00,0.236,126
2019-03-01 01:00:00,0.235,179
2019-03-02 01:00:00,0.234,244
2019-03-03 01:00:00,0.229,203
2019-03-04 01:00:00,0.219,170
2019-03-05 01:00:00,0.232,280
2019-03-06 01:00:00,0.244,220
2019-03-07 01:00:00,0.237,154
2019-03-08 01:00:00,0.239,206
2019-03-09 01:00:00,0.245,214
2019-03-10 01:00:00,0.243,177
2019-03-11 01:00:00,0.244,138
2019-03-12 01:00:00,0.237,118
2019-03-13 01:00:00,0.238,149
2019-03-14 01:00:00,0.233,220
2019-03-15 01:00:00,0.24,221
2019-03-16 01:00:00,0.239,297
2019-03-17 01:00:00,0.247,263
2019-03-18 01:00:00,0.253,179
2019-03-19 01:00:00,0.246,160
2019-03-20 01:00:00,0.244,223
2019-03-21 01:00:00,0.246,222
2019-03-22 01:00:00,0.243,211
2019-03-23 01:00:00,0.236,270
2019-03-24 01:00:00,0.236,233
2019-03-25 01:00:00,0.24,198
2019-03-26 01:00:00,0.238,180
2019-03-27 01:00:00,0.233,182
2019-03-28 01:00:00,0.238,193
2019-03-29 01:00:00,0.224,252
2019-03-30 01:00:00,0.221,247
2019-03-31 01:00:00,0.22,246
2019-04-01 01:00:00,0.21,178
2019-04-02 01:00:00,0.212,168
2019-04-03 01:00:00,0.207,207
2019-04-04 01:00:00,0.21,214
2019-04-05 01:00:00,0.208,232
2019-04-06 01:00:00,0.207,269
2019-04-07 01:00:00,0.211,314
2019-04-08 01:00:00,0.209,196
2019-04-09 01:00:00,0.212,211
2019-04-10 01:00:00,0.21,222
2019-04-11 01:00:00,0.212,177
2019-04-12 01:00:00,0.21,228
2019-04-13 01:00:00,0.217,280
2019-04-14 01:00:00,0.22,219
2019-04-15 01:00:00,0.214,202
2019-04-16 01:00:00,0.232,160
2019-04-17 01:00:00,0.234,187
2019-04-18 01:00:00,0.222,165
2019-04-19 01:00:00,0.227,204
2019-04-20 01:00:00,0.23,172
2019-04-21 01:00:00,0.228,176
2019-04-22 01:00:00,0.218,175
2019-04-23 01:00:00,0.226,153
2019-04-24 01:00:00,0.271,637
2019-04-25 01:00:00,0.32,179
2019-04-26 01:00:00,0.278,181
2019-04-27 01:00:00,0.251,186
2019-04-28 01:00:00,0.255,223
2019-04-29 01:00:00,0.246,163
2019-04-30 01:00:00,0.249,154
2019-05-01 01:00:00,0.242,235
2019-05-02 01:00:00,0.234,156
2019-05-03 01:00:00,0.226,213
2019-05-04 01:00:00,0.238,194
2019-05-05 01:00:00,0.23,159
2019-05-06 01:00:00,0.224,149
2019-05-07 01:00:00,0.225,136
2019-05-08 01:00:00,0.22,190
2019-05-09 01:00:00,0.213,180
2019-05-10 01:00:00,0.213,165
2019-05-11 01:00:00,0.22,211
2019-05-12 01:00:00,0.21,169
2019-05-13 01:00:00,0.209,154
2019-05-14 01:00:00,0.215,152
2019-05-15 01:00:00,0.216,137
2019-05-16 01:00:00,0.207,142
2019-05-17 01:00:00,0.204,159
2019-05-18 01:00:00,0.208,227
2019-05-19 01:00:00,0.209,216
2019-05-20 01:00:00,0.209,160
2019-05-21 01:00:00,0.222,154
2019-05-22 01:00:00,0.233,185
2019-05-23 01:00:00,0.226,182
2019-05-24 01:00:00,0.235,187
2019-05-25 01:00:00,0.223,168
2019-05-26 01:00:00,0.217,219
2019-05-27 01:00:00,0.222,158
2019-05-28 01:00:00,0.227,159
2019-05-29 01:00:00,0.219,222
2019-05-30 01:00:00,0.22,176
2019-05-31 01:00:00,0.218,183
2019-06-01 01:00:00,0.223,204
2019-06-02 01:00:00,0.239,257
2019-06-03 01:00:00,0.247,166
2019-06-04 01:00:00,0.238,164
2019-06-05 01:00:00,0.24,201
2019-06-06 01:00:00,0.233,183
2019-06-07 01:00:00,0.236,182
2019-06-08 01:00:00,0.241,186
2019-06-09 01:00:00,0.247,196
2019-06-10 01:00:00,0.251,201
2019-06-11 01:00:00,0.247,149
2019-06-12 01:00:00,0.245,197
2019-06-13 01:00:00,0.247,175
2019-06-14 01:00:00,0.26,184
2019-06-15 01:00:00,0.256,175
2019-06-16 01:00:00,0.263,164
2019-06-17 01:00:00,0.246,162
2019-06-18 01:00:00,0.25,149
2019-06-19 01:00:00,0.256,203
2019-06-20 01:00:00,0.258,191
2019-06-21 01:00:00,0.25,162
2019-06-22 01:00:00,0.251,186
2019-06-23 01:00:00,0.241,143
2019-06-24 01:00:00,0.233,173
2019-06-25 01:00:00,0.23,229
2019-06-26 01:00:00,0.212,260
2019-06-27 01:00:00,0.196,238
2019-06-28 01:00:00,0.196,190
2019-06-29 01:00:00,0.198,210
2019-06-30 01:00:00,0.189,243
2019-07-01 01:00:00,0.196,193
2019-07-02 01:00:00,0.204,170
2019-07-03 01:00:00,0.198,172
2019-07-04 01:00:00,0.199,211
2019-07-05 01:00:00,0.208,187
2019-07-06 01:00:00,0.213,212
2019-07-07 01:00:00,0.218,186
2019-07-08 01:00:00,0.21,182
2019-07-09 01:00:00,0.21,207
2019-07-10 01:00:00,0.217,155
2019-07-11 01:00:00,0.212,180
2019-07-12 01:00:00,0.219,175
2019-07-13 01:00:00,0.226,172
2019-07-14 01:00:00,0.226,209
