date,price,volume
2022-07-01 01:00:00,1.503,13
2022-07-02 01:00:00,0.657,432
2022-07-03 01:00:00,0.46,307
2022-07-04 01:00:00,0.373,287
2022-07-05 01:00:00,0.314,282
2022-07-06 01:00:00,0.276,272
2022-07-07 01:00:00,0.256,246
2022-07-08 01:00:00,0.259,321
2022-07-09 01:00:00,0.288,303
2022-07-10 01:00:00,0.343,274
2022-07-11 01:00:00,0.321,258
2022-07-12 01:00:00,0.327,281
2022-07-13 01:00:00,0.28,159
2022-07-14 01:00:00,0.307,291
2022-07-15 01:00:00,0.319,215
2022-07-16 01:00:00,0.33,206
2022-07-17 01:00:00,0.347,291
2022-07-18 01:00:00,0.35,258
2022-07-19 01:00:00,0.353,273
2022-07-20 01:00:00,0.394,203
2022-07-21 01:00:00,0.386,263
2022-07-22 01:00:00,0.327,308
2022-07-23 01:00:00,0.307,269
2022-07-24 01:00:00,0.26,293
2022-07-25 01:00:00,0.231,226
2022-07-26 01:00:00,0.198,235
2022-07-27 01:00:00,0.187,280
2022-07-28 01:00:00,0.195,260
2022-07-29 01:00:00,0.223,270
2022-07-30 01:00:00,0.214,345
2022-07-31 01:00:00,0.219,279
2022-08-01 01:00:00,0.257,284
2022-08-02 01:00:00,0.269,231
2022-08-03 01:00:00,0.284,308
2022-08-04 01:00:00,0.271,278
2022-08-05 01:00:00,0.253,233
2022-08-06 01:00:00,0.245,256
2022-08-07 01:00:00,0.222,285
2022-08-08 01:00:00,0.201,221
2022-08-09 01:00:00,0.191,157
2022-08-10 01:00:00,0.18,251
2022-08-11 01:00:00,0.168,272
2022-08-12 01:00:00,0.161,390
2022-08-13 01:00:00,0.176,294
2022-08-14 01:00:00,0.179,254
2022-08-15 01:00:00,0.182,296
2022-08-16 01:00:00,0.181,217
2022-08-17 01:00:00,0.174,381
2022-08-18 01:00:00,0.176,381
2022-08-19 01:00:00,0.181,284
2022-08-20 01:00:00,0.196,289
2022-08-21 01:00:00,0.188,298
2022-08-22 01:00:00,0.188,291
2022-08-23 01:00:00,0.191,210
2022-08-24 01:00:00,0.18,241
2022-08-25 01:00:00,0.184,339
2022-08-26 01:00:00,0.183,248
2022-08-27 01:00:00,0.187,262
2022-08-28 01:00:00,0.18,290
2022-08-29 01:00:00,0.182,247
2022-08-30 01:00:00,0.186,275
2022-08-31 01:00:00,0.18,231
2022-09-01 01:00:00,0.188,280
2022-09-02 01:00:00,0.18,231
2022-09-03 01:00:00,0.185,295
2022-09-04 01:00:00,0.187,262
2022-09-05 01:00:00,0.2,258
2022-09-06 01:00:00,0.195,232
2022-09-07 01:00:00,0.198,250
2022-09-08 01:00:00,0.2,278
2022-09-09 01:00:00,0.191,237
2022-09-10 01:00:00,0.195,293
2022-09-11 01:00:00,0.193,312
2022-09-12 01:00:00,0.194,278
2022-09-13 01:00:00,0.188,212
2022-09-14 01:00:00,0.187,282
2022-09-15 01:00:00,0.186,207
2022-09-16 01:00:00,0.176,228
2022-09-17 01:00:00,0.176,258
2022-09-18 01:00:00,0.167,219
2022-09-19 01:00:00,0.166,201
2022-09-20 01:00:00,0.168,241
2022-09-21 01:00:00,0.164,205
2022-09-22 01:00:00,0.156,241
2022-09-23 01:00:00,0.15,237
2022-09-24 01:00:00,0.142,273
2022-09-25 01:00:00,0.135,380
2022-09-26 01:00:00,0.13,291
2022-09-27 01:00:00,0.133,298
2022-09-28 01:00:00,0.134,367
2022-09-29 01:00:00,0.134,366
2022-09-30 01:00:00,0.131,307
2022-10-01 01:00:00,0.122,325
2022-10-02 01:00:00,0.126,372
2022-10-03 01:00:00,0.124,412
2022-10-04 01:00:00,0.124,319
2022-10-05 01:00:00,0.126,268
2022-10-06 01:00:00,0.118,237
2022-10-07 01:00:00,0.12,305
2022-10-08 01:00:00,0.118,333
2022-10-09 01:00:00,0.13,476
2022-10-10 01:00:00,0.129,312
2022-10-11 01:00:00,0.128,218
2022-10-12 01:00:00,0.123,200
2022-10-13 01:00:00,0.127,299
2022-10-14 01:00:00,0.118,167
2022-10-15 01:00:00,0.122,343
2022-10-16 01:00:00,0.12,319
2022-10-17 01:00:00,0.126,275
2022-10-18 01:00:00,0.124,302
2022-10-19 01:00:00,0.131,309
2022-10-20 01:00:00,0.122,216
2022-10-21 01:00:00,0.127,334
2022-10-22 01:00:00,0.121,407
2022-10-23 01:00:00,0.122,280
2022-10-24 01:00:00,0.116,237
2022-10-25 01:00:00,0.115,295
2022-10-26 01:00:00,0.116,241
2022-10-27 01:00:00,0.115,294
2022-10-28 01:00:00,0.117,270
2022-10-29 01:00:00,0.116,333
2022-10-30 01:00:00,0.118,322
2022-10-31 01:00:00,0.112,214
2022-11-01 01:00:00,0.107,311
2022-11-02 01:00:00,0.105,234
2022-11-03 01:00:00,0.104,266
2022-11-04 01:00:00,0.106,265
2022-11-05 01:00:00,0.107,345
2022-11-06 01:00:00,0.115,259
2022-11-07 01:00:00,0.113,238
2022-11-08 01:00:00,0.111,266
2022-11-09 01:00:00,0.105,231
2022-11-10 01:00:00,0.103,385
2022-11-11 01:00:00,0.102,257
2022-11-12 01:00:00,0.1,292
2022-11-13 01:00:00,0.1,276
2022-11-14 01:00:00,0.096,337
2022-11-15 01:00:00,0.1,455
2022-11-16 01:00:00,0.099,291
2022-11-17 01:00:00,0.098,236
2022-11-18 01:00:00,0.1,279
2022-11-19 01:00:00,0.095,299
2022-11-20 01:00:00,0.092,351
2022-11-21 01:00:00,0.088,223
2022-11-22 01:00:00,0.086,183
2022-11-23 01:00:00,0.087,249
2022-11-24 01:00:00,0.088,397
2022-11-25 01:00:00,0.085,300
2022-11-26 01:00:00,0.078,399
2022-11-27 01:00:00,0.074,309
2022-11-28 01:00:00,0.07,183
2022-11-29 01:00:00,0.07,242
2022-11-30 01:00:00,0.074,259
2022-12-01 01:00:00,0.07,250
2022-12-02 01:00:00,0.072,270
2022-12-03 01:00:00,0.077,272
2022-12-04 01:00:00,0.084,285
2022-12-05 01:00:00,0.082,242
2022-12-06 01:00:00,0.086,235
2022-12-07 01:00:00,0.087,300
2022-12-08 01:00:00,0.086,368
2022-12-09 01:00:00,0.088,257
2022-12-10 01:00:00,0.084,239
2022-12-11 01:00:00,0.084,261
2022-12-12 01:00:00,0.08,186
2022-12-13 01:00:00,0.083,222
2022-12-14 01:00:00,0.076,368
2022-12-15 01:00:00,0.078,308
2022-12-16 01:00:00,0.076,260
2022-12-17 01:00:00,0.073,272
2022-12-18 01:00:00,0.072,318
2022-12-19 01:00:00,0.074,205
2022-12-20 01:00:00,0.069,184
2022-12-21 01:00:00,0.069,299
2022-12-22 01:00:00,0.071,324
2022-12-23 01:00:00,0.071,333
2022-12-24 01:00:00,0.072,400
2022-12-25 01:00:00,0.069,267
2022-12-26 01:00:00,0.067,262
2022-12-27 01:00:00,0.068,256
2022-12-28 01:00:00,0.066,221
2022-12-29 01:00:00,0.062,223
2022-12-30 01:00:00,0.064,346
2022-12-31 01:00:00,0.066,349
2023-01-01 01:00:00,0.064,275
2023-01-02 01:00:00,0.064,260
2023-01-03 01:00:00,0.068,411
