date,price,volume
2018-10-04 01:00:00,0.145,48
2018-10-05 01:00:00,0.077,88
2018-10-06 01:00:00,0.072,108
2018-10-07 01:00:00,0.079,115
2018-10-08 01:00:00,0.09,68
2018-10-09 01:00:00,0.086,55
2018-10-10 01:00:00,0.078,111
2018-10-11 01:00:00,0.057,137
2018-10-12 01:00:00,0.058,218
2018-10-13 01:00:00,0.067,162
2018-10-14 01:00:00,0.068,172
2018-10-15 01:00:00,0.066,114
2018-10-16 01:00:00,0.067,96
2018-10-17 01:00:00,0.06,169
2018-10-18 01:00:00,0.053,176
2018-10-19 01:00:00,0.055,184
2018-10-20 01:00:00,0.053,167
2018-10-21 01:00:00,0.05,147
2018-10-22 01:00:00,0.049,108
2018-10-23 01:00:00,0.051,103
2018-10-24 01:00:00,0.049,178
2018-10-25 01:00:00,0.039,136
2018-10-26 01:00:00,0.035,139
2018-10-27 01:00:00,0.036,185
2018-10-28 01:00:00,0.033,126
2018-10-29 01:00:00,0.031,124
2018-10-30 01:00:00,0.032,183
2018-10-31 01:00:00,0.03,181
2018-11-01 01:00:00,0.03,240
2018-11-02 01:00:00,0.035,143
2018-11-03 01:00:00,0.032,192
2018-11-04 01:00:00,0.03,169
2018-11-05 01:00:00,0.031,107
2018-11-06 01:00:00,0.03,136
2018-11-07 01:00:00,0.031,152
2018-11-08 01:00:00,0.03,196
2018-11-09 01:00:00,0.061,197
2018-11-10 01:00:00,0.03,168
2018-11-11 01:00:00,0.03,150
2018-11-12 01:00:00,0.03,158
2018-11-13 01:00:00,0.032,139
2018-11-14 01:00:00,0.031,201
2018-11-15 01:00:00,0.03,206
2018-11-16 01:00:00,0.031,204
2018-11-17 01:00:00,0.03,198
2018-11-18 01:00:00,0.03,204
2018-11-19 01:00:00,0.03,125
2018-11-20 01:00:00,0.03,133
2018-11-21 01:00:00,0.03,213
2018-11-22 01:00:00,0.03,206
2018-11-23 01:00:00,0.03,186
2018-11-24 01:00:00,0.03,200
2018-11-25 01:00:00,0.03,165
2018-11-26 01:00:00,0.03,140
2018-11-27 01:00:00,0.03,144
2018-11-28 01:00:00,0.03,159
2018-11-29 01:00:00,0.03,156
2018-11-30 01:00:00,0.03,231
2018-12-01 01:00:00,0.03,289
2018-12-02 01:00:00,0.03,191
2018-12-03 01:00:00,0.03,129
2018-12-04 01:00:00,0.03,141
2018-12-05 01:00:00,0.03,180
2018-12-06 01:00:00,0.03,510
2018-12-07 01:00:00,0.03,387
2018-12-08 01:00:00,0.03,350
2018-12-09 01:00:00,0.03,370
2018-12-10 01:00:00,0.03,203
2018-12-11 01:00:00,0.03,168
2018-12-12 01:00:00,0.03,202
2018-12-13 01:00:00,0.03,369
2018-12-14 01:00:00,0.03,290
2018-12-15 01:00:00,0.03,360
2018-12-16 01:00:00,0.03,278
2018-12-17 01:00:00,0.03,213
2018-12-18 01:00:00,0.03,161
2018-12-19 01:00:00,0.03,236
2018-12-20 01:00:00,0.03,248
2018-12-21 01:00:00,0.03,350
2018-12-22 01:00:00,0.03,320
2018-12-23 01:00:00,0.03,382
2018-12-24 01:00:00,0.03,207
2018-12-25 01:00:00,0.03,203
2018-12-26 01:00:00,0.03,307
2018-12-27 01:00:00,0.03,260
2018-12-28 01:00:00,0.03,236
2018-12-29 01:00:00,0.03,270
2018-12-30 01:00:00,0.03,268
2018-12-31 01:00:00,0.03,221
2019-01-01 01:00:00,0.03,213
2019-01-02 01:00:00,0.03,309
2019-01-03 01:00:00,0.03,256
2019-01-04 01:00:00,0.03,287
2019-01-05 01:00:00,0.03,368
2019-01-06 01:00:00,0.03,319
2019-01-07 01:00:00,0.03,220
2019-01-08 01:00:00,0.03,318
2019-01-09 01:00:00,0.03,541
2019-01-10 01:00:00,0.93,207
2019-01-11 01:00:00,0.03,291
2019-01-12 01:00:00,0.03,301
2019-01-13 01:00:00,0.03,241
2019-01-14 01:00:00,0.03,196
2019-01-15 01:00:00,0.03,258
2019-01-16 01:00:00,0.03,279
2019-01-17 01:00:00,0.03,237
