date,price,volume
2021-09-22 01:00:00,0.877,4214
2021-09-23 01:00:00,0.557,3011
2021-09-24 01:00:00,0.545,2385
2021-09-25 01:00:00,0.485,2349
2021-09-26 01:00:00,0.48,1663
2021-09-27 01:00:00,0.47,1558
2021-09-28 01:00:00,0.431,1463
2021-09-29 01:00:00,0.516,2324
2021-09-30 01:00:00,0.561,1871
2021-10-01 01:00:00,0.514,1596
2021-10-02 01:00:00,0.531,1847
2021-10-03 01:00:00,0.573,1520
2021-10-04 01:00:00,0.616,1296
2021-10-05 01:00:00,0.645,1315
2021-10-06 01:00:00,0.679,1329
2021-10-07 01:00:00,0.66,1205
2021-10-08 01:00:00,0.581,1273
2021-10-09 01:00:00,0.526,1504
2021-10-10 01:00:00,0.536,1085
2021-10-11 01:00:00,0.53,1046
2021-10-12 01:00:00,0.469,1099
2021-10-13 01:00:00,0.41,1122
2021-10-14 01:00:00,0.392,1072
2021-10-15 01:00:00,0.386,1146
2021-10-16 01:00:00,0.4,1172
2021-10-17 01:00:00,0.44,958
2021-10-18 01:00:00,0.436,851
2021-10-19 01:00:00,0.428,796
2021-10-20 01:00:00,0.398,922
2021-10-21 01:00:00,0.368,809
2021-10-22 01:00:00,0.316,1440
2021-10-23 01:00:00,0.303,1150
2021-10-24 01:00:00,0.311,777
2021-10-25 01:00:00,0.313,1097
2021-10-26 01:00:00,0.317,941
2021-10-27 01:00:00,0.332,890
2021-10-28 01:00:00,0.357,803
2021-10-29 01:00:00,0.356,855
2021-10-30 01:00:00,0.358,931
2021-10-31 01:00:00,0.39,919
2021-11-01 01:00:00,0.431,917
2021-11-02 01:00:00,0.431,819
2021-11-03 01:00:00,0.439,902
2021-11-04 01:00:00,0.445,855
2021-11-05 01:00:00,0.42,837
2021-11-06 01:00:00,0.417,954
2021-11-07 01:00:00,0.411,956
2021-11-08 01:00:00,0.411,940
2021-11-09 01:00:00,0.364,822
2021-11-10 01:00:00,0.334,1250
2021-11-11 01:00:00,0.325,890
2021-11-12 01:00:00,0.316,916
2021-11-13 01:00:00,0.323,1049
2021-11-14 01:00:00,0.336,998
2021-11-15 01:00:00,0.347,763
2021-11-16 01:00:00,0.352,762
2021-11-17 01:00:00,0.338,839
2021-11-18 01:00:00,0.334,835
2021-11-19 01:00:00,0.322,871
2021-11-20 01:00:00,0.329,942
2021-11-21 01:00:00,0.341,914
2021-11-22 01:00:00,0.35,713
2021-11-23 01:00:00,0.357,688
2021-11-24 01:00:00,0.336,716
2021-11-25 01:00:00,0.332,861
2021-11-26 01:00:00,0.323,924
2021-11-27 01:00:00,0.306,1000
2021-11-28 01:00:00,0.322,926
2021-11-29 01:00:00,0.321,692
2021-11-30 01:00:00,0.302,1050
2021-12-01 01:00:00,0.297,969
2021-12-02 01:00:00,0.309,859
2021-12-03 01:00:00,0.332,779
2021-12-04 01:00:00,0.361,939
2021-12-05 01:00:00,0.352,857
2021-12-06 01:00:00,0.342,679
2021-12-07 01:00:00,0.344,700
2021-12-08 01:00:00,0.343,763
2021-12-09 01:00:00,0.342,680
2021-12-10 01:00:00,0.338,773
2021-12-11 01:00:00,0.341,868
2021-12-12 01:00:00,0.34,846
2021-12-13 01:00:00,0.352,666
2021-12-14 01:00:00,0.355,647
2021-12-15 01:00:00,0.349,695
2021-12-16 01:00:00,0.353,662
2021-12-17 01:00:00,0.352,652
2021-12-18 01:00:00,0.339,760
2021-12-19 01:00:00,0.334,884
2021-12-20 01:00:00,0.33,796
2021-12-21 01:00:00,0.336,711
2021-12-22 01:00:00,0.336,764
2021-12-23 01:00:00,0.332,699
2021-12-24 01:00:00,0.335,811
2021-12-25 01:00:00,0.339,773
2021-12-26 01:00:00,0.354,823
2021-12-27 01:00:00,0.335,751
2021-12-28 01:00:00,0.354,764
2021-12-29 01:00:00,0.358,883
2021-12-30 01:00:00,0.354,871
2021-12-31 01:00:00,0.363,818
2022-01-01 01:00:00,0.378,952
2022-01-02 01:00:00,0.384,974
2022-01-03 01:00:00,0.383,834
2022-01-04 01:00:00,0.395,892
2022-01-05 01:00:00,0.414,944
2022-01-06 01:00:00,0.419,859
2022-01-07 01:00:00,0.407,863
2022-01-08 01:00:00,0.423,853
2022-01-09 01:00:00,0.401,872
2022-01-10 01:00:00,0.394,806
2022-01-11 01:00:00,0.379,814
2022-01-12 01:00:00,0.383,774
2022-01-13 01:00:00,0.373,829
2022-01-14 01:00:00,0.374,841
2022-01-15 01:00:00,0.384,954
2022-01-16 01:00:00,0.377,846
2022-01-17 01:00:00,0.386,885
2022-01-18 01:00:00,0.387,868
2022-01-19 01:00:00,0.389,886
2022-01-20 01:00:00,0.389,862
2022-01-21 01:00:00,0.393,1110
2022-01-22 01:00:00,0.4,1297
2022-01-23 01:00:00,0.415,1132
2022-01-24 01:00:00,0.418,974
2022-01-25 01:00:00,0.412,945
2022-01-26 01:00:00,0.427,962
2022-01-27 01:00:00,0.426,980
2022-01-28 01:00:00,0.406,1078
2022-01-29 01:00:00,0.406,1138
2022-01-30 01:00:00,0.399,1015
2022-01-31 01:00:00,0.39,966
2022-02-01 01:00:00,0.392,1042
2022-02-02 01:00:00,0.394,1077
2022-02-03 01:00:00,0.417,1046
2022-02-04 01:00:00,0.433,878
2022-02-05 01:00:00,0.44,952
2022-02-06 01:00:00,0.45,892
2022-02-07 01:00:00,0.441,872
2022-02-08 01:00:00,0.438,893
2022-02-09 01:00:00,0.449,803
2022-02-10 01:00:00,0.441,790
2022-02-11 01:00:00,0.448,833
2022-02-12 01:00:00,0.444,873
2022-02-13 01:00:00,0.451,836
2022-02-14 01:00:00,0.472,727
2022-02-15 01:00:00,0.457,753
2022-02-16 01:00:00,0.474,786
2022-02-17 01:00:00,0.469,733
2022-02-18 01:00:00,0.471,777
2022-02-19 01:00:00,0.468,837
2022-02-20 01:00:00,0.466,806
2022-02-21 01:00:00,0.468,809
2022-02-22 01:00:00,0.47,843
2022-02-23 01:00:00,0.465,816
2022-02-24 01:00:00,0.452,702
2022-02-25 01:00:00,0.442,803
2022-02-26 01:00:00,0.437,851
2022-02-27 01:00:00,0.444,834
2022-02-28 01:00:00,0.441,712
2022-03-01 01:00:00,0.444,783
2022-03-02 01:00:00,0.449,745
2022-03-03 01:00:00,0.451,675
2022-03-04 01:00:00,0.463,725
2022-03-05 01:00:00,0.457,839
2022-03-06 01:00:00,0.479,891
2022-03-07 01:00:00,0.473,684
2022-03-08 01:00:00,0.441,866
2022-03-09 01:00:00,0.426,736
2022-03-10 01:00:00,0.418,732
2022-03-11 01:00:00,0.417,810
2022-03-12 01:00:00,0.454,899
2022-03-13 01:00:00,0.456,722
2022-03-14 01:00:00,0.476,600
2022-03-15 01:00:00,0.475,552
2022-03-16 01:00:00,0.464,582
2022-03-17 01:00:00,0.473,606
2022-03-18 01:00:00,0.467,644
2022-03-19 01:00:00,0.461,742
2022-03-20 01:00:00,0.465,694
2022-03-21 01:00:00,0.47,554
2022-03-22 01:00:00,0.468,536
2022-03-23 01:00:00,0.478,588
2022-03-24 01:00:00,0.462,555
2022-03-25 01:00:00,0.476,608
2022-03-26 01:00:00,0.483,591
2022-03-27 01:00:00,0.496,651
2022-03-28 01:00:00,0.494,544
2022-03-29 01:00:00,0.472,526
2022-03-30 01:00:00,0.477,517
2022-03-31 01:00:00,0.495,492
2022-04-01 01:00:00,0.498,544
2022-04-02 01:00:00,0.499,584
2022-04-03 01:00:00,0.511,581
2022-04-04 01:00:00,0.55,517
2022-04-05 01:00:00,0.579,462
2022-04-06 01:00:00,0.589,424
2022-04-07 01:00:00,0.582,505
2022-04-08 01:00:00,0.599,470
2022-04-09 01:00:00,0.608,497
2022-04-10 01:00:00,0.617,452
2022-04-11 01:00:00,0.614,449
2022-04-12 01:00:00,0.619,418
2022-04-13 01:00:00,0.608,401
2022-04-14 01:00:00,0.588,465
2022-04-15 01:00:00,0.6,495
2022-04-16 01:00:00,0.613,465
2022-04-17 01:00:00,0.602,470
2022-04-18 01:00:00,0.606,405
2022-04-19 01:00:00,0.614,404
2022-04-20 01:00:00,0.61,433
2022-04-21 01:00:00,0.598,308
2022-04-22 01:00:00,0.606,420
2022-04-23 01:00:00,0.61,491
2022-04-24 01:00:00,0.607,403
2022-04-25 01:00:00,0.631,333
2022-04-26 01:00:00,0.612,365
2022-04-27 01:00:00,0.616,369
2022-04-28 01:00:00,0.62,341
2022-04-29 01:00:00,0.623,362
2022-04-30 01:00:00,0.615,411
2022-05-01 01:00:00,0.613,404
2022-05-02 01:00:00,0.619,388
2022-05-03 01:00:00,0.626,398
2022-05-04 01:00:00,0.595,683
2022-05-05 01:00:00,0.566,404
2022-05-06 01:00:00,0.552,459
2022-05-07 01:00:00,0.585,447
2022-05-08 01:00:00,0.589,426
2022-05-09 01:00:00,0.597,366
2022-05-10 01:00:00,0.599,352
2022-05-11 01:00:00,0.582,375
2022-05-12 01:00:00,0.574,352
2022-05-13 01:00:00,0.581,347
2022-05-14 01:00:00,0.573,419
2022-05-15 01:00:00,0.569,362
2022-05-16 01:00:00,0.564,350
2022-05-17 01:00:00,0.552,372
2022-05-18 01:00:00,0.534,373
2022-05-19 01:00:00,0.538,366
2022-05-20 01:00:00,0.541,361
2022-05-21 01:00:00,0.525,414
2022-05-22 01:00:00,0.526,421
2022-05-23 01:00:00,0.528,388
