date,price,volume
2014-07-02 01:00:00,0.038,736
2014-07-03 01:00:00,0.044,488
2014-07-04 01:00:00,0.038,464
2014-07-05 01:00:00,0.04,601
2014-07-06 01:00:00,0.042,490
2014-07-07 01:00:00,0.044,371
2014-07-08 01:00:00,0.041,634
2014-07-09 01:00:00,0.036,654
2014-07-10 01:00:00,0.032,516
2014-07-11 01:00:00,0.034,614
2014-07-12 01:00:00,0.035,720
2014-07-13 01:00:00,0.03,549
2014-07-14 01:00:00,0.036,582
2014-07-15 01:00:00,0.039,692
2014-07-16 01:00:00,0.03,596
2014-07-17 01:00:00,0.036,479
2014-07-18 01:00:00,0.03,581
2014-07-19 01:00:00,0.03,706
2014-07-20 01:00:00,0.033,614
2014-07-21 01:00:00,0.03,604
2014-07-22 01:00:00,0.032,760
2014-07-23 01:00:00,0.03,598
2014-07-24 01:00:00,0.03,654
2014-07-25 01:00:00,0.032,734
2014-07-26 01:00:00,0.03,707
2014-07-27 01:00:00,0.03,578
2014-07-28 01:00:00,0.03,629
2014-07-29 01:00:00,0.03,761
2014-07-30 01:00:00,0.03,694
2014-07-31 01:00:00,0.03,568
2014-08-01 01:00:00,0.03,803
2014-08-02 01:00:00,0.032,855
2014-08-03 01:00:00,0.03,705
2014-08-04 01:00:00,0.032,687
2014-08-05 01:00:00,0.03,977
2014-08-06 01:00:00,0.03,871
2014-08-07 01:00:00,0.03,767
2014-08-08 01:00:00,0.03,724
2014-08-09 01:00:00,0.03,1023
2014-08-10 01:00:00,0.03,800
2014-08-11 01:00:00,0.03,677
2014-08-12 01:00:00,0.03,1014
2014-08-13 01:00:00,0.03,968
2014-08-14 01:00:00,0.03,808
2014-08-15 01:00:00,0.03,827
2014-08-16 01:00:00,0.03,1056
2014-08-17 01:00:00,0.03,883
2014-08-18 01:00:00,0.03,775
2014-08-19 01:00:00,0.03,1255
2014-08-20 01:00:00,0.03,1125
2014-08-21 01:00:00,0.03,959
2014-08-22 01:00:00,0.031,1051
2014-08-23 01:00:00,0.03,1097
2014-08-24 01:00:00,0.03,1011
2014-08-25 01:00:00,0.03,924
2014-08-26 01:00:00,0.03,1047
2014-08-27 01:00:00,0.03,915
2014-08-28 01:00:00,0.03,804
2014-08-29 01:00:00,0.03,956
2014-08-30 01:00:00,0.03,1165
2014-08-31 01:00:00,0.03,1008
2014-09-01 01:00:00,0.033,782
2014-09-02 01:00:00,0.03,773
2014-09-03 01:00:00,0.03,825
2014-09-04 01:00:00,0.031,803
2014-09-05 01:00:00,0.03,832
2014-09-06 01:00:00,0.031,1145
2014-09-07 01:00:00,0.032,914
2014-09-08 01:00:00,0.035,716
2014-09-09 01:00:00,0.03,687
2014-09-10 01:00:00,0.034,761
2014-09-11 01:00:00,0.03,948
2014-09-12 01:00:00,0.03,1293
2014-09-13 01:00:00,0.03,1758
2014-09-14 01:00:00,0.03,1632
2014-09-15 01:00:00,0.03,1243
2014-09-16 01:00:00,0.03,1470
2014-09-17 01:00:00,0.03,1355
2014-09-18 01:00:00,0.03,1337
2014-09-19 01:00:00,0.03,1463
2014-09-20 01:00:00,0.03,1747
2014-09-21 01:00:00,0.03,1541
2014-09-22 01:00:00,0.03,1305
2014-09-23 01:00:00,0.03,1162
2014-09-24 01:00:00,0.03,1085
2014-09-25 01:00:00,0.03,1254
2014-09-26 01:00:00,0.03,1260
2014-09-27 01:00:00,0.03,1658
2014-09-28 01:00:00,0.03,1772
2014-09-29 01:00:00,0.03,1288
2014-09-30 01:00:00,0.03,1351
2014-10-01 01:00:00,0.03,1545
2014-10-02 01:00:00,0.03,1390
2014-10-03 01:00:00,0.03,1267
2014-10-04 01:00:00,0.03,1026
2014-10-05 01:00:00,0.03,989
2014-10-06 01:00:00,0.03,629
2014-10-07 01:00:00,0.03,519
2014-10-08 01:00:00,0.03,538
2014-10-09 01:00:00,0.03,556
2014-10-10 01:00:00,0.032,593
2014-10-11 01:00:00,0.03,660
2014-10-12 01:00:00,0.03,569
2014-10-13 01:00:00,0.03,418
2014-10-14 01:00:00,0.03,481
2014-10-15 01:00:00,0.03,672
2014-10-16 01:00:00,0.03,378
2014-10-17 01:00:00,0.03,434
2014-10-18 01:00:00,0.03,498
2014-10-19 01:00:00,0.032,498
2014-10-20 01:00:00,0.03,413
2014-10-21 01:00:00,0.033,334
2014-10-22 01:00:00,0.03,297
2014-10-23 01:00:00,0.032,391
2014-10-24 01:00:00,0.034,427
2014-10-25 01:00:00,0.035,413
2014-10-26 01:00:00,0.032,577
2014-10-27 01:00:00,0.03,350
2014-10-28 01:00:00,0.03,260
2014-10-29 01:00:00,0.031,254
2014-10-30 01:00:00,0.035,301
2014-10-31 01:00:00,0.031,355
2014-11-01 01:00:00,0.035,448
2014-11-02 01:00:00,0.031,341
2014-11-03 01:00:00,0.03,355
2014-11-04 01:00:00,0.031,328
2014-11-05 01:00:00,0.031,308
2014-11-06 01:00:00,0.03,269
2014-11-07 01:00:00,0.031,431
2014-11-08 01:00:00,0.03,356
2014-11-09 01:00:00,0.033,278
2014-11-10 01:00:00,0.03,266
2014-11-11 01:00:00,0.034,223
2014-11-12 01:00:00,0.03,305
2014-11-13 01:00:00,0.03,315
2014-11-14 01:00:00,0.03,260
2014-11-15 01:00:00,0.03,305
2014-11-16 01:00:00,0.032,314
2014-11-17 01:00:00,0.03,207
2014-11-18 01:00:00,0.031,301
2014-11-19 01:00:00,0.03,265
2014-11-20 01:00:00,0.03,220
2014-11-21 01:00:00,0.03,332
2014-11-22 01:00:00,0.03,374
2014-11-23 01:00:00,0.03,365
2014-11-24 01:00:00,0.03,304
2014-11-25 01:00:00,0.03,296
2014-11-26 01:00:00,0.03,384
2014-11-27 01:00:00,0.03,509
2014-11-28 01:00:00,0.03,382
2014-11-29 01:00:00,0.032,115
2014-11-30 01:00:00,0.03,524
2014-12-01 01:00:00,0.03,332
2014-12-02 01:00:00,0.03,387
2014-12-03 01:00:00,0.03,472
2014-12-04 01:00:00,0.03,373
2014-12-05 01:00:00,0.03,490
2014-12-06 01:00:00,0.03,575
2014-12-07 01:00:00,0.03,548
2014-12-08 01:00:00,0.03,374
2014-12-09 01:00:00,0.03,351
2014-12-10 01:00:00,0.03,421
2014-12-11 01:00:00,0.03,418
2014-12-12 01:00:00,0.03,440
2014-12-13 01:00:00,0.03,532
2014-12-14 01:00:00,0.03,524
2014-12-15 01:00:00,0.03,452
2014-12-16 01:00:00,0.03,460
2014-12-17 01:00:00,0.03,447
2014-12-18 01:00:00,0.03,527
2014-12-19 01:00:00,0.03,418
2014-12-20 01:00:00,0.03,456
2014-12-21 01:00:00,0.03,474
2014-12-22 01:00:00,0.03,365
2014-12-23 01:00:00,0.03,339
2014-12-24 01:00:00,0.03,362
2014-12-25 01:00:00,0.03,396
2014-12-26 01:00:00,0.03,424
2014-12-27 01:00:00,0.03,528
2014-12-28 01:00:00,0.03,385
2014-12-29 01:00:00,0.03,460
2014-12-30 01:00:00,0.03,484
2014-12-31 01:00:00,0.03,439
2015-01-01 01:00:00,0.03,450
2015-01-02 01:00:00,0.03,616
2015-01-03 01:00:00,0.03,542
2015-01-04 01:00:00,0.032,644
2015-01-05 01:00:00,0.03,453
2015-01-06 01:00:00,0.03,554
2015-01-07 01:00:00,0.03,578
2015-01-08 01:00:00,0.03,659
2015-01-09 01:00:00,0.03,678
2015-01-10 01:00:00,0.03,740
2015-01-11 01:00:00,0.032,602
2015-01-12 01:00:00,0.032,468
2015-01-13 01:00:00,0.03,425
2015-01-14 01:00:00,0.03,546
2015-01-15 01:00:00,0.03,504
2015-01-16 01:00:00,0.032,536
2015-01-17 01:00:00,0.03,514
2015-01-18 01:00:00,0.035,564
2015-01-19 01:00:00,0.03,432
2015-01-20 01:00:00,0.03,479
2015-01-21 01:00:00,0.03,454
2015-01-22 01:00:00,0.033,406
2015-01-23 01:00:00,0.033,500
2015-01-24 01:00:00,0.031,548
2015-01-25 01:00:00,0.031,571
2015-01-26 01:00:00,0.03,453
2015-01-27 01:00:00,0.035,473
2015-01-28 01:00:00,0.036,449
2015-01-29 01:00:00,0.032,459
2015-01-30 01:00:00,0.034,491
2015-01-31 01:00:00,0.03,526
2015-02-01 01:00:00,0.031,610
2015-02-02 01:00:00,0.032,404
2015-02-03 01:00:00,0.036,367
2015-02-04 01:00:00,0.035,310
2015-02-05 01:00:00,0.03,344
2015-02-06 01:00:00,0.031,470
2015-02-07 01:00:00,0.04,543
2015-02-08 01:00:00,0.032,482
2015-02-09 01:00:00,0.032,377
2015-02-10 01:00:00,0.036,259
2015-02-11 01:00:00,0.033,349
2015-02-12 01:00:00,0.032,420
2015-02-13 01:00:00,0.033,551
2015-02-14 01:00:00,0.034,436
2015-02-15 01:00:00,0.031,477
2015-02-16 01:00:00,0.03,514
2015-02-17 01:00:00,0.031,444
2015-02-18 01:00:00,0.031,546
2015-02-19 01:00:00,0.03,379
2015-02-20 01:00:00,0.03,416
2015-02-21 01:00:00,0.035,341
2015-02-22 01:00:00,0.032,391
2015-02-23 01:00:00,0.033,330
2015-02-24 01:00:00,0.036,352
2015-02-25 01:00:00,0.034,342
2015-02-26 01:00:00,0.034,266
2015-02-27 01:00:00,0.038,316
2015-02-28 01:00:00,0.037,467
2015-03-01 01:00:00,0.036,321
2015-03-02 01:00:00,0.036,200
2015-03-03 01:00:00,0.037,288
2015-03-04 01:00:00,0.038,262
2015-03-05 01:00:00,0.035,280
2015-03-06 01:00:00,0.038,338
2015-03-07 01:00:00,0.036,256
2015-03-08 01:00:00,0.038,329
2015-03-09 01:00:00,0.039,325
2015-03-10 01:00:00,0.035,211
2015-03-11 01:00:00,0.037,179
2015-03-12 01:00:00,0.032,216
2015-03-13 01:00:00,0.036,223
2015-03-14 01:00:00,0.036,447
2015-03-15 01:00:00,0.035,286
2015-03-16 01:00:00,0.032,195
2015-03-17 01:00:00,0.036,188
2015-03-18 01:00:00,0.035,504
2015-03-19 01:00:00,0.038,222
2015-03-20 01:00:00,0.045,271
2015-03-21 01:00:00,0.047,240
2015-03-22 01:00:00,0.048,228
2015-03-23 01:00:00,0.045,191
2015-03-24 01:00:00,0.048,214
2015-03-25 01:00:00,0.049,186
2015-03-26 01:00:00,0.052,170
2015-03-27 01:00:00,0.044,153
2015-03-28 01:00:00,0.047,240
2015-03-29 01:00:00,0.05,260
2015-03-30 01:00:00,0.05,173
2015-03-31 01:00:00,0.051,184
2015-04-01 01:00:00,0.048,341
2015-04-02 01:00:00,0.059,262
2015-04-03 01:00:00,0.061,187
2015-04-04 01:00:00,0.058,249
2015-04-05 01:00:00,0.059,193
2015-04-06 01:00:00,0.057,170
2015-04-07 01:00:00,0.066,242
2015-04-08 01:00:00,0.065,90
2015-04-09 01:00:00,0.068,157
2015-04-10 01:00:00,0.069,74
2015-04-11 01:00:00,0.069,160
2015-04-12 01:00:00,0.067,136
2015-04-13 01:00:00,0.064,96
2015-04-14 01:00:00,0.076,108
2015-04-15 01:00:00,0.071,118
2015-04-16 01:00:00,0.064,104
2015-04-17 01:00:00,0.051,110
2015-04-18 01:00:00,0.058,112
2015-04-19 01:00:00,0.059,132
2015-04-20 01:00:00,0.055,135
2015-04-21 01:00:00,0.053,118
2015-04-22 01:00:00,0.057,95
2015-04-23 01:00:00,0.065,124
2015-04-24 01:00:00,0.067,114
2015-04-25 01:00:00,0.064,136
2015-04-26 01:00:00,0.068,105
2015-04-27 01:00:00,0.063,87
2015-04-28 01:00:00,0.074,109
2015-04-29 01:00:00,0.073,88
2015-04-30 01:00:00,0.066,114
2015-05-01 01:00:00,0.071,124
2015-05-02 01:00:00,0.066,155
2015-05-03 01:00:00,0.069,117
2015-05-04 01:00:00,0.069,138
2015-05-05 01:00:00,0.068,84
2015-05-06 01:00:00,0.069,108
2015-05-07 01:00:00,0.08,47
2015-05-08 01:00:00,0.068,135
2015-05-09 01:00:00,0.072,122
2015-05-10 01:00:00,0.064,129
2015-05-11 01:00:00,0.072,104
2015-05-12 01:00:00,0.082,101
2015-05-13 01:00:00,0.077,98
2015-05-14 01:00:00,0.077,74
2015-05-15 01:00:00,0.077,88
2015-05-16 01:00:00,0.081,79
2015-05-17 01:00:00,0.073,80
