date,price,volume
2015-02-13 01:00:00,10.755,84
2015-02-14 01:00:00,8.756,60
2015-02-15 01:00:00,7.884,47
2015-02-16 01:00:00,8.063,35
2015-02-17 01:00:00,7.721,30
2015-02-18 01:00:00,7.821,21
2015-02-19 01:00:00,8.025,28
2015-02-20 01:00:00,7.983,41
2015-02-21 01:00:00,8.135,42
2015-02-22 01:00:00,7.991,28
2015-02-23 01:00:00,7.919,32
2015-02-24 01:00:00,7.561,21
2015-02-25 01:00:00,6.979,22
2015-02-26 01:00:00,7.536,25
2015-02-27 01:00:00,7.238,26
2015-02-28 01:00:00,7.655,24
2015-03-01 01:00:00,7.601,24
2015-03-02 01:00:00,7.18,22
2015-03-03 01:00:00,7.738,25
2015-03-04 01:00:00,7.568,21
2015-03-05 01:00:00,7.411,18
2015-03-06 01:00:00,7.557,29
2015-03-07 01:00:00,7.463,32
2015-03-08 01:00:00,7.053,25
2015-03-09 01:00:00,7.054,20
2015-03-10 01:00:00,7.156,27
2015-03-11 01:00:00,7.439,23
2015-03-12 01:00:00,7.273,23
2015-03-13 01:00:00,6.608,25
2015-03-14 01:00:00,7.106,27
2015-03-15 01:00:00,6.754,28
2015-03-16 01:00:00,7.303,28
2015-03-17 01:00:00,7.348,26
2015-03-18 01:00:00,7.789,23
2015-03-19 01:00:00,7.982,30
2015-03-20 01:00:00,7.314,21
2015-03-21 01:00:00,6.956,21
2015-03-22 01:00:00,7.246,26
2015-03-23 01:00:00,7.381,22
2015-03-24 01:00:00,7.693,17
2015-03-25 01:00:00,7.509,20
2015-03-26 01:00:00,7.356,28
2015-03-27 01:00:00,6.896,26
2015-03-28 01:00:00,6.845,23
2015-03-29 01:00:00,6.748,34
2015-03-30 01:00:00,6.971,24
2015-03-31 01:00:00,6.936,29
2015-04-01 01:00:00,7.263,37
2015-04-02 01:00:00,7.085,31
2015-04-03 01:00:00,6.812,36
2015-04-04 01:00:00,7.249,26
2015-04-05 01:00:00,6.804,27
2015-04-06 01:00:00,7.255,35
2015-04-07 01:00:00,7.019,25
2015-04-08 01:00:00,7.293,29
2015-04-09 01:00:00,7.008,34
2015-04-10 01:00:00,6.928,25
2015-04-11 01:00:00,7.272,39
2015-04-12 01:00:00,6.58,34
2015-04-13 01:00:00,7.067,31
2015-04-14 01:00:00,6.746,22
2015-04-15 01:00:00,6.789,21
2015-04-16 01:00:00,5.911,37
2015-04-17 01:00:00,5.988,30
2015-04-18 01:00:00,6.092,28
2015-04-19 01:00:00,5.978,20
2015-04-20 01:00:00,5.861,25
2015-04-21 01:00:00,5.443,27
2015-04-22 01:00:00,5.567,34
2015-04-23 01:00:00,6.465,31
2015-04-24 01:00:00,6.472,29
2015-04-25 01:00:00,6.733,33
2015-04-26 01:00:00,6.645,22
2015-04-27 01:00:00,6.642,22
2015-04-28 01:00:00,6.964,27
2015-04-29 01:00:00,3.248,133
2015-04-30 01:00:00,3.04,100
2015-05-01 01:00:00,2.882,88
2015-05-02 01:00:00,2.961,109
2015-05-03 01:00:00,2.819,93
2015-05-04 01:00:00,2.772,96
2015-05-05 01:00:00,2.747,88
2015-05-06 01:00:00,2.731,82
2015-05-07 01:00:00,2.597,77
2015-05-08 01:00:00,2.578,99
2015-05-09 01:00:00,2.698,119
2015-05-10 01:00:00,2.396,118
2015-05-11 01:00:00,2.427,84
2015-05-12 01:00:00,2.338,97
2015-05-13 01:00:00,2.414,108
2015-05-14 01:00:00,2.445,93
2015-05-15 01:00:00,2.535,108
2015-05-16 01:00:00,2.468,131
2015-05-17 01:00:00,2.424,120
2015-05-18 01:00:00,2.331,110
2015-05-19 01:00:00,2.329,94
2015-05-20 01:00:00,2.265,98
2015-05-21 01:00:00,2.368,105
2015-05-22 01:00:00,2.336,108
2015-05-23 01:00:00,2.334,136
2015-05-24 01:00:00,2.346,127
2015-05-25 01:00:00,2.301,112
2015-05-26 01:00:00,2.234,121
2015-05-27 01:00:00,1.689,258
2015-05-28 01:00:00,2.003,197
2015-05-29 01:00:00,2.175,165
2015-05-30 01:00:00,2.348,194
2015-05-31 01:00:00,2.326,163
2015-06-01 01:00:00,2.241,158
2015-06-02 01:00:00,2.269,148
2015-06-03 01:00:00,2.221,157
2015-06-04 01:00:00,2.19,177
2015-06-05 01:00:00,2.068,164
2015-06-06 01:00:00,2.107,162
2015-06-07 01:00:00,2.066,183
2015-06-08 01:00:00,2.052,142
2015-06-09 01:00:00,2.144,144
2015-06-10 01:00:00,2.086,178
2015-06-11 01:00:00,2.034,191
2015-06-12 01:00:00,1.723,169
