date,price,volume
2018-10-04 01:00:00,2.044,52
2018-10-05 01:00:00,1.525,70
2018-10-06 01:00:00,1.505,75
2018-10-07 01:00:00,1.525,46
2018-10-08 01:00:00,1.53,36
2018-10-09 01:00:00,1.605,44
2018-10-10 01:00:00,1.277,91
2018-10-11 01:00:00,1.327,114
2018-10-12 01:00:00,1.182,76
2018-10-13 01:00:00,1.121,80
2018-10-14 01:00:00,1.249,116
2018-10-15 01:00:00,1.936,44
2018-10-16 01:00:00,1.536,29
2018-10-17 01:00:00,1.184,98
2018-10-18 01:00:00,1.112,115
2018-10-19 01:00:00,1.037,120
2018-10-20 01:00:00,0.945,87
2018-10-21 01:00:00,1.027,122
2018-10-22 01:00:00,1.017,72
2018-10-23 01:00:00,1.034,57
2018-10-24 01:00:00,0.879,81
2018-10-25 01:00:00,0.779,88
2018-10-26 01:00:00,0.719,121
2018-10-27 01:00:00,0.75,73
2018-10-28 01:00:00,0.727,89
2018-10-29 01:00:00,0.742,81
2018-10-30 01:00:00,0.706,66
2018-10-31 01:00:00,0.568,106
2018-11-01 01:00:00,0.534,95
2018-11-02 01:00:00,0.536,88
2018-11-03 01:00:00,0.579,90
2018-11-04 01:00:00,0.575,54
2018-11-05 01:00:00,0.637,74
2018-11-06 01:00:00,0.657,66
2018-11-07 01:00:00,0.642,114
2018-11-08 01:00:00,0.701,108
2018-11-09 01:00:00,0.701,81
2018-11-10 01:00:00,0.645,119
2018-11-11 01:00:00,0.622,87
2018-11-12 01:00:00,0.63,76
2018-11-13 01:00:00,0.659,64
2018-11-14 01:00:00,0.634,87
2018-11-15 01:00:00,0.608,98
2018-11-16 01:00:00,0.574,102
2018-11-17 01:00:00,0.542,109
2018-11-18 01:00:00,0.584,123
2018-11-19 01:00:00,0.629,59
2018-11-20 01:00:00,0.622,93
2018-11-21 01:00:00,0.511,99
2018-11-22 01:00:00,0.494,89
2018-11-23 01:00:00,0.452,105
2018-11-24 01:00:00,0.406,133
2018-11-25 01:00:00,0.403,98
2018-11-26 01:00:00,0.417,66
2018-11-27 01:00:00,0.393,61
2018-11-28 01:00:00,0.377,111
2018-11-29 01:00:00,0.354,73
2018-11-30 01:00:00,0.378,168
2018-12-01 01:00:00,0.374,110
2018-12-02 01:00:00,0.413,120
2018-12-03 01:00:00,0.43,94
2018-12-04 01:00:00,0.467,78
2018-12-05 01:00:00,0.479,113
2018-12-06 01:00:00,0.44,148
2018-12-07 01:00:00,0.38,154
2018-12-08 01:00:00,0.341,152
2018-12-09 01:00:00,0.368,144
2018-12-10 01:00:00,0.425,132
2018-12-11 01:00:00,0.407,96
2018-12-12 01:00:00,0.41,140
2018-12-13 01:00:00,0.404,130
2018-12-14 01:00:00,0.365,145
2018-12-15 01:00:00,0.387,178
2018-12-16 01:00:00,0.378,142
2018-12-17 01:00:00,0.391,119
2018-12-18 01:00:00,0.373,70
2018-12-19 01:00:00,0.352,144
2018-12-20 01:00:00,0.298,121
2018-12-21 01:00:00,0.325,171
2018-12-22 01:00:00,0.302,141
2018-12-23 01:00:00,0.304,153
2018-12-24 01:00:00,0.302,119
2018-12-25 01:00:00,0.339,157
2018-12-26 01:00:00,0.352,203
2018-12-27 01:00:00,0.377,123
2018-12-28 01:00:00,0.358,148
2018-12-29 01:00:00,0.36,190
2018-12-30 01:00:00,0.353,165
2018-12-31 01:00:00,0.391,148
2019-01-01 01:00:00,0.379,100
2019-01-02 01:00:00,0.354,154
2019-01-03 01:00:00,0.323,148
2019-01-04 01:00:00,0.317,219
2019-01-05 01:00:00,0.374,156
2019-01-06 01:00:00,0.339,90
2019-01-07 01:00:00,0.347,167
2019-01-08 01:00:00,0.349,80
2019-01-09 01:00:00,0.348,175
2019-01-10 01:00:00,0.355,187
2019-01-11 01:00:00,0.361,153
2019-01-12 01:00:00,0.383,195
2019-01-13 01:00:00,0.378,144
2019-01-14 01:00:00,0.372,97
2019-01-15 01:00:00,0.372,155
2019-01-16 01:00:00,0.337,128
2019-01-17 01:00:00,0.287,177
2019-01-18 01:00:00,0.289,136
2019-01-19 01:00:00,0.296,166
2019-01-20 01:00:00,0.305,163
2019-01-21 01:00:00,0.337,157
2019-01-22 01:00:00,0.318,83
2019-01-23 01:00:00,0.333,221
2019-01-24 01:00:00,0.329,180
2019-01-25 01:00:00,0.32,111
2019-01-26 01:00:00,0.312,224
2019-01-27 01:00:00,0.36,210
2019-01-28 01:00:00,0.414,147
2019-01-29 01:00:00,0.435,161
2019-01-30 01:00:00,0.398,200
2019-01-31 01:00:00,0.352,175
2019-02-01 01:00:00,0.389,195
2019-02-02 01:00:00,0.384,196
