date,price,volume
2014-02-21 01:00:00,6.385,119
2014-02-22 01:00:00,5.617,142
2014-02-23 01:00:00,6.48,102
2014-02-24 01:00:00,7.058,63
2014-02-25 01:00:00,7.235,55
2014-02-26 01:00:00,7.164,45
2014-02-27 01:00:00,7.856,43
2014-02-28 01:00:00,7.48,109
2014-03-01 01:00:00,5.992,159
2014-03-02 01:00:00,5.889,167
2014-03-03 01:00:00,6.235,103
2014-03-04 01:00:00,6.034,93
2014-03-05 01:00:00,5.99,83
2014-03-06 01:00:00,6.461,67
2014-03-07 01:00:00,6.41,96
2014-03-08 01:00:00,5.963,176
2014-03-09 01:00:00,5.514,180
2014-03-10 01:00:00,5.678,118
2014-03-11 01:00:00,6.05,78
2014-03-12 01:00:00,5.816,94
2014-03-13 01:00:00,6.314,47
2014-03-14 01:00:00,6.039,72
2014-03-15 01:00:00,5.55,147
2014-03-16 01:00:00,5.014,200
2014-03-17 01:00:00,5.676,164
2014-03-18 01:00:00,5.372,143
2014-03-19 01:00:00,5.301,103
2014-03-20 01:00:00,5.092,102
2014-03-21 01:00:00,5.19,155
2014-03-22 01:00:00,4.934,176
2014-03-23 01:00:00,5.41,166
2014-03-24 01:00:00,5.278,136
2014-03-25 01:00:00,5.425,119
2014-03-26 01:00:00,5.511,122
2014-03-27 01:00:00,5.488,148
2014-03-28 01:00:00,5.57,133
2014-03-29 01:00:00,5.242,172
2014-03-30 01:00:00,5.254,141
2014-03-31 01:00:00,5.308,170
2014-04-01 01:00:00,5.547,117
2014-04-02 01:00:00,5.455,145
2014-04-03 01:00:00,5.512,153
2014-04-04 01:00:00,5.539,184
2014-04-05 01:00:00,5.517,173
2014-04-06 01:00:00,5.394,162
2014-04-07 01:00:00,5.556,188
2014-04-08 01:00:00,5.602,161
2014-04-09 01:00:00,5.305,199
2014-04-10 01:00:00,5.939,205
2014-04-11 01:00:00,6.498,250
2014-04-12 01:00:00,6.582,205
2014-04-13 01:00:00,6.301,205
2014-04-14 01:00:00,5.854,208
2014-04-15 01:00:00,5.98,208
2014-04-16 01:00:00,5.809,226
2014-04-17 01:00:00,6.176,210
2014-04-18 01:00:00,5.871,217
2014-04-19 01:00:00,5.923,148
2014-04-20 01:00:00,5.843,232
2014-04-21 01:00:00,5.811,263
2014-04-22 01:00:00,6.314,216
2014-04-23 01:00:00,6.164,207
2014-04-24 01:00:00,6.022,186
2014-04-25 01:00:00,6.016,261
2014-04-26 01:00:00,5.949,212
2014-04-27 01:00:00,5.511,219
2014-04-28 01:00:00,6.122,233
2014-04-29 01:00:00,6.339,250
2014-04-30 01:00:00,5.946,184
2014-05-01 01:00:00,5.83,242
2014-05-02 01:00:00,4.806,214
2014-05-03 01:00:00,4.795,258
2014-05-04 01:00:00,4.657,331
2014-05-05 01:00:00,4.518,265
2014-05-06 01:00:00,4.461,306
2014-05-07 01:00:00,4.613,251
2014-05-08 01:00:00,4.495,243
2014-05-09 01:00:00,4.784,353
2014-05-10 01:00:00,4.533,287
2014-05-11 01:00:00,4.234,304
2014-05-12 01:00:00,4.642,203
2014-05-13 01:00:00,4.229,177
2014-05-14 01:00:00,4.097,234
2014-05-15 01:00:00,4.552,298
2014-05-16 01:00:00,4.94,254
2014-05-17 01:00:00,4.948,258
2014-05-18 01:00:00,4.607,245
2014-05-19 01:00:00,4.654,267
2014-05-20 01:00:00,4.697,218
2014-05-21 01:00:00,4.452,242
2014-05-22 01:00:00,4.423,203
2014-05-23 01:00:00,4.398,305
2014-05-24 01:00:00,4.532,249
2014-05-25 01:00:00,4.493,230
2014-05-26 01:00:00,4.017,243
2014-05-27 01:00:00,4.27,229
2014-05-28 01:00:00,4.382,246
2014-05-29 01:00:00,4.319,275
2014-05-30 01:00:00,4.774,234
2014-05-31 01:00:00,4.622,176
2014-06-01 01:00:00,4.509,219
2014-06-02 01:00:00,4.382,226
2014-06-03 01:00:00,4.406,234
2014-06-04 01:00:00,4.686,227
2014-06-05 01:00:00,4.614,218
2014-06-06 01:00:00,4.425,186
2014-06-07 01:00:00,4.473,223
2014-06-08 01:00:00,4.435,222
2014-06-09 01:00:00,4.426,180
2014-06-10 01:00:00,4.118,184
2014-06-11 01:00:00,4.331,180
2014-06-12 01:00:00,4.114,214
2014-06-13 01:00:00,4.429,220
2014-06-14 01:00:00,4.234,233
2014-06-15 01:00:00,4.392,251
2014-06-16 01:00:00,4.292,228
2014-06-17 01:00:00,4.094,291
2014-06-18 01:00:00,4.108,236
2014-06-19 01:00:00,4.12,215
2014-06-20 01:00:00,3.985,255
2014-06-21 01:00:00,3.768,288
2014-06-22 01:00:00,3.735,244
2014-06-23 01:00:00,3.78,259
2014-06-24 01:00:00,3.687,244
2014-06-25 01:00:00,3.78,218
2014-06-26 01:00:00,3.919,238
2014-06-27 01:00:00,3.841,211
2014-06-28 01:00:00,3.586,231
2014-06-29 01:00:00,3.501,299
2014-06-30 01:00:00,4.015,367
2014-07-01 01:00:00,3.986,295
2014-07-02 01:00:00,3.18,318
2014-07-03 01:00:00,3.303,293
2014-07-04 01:00:00,3.613,250
2014-07-05 01:00:00,3.777,306
2014-07-06 01:00:00,3.733,296
2014-07-07 01:00:00,3.616,263
2014-07-08 01:00:00,3.844,308
2014-07-09 01:00:00,3.79,257
2014-07-10 01:00:00,3.704,282
2014-07-11 01:00:00,3.58,319
2014-07-12 01:00:00,3.691,340
2014-07-13 01:00:00,3.897,314
2014-07-14 01:00:00,3.762,298
2014-07-15 01:00:00,3.812,309
2014-07-16 01:00:00,3.966,343
2014-07-17 01:00:00,3.838,248
2014-07-18 01:00:00,3.805,270
2014-07-19 01:00:00,3.72,305
2014-07-20 01:00:00,3.648,294
2014-07-21 01:00:00,3.615,299
2014-07-22 01:00:00,3.793,322
2014-07-23 01:00:00,3.945,257
2014-07-24 01:00:00,3.886,297
2014-07-25 01:00:00,4.04,289
2014-07-26 01:00:00,4.141,312
2014-07-27 01:00:00,4.321,303
2014-07-28 01:00:00,4.157,308
2014-07-29 01:00:00,4.045,291
